[15.553] momouni: わらこだ
[15.739] mimitabu_92: わこらだ
[15.967] (S)キラキラボシ: わこらだ
[16.498] suibotu_: わこらだ
[16.706] にちゃん: わこらだ
[16.985] (S)きのこの炊き込みご飯: radaoWakotu
[17.253] (S)yuu2525: radaoWakotu
[17.811] honehone_2: わこらだ
[18.622] sqku1255: わこらだ
[18.662] satela_A: わこらだ
[18.672] ラムネ味: radaoWakotu
[18.791] itumi434: わこらだ
[18.818] (S)Lamp1119: わこらだ
[18.835] 哀れな人の子: わこらだ
[18.837] tumetai_kokoa: わこらだ
[18.880] アリーガちゃん: わこらだ
[19.142] kohaku_rd: わこらだ
[19.331] (S)hotaru_uy: わこらだ
[19.370] (S)hisoka_HyskoA0606: radaoWakotu
[19.596] ドミノくん: わこらだ
[19.622] (S)れもんちぃ0: radaoWakotu
[19.803] (S)すんちゅ: radaoWakotu
[19.812] guruguru_candy: わこらだ
[19.835] (S)ほしちゃ: わこらたま
[20.016] (S)koharu_chaaan: わこらだー
[20.301] (S)tak3noko_09: radaoWakotu
[20.540] (S)かりんりんだよぅ: radaoWakotu
[20.733] hagemant_0424: わこらだ
[20.779] (S)きのここ: わこらだ
[20.955] のいたぬ: わこらだ
[20.957] (S)Sora1roooo: radaoWakotu
[20.957] fuu_0926: radaoWakotu
[21.172] mamemamehu: わこらだ
[21.515] (S)鉛筆びー: わこらだ
[21.578] (S)akiiroi: radaoWakotu
[21.627] えぱああ: わこらだ
[21.663] end_salt: わこらだ
[21.734] natsu_ren: わこらだ
[21.735] (S)ほっけ1107: わこらだ
[21.764] wanko_wa: わこらだ
[21.765] (S)えびてゃん: radaoWakotu
[21.767] あじさ: わこらだ
[21.845] kon_rou11: わこらだ
[21.879] Riisu_amms: わこらだ
[21.941] ken18790: わこらだ
[21.980] kuuhaku417: radaoWakotu
[22.010] (S)westy627: radaoWakotu
[22.232] いるーじゅ: わこらだ
[22.368] aren_crow: わこらだ
[22.506] kanato_ooo: わこらだー
[22.572] (S)MORIYA_37: radaoWakotu
[22.579] ﾏｲﾁｮ: radaoWakotu
[23.727] 生け花: わこらだ
[23.757] (S)海苔820: 海苔820 subscribed with Prime. They've subscribed for 11 months, currently on a 7 month streak! わこらだ
[23.860] jmpta: わこらだ
[23.879] choco3143: わこらだ
[23.968] mizuiro000: わこらだー
[24.112] arisa524: わこらだー
[24.166] hatiti88: わこらだー
[24.343] (S)kurasaka128: radaoWakotu
[24.350] ふうぺん: わこらだ
[24.419] ボンレスブス: わこらだ
[24.502] chippy1201: わこらだ
[24.508] やぎふらい: radaoWakotu
[24.571] syaaaaaaa: わこらだ！
[24.583] とむこあ: radaoWakotu
[24.671] (S)ﾅﾏﾁｬ: わこりだ
[26.700] kero_ppi1: わこらだ
[26.904] アーユン: わこらだ
[26.918] maichan0505: わこらだ
[27.141] fd3sq_: わこらだ
[27.142] ｻｧｻ: わこらだー
[27.160] (S)なのは_1211: radaoWakotu
[27.197] (S)urullowo: わこらだ
[27.322] (S)peachfrappe_108: わこらだ
[27.354] ゆぅーか: わこらだ
[27.355] lka_sumi: わこらだ
[27.389] syui415: わこらだー
[27.509] riku0572: わこらだー
[27.741] (S)ポテチの子: radaoWakotu
[27.816] (S)torikera0124: わこらだ
[27.902] lusia1945: わこらだ
[28.359] ru_san0720: radaoWakotu
[28.392] (S)tomo03_gucchi26: radaoWakotu
[28.443] rito1725: わこらだ
[28.522] ツキミん: わこらだ
[28.529] おいしいりんご: わこらだ 
[28.567] meychan_ty: わこらだ
[28.594] nyanko0522: わこらだ
[28.595] sparrow__7__: radaoWakotu
[28.612] apyooo0718: わこらだー
[28.672] saka_miti: わこらだ
[28.730] しおおおおおおおん: わこらだ
[28.739] (S)jise_ihaku: radaoWakotu
[28.771] (S)nonaru4637: radaoWakotu
[28.813] ばんビ: わこらだ
[28.887] hoshizukiyo3227: わこらだ
[29.305] 107_tona: わこらだ
[29.362] naru0122: わこらだ
[29.376] mikuru_minto75: わこらだ
[29.388] toremoro_san: わこらだ
[29.485] toppoppo3: わこらだ
[29.578] (S)ナラ抹茶: わこらだ 
[29.642] なきち: わこらだ
[29.659] (S)chamo_chako: わこらだー
[29.830] しぃきょん: わこらだ
[29.955] (S)ヨヒラ: わこらだ
[30.024] na0t1_16: わこらだ
[30.078] (S)ふぉるお: わこらだ
[30.086] ryda6333: わこらだ
[30.218] りあなだよ: わこらだ
[30.263] umirin2828: わこらだ
[30.289] かんこ: radaoWakotu
[30.294] めろんちーず: わこらだ
[30.311] (S)ジリリン_: radaoWakotu
[30.481] (S)rukure17: わこらだ
[30.614] (S)monhana1147: わこらだ
[30.689] あめまう_: わこらだ
[30.689] くろうるふ: わこらだ
[30.693] hakataro3567: わこらだ
[30.801] YuuKi_0222: わこらだ
[30.929] ムラさん: わこらだー
[31.466] muru1113: わこらだ
[31.676] oisiym: わこらだ
[31.687] 2ym_o0: わこらだー
[31.688] (S)rettan25: わこらだ
[31.707] (S)きょむきょむぷりん: わこらだ
[31.916] Manyuppe: わこらだ
[31.961] (S)わんここ: わこらだ 
[32.161] (S)Oyu3255: radaoWakotu
[32.164] tatunoko34: わこらだ
[32.186] 角角家: radaoWakotu
[32.244] 夢川海月: わこらだ
[32.368] shooo818: わこらだ
[32.402] goma_satsuki: わこらだ
[32.486] ガッチー: わこらだ
[32.633] michiru0808: わこらだ
[32.760] (S)zqel3z: radaoWakotu
[32.780] amane_xxxx: わこらだ
[32.887] satela_A: えぺ？
[33.212] 針猫: わこらだ
[33.282] (S)トマト狩り: わこらだー
[33.379] baibaikin0: わこらだー
[33.442] (S)uw_azu_wu: radaoWakotu
[33.622] (S)urullowo: radaoWakotu
[33.634] suzu6ya: わこらだーーー！！！！
[33.840] night029: わこらだ
[33.996] (S)nonaru4637: nonaru4637 subscribed at Tier 1. They've subscribed for 6 months, currently on a 6 month streak! 
[34.070] soboroboso: radaoWakotu
[34.231] shuka0926: radaoWakotu
[34.279] (S)サノウラ: む、今日がちょっとだけ？
[34.510] べっこーあめ: わこらだ
[34.680] soramaru05: わこらだー
[34.781] (S)kiba_1129: radaoWakotu
[34.921] (S)塩ばたー: わこらだ
[34.938] pikurusupiku: わこらだ
[34.938] waraashi: radaoWakotu
[34.965] つばき_: わこらだ
[35.027] haihaichan: わこらだ
[35.176] karen__1121: わこらだー
[35.231] (S)ヨヒラ: radaoWakotu
[35.277] 湊ソラ: わこらだ
[35.367] yukina_neko0318: わこらだ
[35.403] toriniku_ryuto: わこらだ
[35.406] (S)ゆっきーっていいます: わこらだ
[35.409] (S)sapichaaan: radaoWakotu
[35.439] nomal527: radaoWakotu
[35.533] oootyao: oootyao subscribed at Tier 1. They've subscribed for 13 months! 
[35.793] rincho22: わこらだ
[35.833] raynidayooo: わこらだ
[35.891] kyoka__1331: わこらだ〜
[36.486] 誤字しまくるマン: わこらだ
[36.593] あおは_: わこらだ
[36.720] (S)葵陽: radaoWakotu
[36.748] (S)ててさーん: わこらだ 
[36.883] maichan0505: 雑談多くてうれしー
[37.260] (S)こばゃし: わこらだ
[37.311] kai_4869: radaoWakotu
[37.442] me1oxdy: わこらだ〜
[37.682] (S)enwasabi: radaoWakotu
[37.700] 夢現: わこらだ
[37.911] (S)ﾅﾏﾁｬ: radaoWakotu
[37.999] あさぎりくん: わこらだ
[38.051] きょぴ: わこらだ
[38.136] yaruna_dodo: わこらだ
[38.151] tomatotto_: わこらだー
[38.161] aya__0927: わこらだ
[38.250] (S)ri_1826: わこらだ
[38.382] (S)monhana1147: radaoWakotu
[38.458] mikumiku_ru: わこらだ
[38.600] あおちゃんぬ: radaoWakotu
[38.688] (S)sjindoa: radaoWakotu
[38.866] らじラック: わこらだ
[39.091] (S)Yukimaru__31: radaoWakotu
[39.110] まよかた: わこらだ
[39.140] もえぴーー: わこらだ
[39.286] ぺぺち__: radaoWakotu
[39.308] gi_1209: わこらだー
[39.355] (S)aya_ksar: radaoWakotu
[39.460] (S)nostalgic8451: field_jack subscribed with Prime. They've subscribed for 8 months! わこらだ
[39.531] riverfish831: radaoWakotu
[39.570] kaitoon_1212: こらだ
[39.594] うにやま: わこらだ
[39.602] ikachan02: わこらだ
[39.629] おむらいぬ: わこらだ
[39.875] kuromame0749: わこらだ
[39.995] (S)露木ロコ: わこらだ
[40.053] hanpennnnnn: radaoWakotu
[40.265] (S)nattu__: radaoWakotu
[40.346] のそのん: わこらだ
[40.447] (S)ゆきペン: わこらだー
[40.466] sakura31644: はわこらだー
[40.495] かなめーかなめー: わこらだー
[40.495] ぴぴかもしれない: わこらだ
[40.501] 斗季: radaoWakotu
[40.804] asagi51: わこらだ
[40.905] dosmorita: わこらだ
[40.916] (S)さくらもちもっち: わこらだ
[41.254] non_tako: わこらだ
[41.380] komamakamomo: わこらだ
[41.413] (S)evolblackhole555: わこらだ
[41.536] miam_1018: よお
[41.628] syamuneb: わこらだー
[41.648] (S)りったん_: radaoWakotu
[41.696] hale_ss: わこらだ
[41.697] ~MISSING_COMMENTER_INFO~: わこらだ
[41.725] もふもふにゃんこ: わこらだ
[41.764] 夏肆句: わこらわこらだ 
[42.346] (S)rennkonmann: わこらだ
[42.578] 無糖のこぴこぴ: わこらだ
[42.591] Reea2: わこらだ
[42.599] kaitoon_1212: わこらだ
[42.605] (S)asa_rad: わこらだ
[42.614] gokki_da: わこらだ
[42.646] jmpta: わこらだー
[42.657] くるみ1209: わこらだ
[42.741] nero_415: わこらだ
[43.051] らじラック: こんちわー
[43.167] まっしゅ2525: わこらだ
[43.344] oootyao: わこらだ
[43.379] hagemant_0424: 雑談？
[43.380] (S)眼鏡3: radaoWakotu
[43.479] akiu___0727: わこらだ
[43.488] tarisann_1124: わこらだー
[43.509] tanapasu: わこらだ
[43.847] yuu_915: わこらだ
[44.147] totoro_1783: わこらだ〜
[44.389] tomatotto_: よお
[44.677] (S)あとと: radaoWakotu
[44.850] 雪狐0143: わこらだー
[44.954] karage210: わこらだ
[45.012] shuka0926: わこらだ
[45.234] arisa524: ちょっとだけってどのくらい？
[45.391] あちゃぽろ: わこらだ
[45.635] chiroru70: radaoWakotu
[45.824] (S)きょむきょむぷりん: 今日ないと思ってた
[45.884] みわわわわ: わこらだ
[45.975] 雫_179: わこらだー
