[15.875] (S)nostalgic8451: radaoKick
[17.473] suibotu_: わこらだ
[17.596] (S)Sora1roooo: radaoWakotu
[17.872] (S)さくら0210: わこらだ
[18.117] cazcaz470: わこらだ
[18.146] mira_889: radaoWakotu
[18.276] のらごま: わこらだ
[18.350] アリーガちゃん: わこらだ
[18.357] ムラさん: わこらだー
[18.444] 花くらげ: わこらだ
[18.462] (S)あおちゃちゃ: radaoWakotu
[18.550] ふれーく: radaoWakotu
[18.676] 0秒: わこらだ
[18.800] ここねり: やるんかいな
[18.812] もにゅぷぷ: わこらだ
[19.046] yamanotannbo: わこらだ
[19.101] night029: わこらだ
[19.216] (S)キラキラボシ: キラキラぼし subscribed at Tier 1. They've subscribed for 8 months! わこらだ
[19.231] (S)針猫: radaoWakotu
[19.265] rsk010: わこらだ
[19.284] (S)てぃやんでい: radaoKitya
[19.288] mikumiku_ru: わこらだ
[19.588] どなつ: わこらだ
[19.803] seminar1774: わこらだ
[19.808] solar_7221: わこらだ
[20.028] toki_ra: わこらだ
[20.030] 哀れな人の子: radaoWakotu
[20.077] ぴっち: radaoWakotu
[20.259] shooo818: わこらだ
[20.300] いのりさん: radaoWakotu
[20.356] honehone_2: わこらだ
[20.428] mizuiro_iroiro: わこらだ
[20.509] Yuri_0710: わこらだ
[20.577] jolevre: わこらだ
[20.589] ikura_tami: わこらだ
[20.819] sobayu120: radaoWakotu
[20.837] kohakutou0: わこらだ
[21.075] (S)hatsuna_m: わこらだ待ってた
[21.082] のらごま: 嘘つくなよw
[21.177] ゆーしき: radaoWakotu
[21.278] nono3da: わこらだ
[21.310] peskapes: わこらだ
[21.401] こばゃし: わこらだ
[21.479] まきろん_: わこらだ
[21.637] らむねーど: らむねーど subscribed at Tier 1. They've subscribed for 19 months! 
[21.707] ottoooooo0113: わこらだ
[21.772] daaaa_oo: わこらだ
[21.794] (S)hisoka_HyskoA0606: radaoWakotu
[21.795] (S)myugi39: わこらだ
[21.798] nandemonaimomo: わこらだ
[21.925] ゆかりんりん: わこらだ！、！！
[22.021] tumetai_kokoa: わこらだ
[22.068] hotarusuki: わこらだ
[22.188] non_0606: わこらだ
[22.275] とむこあ: radaoWakotu
[22.291] くまべりー: radaoWakotu
[22.399] (S)fuu_maru: わこらだ
[22.421] rai2109: わこらだ
[22.627] panndaman1: radaoWakotu
[22.631] (S)てぃやんでい: わこらだ
[22.700] もぶですよ: わこらだ
[22.746] (S)鉛筆びー: わこらだ
[22.768] mimitabu_92: わこらだ
[22.862] yutiy_25: わこらだ
[22.890] nemugonta_6241: わこらだ
[24.108] emitsubo723: わこらだ
[24.139] usiuma: わこ
[24.271] (S)ららら0913: わこらだ
[24.329] mizuha12120721: わこらだ
[24.340] mai_0442: わこらだ
[24.346] kurasaka128: よお
[24.355] (S)厄介: やったあああああああああああ
[24.364] すいぺりあ: わこらだ
[24.366] ユーニ2: わこらだ
[24.388] (S)namakemono_d: radaoKitya
[24.391] dlazzz11: わこらだ
[24.422] (S)mikannn_0117: わこらだ
[24.520] 0秒: まってたぜ
[25.722] (S)atush1_: radaoWakotu
[25.724] oharu_1017: わこらた
[25.734] bannzupann: わこらだ
[25.880] (S)hisoka_HyskoA0606: わこらだ
[25.885] なの汰: わこらだ
[25.911] murasaki_chan: radaoWakotu
[26.140] (S)ri_1826: rin_1826 subscribed at Tier 1. They've subscribed for 11 months! わこらだ
[27.781] ｻｧｻ: わこらだー
[27.900] サメの子: わこらだ
[27.912] mito__otaku: わこらだ
[27.922] ioo89: わこらだ
[27.976] そぁ: そぁ subscribed at Tier 3. They've subscribed for 36 months! 
[28.069] (S)haru_anura: わこらだ 
[28.101] (S)えびてゃん: radaoWakotu
[28.521] (S)snow__forest: radaoWakotu
[28.584] さらしゃ: わこらだ虚無ってた感謝
[28.668] (S)suzuyayaya: わこらだ〜
[28.736] べクター: わこらだ
[28.750] 8lcaaa: まってた
[28.762] ama_hakuma: わこらだ
[28.777] yukki0321: やるんかい
[28.829] ぺーきち: わこら
[28.832] yuui01: わこらだ
[28.863] sign_c: radaoWakotu
[28.961] (S)てぃあてぃあてぃあ: わこらだ
[28.974] Maron_1129: わこらだ
[29.036] てんれう: tenreu subscribed with Prime. They've subscribed for 18 months! 
[29.042] syunrmtn: わこらだ
[29.130] 海苔820: 海苔820 subscribed with Prime. They've subscribed for 12 months, currently on a 8 month streak! わこらだ
[29.318] ﾏｲﾁｮ: radaoWakotu
[29.564] (S)sakana_354: わこらだああああ
[29.692] hatiti88: わこらだ
[29.770] (S)fuu_maru: 待ってたぞ
[29.793] rityan2525: わこらだ
[29.798] himari_00: わこらだ
[29.876] りこ_1130: radaoWakotu
[29.888] ギンナン: radaoWakotu
[30.377] ここねり: radaoWakotu
[30.434] mizuri_____: わこらだ
[30.521] suzunone_: ちわ
[30.593] koharu_chaaan: わこらだ
[30.672] masao7777: わこらだー
[30.761] rierutantan0800: radaoWakotu
[30.927] 鯖の味噌煮焼き: わこらだ
[31.022] riku0572: わこらだー
[31.166] buuuuusuka: radaoWakotu
[31.174] _みみっく_: わこらだ
[31.187] nacch1_77zz: わこらだ
[31.212] sakekasuneetdebu32: わこらだ
[31.346] shige__maru: radaoWakotu
[31.380] (S)かなめる_: radaoWakotu
[31.497] nnaaaa: わこらだ
[31.569] kenp1n_8: わこらだ
[31.575] (S)きょむきょむぷりん: 起きててよかった
[31.742] (S)bachi0801: わこらだ
[31.836] ぺーきち: radaoWakotu
[32.035] nanadefo: わこらだ
[32.048] まりもころころ: わこらだ、待ってたぞ
[32.062] Pear10257: わこらだ
[32.088] nasuokunnn: radaoWakotu
[32.168] まここま: わこらだ
[32.264] (S)guriruman: radaoWakotu
[32.325] (S)nari_0602: おっつぅ
[32.389] (S)とこい: radaoWakotu
[32.394] (S)おりおんさん: radaoWakotu
[32.460] (S)tetoram: わこらだ
[32.516] さぽぽ: radaoWakotu
[32.594] (S)pochapo: radaoWakotu
[32.626] (S)ららら0913: 信じてたぞ
[32.814] karage210: わこらだ
[32.832] monpuchiking: radaoWakotu
[32.851] orio_1024: やっぱやるんかい
[32.882] rui_0728: わこらだ
[33.698] やきにくううう: やきにさ subscribed at Tier 3. They've subscribed for 13 months! やた
[34.057] (S)わんここ: わこらだ 
[34.217] (S)大福もっちもち: radaoKitya
[34.285] 雪都: わこらだ
[34.295] (S)SHIROMA_468: わこらだ
[34.340] yuuuuuuuuna: わこらだ
[34.352] yakko_sann: わこらだ
[34.353] 夕張芽音: わこらだ
[34.419] hi_meka: わこらだ
[34.511] (S)タクトン: radaoWakotu
[34.518] (S)香茶: ちょっとってどれくらいですか
[34.538] al1ce_28: わこらだ
[34.576] (S)kagura_kiba: わこらだ 
[34.795] くろかんてん: わこらだ～～～～～
[35.042] siroooose: わこらだぁ！
[35.047] 紫黒なぎさ: わこらだ 
[35.074] motuni_day: radaoWakotu
[35.280] ゆきとよ: わこらだ
[35.308] rin7331: radaoWakotu
[35.316] (S)わらびモち: わこつ
[35.437] にちゃん: わこらだ
[35.540] shigeru0515: わこらだ
[36.289] mei_117: わこらだー
[36.308] (S)rakkodaga: わこらだ
[36.526] ebimayou: わこらだ
[36.529] はりゃ: やりたくなっちゃったの？
[36.543] mikumiku_ru: 虚無治ったの？
[36.579] (S)自炊するりんご: radaoWakotu
[36.734] (S)pochapo: radaoWakotu
[37.288] (S)ぱぷりか_: わこらだーーー
[37.502] ritae95: radaoWakotu
[37.590] kuuki1214: わこらだ
[37.620] うぃんたぁー: わこらだ
[37.881] pani_82: pani_82 subscribed at Tier 1. They've subscribed for 24 months! 
[37.975] yamanotannbo: やたーーー
[38.015] さぽぽ: やった〜
[38.023] (S)かける0728: わこらだ
[38.043] yuya_n_: radaoWakotu
[38.262] misaka2525: わこらだ
[38.483] soboroboso: radaoWakotu
[38.592] ぱんだぁぁぁ: わこらだ
[38.677] 生け花: わこらだ
[38.685] まここま: いいよ
[38.727] nananan0801: わこら
[38.866] saya_gon: わこらだ
[38.914] やぎふらい: 配信うれしい
[39.079] mizuiro000: わこらだー
[39.604] (S)muhak0000: わこらだ
[39.696] remamura: わこらだvctあちぃー
[40.280] (S)kurisuzu: 寝ようと思ってたのに！
[40.297] amatouuuu: わらこだー！！
[40.481] そー司郎: わこらだ
[40.511] (S)こけしやん: わこらだ
[40.533] tefu_tefu3: 来てくれてありがとな(´･ｰ･̥`)
[40.690] みるくいちご: わこらだー
[40.727] らむねーど: 落としてあげるとか本当いい性格してるな
[40.833] (S)aoi423: radaoWakotu
[40.934] (S)おはなねこ: radaoWakotu
[40.938] (S)rakkodaga: radaoWakotu
[41.141] yuu4270: yuu4270 subscribed at Tier 1. They've subscribed for 13 months, currently on a 13 month streak! わこらだ
[41.144] (S)urullowo: radaoWakotu
[41.155] (S)ぴっくる: 起きてて良かった 
[41.678] (S)ごみぱ: 無いと思ってた
[41.955] (S)嵯峨蘭丸: radaoWakotu
[41.990] rm__chan: わこらだー
[41.993] prpr_friedrice2: わこらだ
[42.058] (S)すわずし: わこらだ
[42.078] shu_piiiiiii: らだおは、神！
[42.174] もねねん: レアやな
[42.406] (S)キラキラボシ: うそつき
[42.625] (S)えふぃら: わこらだ
[42.697] rou602: わこらだ
[42.881] (S)mingo__sk: radaoWakotu
[42.881] わわる: わこらだ
[43.107] toremoro_san: わこらだ
[43.155] 0秒: 自由な人ねほんと
[43.158] doriokun: わこらだ〜
[43.258] muru1113: なんやねん
[43.293] らふれ: わこらだ
[43.339] 天災な豆腐: わこらだ
[43.340] (S)mikan_san: わこらだ
[43.393] mpru: わこらだ
[43.538] drem_chan: えい
[43.693] moka_1311: 本当に助かりますありがとう
[43.721] がちの天才: わおらだ
[43.763] 犬神アリス: radaoWakotu
[44.205] ゆふる: わこらだ
[44.370] (S)myugi39: 起きてて良かった
[44.375] もえぴーー: わこらだー
[44.449] o0a0x: わこらだ
[44.485] (S)ぬんさらだ: わこらだー
[44.624] miam_1018: 把握
[44.951] とれいら: わこらだ
[45.183] (S)Sora1roooo: やるんかーい
[45.186] Murasaki_IM0: ギリ13日
[45.186] (S)すわずし: radaoWakotu
[45.194] (S)きょむきょむぷりん: まってたよ
[45.206] harurunda: わこらだ！
[45.446] ムラさん: 1時間越え了解
[46.128] nyoin_nyon: radaoWakotu
[46.154] akatamagyo: わこらだ
[46.154] risukao: わこらだー
[46.240] (S)ハル_ｮｮ: 配信やったー
[46.296] (S)ただのハロ: radaoWakotu
[46.313] (S)Yukimaru__31: わこらだ
[46.390] drem_chan: radaoWakotu
[46.595] べっこーあめ: 嘘かよ
[46.813] sakuracha__: わこらだきたーーーー！
[46.813] rimirimi1205: ちょっと期待してた
[46.829] misshi1635: わこらだ！！
[46.834] (S)ぱぷりか_: 待ってました
[47.063] satuki_manzi: やるのかいやらないのかい
[47.184] anp01008: わこらだ
[47.299] えりさ_: わこらだ
[47.478] 風呂上がりに雪はね: わこらだ
[47.686] (S)ookami_rudi: radaoWakotu
[48.158] yuna012707: わこらだ
[48.208] motyar_6989: 2日やらないとなるとこっちがもたないからね
[48.370] らふれ: 久々だな
[48.379] tasorin1212: わこらだ
[48.430] ポカポンプン: わこらだ
[48.445] 夢現: わこらだ
[48.970] teirano: わこらだ
[49.034] (S)sakana_354: radaoBigcry
[49.222] prpr_friedrice2: !uptime
[49.663] (M)Nightbot: らっだぁ が配信を始めてから 55 seconds 経過しています。
[49.892] sisonige: わこらだ
[49.908] (S)supuringu5140: radaoWakotu
[50.118] 大宮瑞樹: radaoWakotu
[50.404] satuki_manzi: やーる！
[50.636] ドミノくん: いつもと逆パティーン
[50.725] kurozatou11: わこらだ
[50.894] harurunda: やるんかーい
[50.896] (S)どるちゃん: わこらだ
[51.047] (S)えびてゃん: やるんかい
[51.135] ぺーきち: 虚無大丈夫かー？
[51.143] benitenngudake: わこらだ
[51.152] まりもころころ: 今まで虚無ってた？
[51.159] えりさ_: やるんかーい
[51.390] (S)その辺のねこ: radaoWakotu
[52.065] Tsumikikun: わこらだー
[52.071] ゆうがり: radaoWakotu
[52.115] shuka0926: karuma0926 subscribed with Prime. They've subscribed for 14 months! やるんかーい
[52.134] Ashley_AI: わこらだ
[52.245] aili____: わこらだぁ
[52.268] jmpta: なんて？
[52.330] howlin_0: radaoWakotu
[52.475] sakuracha__: らだを
[52.480] suibotu_: 珍しい
[52.571] mapo0127: わこ
[52.574] 冷や茶: radaoWakotu
[52.617] おまめさ: わこらだ
[52.685] ロロ郎: で、今日は何時間虚無った？
[52.707] 0秒: さすらだ
[52.832] (S)minmin_hou: わこらだ
[52.939] kuuhaku417: radaoWakotu
[52.939] (S)luno_snow: radaoWakotu
[53.070] atuono: めんどくさい男ね
[53.722] Mi_zua0: わこらだ
[53.757] (S)BONOBONO_K: radaoWakotu
[53.953] nemu_10_: やろやろ
[54.048] tomo0729w: わこらだ
[54.223] (S)fuu_maru: レアケースだな
[54.691] えびとまと: SSR
[54.707] (S)ぬんさらだ: 大丈夫なん？
[54.873] (S)mikan_san: どっちなんだい！
[54.905] ﾏｲﾁｮ: 全然寝ようとしてた
[54.912] ポカポンプン: 嘘つき
[54.923] gogo_pm5: いいね
[55.050] suzu__0: わこらだ
[55.287] のらごま: 信じた自分がバカってことか？
[55.380] teru_0123: わこらだ寝なくてよかった
[55.482] (S)眼鏡3: radaoWakotu
[55.549] (S)その辺のねこ: やるんかーい
[55.568] るっく: わこらだ〜
[55.591] gawa0904: わこらだ
[55.721] ruricchi_11: radaoWakotu
[55.783] (S)mingo__sk: 寝ながら聞くね
[55.854] (S)komasannsann: radaoWakotu
[55.954] mizxm1z: winwinだね
[56.087] toremoro_san: やるんかーい
[56.096] (S)zenkouteibot: わこらだー
[56.327] drem_chan: とりあえず3時までってことでおk？
[56.329] やぎふらい: 確変きちゃ
[56.902] (S)koukoukoy: わこらだ
[57.094] bc_moimoi: radaoWakotu
[57.095] sakuracha__: らだをね
[57.148] (S)すわずし: やるんかーい
[57.193] (S)osarunooosama: radaoWakotu
[57.403] (S)bachi0801: radaoWakotu
[57.641] hisamo1001: わこらだ
[57.686] mamemamehu: わこらだ
[57.687] tefu_tefu3: 来てくれてありがと！！！
[57.735] mituhq: わこらだ
[57.873] あかましまし: わこらだ〜
[57.889] satuki_manzi: ぱわー
[58.255] ポカポンプン: やろ
[58.541] ayame025: 寝起き？
[58.594] soraneeeeen: radaoWakotu
[58.747] moka_1311: ありがたいほんとに
[59.089] しおおおおおおお: わこらだやっぱやるのかよ
[59.187] harurunda: ね
[59.327] (S)urullowo: 今日は確実にもうないと思ってた
[59.368] 夜月_よづ: わこらだ
[59.763] sant_kirishima: わこらだ
[60.787] tefu_tefu3: いいねそういうところ
[61.646] teirano: うれしい
[61.686] 0秒: だからモテないんだよ
[62.230] あらんえむかーびぃ: radaoWakotu
[62.669] rin7331: 大穴馬券引いた感覚
[63.320] lapan7200: わこらだ
[63.445] oisiym: ありがと〜
[63.840] TokigamiSakuya01_16_0816: わこらだ〜
[63.995] 芝生ざんまい: おはよう
[64.029] kohaku1379: わこらだ
[64.083] (S)社不のシャフ: わこらだ
[64.305] ゑびフライ: わこらだ
[64.387] mina_0607: ありがたい
[64.600] koromoti1219: わこらだなんだお前
[65.132] lernon0607: わこらだ
[65.369] usr3692: VCTみた？
[65.392] (S)minippu_haima: わこらだ
[65.559] (S)fuzino88: fuzino88 subscribed at Tier 1. They've subscribed for 6 months! 
[65.602] TT_13_4: 眠くないの？
[65.902] tomatotto_: わこらだ
[66.012] nemu_10_: すこすこのすお
[66.020] (S)lastma01: 5時までやるか
[66.242] おむりゃいす: わこらだ
[66.710] らふれ: 明日5時からだぞ！
[66.853] howlin_0: 5時ぐらいまでやれ
[67.325] ぺーきち: 鼻詰まってる
[67.394] eakon: わこらだ
[67.468] gany_24: やるのか、やらないのか、どっちなん、だい？ヤー！
[67.557] 2jqtpja: わこらだ
[67.741] sopomuisu: ありがたい
[67.779] AMASIROCHAN26: わこらだ
[67.847] ギルガメッシュ: わこらだ
[68.099] azuazu0530: わこらだ
[68.308] Enepann: Enepann subscribed with Prime. They've subscribed for 26 months, currently on a 15 month streak! 
[68.458] nemu_10_: 助かる
[68.683] a_mondoKojio: わこらだありがと
[68.836] kamimi339: めちゃめちゃ寝ようとしてた
[68.932] ayaka__9: わこらだ
[69.345] (S)ららら0913: マイクラ？
[69.725] itoido: わこらだ
[69.960] fuka08: わこらだ
[70.361] kanato_ooo: わこらだ〜
[70.572] rom_526: わこらだ
[70.806] 2525あんみつ: わこらだ
[71.013] keiya_328: わこらだ、待ってたぞ
[71.055] (S)さくいろか: ないと思ってたわこらだ
[71.675] ぽちかに: はーまってた
[71.704] (S)fuu_maru: 何すんの？
[72.167] (S)nihu_umeki: わこらだ
[72.406] (S)その辺のねこ: あやうく寝るとこだった
[73.919] (S)minippu_haima: radaoWakotu
[73.996] pchii108: 朝まで？
[74.035] a_mondoKojio: ありがとねー
[74.760] (S)香茶: ちょっとってどれくらい？
[75.645] rito1725: わこらだ
[75.881] teirano: なにするの？
[75.900] katamenomitarasi: わこらだー
[76.209] harurunda: もう寝るんだけども
[76.344] Rei_3160: わこらだ
[76.401] (S)そふぃ3: わこらだー
[76.461] 黒豆大福: わこらだ
[77.083] ひのした: わこらだ
[78.521] hi_meka: 寝ようとしてた危ない
[79.024] (S)medo_710: 寝なくてよかった
[79.587] 01ra0614: なにやるの？
[79.628] 2zuki7: わこらだ助かる
[79.630] orii0868: なにやんの？
[79.746] doriokun: 脱出か！？
[79.969] (S)ak_type: わこらだ 
[80.182] ぱんだぁぁぁ: 寝ようと思ってたとこ
[80.418] ポカポンプン: らっだぁのせいで寝不足になる
[80.525] pove05091: やるんかーーーーい
[80.540] omaru_ssr: 連続配信ボーナスの欲しさに配信したか
[80.614] TT_13_4: マイクラ？
[80.687] nono_11_09: わこらだ
[80.701] らむねーど: なにもしないんくらふと？
[80.763] ryoueba: わこらだ
[80.853] a_mondoKojio: 何するんー？
[80.994] usr3692: 5時までやってね
[81.463] Murasaki_IM0: このままVCTみるか
[81.892] tabineko0104: わこらだ
[82.354] Maron_1129: 眠
[82.438] ponharu: radaoWakotu
[82.801] zera_25252: わこらだー
[83.576] (S)さくいろか: なんで虚無やったん？
[84.519] pan2038: radaoCry2
[84.835] shimo888: わこらだー
[84.837] こうか: わこらだ
[85.192] kero_ppi1: kero_ppi1 subscribed at Tier 1. They've subscribed for 30 months! わこらだ
[85.569] しくだよ: わこらだ！
[85.943] 夢現: 寝ようとしてたわ
[86.502] なーぽん: わこらだ
[87.292] きつねうどん美味しい: てことで寝てきます( ◜௰◝ )
[87.526] hino__0712: わこらだー！！！
[87.526] (S)厄介: らだおの配信ない日虚無
[88.171] nanami_nati1008: わこらだ
[88.218] れのれの: radaoWakotu
[88.416] さおりん_: さおりん_ subscribed with Prime. They've subscribed for 21 months, currently on a 20 month streak! わこらだ
[88.450] drem_chan: w w w w
[88.565] (S)はるのてゃん: radaoWakotu
[89.033] ryoueba: dbdしよ
[89.310] suzunone_: 画面変わってないで
[89.541] (S)atush1_: 5時まで起きる？
[89.651] nemu_10_: やった！
[90.184] moka_1311: らっでぃの配信アーカイブ見て虚無ってたからまじありがたい
[90.205] suibotu_: そろそろ寝るとこだった
[90.281] nqrs_3022: わこらだ
[90.489] (S)そふぃ3: やるんかーい
[90.780] えりさ_: こんな時間にやるなんて
[90.983] しょうろんぽウ: わこらだ
[91.025] (S)hisoka_HyskoA0606: vctまでやってもええんやで
[91.180] (S)azuriiine: わこらだ
[91.408] harurunda: 寝れんくなるやん
[91.443] mei_117: お風呂入ったの？
[91.468] 冷や茶: 雑談？
[91.638] ぽちかに: らだおのこと信じてた
[91.685] らずらむ: radaoWakotu
[91.703] ayame025: やりたくなったの？
[91.912] よーーひ: わこらだ
[92.369] (S)mashumayu: 寝るとこだった
[92.571] (S)きのこの炊き込みご飯: radaoWakotu
[92.721] (S)ぬんさらだ: 寝る準備してた
[93.191] (S)ごみぱ: 良い子だから寝ようとしてたのに
[93.252] (S)mikan_san: 長い
[93.914] (S)tak3noko_09: radaoWakotu
[94.052] teru_0123: 寝るとこだった
[94.258] れのれの: わ〜い
[95.716] (S)音吐朗々: radaoWakotu
[95.881] siruuuuuuuuuuuu: 朝まで？
[96.123] banno_kun: わこらだ
[96.362] (S)fuu_maru: 今日はどれくらい虚無だったん
[96.863] drem_chan: 雑談？
[97.010] のらごま: 信じた自分がバカだった…
[97.059] ぽちかに: ありがとう
[97.313] nanami_nati1008: 眠い。寝かけてた…らっだぁナイス
[97.464] hino__0712: 作業残ってるから助かる
[97.499] sabakuina: わこらだ
[97.535] rsk010: なにやるん
[97.621] (S)そふぃ3: なんだよwww
[98.358] 2525あんみつ: 無理だけはせんでくださいねw
[98.538] 777kamikami: わこらだ
[98.605] すいぺりあ: radaoTuuhou
[98.787] usr3692: 5時までやって
[99.191] (S)あろうサワー: わこらだ
[99.649] tomo0729w: 何時まで？
[100.045] などない: わこらだ
[100.986] akatamagyo: うれし！
[101.212] shooo818: ご飯たべたら
[101.312] be2shita: わこらだ
[101.649] mei_117: お風呂入ったの？？
[101.820] atuono: atuono subscribed at Tier 1. They've subscribed for 19 months! 意思の汲み取りむずすぎる
[101.865] chiteneko: わこらだ
[102.565] あみのさん: オール？
[102.782] 紗弥0926: わこらだ 
[103.507] 777kamikami: わーいわこらだーー
[103.548] cokin_ch: こんばんち〜
[103.925] るっく: ？w
[104.094] (S)ららら0913: VC T
[105.084] mikumikua: 寝たいけど見にきたよ
[105.904] (S)ぱぷりか_: 起きててよかった
[105.935] Maron_1129: 眠たくないの？らっでぃ
[105.938] ぜつ_03: 逆になんで始めた？
[106.128] ゑびフライ: 寝ようとしてた
[107.657] ひのめ: わこらだー
[107.809] (S)きのこの炊き込みご飯: ちょっと言うてめっちゃやるやつか
[107.913] rioniku1515: わこらだ
[108.059] nyansy8: 5時までおきよな
[108.152] Yuua1225: 何するん？
[108.296] suzu__0: 一緒にVCT見よう
[108.674] (S)Yukimaru__31: VCTのために早寝しとるのかと思った
[108.828] (S)ららら0913: こ
[109.013] lunaa1967: オールするの？
[109.244] あーなるどしめつけねっかぁー: とんで今北埼玉
[109.708] ラムネ味: radaoWakotu
[109.781] (S)4maten: らっだぁ赤鯖誘われた？
