[3.011] (S)tiger_bay: radaoSleep
[5.802] sunomono8: radaoHi
[9.309] (S)hisoka_HyskoA0606: radaoHi
[9.699] べクター: radaoHi
[10.303] (S)てぃやんでい: わこらだ
[10.517] とれいら: わこらだ
[11.653] (S)nakihai556: radaoHi
[11.893] おそば0804: わこらだ
[12.530] (S)oramuchyan: radaoHi
[12.658] ここねり: わこ、だ
[14.400] fuu_0926: radaoHi
[15.039] itumi434: わこらだ
[15.397] (S)iza__13: radaoHi
[15.600] (S)センヤ: radaoHi
[16.164] rikuraku1114: わこらだ
[16.501] (S)なつおよ: radaoHi
[16.640] (S)koratere: わこらだ
[16.667] ここねり: radaoHi
[17.274] すいぺりあ: わこらだ
[17.358] あらんえむかーびぃ: radaoHi
[17.434] ゆーしき: radaoHi
[17.960] 唐辛子ガール: radaoHi
[18.034] 暗黙の緑茶: わこらだ
[18.225] atuono: わこらだ
[19.012] koukoukoy: わこらだ
[19.294] 濃香めろん: わこらだ 
[20.077] remikun_: わこらだー
[20.273] よわはと: radaoHi
[20.538] kanna0730: わこらだ
[21.085] (S)venibear3466: radaoHi
[21.172] rikuraku1114: radaoHi
[21.239] がし子: わこらだ
[21.338] (S)gutimu: radaoHi
[21.778] tanaka452_: わこらだ〜
[21.809] るちのー: わこらだ
[22.105] 咲虎: わこらだ
[22.256] tyaimai: わこらだ
[22.305] knowrta: わこらだ
[22.312] umbrella_0730: radaoHi
[22.941] yutchqq: radaoHi
[23.523] おそば0804: 遅刻〜？
[23.558] perseus7000: わこらだ
[23.735] enu_xo: わこらだ 
[23.845] 遅れます: radaoHi
[23.981] たけのこ派: わこらだ
[24.833] yuya_kura: わこらだ
[25.460] 零羅: radaoHi
[25.536] ホトトギス: わこらだ
[25.744] すんちゅ: radaoHi
[25.780] momoaru: radaoHi
[25.971] 深爪のりこ: わこらだ
[26.001] takoyaki0917: わこらだ！
[26.054] yutalu3773: わこらだ
[26.527] kai_4869: みこだよ撃破凄かった
[26.585] sant_kirishima: radaoHi
[26.630] すいぺりあ: radaoHi
[27.492] rin7331: わこらだ
[27.528] (S)tukune94: radaoHi
[27.622] (S)Yukimaru__31: radaoHi
[27.750] (S)べーやん0815: radaoHi
[27.779] 湊ソラ: radaoHi
[28.267] shintanjent: わこらだ
[28.475] sa_ki_san: radaoHi
[28.519] (S)ドミノくん: わこらだ
[28.701] 怪物君: わこらだ
[28.721] (S)rave1031: radaoHi
[28.923] ホトトギス: radaoHi
[29.134] (S)yuui_1109: radaoHi
[29.136] takoyaki0917: うまかったね
[29.633] (S)sorachan11729: radaoHi
[29.840] 角角家: radaoHi
[29.848] toubun__: わこらだ
[29.856] (S)chito246: radaoHi
[29.866] lapan7200: radaoHi
[30.230] (S)hotaru_uy: わこらだ
[30.304] (S)さらんらん: radaoHi
[30.452] (S)nostalgic8451: radaoHi
[30.712] にちゃん: わこらだ
[30.719] tsuyuki77: radaoHi
[30.728] かんこ: わこらだ
[30.939] アリーガちゃん: radaoHi
[30.945] みれど: わこらだ
[30.949] kosuke_2525: わこらだ
[30.955] Nagisan_1227: radaoHi
[31.610] (S)キラキラボシ: radaoHi
[32.041] am4kumo: radaoHi
[32.296] koukoukoy: radaoHi
[32.525] とむこあ: radaoHi
[32.531] ふぁる_: radaoHi
[32.543] 哀れな人の子: radaoHi
[32.736] リライトパンダ: わこらだ 
[32.736] くまべりー: radaoHi
[32.777] (S)にわすずめ: radaoHi
[32.850] souta0712likeblue: radaoHi
[33.027] wanko_wa: radaoHi
[33.085] (S)ドミノくん: radaoHi
[33.093] (S)kuuki1214: radaoHi
[33.132] (S)sin_pin_: わこらだ
[33.243] (S)haru_anura: radaoHi
[33.263] miam_1018: わこらだ
[33.307] (S)yato_wow: radaoHi
[33.416] なるか3: radaoHi
[33.631] みれど: radaoHi
[33.750] non_non_0607: わこらだ
[33.846] (S)Shiraki1013: わこらだ
[33.884] ~MISSING_COMMENTER_INFO~: radaoHi
[33.970] ebimayou: radaoHi
[33.971] rikuraku1114: みこだよに勝利おめ
[34.397] iroshiro_029: わこらだ
[34.423] ぽこぽ: radaoHi
[34.497] ここねり: ウィングマン調子いいね
[34.516] (S)torikera0124: radaoHi
[34.619] ほのぼの: radaoHi
[34.634] shi_4106: わこらだ
[34.695] あめまう_: radaoHi
[34.763] (S)yakari_sk3: わこらだ
[34.841] ちゃあちゃ: radaoOtu2
[35.266] (S)edamame_mgmg: edamame_mgmg subscribed with Prime. They've subscribed for 8 months! 
[35.319] choco3143: radaoHi
[35.408] toubun__: ウィングマンうまい
[35.778] (S)髭ピー: radaoHi
[35.820] (S)gutimu: さっきつよつよだったね！
[35.904] あのまの: radaoHi
[36.032] yamanotannbo: わこらだ
[36.036] yutalu3773: radaoKun
[36.040] night029: わこらだ
[36.094] おそば0804: radaoHi
[36.131] non_0606: radaoHi
[36.153] (S)ｱｵｲﾊﾙ: radaoHi
[36.304] (S)yunn0921: radaoHi
[36.331] めぐを: わこらだ 
[36.484] (S)みかぬです: radaoHi
[36.564] 月藍ちゃん: わこらだ
[36.726] (S)すーいろ: radaoHi
[36.749] ルロア: わこらだ
[36.826] 1chimare: わこらだ
[36.959] arare1203: radaoHi
[36.974] まりもころころ: わこらだ
[36.981] にゅーん: わこらだ 
[37.038] yoichimu: radaoHi
[37.192] (S)ゆみやん: radaoHi
[37.260] おはぎちゃん_: radaoHi
[37.380] specodama: わこらだ
[37.426] sisonige: わこらだ
[37.455] Soratandao: わこらだ
[37.528] (S)きのここ: radaoHi
[37.535] hatiti88: わこらだ
[37.558] (S)なつおよ: さっきのWMすごかったぞ
[37.757] ふぁる_: radaoHi
[37.980] maichan0505: わこらだー
[38.249] (S)とみちょび: radaoHi
[38.467] mizuha12120721: radaoHi
[38.478] night029: radaoHi
[38.588] ベニマル: radaoHi
[38.688] mamemamehu: radaoHi
[38.690] (S)ぎょろっとみかん: radaoHi
[38.717] (S)orion_nnnn: radaoHi
[38.854] tkmof: わこらだ
[38.929] peskapes: radaoHi
[39.067] (S)westy627: radaoHi
[39.081] (S)Shiraki1013: radaoHi
[39.316] (S)えぬあい: radaoHi
[39.321] cocomari0227: わこらだ
[39.323] (S)ナラ抹茶: わこらだ
[39.411] gahaha1568: わこらだ
[39.530] 0t0g1: わこらだ
[39.530] mameko_7: わこらだ
[39.764] nuko_no_namerou: わこらだ
[39.772] bun_syo: radaoHi
[39.986] ちょーみん: 練習がんばれ！
[40.020] にぃぃぃ: わこらだ 
[40.077] 月藍ちゃん: radaoHi
[40.098] mizore_87: わこらだ
[40.260] すいぺりあ: WM仕上がってたね
[40.514] (S)kinako_kun: radaoHi
[40.588] ゆかりんりん: わこらだ！！！
[40.723] 神崎立夏: わこらだー
[40.728] おかチャン: radaoHi
[40.843] orio_1024: わこらだ
[40.852] りまゆ: radaoHi
[40.877] chisatooo_87: 待ってたー！！わこらだ！
[41.048] Soratandao: radaoHi
[41.168] ひのした: radaoHi
[41.216] (S)koratere: WMマジでうまかったぞ
[41.265] gaiantufan: わこらだ 
[41.421] (S)かなでだよん: radaoHi
[41.475] めた_: radaoHi
[41.506] (S)うりもち: radaoHi
[41.611] ぽわちゃん: radaoHi
[41.642] 19sheeps: わこらだ
[41.659] (S)r0_0Ru_ruru: radaoHi
[41.849] (S)suzunoki_712: わこらだ
[42.017] rototokonbu: わこらだ
[42.071] (S)どるちゃん: わこらだ
[42.097] んさく: わこらだ
[42.229] (S)わらびモち: radaoHi
[42.347] nemugonta_6241: radaoHi
[42.979] nuko_no_namerou: radaoHi
[43.161] masaba014147: わこらだ
[43.173] (S)にくのじん: わこらだ
[43.236] Rc_Solie: radaoHi
[43.251] redoo_iro: わこらだ
[43.424] gahaha1568: radaoHi
[43.483] ぴなむ: radaoHi
[43.618] shame_daia0130: radaoHi
[43.647] 青野くん: わこらだ
[43.677] (S)you_28: radaoHi
[43.746] kyo_kaaa: わこらだ
[43.874] (S)amanooomikami: わこらだ
[44.109] (S)ほっけ1107: わこらだ
[44.208] おじょーー: わこらだ 
[44.890] ko_do_1123: わこらだ
[44.977] ツカモト: radaoHi
[45.002] (S)砂ザトウ: わこらだ 
[45.423] のあ___: radaoHi
[45.656] (S)hisoka_HyskoA0606: みこだよにウィングマン勝った男
[45.672] 田中の中の田中です: radaoHi
[45.677] ranka0324: radaoHi
[45.685] masaba014147: radaoHi
[45.689] kamishiroreiya: わこらだ
[45.975] end_salt: radaoHi
[46.232] (S)woontion0013: radaoHi
[46.296] 8lcaaa: radaoHi
[46.444] (S)嵯峨蘭丸: radaoHi
[46.672] (S)ottottopuro: radaoHi
[46.987] ういろか: わこらだ！ーー
[46.992] reiadesu: わこらだ
[47.072] rawalpi: わーいこんにちはらっだぁ！
[47.205] lovycd: わこらだ
[47.251] (S)kinugoshi_douhu: わこらだ 
[47.430] takaokun09: つ旦
[47.443] (S)mar3mk2: radaoHi
[47.557] (S)negi_127: radaoHi
[47.570] (S)ゆきペン: わこらだー
[47.655] (S)nyatidau___: radaoHi
