[4.124] (S)sakusannyo: きたーー
[4.255] 雪都: radaoHi
[7.592] sunomono8: radaoHi
[9.086] あらんえむかーびぃ: radaoHi
[14.767] ふぁる_: わこらだ
[16.568] (S)kagemoegi81: わこらだ
[16.690] mamemamehu: radaoHi
[16.850] syunrmtn: わこらだ
[17.085] haru0308: わこらだ
[17.774] kae_eeee: わこらだ
[17.986] kuromame0749: わこらだ
[17.994] ぽれい: radaoHi
[18.203] masaba014147: わこらだ
[18.260] くまべりー: radaoHi
[18.506] 枯木です: わこらだー！
[18.507] (S)kouitida: radaoHi
[18.606] (S)ぐるうむ: strayだあああああ
[18.762] きゅうりクン: わこらだ
[18.799] そらあま: radaoHi
[18.822] noa_318: わこらだ
[18.835] アリーガちゃん: radaoHi
[18.951] (S)humyo: radaoHi
[19.026] (S)バモスアジャ: わこらだー
[19.032] mamemamehu: わこらだ
[19.034] REN_sylph: radaoHi
[19.150] zin_0926: わこらだ
[19.160] rira_nyan: わこらだ
[19.248] リライトパンダ: わこらだ 
[19.260] kann0125: わこらだ
[19.450] (S)みーだん: わこらだーー
[19.469] omuraisu_nana10: radaoHi
[19.495] tsuyuki77: radaoHi
[19.721] honehone_2: radaoHi
[19.906] riku_tam_: radaoHi
[19.954] (S)mi_sa34: radaoHi
[20.149] ooo_oo00: radaoHi
[20.384] rlqxss: わこらだ
[20.470] riorisu: radaoHi
[20.498] 伊丙カオル: わこらだ
[20.590] みかぬです: わこらだ 
[20.615] shiho_1109: radaoHi
[20.751] 角角家: radaoHi
[20.906] (S)せっきくん: わこらだ
[21.021] あーーーち: radaoHi
[21.097] yoichimu: radaoHi
[21.247] wantikin: radaoHi
[21.301] 哀れな人の子: ~MISSING_MESSAGE_INFO~
[21.315] 莉田: わこらだ
[21.323] lapan7200: radaoHi
[21.456] miringo_4723: radaoHi
[21.458] ぽれい: わこらだ
[21.461] Fuku_2929: radaoKitya
[21.549] (S)amehune: radaoHi
[21.774] ゆずしろ: わこらだー 
[21.780] じゃむぱん: わこらだ
[21.826] wanko_wa: radaoHi
[21.853] yotsuha1218: わこらだ
[21.867] tadanohituzi: radaoHi
[22.085] ラボア: わこらだ
[22.314] おそば0804: わこらだ
[22.338] のいたぬ: radaoHi
[22.524] べクター: radaoHi
[22.575] minamuro: わこらだ 
[22.596] (S)kaede_2121: radaoHi
[22.750] poigzunn: わこらだ
[22.786] Manyuppe: わこらだ
[22.808] みお0415: わこらだー
[22.828] maichan0505: わこらだぁ
[22.910] 0秒: radaoHi
[23.012] amaebi_1008__: わこらだー！
[23.030] みおん3078: わこらだ
[23.079] (S)えりさ_: radaoHi
[23.125] ro_do_2525: わこらだ
[23.226] gekkabizin0420: わこらだ
[23.227] kagura_kiba: わこらだ
[23.231] 107_tona: わこらだ
[23.244] ne6mchan: radaoHi
[23.255] omuraisu_nana10: わこらだ
[23.454] (S)poru1010: わこらだ
[23.768] doumoconnitiha: radaoHi
[23.769] アマノジャクだよ: radaoHi
[23.787] (S)キラキラボシ: radaoHi
[23.852] orenge1412: わこらだ
[23.928] Riisu_amms: わこらだ！！！
[24.061] (S)uni_mm: radaoHi
[24.256] ツキミん: わこらだ
[24.481] めぐを: radaoHi
[24.492] mikko_73: わこらだ
[24.517] めじぇどっ: わこらだ
[24.647] itoido: radaoHi
[24.700] おそば0804: radaoHi
[24.701] らむねぇ0506: radaoHi
[24.712] みお0415: まってた
[24.717] peskapes: radaoHi
[24.855] (S)えびてゃん: radaoHi
[24.862] ラボア: radaoHi
[24.863] (S)らーな: radaoHi
[24.887] ほのぼの: わこらだ 
[24.889] (S)Takeko_da: radaoHi
[24.902] (S)キラキラボシ: 猫待ってたーー
[24.912] ぽたぽたのオタ: わこらだ
[26.061] すんちゅ: radaoHi
[26.065] わらびモち: わこらだ
[26.067] ひびき1214: もうやらないかと思った嬉しいー
[26.154] (S)レだん: わこらだー！
[26.180] amaebi_1008__: radaoHi
[26.188] (S)おかチャン: radaoHi
[26.217] aiuro13579: radaoKun
[26.222] Amam1ya0000: わこらだー
[26.233] himari0307: radaoHi
[26.357] (S)ぐるうむ: radaoKitya
[26.419] アザラシっ: azarashi_0831 subscribed at Tier 1. They've subscribed for 19 months, currently on a 19 month streak! 
[26.477] (S)えりさ_: わこらだー
[26.567] ふぁる_: 待ってた
[26.578] じゃむぱん: radaoHi
[26.663] (S)うりもち: radaoHi
[26.709] minamuro: radaoHi
[26.832] 胡桃柚子: radaoHi
[26.889] yitati21: わこらだー
[27.277] mt_310x: radaoHi
[27.342] ruby7_26k: わこらだです！
[27.398] ni4_maru: radaoHi
[27.442] (S)kurono1627: わこらだ 
[27.496] ryokuhasan: わこらだ
[27.498] hrk_0417: わこらだー！ーー
[27.558] えめらるどぉ: わこらだ
[27.563] japarada_xeno: わこらだ
[27.573] aina___10812: radaoHi
[27.626] おはぎちゃん_: mk_yan subscribed at Tier 1. They've subscribed for 19 months, currently on a 19 month streak! 
[27.673] (S)さらんらん: radaoHi
[27.700] buttr_mochi: わこらだ
[27.772] anp01008: わこらだ
[27.779] momonozerii: わこらだ
[27.789] ずつうがいたい: radaoHi
[27.797] pochapo: radaoHi
[27.912] monaka2725: わこらだ 
[28.230] (S)バナナ民: バナナ民 subscribed with Prime. They've subscribed for 4 months! radaoHi 
[29.128] saa_o331: radaoHi
[29.134] わわる: わこらだ
[29.195] nyanko0522: radaoHi
[29.220] rudooooo411: わこらだー
[29.322] Orufe_0: radaoHi
[29.372] ごま塩プリン: radaoHi
[29.448] おうじ_: わこらだ
[29.580] りさせん: わこらだ
[29.627] (S)SHIROMA_468: わこらだー
[29.657] redoo_iro: radaoHi
[29.705] ゆふる: わこらだ
[29.828] (S)もにゅぷぷ: radaoHi
[29.888] 暗黙の緑茶: わこらだ
[29.905] himari0307: radaoHi
[29.939] 角角家: にゃーん
[29.961] きのここ: radaoHi
[30.106] sparrow__7__: radaoHi
[30.110] nqta_coconut: radaoHi
[30.147] ストレートネック: わこらだ！
[30.330] wasabi_kinako: radaoHi
[30.350] (S)mi_sa34: mi_sa34 subscribed with Prime. They've subscribed for 11 months! 
[30.378] rito1725: radaoHi
[30.638] nuko_no_namerou: わこらだ
[30.686] んさく: radaoHi
[30.874] ドミノくん: わこらにゃー
[31.072] Riisu_amms: わこらだ！！！ 
[31.109] huuuyooo: わこらだっ
[31.173] (S)tadaboshi: radaoHi
[31.175] (S)_みみっく_: radaoYatta
[31.241] (S)_えむち_: わこらだ
[31.281] ひのした: radaoHi
[31.303] osato9654: わこらだ 
[31.387] とれいら: わこらだ
[31.420] (S)mikannn_0117: radaoHi
[31.635] mimizu_ikoi: にゃ(=^ω^=)
[31.642] べなぶ: 今大蛇丸聞いてたわ
[31.861] ra1212o: わこらだー
[31.863] aihi_0124: わこらだ
[31.870] obakec: わこらだー
[32.171] al1ce_28: 猫待ってたゾ
[32.257] (S)かける0728: radaoHi
[32.296] kawasemi2525: わこらだ
[32.335] soboroboso: わこらだ
[32.392] (S)すわずし: radaoHi
[32.393] (S)morry1063: radaoHi
[32.477] rudooooo411: まってたー
[32.601] chiroru70: わこらだ
[32.697] amaebi_1008__: radaoHi
[32.731] orio_1024: わこらだ
[32.753] morimaru8552: radaoHi
[32.900] とりここ: わこらだ
[32.916] (S)nekodama2155: わこー
[32.995] エーース: わらこだ〜
[33.304] (S)えびてゃん: radaoKitya
[33.535] ゎゅ: わーいこんにちはらっだぁ
[33.538] poteto_ra: なんか怖そう
[33.551] gogo_pm5: radaoHi
[33.596] (S)ドラえもんと体重同じ: radaoHi
[33.686] (S)tadaboshi: radaoOld
[33.781] nuko_no_namerou: radaoHi
[33.923] mikan0125: わこらだ 
[34.188] ch1111z: radaoHi
[34.492] ゆあたまご: わこらだ
[34.701] ikatenhaumai: わこらだ
[34.744] 02llo02: わこらだ
[34.767] akaihi: radaoHi
[34.927] 犬ﾚ: radaoHi
[34.980] ai0902: radaoHi
[35.153] on_mame: radaoHi
[35.188] o__mi_o: わこらだ
[35.306] 足し湯: わこらだ
[35.406] hrk_0417: やって欲しかったーー！！！、、、、、、
[35.427] (S)えりさ_: radaoWaterserver
[35.473] toriniku_ryuto: わこらだ！！きたー！
[35.517] (S)daaaa_oo: radaoHi
[35.519] yamanotannbo: わこらだ
[35.520] らみせ_0626: わらこだ
[35.628] motibta: わこらだ！
[35.701] 琉弦: わこらだ
[35.765] obakec: radaoHi
