[7.203] (S)はくまい_45: 何事？
[7.720] ゆーしき: radaoHi
[7.930] (S)おるがのる: ？？？？？ｗ
[7.997] kujirai___: なんで？？？
[8.325] rioapr03: wwwwwwwww
[8.356] (S)peng1130: わこらだ
[8.521] syuga__: radaoHi
[8.735] ひよこまんじゅう: radaoHi
[8.766] 4waiyo: radaoHi
[8.829] あーーーち: radaoHi
[9.174] (S)sora_mameee: wwwwwwwwww
[9.647] fuu_0926: radaoHi
[9.830] 秋蒔: radaoHatena2
[10.341] nana_sasa_: わこらだ
[10.580] もなぁ: ??????????
[12.807] (S)sora_mameee: なんで？？？？？？
[12.897] nakihai556: radaoHi
[12.969] ぴっち: radaoHi
[13.002] usiuma: ｗｗｗｗｗ
[13.035] ゆかりんりん: わこらだ！！！！！
[13.083] fuu_0926: ??????????
[13.112] 紗弥0926: わこらだどういうこと？
[13.744] konyachan: radaoHi
[13.748] soku614: わこらだ！ｗｗｗ
[14.101] あらんえむかーびぃ: radaoHi
[14.465] yona_0724: radaoHi
[14.673] そらいろえのぐ: radaoHi
[14.759] sunomono8: wwwwwwwww
[14.970] りな_1822: わこらだ
[15.509] あげあしとり: radaoHatena2
[15.603] 8分19秒: えぐいってｗｗ
[16.454] r1n_t: aやばいって
[16.649] (S)peng1130: radaoHi
[17.149] (S)るちのー: radaoHi
[17.612] rinon24: radaoHi
[17.661] omoti1208: radaoHi
[17.941] 縮緬雑魚: なにこれ？
[18.126] mitora2916: ？？？？？？？？？
[18.209] (S)くろうるふ: わこらだ
[18.248] muru1113: どゆこと？
[18.344] hisoka_HyskoA0606: ？？？？？？？？？？
[19.126] 月夜ステラ: radaoHi
[19.345] toki__02: え？？？？？？？？
[19.388] toraban6: radaoHi
[19.807] main94: radaoHi
[19.875] 佐野ちャん: radaoHi
[20.384] (S)sora_mameee: なんでｗｗｗｗｗｗｗ
[20.509] あきのね: わこらだ
[20.519] uraranr: radaoHi
[20.604] nariki_011: わこらだ
[21.177] ni4_maru: radaoHi
[21.480] yona_0724: ？？？？？
[21.550] non_non_0607: radaoHi
[21.711] (S)ピポ助: 意味わからんが
[22.133] dim3820: わこらだ
[22.351] hana1274: radaoHi
[22.545] kujirai___: ？？？？？？？
[22.806] ruupi0312: なにごと？
[22.902] しがー: わこらだ？？？？
[23.343] (S)おるがのる: どゆことｗｗｗｗ
[23.377] rioapr03: ガチでワロタ
[23.448] りな_1822: ？？？
[24.693] こばゃし: わこらだ 
[24.696] せとかちゃん: radaoHi
[24.934] mionosuke_: radaoHi
[24.937] しがー: ？？？？？？
[25.156] (S)紫すみれ: radaoHi
[25.614] 七市: ?????
[25.843] nakihai556: まじでなんでさ
[26.333] nariki_011: なに？？？？？？？？？？？？？？？？？？
[26.363] ゆきさば: wwww
[26.498] (S)おるがのる: なにごとｗｗｗ
[27.080] れいるさん: radaoHi
[27.101] ここねり: わこらだ
[27.247] shotane: どゆこと？？？
[27.488] payayan5: ？？？
[27.521] azure_nekolife: なんでだよwww
[27.540] とりーーも: わこらだ
[27.681] suzume522: どういうことwww???
[27.975] (S)sora_mameee: まじでなんなん？？？
[28.034] あきのね: 進撃のらっだぁ？
[28.150] (S)reki_b: わこらだ
[28.495] yakko_sann: 何が起きた！？！？
[28.640] (S)peng1130: ナニコレwwwwwww
[29.502] gurimuu: なにこれ？
[29.910] (S)sav11119: ？？？？？？
[30.139] crowsuke96: なあ、おい。説明しろ
[30.410] (S)mumadoo: radaoHi
[30.615] nariki_011: マジで何？？
[30.654] usiuma: なんでパンツかぶってんの？
[31.091] ayunosioyaki0223: wwwwwwwwwwwwwwwwwwwww
[31.174] あげあしとり: なんで？？？？？？？？
