[16.094] uruma_1213: きちゃぁぁ！
[16.150] 鉛筆びー: radaoKitya
[16.379] rao25252: radaoHi
[16.569] zakoteki: ただいま
[16.593] kurpgitune: ぺんちゃんと同棲しよう
[16.615] emitsubo723: radaoHi
[16.627] どろど: radaoHi
[16.629] Zzz_jun: radaoKitya
[16.637] aeyuma: わこらだ
[16.708] りーふ93: 枠取りお疲れ様です
[16.708] (S)hunting_nimo: radaoKitya
[16.981] ろくろくロク: またれいーどと！！いいねぇ
[17.197] yunchan18: radaoHi
[17.201] (S)なんでもいい: お
[17.230] furu2500: お
[17.234] 白クマ: radaoHi
[17.237] (S)tunamayo1234: radaoKitya
[17.351] ラム0158: わこらだ
[17.422] maguro_sasimi: お
[17.439] Ramune__0: きちゃー
[17.644] なゆーた: きた
[17.696] (S)ゆんふぁ1123: わこらだ
[17.847] あ表示名これでいいじゃん: きちゃ
[17.878] omuraisu_nana10: わこらだ
[17.997] aeyuma: はーい
[18.007] (S)ぺぱさん: わこらだ
[18.113] yuinokawa: かかかかかかか
[18.575] (S)peng1130: おー
[18.583] (S)ログリア: おかえり
[18.699] 胡桃柚子: radaoKitya
[18.867] huminnoko: きた
[18.917] nr_ripa: きたー
[18.933] ポポ丸: radaoHi
[19.022] (S)kasumi0205: radaoHi
[19.072] (S)壱代目: わこらだー
[19.134] (S)inuyo: radaoKitya
[19.630] gaiantufan: お
[19.643] aiga_omoi_1205: radaoHi
[19.656] (S)凩_: きたー
[19.689] あきぬこ: radaoKitya
[19.728] reontannau: わこらだ〜
[19.772] アリーガちゃん: radaoHi
[19.862] しまおじ: radaoHi
[19.863] ポテチの子: radaoKitya
[19.925] tashi06: きちゃー
[19.989] 土管がドッカーン: radaoKun
[20.009] s__atsuki: radaoHi
[20.206] sandononakami: radaoHi
[20.234] れもんちぃ0: radaoHi
[20.460] おとしぶた: radaoHi
[20.480] mamemamehu: radaoHi
[20.511] まちまや: radaoHi
[20.515] 鉛筆びー: radaoHi
[20.685] mimi3040: わこらだ
[20.703] hatisanka: わこらだ
[20.731] sora_0119: sora_0119 subscribed at Tier 1. They've subscribed for 32 months! わこらだ
[20.748] よわはと: おかえり
[20.801] elu2007: radaoHi
[20.882] さえだ: わこらだ
[20.918] ただの草0131: きたー
[21.092] 唐突ならっと: わこらだ！
[21.204] つきあかり: わこらだ
[21.281] ひのした: おかえり
[21.318] sihukurou: わこらだ2
[21.543] (S)抹茶の午後: お
[21.660] アルパラ: radaoHi
[21.692] koyaren: わこらだ
[21.775] (S)t0_ukq: radaoKitya
[21.784] koge_mashumaro: radaoHi
[21.821] まつたけ21: わこらだー
[21.899] mo_td: radaoHi
[21.921] ポテチの子: radaoHi
[21.931] (S)sunsun_deshi: radaoHi
[21.980] とうむ: わこらだ
[22.174] 米だわら: わこらだ
[22.194] mary611: radaoKitya
[22.202] なつおよ: radaoHi
[22.284] (S)なんどね: radaoHi
[22.423] nekodama2155: きちゃああ
[22.558] (S)nibosichan_0403: わこらだ
[22.599] (S)にわすずめ: radaoKitya
[22.636] (S)himajan0315: radaoKitya
[22.705] 夢現: おか
[22.828] ののりの: きちゃー
[23.211] mi_sa34: radaoHi
[23.502] にゅーん: あいー
[23.513] リライトパンダ: わこらだ 
[23.544] 音歌: 音歌 subscribed at Tier 1. They've subscribed for 38 months! 
[23.555] karen2891: きちゃー
[23.570] (S)t0_ukq: radaoHi
[23.698] 角角家: radaoKitya
[24.044] (S)ureshiin: radaoKitya
[24.261] tana1228: radaoHi
[24.276] mamemamehu: わこらだ
[24.481] yutti917: radaoHi
[24.601] うさきのこ: radaoHi
[24.620] んね: わらこだ
[24.683] 金平糖_2525_: radaoHi
[24.754] n4tu14: radaoHi
