[10.418] rioniku1515: うおおおおおおお
[11.582] komekami107: radaoHi
[12.129] (S)iza__13: radaoHi
[12.218] (S)にわすずめ: radaoHi
[12.322] (S)momoaru: radaoHi
[12.476] しあーー: radaoHi
[12.989] ゆにゆにゆにーく: wakorada
[13.264] (S)hotarusuki: わこらだ
[13.307] (S)mrgrtpsr: わこらだ
[13.531] netawakukuran: わこらだ
[14.311] ayame1017: radaoHi
[14.415] ホトトギス: わこらだ
[14.575] karin0328: radaoHi
[15.028] らふろいぐ7: radaoHi
[15.186] (S)あるみ屋: radaoKitya
[15.294] sunomono8: radaoKitya
[15.407] (S)ななちょまる: radaoHi
[15.463] (S)にわすずめ: radaoKitya
[15.722] gekkabizin0420: わこらだ
[16.710] (S)mrgrtpsr: radaoKitya
[17.625] (S)inuyo: わこらだ 
[17.797] トマト狩り: わこらだ
[18.540] (S)sav11119: radaoHi
[18.575] かなめーかなめー: わこらだー
[18.601] ホトトギス: radaoHi
[18.617] kuro10fu_53: radaoHi
[18.714] pappara02: radaoHi
[18.821] めるめ: radaoKitya
[18.982] 1010tento: radaoHi
[19.174] hu_doisii: わこらだ
[19.191] (S)sora_mameee: あ
[19.404] oldish_widow6: radaoKitya
[20.572] honoji_: radaoHi
[20.619] (S)にわすずめ: wwwwwwwwwwww
[20.885] daikoooooon1122: radaoHi
[21.392] darresann___: わこらだー！
[21.523] nerogatto13: わこらだ
[21.578] あらんえむかーびぃ: wwwwwwwwwwwwwww
[21.875] (S)arare1203: わこらだ
[22.033] sunomono8: wwwwwwwwwwwwww
[22.050] nakihai556: a
[22.250] aisura: radaoHi
[22.285] hoshikkira: わこらだ
[22.428] hu_doisii: radaoHi
[22.704] shiho_1109: radaoHi
[23.439] asari_5884: わこらだ！
[23.549] アリーガちゃん: radaoHi
[23.660] (S)turu_aka_gi: radaoHi
[23.827] (S)inuyo: あ
[24.171] (S)sora_mameee: wwwww
[24.241] (S)あるみ屋: wwwwww
[24.269] そおお: radaoKitya
[24.326] danger_tap: radaoHi
[24.353] 11ket: わこらだー
[24.400] oldish_widow6: radaoHi
[24.412] Gomichandovuti: わこらだ〜
[24.674] (S)yuuuuuuuki0730: わこらわこらだ
[24.681] (S)rene689: radaoHi
[24.781] himikokichi_06: radaoHi
