[5.367] da1marrrr: うおおおおおおおおおおおお
[7.361] suiha_7: radaoKitya
[7.610] みずきはな: radaoHi
[8.241] moka_0322: radaoHi
[8.385] ｱｲｽ: わこらだ
[8.629] (S)sora_mameee: わこらだ！
[8.648] (S)きのここ: radaoHi
[8.922] ししゃも25: radaoHi
[9.560] くろざき: わこらだ
[9.831] れいばば: わこ
[9.855] shiho_1109: radaoHi
[9.985] 甘酒大好き: radaoHi
[10.014] Ichigo_Strawberry15: radaoHi
[10.112] asari_5884: わこらだ！
[10.308] まき627: わこらだ
[10.478] 秋蒔: radaoHi
[10.655] (S)ragumaltutyo: わこらだ
[10.704] yona_0724: radaoHi
[10.948] kuromame0749: わこらだ
[11.063] kosuke25252: わこらだ
[11.108] (S)sora_mameee: うおおおおおおお
[11.185] (S)pottkin: わこらだー
[11.186] ゆきとよ: radaoHi
[11.195] ナス忍者: radaoHi
[11.278] Qyumixu: radaoHi
[11.335] スパーズ: わこらだ
[11.389] かりんりんだよぅ: radaoHi
[11.925] rosemary0920: わこらだ
[11.973] Rimon_sky: わこらだ
[12.446] guart210: radaoHi
[12.536] ag29999: わこらだ
[12.661] らーな: radaoHi
[12.717] nakihai556: radaoHi
[13.447] ruk1q: わこらだ
[13.456] kainn_1114: radaoHi
[13.463] rikuo186: radaoHi
[13.647] fuu_0926: radaoHi
[13.859] (S)wakahr: わこらだー
[13.861] (S)momoaru: radaoHi
[14.106] スパーズ: radaoHi
[14.283] sugusugu68: わこらだ
[14.398] (S)yukitooooo0313: radaoHi
[14.423] kotokototoo: わこらだ
[14.738] (S)siro_0810: radaoHi
[14.844] 暗黙の緑茶: わこらだ
[14.871] 年中頭痛: わこらだー！
[15.076] sukeww: radaoHi
[15.349] 雪華0830: radaoHi
[15.409] アリーガちゃん: radaoHi
[15.517] natsuki903: natsuki903 subscribed with Prime. They've subscribed for 17 months! 
[15.801] uchichan_p: radaoHi
[15.891] (S)kuronowa2525: わこらだ
[16.193] (S)sora_mameee: radaoKitya
[16.772] (S)まりぃる: radaoHi
[16.957] cloverya: わこらだ
[17.033] しゃくみ: わこらだ
[17.037] ホトトギス: radaoHi
[17.072] まだら25: わこらだ
[17.191] Rimon_sky: 楽しみにしてた
[17.397] ちゃば00: わこらだ
[17.405] えぬあい: radaoHi
[17.876] すんちゅ: radaoHi
[18.069] ぱぱミ: わこらだ
[18.144] おじゅりん: radaoHi
[18.176] (S)miam_1018: わこらだ
[18.437] capena: radaoHi
[18.562] ~MISSING_COMMENTER_INFO~: radaoHi
[18.615] masaba014147: radaoHi
[18.720] (S)kuugay0905: radaoHi
[18.873] sunomono8: radaoKitya
[19.142] れたす0055: radaoHi
[19.435] (S)ragumaltutyo: radaoHi
[19.565] magaos_753: radaoHi
[19.614] shinano_472: radaoHi
[19.835] (S)壱代目: わこらだ
[19.975] yuasee: わこらだ
[20.071] nekomrnn930: radaoHi
[20.099] (S)ういの: radaoHi
[20.153] mira_bell5: わこらだー
[20.224] コムギ_: radaoHi
[20.304] ひぅ: radaoHi
[20.372] (S)~MISSING_COMMENTER_INFO~: radaoHi
[20.465] rin5_3: わこらだ
[20.465] えぬあい: わこらだ
[20.489] japarada_xeno: わこらだ
[20.516] (S)つむじのきもち: うぃーす
[20.547] emitsubo723: radaoHi
[20.859] takabuuu: わこらだ
[20.996] ﾊｲﾌﾝ: radaoHi
[21.206] いるーじゅ: わこらだ 
[21.460] えりさ_: radaoHi
[21.517] 甘酒大好き: わーいこんにちはらっだぁ
[21.726] kumabu_: わこらだ
[21.775] つよいこ: わこらだ
[21.837] ナラ抹茶: ナラ抹茶 subscribed at Tier 1. They've subscribed for 19 months! わこらだぁぁぁ！！！！
[21.896] (S)ちびまるちゃん: radaoHi
[21.906] uchichan_p: 生きてたんか
[22.120] (S)ベニマル: radaoHi
[22.375] charlotte0ra: わこらだ
[22.518] dokukinoco: わこらだー！
[22.563] nhxxxhn: radaoHi
[22.601] (S)taiyousinnaporo: わこらだ
[22.900] nr_ripa: radaoHi
[23.369] ippannohato_18: radaoHi
[23.594] まだら25: radaoHi
[23.603] sobayu120: radaoHi
[23.796] (S)雪狐0143: わこらだ
[24.018] イタチくんちゃんさん: radaoHi
[24.024] mira_bell5: radaoHi
[24.144] (S)さんま缶: radaoHi
[24.255] (S)kuugay0905: radaoKitya
[24.370] しば茶漬け: わこらだ
[24.939] shintyan405: radaoHi
[25.022] (S)つむじのきもち: radaoHi
[25.226] (S)siro_0810: radaoKitya
[25.525] exia_182: radaoHi
[25.805] rin5_3: radaoHi
[25.853] it_makimasa: わこらだー！
[26.736] ﾅﾏﾁｬ: radaoHi
[26.930] 白クマ: radaoHi
[27.632] myuu2001: radaoHi
[28.048] misaki00331: わこらだ
[28.219] pyonpyokooo: radaoHi
[28.261] yuasee: radaoHi
[28.271] (S)hibo_san: わこらだ
[28.674] えりさ_: がんばえ！！！！
[28.905] (S)ぴろりだよ: わこらだ！
[29.077] (S)miam_1018: radaoKitya
[29.162] (S)ゴミ以下でごめん: radaoHi
[29.299] tsugu_0: わこらだ
