[8.841] ゆにゆにゆにーく: wakorad
[11.617] fuu_0926: radaoHi
[14.352] (S)kaferatemoka: radaoHi
[18.781] ラビッ兎: radaoHi
[19.058] やきとりくん: radaoHi
[20.179] のんゆく: わこらだ
[21.366] ureshiin: radaoHi
[22.520] ne6mchan: radaoHi
[26.419] miru_1222: わこらだ
[27.829] sansyoku_dango: わこらだー
[30.683] (S)Soudako___: radaoHi
[31.193] (S)oreo12190: radaoHi
[31.999] takkiyyy: わこらだー
[32.146] amamiya_1018: わこらだ
[32.228] namekonomisosir: radaoHi
[32.247] nibosichan_0403: radaoHi
[32.360] sunomono8: radaoHi
[32.366] 唐辛子ガール: radaoHi
[32.492] yassandesu: わこらだー
[32.586] きつね61: radaoHi
[32.713] ななななめ: radaoHi
[32.840] (S)sour_72: radaoHi
[32.946] amehune: radaoHi
[33.020] honehone_2: radaoHi
[33.568] kurai_6: radaoHi
[33.569] mirina017: radaoHi
[33.661] niranin12: radaoKansya
[33.728] rosemary0920: わこらだ
[33.810] ぱる_071: わこらだ
[33.943] (S)_りおん: わこらだ
[34.099] ririneko6133: わこらだ
[34.165] Shiraki1013: radaoHi
[34.190] syaru0915: わこらだー
[34.283] unimusubi: わこらだー
[34.288] めたた: radaoHi
[34.348] ここねり: わこらだ
[34.376] weeeeeiiiiiiiiiiii: わこらだー
[34.544] てまり0010: わこらだ！
[34.656] konnbu1: radaoHi
[34.703] ena_257: わこらだ
[34.759] zin_0926: わこらだ
[34.766] アリーガちゃん: radaoHi
[34.821] kagasaku3: radaoHi
[34.890] たぬきつねうどん: radaoHi
[34.909] ｱｵｲﾊﾙ: radaoHi
[34.913] (S)ずーーーーみん: radaoHi￼ 
[35.023] まこくん: radaoHi
[35.073] minnayoro: radaoHi
[35.293] ぽちゃぽちゃにゃんこ: わこらだ
[35.308] amanasi_s2: わこらだ
[35.518] takkiyyy: radaoHi
[35.539] nanashico27: わこらだ
[35.567] (S)みーさん0459: わこらだ
[35.625] ayunosioyaki0223: radaoHi
[35.750] kandaiko: radaoHi
[35.768] (S)七蝉: radaoHi
[35.805] baketsu_091: radaoHi
[36.001] bunchaan: タイトルびびった
[36.048] kadoya0910: わこら
[36.196] しぃ_1802: わこらだ
[36.208] (S)goaraaaaaa: radaoHi
[36.329] koyaren: わこらだ
[36.431] osiruko912: radaoHi
[36.433] よわはと: radaoHi
[36.446] ~MISSING_COMMENTER_INFO~: radaoHi
[36.452] 胡桃柚子: radaoHi
[36.497] すかあと: radaoHi
[36.620] karin1o0v0: radaoHi
[36.695] ひかや: radaoHi
[36.702] rain_less: radaoHi
[36.796] makaroni_78: わこらだ
[36.864] noboriryuu0519: わこらだ
[36.868] kase_san: radaoHi
[36.870] magurodukushi: radaoHi
[36.873] くまべりー: radaoHi
[36.877] ra_ru7050: radaoHi
[37.955] nayyyuu: わこらだ 
[37.983] にゃご崎: わこらだ
[37.989] Sironoawa_: わこらだ
[38.001] ikemennnnnnnnnnn: radaoHi
[38.010] komayyu: radaoHi
[38.021] おっとり刀: わこらだ
[38.048] (S)ぶるねった: radaoHi
[38.069] Akari_Aoi_923: わこらだー
[38.073] daison0415: わこらだ 
[38.099] (S)raifu0_: radaoHi
[38.136] ポテチの子: わこらだ 
[38.220] いぶき2525: わこらだ
[38.449] ちったむ: radaoHi
[38.636] かわはるのおもちゃ箱: わこらだー
[38.652] (S)むぎまい: また変わってないね
[38.715] saki_3656: わこらだー
[38.775] pi_terry_: わこらだ
[38.792] konikoni332: わこらだ〜
[38.832] namekonomisosir: わこらだー
[38.850] 椋榎: 椋榎 subscribed at Tier 1. They've subscribed for 34 months! わこらだ radaoHi
[38.872] 狐日和2014: わこらだ 
[40.989] mikone524: わこらだ
[41.054] kir1mi_343: わこらだ
[41.060] 深爪のりこ: わこらだー
[41.131] (S)朔夜____: わこらだ
[41.200] ウメトミ: radaoHi
[41.201] yuasee: radaoHi
[41.235] (S)Wildam_9_1_0: radaoHi
[41.260] ikanana2525: radaoHi
[41.271] truthdayo: わこらだ
[41.441] (S)봄_ぽむ: radaoHi
[41.455] 角角家: radaoHi
[41.480] ポテチの子: radaoHi
[41.493] (S)epopopo_i: radaoHi
[41.556] (S)らいちょむ: わこらだ！
[41.676] (S)ピグニー: radaoHi
[41.700] nasu_763: radaoHi
[41.704] さえだ: radaoHi
[41.790] hiromin_gg: radaoHi
[41.903] 2katatsumuri5: radaoHi
[41.913] miu0516: radaoHi
[41.915] uzuki410: わこらだ
[41.919] poru1010: わこらだ
[41.929] 雨傘ライ: わこらだー！！
[41.968] (S)sqchq_n55: radaoHi
[42.118] yuu2525: radaoHi
[42.137] itayui5: radaoHi
[42.142] 最強餅巾着: わこらだ 
[42.170] ペネロペ: わこらだ
[42.389] ayunosioyaki0223: radaoTuuhou
[42.548] MORIYA_37: radaoHi
[45.000] mobuoji_12: radaoHi
[45.020] sunsun_deshi: radaoHi
[45.043] ららら0913: わこらだ
[45.121] suzunoki_712: radaoHi
[45.182] sota978: わこらだ
[45.201] aisugasukinahito: radaoHi
[45.220] warabihamoti: radaoHi
[45.223] miya_4950: マイクラ？
[45.227] maromaro222: radaoHi￼ 
[45.233] uzuki410: radaoHi
[45.256] 黒猫のララ: radaoHi
[45.301] kohakuu1123: わこらだ
[45.341] すいぺりあ: radaoHiradaoHi￼￼ 
[45.625] ペネロペ: radaoHi
[45.697] kainn_1114: radaoHi
[45.719] aeyuma: わこらだ 
[45.750] あしゅ_1127_: radaoHi
[45.768] godeido: わこらだー
[45.845] takara_ton: radaoHi
[45.859] jiro_314: radaoHi
[45.928] Akari_Aoi_923: わこらだ！
[45.960] (S)sui_1103: radaoHi
[46.023] おむらいぬ: わこらだ
[46.057] broooock777: わこらだ
[46.083] orio_2005: わこらだー
[46.143] (S)くろざき: わこらだ
[46.179] (S)sotokino_: radaoHi
[46.309] dim3820: わこらだ
[46.499] らーな: radaoHi
[46.597] ねるこん: radaoHi
[46.702] えいリアン: radaoHi
[46.707] にゅん0930: radaoHi
[46.719] tamago__0526: わこらだ
[46.722] ameame_0223: radaoHi
[46.724] (S)むぎまい: radaoHi
[46.733] otoro_ajipon: radaoHi
[46.796] anruky: わこらだ
[46.824] peach_pe_1008: わこらだー
[46.855] machayucha: わこらだ！
[48.069] nissy__24__: わこらだ
[48.127] mikone524: radaoHi
[48.137] (S)壱代目: radaoHi
[48.151] (S)nakaji00: radaoHi
[48.167] 柗原: タイトル変わってない
[48.275] バナナ民: radaoHi
[48.288] (S)heuchera_617: radaoHi
[48.288] inuyo: radaoHi
[48.318] muru1113: わこらだ
[48.343] yumeno_939: radaoHi
[48.413] ch1111z: タイトル？
[48.518] まゆだま: radaoHi
[48.524] 暗黙の緑茶: わこらだ
[48.583] (S)ru_ta59: radaoHi
[48.658] shame_daia0130: radaoHi
[48.745] a_o3o1_m: radaoHi
[48.836] (S)らいちょむ: また忍者になるのかと
[48.913] レだん: radaoHi
[48.955] shigekate: shigekate subscribed with Prime. They've subscribed for 22 months, currently on a 4 month streak! わこらだ
[48.982] sironeko02: わこらだ
[49.044] masyu510: radaoHi
[49.044] kir1mi_343: タイトルミス？
[49.133] morry1063: radaoHi
[49.282] (S)ばるさみこす35: radaoHi
[49.313] あーーーち: radaoHi
[49.364] mozuku_c1: radaoHi
[49.435] yuki_snowdrop: radaoHi
[49.435] (S)雪狐0143: radaoHi
[49.591] (S)elm095: わこらだー
[49.600] katagiriharu: わこらだ
[49.760] woontion0013: radaoHi
[49.783] コムギ_: radaoHiradaoHi￼￼ 
[49.807] ruu_ha: radaoHi
[49.828] toruha03: wqこらだ
[49.883] (S)seillane: タイトル変わってないかも
[49.892] すえひろがり: わこらだ！
[49.914] rave1031: タイトル昨日のまんまやね
[51.071] zaza_kun: リアルなマイクラだなぁ〜
[51.132] konpeitou_01: わこらだ 
[51.204] まんばるん: radaoHi
[51.223] ragumaltutyo: わこらだ
[51.234] masao0203: radaoHi
[51.301] Ritsu1211: わこらだ〜
[51.308] ratarly: わこらだ
[51.311] mocahiroto: radaoHi
[51.351] Mira7510: わこらだ
[51.351] yurakubo: わこらだ
[51.357] narurin0927: わこらだ
[51.380] aman_0425: わこらだ
[51.384] (S)ura__5: わこらだ
[51.385] takara_ton: わこらだ
[51.434] koyatai117: タイトル変わってないよー
[51.781] ke1koto: ke1koto subscribed with Prime. They've subscribed for 17 months! 
[51.793] 角角家: タイトル？？
[51.810] purin330: わこらだ
[51.838] 胡桃柚子: タイトルが変わってないかも
[51.849] kureha081: 忍かー
[51.912] rannmaru00: radaoHi
[51.928] fuu_maru: タイトルびびった
[51.934] 快眠枕: わこらだ
[52.013] みさみさ07: わこらだ
[52.014] truthdayo: タイトル昨日のだよ？
[52.077] shirousagi_o: わこらだ 
[52.164] kiratoragame: わこらだ！！
[52.299] (S)yogetu: わこらー！
[52.371] magurodukushi: タイトルびっくりした
[52.565] 唐辛子ガール: タイトル昨日のだよ
[52.707] スペルタン: タイトルー
[52.716] ainoseeeee1111: わこらだ
[52.741] 心咲花茶: わこらだ
[52.793] konikoni332: タイトル変えてないよ
[52.841] tomato2114: radaoHi
[52.866] とみちょび: またタイトル変わってないよ
[54.984] makisima0614: わこらだー
[55.021] 音吐朗々: radaoHi
[55.031] めぐを: radaoHi
[55.048] turara_17: radaoHi
[55.050] Yuua1225: わこらだ
[55.100] MIKU_J0311: タイトル違くない？
[55.106] onigiri_daisuk: タイトルへんだよ
[55.204] tatatatatatatatauatata: タイトルー
[55.206] ice___25: radaoHi
[55.248] rannmaru00: radaoHi
[55.249] nathu511: radaoHi
[55.300] うっしーわーるど: マイクラとは
[55.337] キラキラボシ: radaoHi
[55.543] (S)わらびもち_11: radaoHi
[55.551] aya_ksar: またシノビやるのかと思ったw
[55.722] mizuhashi_2323: わこらだー 
