[18.310] ねこのけだま: selly55Lurk
[19.752] すかあと: radaoHi
[20.674] peperonn17: わこらだ
[21.314] momo_6113: radaoHi
[24.304] mattun_kei84: わこらだー
[25.219] sho__4: radaoHi
[25.617] qqg0: わこらだ
[26.013] きーうぃ: radaoHi￼ 
[26.060] meronpaaaamm1019: わこらだ
[26.199] wanmaru0410: わこらだ
[26.305] zin_0926: わこらだ
[26.593] kummysan: わこらだ
[27.038] nonsugar017: radaoHi
[27.177] (S)Soudako___: radaoHi
[27.199] baceneKo: radaoHi
[27.256] kainn_1114: radaoHi
[27.675] (S)amanooomikami: radaoHi
[27.915] はるーむ: radaoHi
[27.942] ai0902: radaoHi
[27.965] ratetya: わこらだ
[27.991] syooron: radaoHi
[27.999] tanaka452_: わこらだ〜
[28.111] peach_pe_1008: わこらだ
[28.155] えっぐさんど: radaoHi
[28.182] (S)tiroru202: はっや
[28.378] ともろーこし: わこらだ
[28.392] らう57: radaoHi
[28.599] なんでもいい: radaoHi
[28.602] asa_gikl: わこらだ
[28.603] halu261524: わこらだ
[28.610] arumajirou1206: radaoHi
[28.610] (S)romiwooo: わこらだ！
[28.824] ko_nakona: radaoHi
[28.831] kandaiko: radaoHi
[28.859] かなでまる初号機: わこらだ
[28.904] tamatama525: はやいねー
[29.079] Water_1013: radaoHi
[29.327] arasin2157: radaoHi
[29.332] (S)a_ebihurai: radaoHi
[29.334] しまおじ: radaoHi
[29.345] (S)huuyu_Hy: radaoHi
[29.367] dokukinoco: わこらだ！
[29.555] (S)am_1685: わこらだ
[29.562] バナナ民: radaoHi
[29.580] yukimochi08: radaoHi
[29.618] レだん: radaoHi
[29.697] (S)sotokino_: radaoHi
[29.752] ぷにじゃむ7716: うーす
[29.758] nekodama2155: わこらだ
[29.765] はたの: radaoHi
[29.773] Hana_305: radaoHi
[29.813] rari1218: radaoHi
[29.882] sirasu224: わこらだ
[29.890] hanana_122: radaoHi
[30.955] にくのじん: radaoHi
[31.130] (S)yumichi0724: わこらだ
[31.182] hr11111111: radaoHi
[31.210] magaos_753: radaoHi
[31.211] nattoniboshi: radaoHi
[31.355] yukikoro1103: わこらだ!
[31.364] ねるこん: radaoHi
[31.369] てまり0010: わこらだ
[31.468] eririn_qol: radaoHi
[31.524] あぎょう2525: わこらだー
[31.585] しおざとう: わこらだ！
[31.589] momodamakunsan: わこらだ
[31.604] roikn: radaoHi
[31.616] lara_3o: radaoHi
[31.625] fon_de_ring: radaoHi
[31.730] karokaro23: radaoHi
[31.732] owl317: radaoHi
[31.747] ragumaltutyo: わこらだ
[31.758] ポテチの子: わこらだ 
[31.845] (S)のむ_のむ: わこらだ
[31.887] mimi_fuwa1489: わこらだ！
[31.903] okappameganee: わこらだ
[31.916] lick0114: lick0114 subscribed at Tier 1. They've subscribed for 17 months! 
[32.077] nanashico27: わこらだ
[32.133] (S)kyo_gyu: わこらだ
[32.326] kanaoyuchan: わこらだ！
[32.366] らいちぃ: radaoHi
[32.474] _ヴォク: radaoHi
[32.511] (S)mathneko29: radaoHi
[32.544] humyo: radaoHi
[32.702] chun_taro2004: わこらだ！
[32.702] smile_826: radaoHi
[32.744] a_rinrin: radaoHi
[32.815] でんぶ: radaoHi
[32.843] omuraisu_nana10: radaoHi
[32.905] asdfgxccf: ﾜｺﾗﾀﾞ
[34.001] soyokaze1212R: radaoHi
[34.014] huton_9: わこらだ
[34.066] batapiiiiii: radaoHi
[34.071] budou0616: radaoHi
[34.080] らお3: わこらだ
[34.083] jyomu__: おーはやい
[34.092] はとむぎ147: radaoHi
[34.149] あらんえむかーびぃ: radaoHi
[34.228] (S)雪狐0143: わこらだ
[34.359] ruterute_016: radaoHi
[34.448] にくのじん: わこらだー
[34.478] ここねり: わこらだぁ
[34.479] (S)oreo12190: わこらだ
[34.572] あむあむさん: radaoHi
[34.590] (S)raifu0_: radaoHi
[34.704] tamagoyakisann: わこらだ
[34.768] (S)vasukodagama: radaoHi
[34.875] (S)yukirora: radaoHi
[34.889] denou777: わこらだはやいな
[34.919] よぞら_: わこらだ
[35.117] yui_0x0: わこらだ
[35.120] みるく301: わこらだ
[35.122] そーコン: はや
[35.185] おるかす: radaoHi
[35.301] monmon09060: radaoHi
[35.336] バナナチ: radaoHi
[35.385] h4namak1: radaoHi
[35.397] mimi_fuwa1489: radaoHi
[35.466] (S)naki_516: はやーい
[35.591] (S)KEBUVOXX: わこらだ
[35.715] fuu_0926: radaoHi
[35.807] ももいさん: radaoHi
[35.885] ni_ha218: わこらだ
[37.032] tamagoyakisann: はやいね
[37.032] roikn: はやいけ
[37.101] asdfgxccf: radaoHi
[37.101] (S)minmin_cheese: radaoHi
[37.252] seiga460806: radaoHi
[37.253] itayui5: radaoHi
[37.259] sho__4: わこらだ早番だー
[37.263] びょわ: radaoHi
[37.277] ina_9604_: わこ
[37.290] ずつうがいたい: radaoHi
[37.346] Shime_2: わこらだ
[37.501] (S)たかなしはな: radaoBanzai
[37.505] ゆうの: わこらだ
[37.525] 白クマ: radaoHi
[37.594] (S)めらのあ: わこらだ
[37.704] おつる2: ＾ら＾
[37.708] よぞら_: radaoHi
[37.717] komayyu: わこらだ
[37.744] yarimasu_ne: radaoHi
[37.878] ayato_shinami: わこらだ
[37.890] ika_3d: radaoHi
[37.973] (S)epopopo_i: radaoHi
[38.038] kokutchi_: radaoHi
[38.114] (S)めた_: radaoHi
[38.208] monosbooo: 早番だ！！
[38.223] truthdayo: わこらだ
[38.334] らう57: わこらだ
[38.532] (S)hoshizukiyo3227: radaoHi
[38.665] (S)hiro_116_hero: わこらだー
[38.697] たいぴーさん: radaoHi
[38.759] (S)キャ口ﾉﾚ: radaoHi
[38.762] smile_826: はやいね
[38.806] mochimochi_2816: わこらだ
[38.929] 二年前かららだ民です: わこらだ！
[40.163] 雨傘ライ: わこらだー！
[40.172] でんぶ: 早番警察たすかる
[40.383] maromaro222: radaoHiradaoHi￼￼ 
[40.390] mi_na0436: mi_na0436 subscribed at Tier 1. They've subscribed for 15 months, currently on a 14 month streak! わこらだ
[40.486] sibanumu: radaoHi
[40.501] ろみ_63: radaoHi
[40.550] (S)nezumi4519: わこらだー
[40.554] 心1203: わこらだ 
[40.556] おるかす: 早番か
[40.592] にな_27: わこらだ 
[40.607] なべっ子: わこらだ！早番だ！！
[40.675] (S)tadanohituzi: radaoHi
[40.701] めたとろ: わこらだ
[40.722] Hana_305: わこらだ
[40.732] kono1110: radaoHi
[40.734] suuuuun_666: わこらだ
[40.819] goodmanpppp: わこらだ
[40.924] amaikazitu: 早番だあ
[41.281] roikn: radaoHi
[41.284] ragumaltutyo: 早いねぇー
[41.496] yukikoro1103: いつもより早いね！
[41.583] 茅木澪: わこ
[41.684] osa_393: radaoHi
[41.710] suikam0n: わこらだ
[41.710] tatan815: radaoHi
[41.721] かーな: わこらだ
[42.016] takoyaki0917: わこらだ！
[42.233] tsuyu1111: わこらだ
[42.247] ivis_shiva: 早！
[42.267] ratarly: 早くね？
[42.436] peperonn17: 23日目のまんまやで
[42.511] kurui440: わこらだ
[42.645] さーそー: 早番ナイス！
[42.763] rins1d: radaoHi
[42.773] 如月望満きさらぎのぞみ: わこらだ  早番おつ
[42.796] ぴっち: radaoHi
[42.854] いなり_41: わこらだ
[42.874] 510dayo: わこらだ
[42.888] quon2525: わこらだ！！！！！
[43.201] epdk114: 今日は早番か
[43.287] Alpha_5665: わこらだ
[43.368] (S)kosshi2002: radaoHi
[43.402] (S)みかぬです: radaoHi
[43.425] (S)tatsubon6174: radaoHi
[43.430] merochi_k: わこらだ
[43.431] kokutchi_: わこらだ
[43.497] みさお婆ちゃん: radaoHi
