[2.172] しまやん: よ
[2.375] ありせ: わこらだ
[2.751] スフレ2310: radaoHi
[3.122] harou_momiji: ！
[3.480] sunomono8: radaoHi
[3.937] (S)Soudako___: うお
[4.122] あらんえむかーびぃ: radaoHi
[4.142] rosemary0920: お
[4.354] にわすずめ: radaoHi
[4.567] muru1113: わこらだ
[4.914] 庶隷: わこらだ
[4.934] 夢現: わこらだ
[5.529] いぬ科: radaoHi
[5.581] ゆかりんりん: radaoHi
[5.609] syunatu: うおー
[5.817] キアラ3: わこらだ
[6.061] やきとりくん: radaoHi
[6.541] (S)sakuya0226: radaoHi
[7.070] 紗弥0926: わこらだ 
[7.548] (S)ｼｷ_: radaoHi
[7.613] nekodama2155: radaoKitya
[7.687] yuuu_524: radaoHi
[7.771] syunatu: わこらだ
[7.834] (S)キャ口ﾉﾚ: わこらだ
[8.095] キアラ3: radaoHi
[8.203] 莉太: radaoHi
[8.430] (S)甘酒大好き: radaoHi
[8.582] めるめ: radaoHi
[8.598] aosun_: radaoHi
[8.633] (S)あんちょび_: radaoHi
[8.650] (S)baceneKo: radaoOtaku
[8.745] ライチ31: わこらだ
[8.808] nerogatto13: radaoHi
[8.960] yona_0724: radaoHi
[9.213] ナス忍者: radaoHi
[9.374] セレちゃ: radaoHi
[9.541] mimoru_385: radaoHi
[9.659] (S)くも0925: radaoHi
[9.812] sqchq_n55: radaoHi
[9.937] lycoris8: radaoHi
[10.222] (S)dodoriaaaaan: radaoHi
[10.459] (S)sierra2526: radaoHi
[10.878] (M)mjoy0911: 「〇〇したら？」「〇〇する？」等の指示コメや鳩コメ禁止。他者への暴言下げコメは即BAN。BAN＝視聴不可
[11.512] 秋蒔: radaoHi
[11.598] rosemary0920: わこらだ
[11.666] poteko1204: radaoHi
[11.726] 暗黙の緑茶: わこらだ
[12.295] (S)甘酒大好き: きちゃあ
[12.495] 佐野ちャん: radaoHi
[12.524] (S)だぼぉ: radaoHi
[12.535] inuyo: radaoKitya
[12.745] ayame1017: radaoHi
[13.432] ookami_rudi: radaoHi
[13.965] セレちゃ: わこらだー
[14.011] 宇宙に浮かぶひつじ: radaoHi
[14.199] miam_1018: わこらだ
[14.292] joeboy031: わこらだ
[14.532] pon_gashii: radaoHi
[14.540] (S)dhisan_ino: わこらだ
[14.629] dokukinoco: radaoKitya
[14.696] mai161116katatumuri: radaoHi
[14.741] kyo_kaaa: わこらだ
[14.827] 元気田: わこらだ
[14.848] shi__409: わこらだ
[14.874] ゆきとよ: わこらだ
[14.892] (S)Seiran7343: radaoHi
[15.062] 閉織: radaoHi
[15.254] (S)ワカネコ: radaoHi
[15.277] (S)sisyamo_0316: radaoHi
[15.291] so_cha_26: radaoHi
[15.471] niina0127: わこらだ
[15.726] (S)miu_0l2l: radaoHi
[15.913] (S)sound_018: radaoHi
[15.941] 唐辛子ガール: radaoHi
[15.963] katsuodashi_3: radaoHi
[16.048] pu_tyan: radaoHi
[16.054] アリーガちゃん: radaoHi
[16.122] (S)nyarurthtp: radaoHi
[16.152] otonashi6209: radaoHi
[16.266] renkun1265: radaoKitya
[16.632] nryu1220: radaoHi
[16.636] (S)うおざかなふぃっしゅ: radaoHi
[16.741] アールル: radaoHi
[16.785] (S)ベスプラ: radaoHi
[16.789] syunatu: きちゃー
[16.794] kazushan: radaoHi
[16.814] ゆうの: radaoHi
[17.096] (S)キヨタカ: radaoHi
[17.107] kohakuu1123: radaoHi
[17.239] sjindoa: radaoHi
