[11.762] (S)~MISSING_COMMENTER_INFO~: ｷﾀ━(ﾟ∀ﾟ)━!
[13.697] (S)shiolomen: radaoHi
[14.045] (S)ｵｷﾅ: わこらだ
[17.958] 秋蒔: radaoHi
[18.100] (S)キドさん: radaoHi
[18.215] taiyousinnaporo: radaoHi
[19.156] (S)nasu_nameko: わこらだ
[23.804] ぴっち: radaoHi
[24.141] (S)kuronoa_1109: radaoHi
[26.655] coori_satou: radaoOtaku
[28.900] (S)あっひょ: わこらだ
[29.464] amanooomikami: radaoHi
[30.514] (S)suiuuuuuu: radaoHi
[31.398] (S)akaigori: radaoHi
[31.504] aira_rrr: radaoHi
[31.552] ナス忍者: radaoHi
[32.013] n_e_mu: radaoHi
[32.052] chito246: radaoHi
[32.240] sour_72: radaoHi
[32.390] 銀河ポテト: radaoHi
[32.450] (S)や_な_ぎ: わこらだ
[32.466] (S)saraniron: radaoHi
[32.678] ふぁじぃねーぶる: radaoHi
[32.696] otonashi6209: radaoHi
[32.890] nanashico27: radaoHi
[33.109] niranin12: radaoOtaku
[33.119] (S)颯_そう: わこらだ
[33.124] (S)7なな_: radaoHi
[33.159] (S)ぴよったじゅげろ: radaoHi
[33.345] (S)tanaka452_: わこらだ〜
[33.381] (S)cashewnatt: radaoHi
[33.383] (S)Rimon_sky: わこらだ
[33.535] (S)qban19: radaoHi
[33.713] Yakishio_1219: radaoHi
[33.785] (S)zomsama: わらこだ
[34.018] (S)huuyu_Hy: radaoHi
[34.116] うにやま: らだおおおお
[34.247] しああき: radaoHi
[34.498] メルシィー: radaoHi
[34.723] niranin12: radaoHi
[34.729] bakagoods: わこらだ
[34.759] こばゃし: わこらだ 
[34.814] namakemono_a: radaoHi
[34.855] (S)白蓮佑1142: radaoHi
[35.059] わさびじる: radaoHi
[35.660] isaco135: radaoHi
[35.753] navyblue___: radaoHi
[35.807] hoozuki05: radaoHi
[35.883] (S)fukun_3651: わこらだ
[35.886] (S)kanineco25: radaoHi
[35.900] (S)narurin0927: radaoHi
[35.901] ウメトミ: radaoHi
[35.918] kanon_nnn: radaoHi
[35.927] (S)にんじんカレー: radaoHi
[35.968] arasin2157: radaoHi
[35.970] (S)颯_そう: radaoHi
[36.027] (S)itoha_oxo: radaoHi
[36.398] shi__409: わこらだ
[36.450] rosemary0920: わこらだ
[36.465] aka0907: radaoHi
[36.638] バナナ民: radaoHi
[36.860] setuna828: radaoHi
[36.872] みさお婆ちゃん: radaoHi
[36.984] truthdayo: わこらだ
[36.993] arisugar1706: わこらだ
[37.014] おひとりらんらんるー: わこらだー
[37.051] mi_sa34: radaoHi
[37.087] (S)おうじ_: radaoHi
[37.146] (S)shiro_buuu: わこらだ
[37.190] (S)ｻｸﾁｬﾝ: radaoHi
[37.315] asabangohan1945: わこらだ！！
[37.394] (S)いぶちゃんぶ: わこらだ
[37.504] (S)aulisu12: radaoHi
[37.527] an_do121: らだお！？
[37.619] yuki_empty: わこらだ
[37.637] (S)赤人: radaoHi
[37.731] (S)aoaoq11: radaoHi
[37.777] (S)いのな: radaoHi
[37.781] kainn_1114: radaoHi
[37.855] kuugay0905: radaoHi
[37.888] (S)yuuuu87: radaoHi
[37.925] tuyukusairo: おおお
[38.073] (S)nnnannnannna: radaoHi
[38.095] (S)rian_1103: わこらだー
[38.107] (S)ですねく: わこらだ！！
[38.134] (S)khr245: わこらだ
[38.201] (S)karamiii_715: radaoHi
[38.280] 00frisk: radaoHi
[38.286] sora_mameee: radaoHi
[38.290] (S)とつぜんげんき: radaoHi
[38.296] miki_15g: radaoHi
[40.050] mimipaadesu0428: radaoHi
[40.052] (S)mein0730: わこらだ 
[40.104] (S)アーホルン: まじかあああああ！！！
[40.150] (S)ﾊﾚ: ~MISSING_MESSAGE_INFO~
[40.253] (S)青芝: わこらだ！！
[40.258] (S)ame__x_xq: radaoHi
[40.261] (S)sIkm_1: わこらだー
[40.269] 北海道らぶ: radaoHi
[40.307] cham_1112: radaoHi
[40.313] dhisan_ino: らだおだ！！
[40.364] nobume0v0: radaoHi
[40.405] (S)ni_ha218: radaoHi
[40.420] くまべりー: radaoHi
[40.456] haruchiaa: radaoHi
[40.492] ﾅﾏﾁｬ: radaoHi
[40.749] ragumaltutyo: radaoHi
[40.820] (S)kabtoon: radaoHi
[40.830] karokaro23: radaoHi
[40.871] てとてと: radaoHi
[41.175] (S)Nayuuu_424: radaoBanzai
[41.244] tyaimai: radaoHi
[41.295] niina0127: わこらだ
[41.317] (S)coco8q: radaoHi
[41.355] kobu_da: radaoHi
[41.388] (S)ちぎりパン: radaoKitya
[41.416] ららら0913: わこらだ
[41.427] sparrow__7__: radaoHi
[41.495] (S)decoponno: radaoHi
[41.514] (S)くろにご: radaoHi
[41.520] emazkirin: radaoHi
[41.712] (S)pikato047: やった！
[41.717] panno_mimi: radaoHi
[41.721] an_do121: radaoHi
[41.747] (S)にあきち: radaoHi
[41.773] みえのえ: わこらだ
[42.316] 七蝉: ~MISSING_MESSAGE_INFO~
[43.088] ragumaltutyo: わこらだ
[43.105] noru8575: radaoHi
[43.127] (S)sr25_m: sr25_m subscribed at Tier 1. They've subscribed for 4 months! 
[43.171] とむこあ: radaoHi
[43.176] ｱｵｲﾊﾙ: radaoHi
[43.259] kyo_kaaa: radaoHi
[43.269] (S)青芝: radaoHi
[43.300] nryu1220: radaoHi
[43.316] taichimai: radaoHi
[43.327] murasaki_chan: radaoHi
[43.369] (S)honeybunnynn: radaoHi
[43.412] osan0307: radaoHi
[43.434] (S)てっちゃん115222: radaoKitya
[43.491] (S)myuyu0208: radaoHi
[43.508] tuyukusairo: radaoHi
[43.726] ゆかりんりん: わこらだ
[43.843] (S)キキ키키: radaoHi
[44.030] まかろん_: まかろん_ subscribed with Prime. They've subscribed for 21 months! 
[44.248] (S)トレニア: radaoHi
[44.265] (S)しゃしゃも_: radaoHi
[44.446] (S)みみミみ: radaoHi
[44.478] (S)itoha_oxo: らだおだー！
[44.487] amehune: radaoHi
[44.606] aoao_san: わこらだ
[44.637] (S)dai2syokudou: radaoHi
[44.646] (S)ぱわ一: radaoHi
[44.667] (S)kuraponn: radaoHi
[44.676] (S)ささみみさん: radaoHi
[44.740] (S)toura_me: radaoBanzai
[44.797] nqta_coconut: radaoHi
[44.843] (S)たおりぃ: radaoHi
[44.881] (S)chiyu_09: radaoHi
[46.191] (S)ぶるねった: radaoHi
[46.279] you_nana5233: radaoHi
[46.318] with4159: わこらだ
[46.436] 深那: わこらだ
[46.453] waakari2003: radaoKitya
[46.494] emazkirin: わこらだ
[46.498] (S)re_rito: radaoHi
[46.558] (S)うぷしろ: radaoHi
[46.640] (S)すとーぶぅ: radaoHi
[46.716] (S)kin0214: radaoHi
[46.727] 宮菜: radaoHi
[46.731] (S)ししまる212: radaoHi
[46.812] nqta_coconut: radaoBanzai
[46.949] mira_889: わこらだ 
[47.053] (S)どりんく_397: radaoHi
[47.062] うし丸: radaoHi
[47.128] どっかのパン: radaoHi
[47.166] あじさ: radaoHi
[47.266] (S)hime_25253: radaoHi
[47.337] ゆずシフォン: わこらだ
[47.419] l___haru___l: radaoHi
[47.427] (S)jiba8810: radaoHi
[47.507] (S)しふくん: radaoHi
[47.648] (S)zarusobazzz: radaoHi
[47.723] asabangohan1945: radaoHi
[47.879] あるみ屋: radaoHi
[47.888] 1010tento: radaoHi
[47.934] sora_mameee: らだおー
[47.956] (S)pro_arc7: radaoHi
[47.975] (S)dodoriaaaaan: radaoHi
[48.112] (S)らとぉぉ: radaoHi
[48.257] aosun_: radaoHi
[48.348] _ちむ_: radaoHi
[48.357] nqta_coconut: radaoOtaku
[48.472] (S)ネコミミカラス: radaoHi
[48.542] koishi_dqx: radaoHi
[48.556] (S)あいら0626: radaoHi
[48.722] (S)yukiinu1195: radaoHi
[48.766] (S)はるもぐ: わこらだ 
[49.400] (S)よわいごりら: radaoHi
[49.444] らるとす_99: radaoHi
[49.502] (S)トレニア: radaoKitya
[49.582] rekrex_09: radaoHi
[49.633] miam_1018: radaoHi
[49.667] (S)パラトラ: らだおか！
[49.810] sisyamo_0316: radaoHi
[49.847] しめざめ: radaoHi
[49.851] (S)decoponno: radaoBanzai
[49.855] にわすずめ: radaoHi
[49.920] (S)fukun_3651: fukun_3651 subscribed at Tier 1. They've subscribed for 4 months! 
[50.099] (S)hukuhukuneko: radaoHi
[50.355] mimipaadesu0428: radaoHi
[50.371] (S)nanun03: radaoHi
[50.580] aykdon: radaoHi
[50.611] (S)coco_1725: radaoBanzai
[50.693] かっちゃん_いさら: わこらだ
[50.789] (S)ふくうう: radaoHi
[50.812] (S)sisimai3110: radaoHi
[50.836] seillane: radaoHi
[51.030] ten_o3o: ten_o3o subscribed at Tier 1. They've subscribed for 12 months! 
[51.056] みりむ_423: radaoHi
[51.352] めめ___: radaoHi
[51.551] (S)akina515: わこらだ
[51.571] (S)ななおもち: radaoHi
[51.748] ちゃろ58: radaoHi
[51.914] (S)こるめ: radaoNikkori2
[51.914] (S)kururusannano: radaoHi
[51.979] (S)ぬこ鮫: radaoHi
[52.074] (S)hoshi_54: radaoBanzai
[52.218] kocco03: radaoHi
[52.296] (S)pu_puririte: radaoHi
[52.298] なんでもいい: radaoHi
[52.307] (M)salt_w12: 「〇〇したら？」「〇〇する？」等の指示コメや鳩コメ禁止。他者への暴言下げコメは即BAN。BAN＝視聴不可
[52.336] miam_1018: radaoKitya
[52.436] (S)dxnmmmumgj: radaoHi
[52.450] (S)kaito_1996: radaoHi
[52.526] (S)城香夕日: わこらだ
[52.610] 七市: radaoHi
[52.815] (S)okameee_: radaoHi
