[4.640] (M)mjoy0911: 「〇〇したら？」「〇〇する？」等の指示コメや鳩コメ禁止。他者への暴言下げコメは即BAN。BAN＝視聴不可
[10.050] はくまい_45: radaoHi
[10.135] ユゥジサン: radaoHi
[11.324] non_non_0607: radaoHi
[12.451] (S)shiolomen: radaoHi
[15.206] oramuchyan: radaoHi
[16.700] nami_rco: radaoHi
[18.826] sunomono8: radaoHi
[19.680] れもんちぃ0: radaoHi
[20.519] (S)hamu_gami: radaoHi
[23.740] にわすずめ: radaoHi
[24.703] あーーーち: radaoHi
[25.290] dim3820: わこらだ
[25.375] 大宮瑞樹: radaoHi
[25.400] sour_72: radaoHi
[25.480] sqchq_n55: radaoHi
[25.589] seillane: radaoHi
[26.486] (S)ですねく: わこらだ
[26.701] キラキラボシ: radaoHi
[26.931] soyokaze1212R: radaoHi
[27.147] (M)kaname17ksb: radaoHi
[27.156] (S)sui_1103: radaoHi
[27.157] (S)てまり0010: radaoHi
[27.157] (S)yuki_ut_st: radaoHi
[27.261] ゆずシフォン: radaoHi
[27.624] sintara12: わこらだ
[27.724] humyo: radaoHi
[27.837] kurono1627: radaoHi
[28.194] ちったむ: radaoHi
[28.215] kanro1021: radaoHi
[28.412] (S)猫ミントン: radaoHi
[28.634] ナス忍者: radaoHi
[28.641] (S)kuronoa_1109: radaoHi
[28.846] kuroneko_warota: radaoHi
[28.862] れつれつ: radaoHi
[29.068] (S)xonaaox_: radaoHi
[29.078] yuki_empty: わこらだ
[29.288] (S)neko__ur: radaoHi
[29.290] ｱｵｲﾊﾙ: radaoHi
[29.509] (S)asgs0000: radaoHi
[29.564] mathneko29: radaoHi
[29.648] こに014: おはよ～
[29.878] reirei_003: radaoHi
[29.935] (S)rina81820: radaoHi
[30.076] emitsubo723: radaoHi
[30.078] (S)あっひょ: radaoHi
[30.089] (S)muiisgod: radaoHi
[30.093] (S)ぱるふぇさん: radaoHi
[30.113] ruterute_016: radaoHi
[30.145] ゆかりんりん: radaoHi
[30.187] (S)answer523: radaoHi
[30.288] (S)goma_satsuki: わこらだ
[30.321] (S)未那人: わこらだー
[30.332] しぃきょん: radaoHi
[30.474] (S)さめい: radaoHi
[30.489] (S)しめったチワワ: radaoHi
[30.500] (S)はるもぐ: radaoHi
[30.849] (S)しゅいろちゃん: radaoHi
[30.922] 暗黙の緑茶: わこらだ
[30.977] (S)akaigori: radaoHi
[31.044] (S)yudofu9_: radaoHi
[31.065] (S)cashewnatt: radaoHi
[31.455] (S)kapu_seru: radaoHi
[31.531] (S)かーな: わこらだ
[31.599] kyoutya: radaoHi
[31.656] (S)むっちゅう: わこらだ
[31.671] (S)yotsuha_0202: radaoHi
[31.684] (S)o__rin: radaoHi
[31.704] (S)rin_1208: radaoHi
[31.780] cham_1112: radaoHi
[31.813] ほっけ1107: radaoHi
[31.829] osan0307: osan0307 subscribed at Tier 1. They've subscribed for 13 months! 
[31.899] ツカモト: radaoHi
[32.151] 楓_くん: radaoHi
[32.183] chiharu1212: radaoHi
[32.399] (S)ritoxx12: radaoHi
[32.406] kakiageda: radaoHi
[32.487] (S)ｼｷ_: radaoHi
[32.609] (S)ねこねこお嬢: 昼配信は…？
[32.618] 麗葉: radaoHi
[32.618] niabygg88: radaoHi
[32.810] (S)magiku: わこらだ
[32.815] (S)dodoriaaaaan: radaoHi
[32.842] (S)ククリン: radaoHi
[32.906] あおは_: radaoHi
[33.006] 雨傘ライ: わこらだー！
[33.025] (S)ふくうう: radaoHi
[33.038] poru1010: わこらだ
[33.065] (S)Nayuuu_424: Nayuuu_424 subscribed with Prime. They've subscribed for 9 months! 
[33.106] norato041197: radaoHi
[33.121] ちいさん113: radaoHi
[33.206] (S)あかに: radaoHi
[33.207] (S)coco_1725: radaoHi
[33.240] 雪狐0143: わこらだ
[33.405] ログリア: わこらだ
[33.423] (S)ihiru_1: radaoHi
[33.722] ちゅたちゅた: radaoHi
[33.766] ユゥジサン: a
[33.794] (S)あにゃも: radaoHi
[33.817] (S)1nu_wnwn: radaoHi
[33.827] ふらすま: radaoHi
[35.196] (S)funyoi_2241: radaoHi
[35.213] (S)akimuriaki: radaoHi
[35.399] (S)remmy2307: わこらだー
[35.423] pon_gashii: radaoHi
[35.438] _イオ_: radaoHi
[35.527] (S)ぱわ一: radaoHi
[35.758] (S)pro_arc7: radaoHi
[35.985] (S)Soudako___: radaoHi
[36.005] (S)qban19: radaoHi
[36.033] みゅー__15: radaoHi
[36.069] 井田: radaoHi
[36.082] nanashico27: radaoHi
[36.205] (S)MIKU_J0311: あ
[36.206] ichigomilk_252: あ
[36.234] yuki_empty: あ
[36.245] (S)みーさん0459: わこらだ
[36.321] aina___10812: radaoHi
[36.328] れつれつ: ダウン？
[36.392] 楓さん: わこらだ
[36.447] romiwooo: radaoHi
[36.447] 96猫3: radaoHi
[36.702] (S)amiiii_go: radaoHi
[36.805] darkmoca331: radaoHi
[36.831] (S)みこくま: radaoHi
[36.854] ﾐｵさん: ﾐｵさん subscribed at Tier 1. They've subscribed for 31 months! radaoHi 
[36.918] (S)ぽきぽきさ: radaoHi
[36.928] (S)ドパーズ: radaoHi
[36.930] (S)およおよよ: radaoHi
[38.811] (S)博麗の巫女: radaoHi
[38.839] (S)okameee_: radaoHi
[38.856] yona_0724: radaoHi
[38.896] ゆずシフォン: あ
[38.903] (S)meru_1207: radaoHi
[38.923] すいぺりあ: わこらだ
[39.024] KatsuragiMea: あ
[39.035] (S)ばなばなな: あ
[39.054] sobayu120: radaoHi
[39.079] みそギン: radaoHi
[39.082] mionq_: radaoHi
[39.121] (S)rupppiiii: radaoHi
[39.152] (S)hanada_2: radaoHi
[39.168] (S)前原渚: radaoHi
[39.315] mai161116katatumuri: radaoHi
[39.740] ぬちゃん: radaoHi
[39.749] (S)sena_846: radaoHi
[39.757] くまべりー: radaoHi
[39.793] 宮菜: radaoHi
[39.812] amanooomikami: あ
[39.830] ぐう鱈: あ
[39.853] にわすずめ: ぐううううう
[39.880] 板前の囁き: radaoHi
[39.956] (S)hisuiiiiiiiiiiin: え？
