[1.849] (M)salt_w12: 「〇〇したら？」「〇〇する？」等の指示コメや鳩コメ禁止。他者への暴言下げコメは即BAN。BAN＝視聴不可
[9.510] ひなづき0712: radaoOtaku
[13.793] (S)ぷてゃん: radaoHi
[14.130] はくまい_45: radaoHi
[15.868] ひなづき0712: わこらだ
[16.073] otonashi6209: はやーい
[16.638] (S)muiisgod: わこらだ
[17.511] (S)しんどい凛音: わこらだ 
[18.077] (S)shiro_beans: radaoHi
[21.214] (S)akane203: radaoHi
[24.615] (S)あかに: radaoHi
[26.720] (S)ぷてゃん: はやーい
[28.185] (S)gomudam: はっや
[28.186] 銀杏歩: radaoHi
[28.381] sora_mameee: radaoHi
[28.508] koromoti1219: radaoHi
[29.023] (S)sarrrrryyyyyy: radaoHi
[29.109] (S)さわタイ焼き: radaoHi
[29.233] (S)焼き豆腐: radaoHi
[29.248] buuuuusuka: radaoHi
[29.279] (S)ぬーーーん: radaoHi
[29.291] (S)あにゃも: radaoHi
[29.467] ruterute_016: radaoHi
[29.640] (S)nekomaru52: radaoHi
[29.751] soyokaze1212R: radaoHi
[29.985] (S)my_a_k: radaoHi
[29.985] 髭ピー: radaoHi
[30.008] (S)ももはる_: radaoHi
[30.105] (S)そら_1907: わこらだ
[30.137] (S)funyoi_2241: radaoHi
[30.544] (S)ゆにるな: わこらだ〜
[30.615] まだら25: radaoHi
[30.657] (S)saati0510: radaoHi
[30.670] poru1010: わこらだ
[30.713] arasin2157: radaoHi
[30.746] (S)うさきのこ: radaoHi
[30.754] (S)suzunone_: radaoHi
[30.810] (S)伊丙カオル: radaoHi
[30.832] 佐野ちャん: radaoHi
[30.854] amasagi_: radaoHi
[30.902] (S)星映天下: radaoHi
[30.939] ららこ嬢: わこらだ！
[30.949] shino0909: radaoHi
[31.029] sora_mameee: はやー
[31.108] ゆずシフォン: radaoHi
[31.209] nanashico27: radaoHi
[31.236] munitatatata: radaoHi
[31.461] (S)tanaka452_: わこらだ〜
[31.463] (S)はるもぐ: radaoHi
[31.703] amanooomikami: radaoHi
[31.764] (S)ihiru_1: radaoHi
[31.786] 暗黙の緑茶: わこらだ
[31.803] (S)ame__x_xq: radaoHi
[31.842] pocobokei: わこらだ！
[31.874] peskapes: radaoHi
[32.043] しまおじ: radaoHi
[32.169] (S)ぱるふぇさん: わこらだ
[32.273] mathneko29: radaoHi
[32.340] マシュマロ: radaoHi
[32.487] 和食定食: radaoHi
[32.490] hoozuki05: radaoHi
[32.500] (S)MIKU_J0311: はやーい
[32.527] (S)kokone0927: わこらだ
[32.699] あっすー_: radaoHi
[32.701] osan0307: radaoHi
[32.719] (S)ももはる_: はやい！
[32.720] (S)radaofan: radaoHi
