[32.819] qpack_lice: やあ
[33.149] たかてろてろてろてろ: 暇
[34.677] ntiburio: うんこまんこんばんわ
[34.937] moriya0207: ひまだよ
[35.608] pihioo: 今暇ってドキッとしてしまった
[36.489] TK28vamps: らむっち！
[38.732] こーくー: や
[41.487] (S)ヒイロジーエム: やぴ
[42.735] がはです: や
[43.019] ニキビ青年24歳: 暇だよ飲み行こ
[44.359] saso8105315: おちこんでるからみにきた
[45.176] nox_rere: 今暇がドキッとしたんやが
[45.762] まーぼぅ氏: きたあああああああ
[47.596] かゆかゆドラゴン: エロいタイトルやめて 勃起するから
[51.752] ryuta0904: 彼女かと
[52.334] こばてん: やほやほ
[52.589] uni___sg: ひま！
[53.389] 剣士郎: キュン
[53.688] moriya0207: 店予約しとくわ
[59.545] ~MISSING_COMMENTER_INFO~: くぅ
[60.418] 東方好き1: イェーイ来たよ
[60.910] pihioo: 興奮させてくんな
[64.214] cgjnbyujv: えっど
[64.605] ゆうちゃ2559: 今暇？とか聞かれたら来るしかねぇだろ
[66.714] nox_rere: 今暇はどきってした
[68.425] anjifish0225: チンピクした
[73.616] black_kyuremu: LINEかと思った
[75.105] stein0217: にょっす
[75.265] kenek_2001: ビクッ
[76.356] nox_rere: 懐かしき青春
[76.581] 田中4歳: そんなん行くだろ！
[76.839] ryuta0904: 嬉しかった
[80.509] runbu_03: ちくしょう
[82.171] 雪だる: にょっす✋🐮
[83.006] matsunonnnn: あ
[86.268] pihioo: もう出た
[87.829] Ryomara7: わろた
[87.889] (S)ヒイロジーエム: 今暇？はゲームのお誘いでしょ
[89.537] tokkun2ytk: 今暇に釣られました
[90.137] ~MISSING_COMMENTER_INFO~: あーあ
[90.854] xox909: ramuzuYa
[91.429] zackz_fair: こんばんは～今暇？ってきたど
[93.036] 田中4歳: ふぅ。
[95.672] nox_rere: 俺たちの青春をバカにすんな！！！
[105.364] ゆうちゃ2559: ちょろすぎてくやしー
[114.949] こばてん: 上げてこ
[115.716] uni___sg: ちょろいが？
[121.103] Ryomara7: 同じジュリ使い使いがいると聞いて、、来ました
[123.553] pihioo: 次ラムからの不在着信とかにして欲しい
[138.337] ミカロニ: あの盛り上がらなかった案件ね
[139.079] Ryomara7: 風波使うコンボね！！１
[142.340] paysan0904: かものはしとそろそろやらないの？
[146.376] paysan0904: 対戦
[177.624] Ryomara7: それのループだよね
[184.319] zackz_fair: 今、Twitterでは古来からの豪鬼使いが増えてますな
[203.462] Ryomara7: 5/22から？
[204.339] ayapvq: 仕事中のトイレでみてます！
[206.913] zackz_fair: 来月の22から
[214.422] (S)ヒイロジーエム: FPSや格ゲーってちょっとやめてると腕落ちるよね
[216.978] ミカロニ: 明日愛知県で試遊できるよ
[247.250] こばてん: つえぇ
[248.819] toshishiba: かものはし昨日9時間くらいスト6配信してたぞ
[250.280] zackz_fair: 電話の絵文字とかって通知に使えるの？
[273.166] ゆうちゃ2559: 不在着信とか俺らをどこまで喜ばせるつもりだ勘弁してくれ
[291.623] ミカロニ: 蘭夢からって本名で頼む
[424.998] ~MISSING_COMMENTER_INFO~: Mジュリってぶっちゃけキャラパワー的には大分厳しいと思うけどようやるわ
[484.364] ponda0000: ダイヤすごいなあ 格ゲー経験者じゃないのに
[504.605] fox_kova: モダンジュリは不安要素があるのに頑張ってるってマゴさん言ってたな
[533.778] daiske1981: ガイルはブンブンインパクト振って良し
[560.551] うじさと: 今暇？って良いね
[638.752] ramen_chicken: マスターくらいから火力不足になるのかMからC転向する人はいるね なんにしろ頑張って
[686.051] ramen_chicken: 典型的な待ちガイルです、か
[691.760] pihioo: 台パン見れる日か〜
[707.259] (S)mimimiumiu1: あれ、スト6！w
[731.835] commander8823falcon: RaMuさんこんにちは
[763.464] raruraru315: まけうよりさきにマスター行ってくれ！
[769.426] nokonoko_tv: え、もうダイヤなんだ
[782.104] fox_kova: ガイル専だけどしゃがまないと不安なの 
[807.636] ribamoa: こんにちわ(^^)めちゃくちゃ忙しいんですけど、『今暇？』って流れてきたら来ちゃいますよww
[813.147] nokonoko_tv: FamilyMan
[823.233] Gurikoko: 膨れた顔、大谷翔平
[832.961] nsb1016: ガイルはきついよなあ
[838.398] yamato090318: すこすこ、大すこ
[920.874] ハヤシだよ: まけうはマスターいけませんよ
[1089.881] pihioo: ラムが巨乳なの今思い出した
[1122.931] dxmandai2: 余裕やん
[1189.468] ramen_chicken: 序盤やしゲージはくのは全然ありでしょ
[1226.538] commander8823falcon: (*’ω’ﾉﾉﾞ☆ﾊﾟﾁﾊﾟﾁ
[1301.170] kaujya: 豪鬼使いますか？
[1338.720] 成金たぬき: え、黒染めしちゃってる
[1462.320] annnounn: また豪鬼という見るからにクソキャラが追加されてまう😢😢
[1469.146] annnounn: まだ足りないか
[1481.047] annnounn: よしよし一本
[1555.109] Asyetihavenoname: お疲れさまです
[1574.066] うじさと: 最初はそんなもんよね
[1585.420] pihioo: お、え
[1586.168] (S)ヒイロジーエム: ブランカー
[1587.681] burimoruo: もこうはスト6するたびブチギレて鬱になってるよ
[1609.291] godeba7: なんのキャラがくれば勝てますか？
[1611.242] burimoruo: 反応良すぎだろ
[1634.925] burimoruo: うおw
[1642.396] うじさと: ローリング落とされるの苦しそうだな
[1668.059] ねまき: えっっっ
[1756.203] うじさと: お人形使わない人やね
[1758.770] 柚子鏡月: 暇だわ
[1836.112] たーぼえんじん: 起き上がりインパクト弱い
[1899.045] jknnnnnnnnnnnnnn: マゴが負けてもいいから試合でコンボ出すように意識した方ができるようになるって言ってた
[1919.512] burimoruo: ラッキー
[2066.526] バンジュ: EVOでハイスコアガールの作者、結構勝ち進んでいたらしいね。マリーザでマスタークラスだけはある。
[2071.215] BrothersOfDeconstruction: BrothersOfDeconstruction watched 5 consecutive streams this month and sparked a watch streak! 
[2079.369] 雲色イタチ_: happym78Penlightmove
[2263.045] fox_kova: evojapan布団ちゃん結構勝ち進んでた
[2389.917] danzabeast: これダイヤ
[2407.818] mamemushikun: おにやより先にマスターいったれ！
[2410.807] NaRaJi8: Pro Ramu
[2426.308] mamemushikun: ダイヤ5だよ
[2429.915] jpan1427: おにやはダイヤ
[2467.556] fox_kova: キンバリー壁押されたら不利だね
[2488.294] nao05781210: 立ち強もっと振ってみてはどうですか？
[2564.550] danzabeast: スト6見る分には気楽なんだけどな
[2593.637] she0412: まさのりch！？
[2602.024] (S)maro134r: ramuzuMello
[2602.224] けいちゃん_: アルマゲドン！
[2636.604] けいちゃん_: キンバリーのCA出したときのセリフ
[2652.086] ramen_chicken: 美人やしでかい
[2655.383] こどら_: ダイヤ帯エドまみれだったけど流石に落ち着いたなあ
[2681.622] バンジュ: 来月にはケン使いのほとんどが、豪鬼に転向する恐怖が待っている・・・。
[2766.381] 52たん: ramuzuYa
[2773.951] うじさと: 対応型の巨人だ
[2774.115] こどら_: コマ投げキャラ使ったら爆伸びするのでは
[2897.885] PEACE_MashI: がんばれ148cm
[2908.675] fox_kova: ちなみにevojapan優勝したゲームタイトル3部門全部PAD勢だった
[2909.280] danzabeast: ダイヤ3～5までキャミィ地獄できつかった
[2910.137] kyarori2: ザンギってこと?
[2925.960] うじさと: そういやたいじマノンで50連勝してたね
[2953.244] ginyuginyu: らむちゃんさらに上手くなってる🎵詰めかたやコンボがうまい🤗さすが、らむちゃん＼(^^)／
[2981.070] ramen_chicken: 一日で1900にもったとか
[3063.304] fox_kova: 対空苦手なケンか
[3183.200] toto05550: 久しぶりならしゃあない
[3250.117] バンジュ: 集中力が切れている?
[3261.400] うじさと: このケンの人ラッシュ見てるかもね
[3264.792] 52たん: がんばれ〜
[3270.589] こどら_: いまの相手が偉すぎる
[3276.683] ginyuginyu: ケンに苦手意識あるんかな？
[3338.907] うじさと: EVOJの後だから強い人が帰ってきてるのかもね
[3423.655] クジら: ないす
[3458.902] nao05781210: 立ち強もっと振ってみてはどうですか？
[3491.565] w2tpmjgda1: 大会でもあるの？
[3573.233] (S)ヒイロジーエム: わかる
[3596.567] keitakuya: マゴさんがハイゲのramu褒めてた動画みないか？
[3596.820] nowiejwssie: ストリーマー皆それで悩んでる印象
[3597.504] こどら_: 飛びやインパクト多いと危ない その辺少なければ降っていいと思う
[3611.457] nao05781210: 合う合わないとかあると思うので、お気になさらずｗ
