[31.102] reo_821: unkochanYaa
[32.785] mikan1051: やあ
[34.862] shqrk_xz: でんわ
[36.332] cgjnbyujv: きたああああ
[38.560] mandsomone: hi
[39.062] ken_chan77: やっぴー
[39.290] oissu_rinu0001: うおw
[39.401] fffsss0117: 不在着信やあ
[41.010] officialpecorin: もしもし？
[41.131] かーと397: 布団いくわ
[42.569] かぁもめ: 不在着信すな
[43.306] ayapvq: きちゃぁぁ
[43.452] final_crown_starlight: 電話きた
[43.537] まきびし太郎: 最近それドキッとするからやめてくれ
[45.893] mandsomone: ooh fallout 4
[46.530] koki002444: おはよう
[46.960] dyggfgyhvdff: タイトルビビった
[47.621] ken_chan77: ドキッとする通知やめ
[49.044] poneo2: きた
[49.235] どらすた: もひもひ
[51.519] Neko_Booster: もしもしー
[52.135] fishtanaka: もしもしー？
[52.376] kometarou323: こんちわ！
[52.397] dynanad: きたでえ
[52.592] ayapvq: どきどき
[53.315] ko_ki_09: 通知が天才すぎる
[55.067] 配信中: どした？
[60.735] mikan1051: 電話きたああああ
[61.005] かぁもめ: やぴー
[62.176] tsuna115115: タイトルに釣られてきました
[63.879] wgu_game: タイトル驚くw
[64.449] dyggfgyhvdff: 俺ってラムちゃんの彼氏だったのか？
[64.782] manyyao: ありがてー
[64.945] kometarou323: 今年はコミコン行くんですか？
[67.224] kanataso_c: 俺に電話した？
[68.903] どらすた: 飲み行く？
[71.436] fishtanaka: もしもし
[71.695] (S)beskentyapollo0906: こんちゃ
[75.786] gamouomag: ﾌｫｰﾙｱｳﾂ！
[75.854] かぁもめ: 今日も綺麗ですう
[82.909] yayuyo888: びびったあ
[83.019] kometarou323: シネマンションでコミコン行きますか？？
[85.576] fishtanaka: ごめんなさい
[85.810] mikan1051: BloodTrail
[89.127] 旦那_: やあ
[91.178] こばてん: これはもう付き合ってるって事？
[92.829] めんどる: 🐮📞あにょー、うしうし？
[93.477] dyggfgyhvdff: ンゴっンゴっ…ごめラム氏www
[96.136] バンガロールさやか: えっど
[96.175] プシュケ: yaho
[98.110] ken_chan77: 配信ありがてぇ
[100.346] (S)ミズタニ: にょっす🐮✋
[102.545] kometarou323: 大阪コミコン行くよー！
[104.207] horumon75: わーい
[105.041] (S)beskentyapollo0906: ramuzuMello
[105.918] KAMEsaburo: いいゲームやってんね
[116.307] プシュケ: you play fallout?! lets gooooooooooooo
[116.806] 配信中: おめえ今日もかわいいな
[118.567] mandsomone: Play Very Hard for better item drops
[130.519] korekorechanel: ごみってぼくらのこと😂
[140.939] こばてん: 黄色かわいい
[147.899] ~MISSING_COMMENTER_INFO~: ピクッ
[148.930] 昼さん: こんちわ～～
[156.085] uyo4442: 今日もネタバレ禁止ぃ！？！？
[162.184] ぎんちよ: RaMuさんの動画見てたら不在着信の通知来てガチでビビった😩
[164.037] たかてろてろてろてろ: 不在着信！？
[170.212] gamouomag: 良く知らんくても面白かったなドラマ
[173.207] sakeshakesalmon: RaMuから電話かかってきたんかと思ったwww
[186.947] こばてん: どんなゲーム？
[202.132] ~MISSING_COMMENTER_INFO~: 食欲の秋ですな
[207.758] チクビネラウノ: 可愛いから許す
[221.405] 昼さん: シリーズ完全初見ということで フレッシュなプレイ期待してなす！
[226.497] ぎんちよ: 春すね😩
[239.229] fkb312: 大阪コミコン行きますか？
[251.875] (S)kymoon5: RaMuちゃんこんにちは(´∀｀)
[258.263] (S)beskentyapollo0906: 名前は聞いた事あるけどどんなゲームかわからない
[272.160] 昼さん: 単に気持ちいい
[277.750] ~MISSING_COMMENTER_INFO~: あぁ
[281.511] moriya0207: お店予約しといたけど何時がいい？
[289.711] うら猫: そんなポチポチ取れるんだ
[294.947] mandsomone: some really like the settlement builder part
[305.590] 昼さん: いやちゃんと意味あるw
[329.087] o_Yamato_o: 根こそぎ取れるじゃん
[338.273] uyo4442: 今は解体屋
[357.347] ぐっちゃん七夕: RAMちゃんって何歳なん？
[375.024] ~MISSING_COMMENTER_INFO~: 住もうよ
[400.012] kiseki255418: RAMちゃん、もしかして俺のこと呼んだか？
[402.310] 昼さん: いつまでもかわいい！
[404.633] moriya0207: 初めて知った時制服着てたのに
[404.765] simoya1: はい俺の勝ち
[406.287] ヨーコはやきの熟練奴隷豚: 若いね！
[409.856] チクビネラウノ: がっきゃのー
[414.357] うら猫: 20ぐらいかと
[414.797] (S)beskentyapollo0906: お掃除屋さん？
[427.067] 昼さん: そうそう のりはレア素材
[430.536] ヨーコはやきの熟練奴隷豚: 粘着は野菜育てると手に入るよ
[441.853] manyyao: だんだん必要な素材ジャンクわかってきてていいね
[450.099] あそこの折れたエンジェル: 懐かしい
[452.266] ぐっちゃん七夕: バインもうないん？
[454.944] こばてん: もうそんなに経ったのか
[455.603] ~MISSING_COMMENTER_INFO~: バインって言ってボインってするやつね
[457.917] カズヤ5963: 犬のために犬小屋は一個は残してあげて
[478.806] wakame52300: アルミニウムとか結構必要だった気がする
[483.847] ヨーコはやきの熟練奴隷豚: きれいな水 1個 マットフルーツ 3個 トウモロコシ 3個 テイト 3個 で植物でんぷんが作れる それが粘着剤になる
[494.408] ヨーコはやきの熟練奴隷豚: 一生腐らない 謎の技術
[506.015] ~MISSING_COMMENTER_INFO~: 冷めないうちに食べないと
[526.895] (S)maro134r: ramuzuMello
[549.548] 昼さん: 緑枠はそのまま利用できるから 気に入ったインテリアだったらしまっとくのもありよん
[565.125] サクラヴァンダル: とりあえずおもむくままに進が良し
[605.093] ヨーコはやきの熟練奴隷豚: 自分建築苦手で違法建築みたいになった RaMuちゃんは得意そう
[621.411] 昼さん: ちゃんと村おこしチュートリアルがあるんじゃないかな？
[633.243] かずきち101451: ramuzuYa
[640.182] ~MISSING_COMMENTER_INFO~: 家族になるんだ
[644.781] ヨーコはやきの熟練奴隷豚: タバコは換金アイテム！
[651.164] kingyo_man: 実写ドラマ観て、ゲーム始めた感じですか？
[655.518] ヨーコはやきの熟練奴隷豚: タバコはめっちゃ高く売れる
[677.763] 昼さん: どうだったかな～
[678.342] manyyao: タバコは持ってても軽そうだしね
[694.452] 昼さん: わかる～
[707.730] 昼さん: 見てても気持ちいからな
[711.494] ~MISSING_COMMENTER_INFO~: 気持ちいよね
[719.260] gamouomag: 解体ジャンキー
[719.452] ヨーコはやきの熟練奴隷豚: これも楽しみの一つ
[719.614] manyyao: 楽しんでるのを見たい
[725.821] カイくん1010: フォールアウトいまアマプラでやってるよな
[734.098] うら猫: お掃除ゲーになってる笑
[737.716] かずきち101451: 解体するゲーム？
[738.794] カズヤ5963: 拠点も発展してくると略奪者が来たような気がする
[758.125] mootaapuuru: 拾って何するの？
[765.426] カイくん1010: 敵を迎え撃つ装置とかあるよな
[767.722] 昼さん: ヒャッハーが来るｗ
[767.922] 金粉: こんにちは やばい敵もきますよ
[772.926] カイくん1010: 犬はやめろ！
[778.580] pepeko1174: 犬を解体...?
[784.114] daichi1995: クリアした後映画見てほしい
[785.738] カイくん1010: イッヌ（せーーーーーーふ）
[796.515] 昼さん: ベッドくらいなら作れるか？
[802.958] ~MISSING_COMMENTER_INFO~: ふふ
[803.120] ampanman22: wwwwwwww
[804.153] rua_bit: やあ
[822.798] カズヤ5963: たっぷり１０時間
[824.990] 昼さん: 爆睡もするよね
[833.383] tadafu: スキルで建築系のやつもある
[849.849] gw3n_van: 今日はこれでいいや
[856.867] 昼さん: この世界は 被爆必至
[878.273] cercatore769: やあ
[886.142] カイくん1010: ヌカコーラ うめえよな
[910.305] hatarakemaru: 不在着信来てたけどなんやった？
[923.752] gw3n_van: えっど
[940.890] 昼さん: ちゃんと内容物はしまってくれるんじゃないかな？
[959.309] ヨーコはやきの熟練奴隷豚: 全部ワークショップに入る
[1018.490] mootaapuuru: やすこ
