[47.743] ヒラマサさん: やっぴー
[64.059] oootoaooo: こんにちはー
[64.440] kounoa12: おはよー！
[91.928] ~MISSING_COMMENTER_INFO~: やあ
[93.253] ntiora: やあ
[93.491] junjun525252: もしもしー
[94.363] catsoccer: 着信来てたわ
[95.447] ~MISSING_COMMENTER_INFO~: chika01Call3
[99.178] reo_821: 緊急から
[101.224] higaroku25: どうしたー？なんか電話きたみたいだけど
[102.021] くらたんです: (°▽°)
[106.334] higaroku25: 話聞こうか？
[106.864] ~MISSING_COMMENTER_INFO~: chika01Wave
[115.616] うら猫: どしたん話きこか
[123.207] toki2004p: 着信2回きた
[149.457] ~MISSING_COMMENTER_INFO~: chika01Bongo
[149.548] ria_0_ari: BibleThump100 BibleThump100 BibleThump100 BibleThump100 BibleThump100
[150.551] groovelivegroovelive: fallout進んだ？
[157.874] 黒毛和牛980円: おすらむ
[160.322] higaroku25: 今配信中か、配信終わったらかけ直すね❤️
[169.629] (S)昼さん: こんぬづわ～
[185.704] shuttleee990: 最近配信見れてなかったんだけどフォールアウトおもしろい？
[195.316] 黒毛和牛980円: ゼベスだあるある
[196.390] (S)昼さん: そんなとこあるのか
[197.306] groovelivegroovelive: マジ？
[204.553] oootoaooo: バグ多いからなあ
[206.109] うら猫: チート使おう
[231.702] sakamoto_kids: らむちゃんすき
[244.473] (S)昼さん: うおーいったことないやw
[253.393] ibuibu_lv: 2度と!?
[254.529] groovelivegroovelive: ここバグるのかよ
[264.471] shuttleee990: こう言う場合はコマンド
[288.788] shuttleee990: ！？
[289.809] うら猫: なるんかい
[291.466] (S)わりとシーチキン: 動いた‼️
[294.865] (S)昼さん: うおおおおおおおお
[297.195] ibuibu_lv: なるやないかい
[298.985] groovelivegroovelive: なおったああああああああああ
[303.640] 黒毛和牛980円: ロードしたら行けた
[329.724] groovelivegroovelive: よく分からんけど俺らのおかげだな
[332.155] (S)昼さん: よかったね
[373.658] 黒毛和牛980円: カニ駆除だね
[382.580] (S)昼さん: そんな広いとこあるんだ 知らなかったわ
[384.009] ibuibu_lv: 撃つから逃げる
[387.880] groovelivegroovelive: 弱気なんだろ
[408.583] 黒毛和牛980円: 顔狙うといいよ
[411.463] numa_0516: いまのどのへん？
[422.790] (S)昼さん: なんか向かってこないな
[494.412] (S)beskentyapollo0906: ramuzuYa
[499.486] groovelivegroovelive: コンテナ怪しい
[531.513] groovelivegroovelive: パワーアーマーあるか？
[542.725] (S)昼さん: ピリピリしますわ
[597.091] (S)昼さん: 楽園こさえるかー
[614.038] 摩利支天尊: よく見たらDLCのおかげかヘアピンが無駄に高画質じゃね？
[616.656] groovelivegroovelive: 軍隊の物資かな
[631.092] 黒毛和牛980円: 金庫はしないはず
[669.096] (S)昼さん: カニ養殖しよっか
[708.845] (S)昼さん: 空港に停泊してるな
[708.894] 黒毛和牛980円: BOS
[713.514] (S)mimimiumiu1: カチカチカニさん
[743.860] 黒毛和牛980円: この拠点いいね
[756.156] 黒毛和牛980円: お
[767.205] toda0613: DLC入れたらプランターどころかボルト作れるべ
[769.883] 黒毛和牛980円: ヌカランの弾
[775.386] (S)mimimiumiu1: 新拠点爆誕
[777.268] (S)昼さん: 小型核
[849.428] 黒毛和牛980円: DLCでデスクロー捕獲できるよ
[885.076] oootoaooo: ペットてきな
[885.490] toda0613: ボルト作れるdlcはボルトテックワークショップっていう第五弾やね
[941.965] (S)kymoon5: RaMuちゃんこんにちは(´∀｀)
[996.621] おっさんごりら: 初めまして、こんにちは
[1030.074] toda0613: DLCにはストーリー追加とクラフトとかアイテム追加の2種類あるんだけどプランターがどれに入ってたかはちょっとわからなくて申し訳ない
[1031.592] (S)mimimiumiu1: ここが後の熱海である
[1046.188] (S)昼さん: 容赦なく広いな～
