[23.292] 99tnt: Poooound
[26.572] paysan7: 暇です
[27.245] 45419190721: 暇だよ
[31.613] paysan7: 暇だが
[37.444] paysan7: 暇ですよ
[40.406] tkmkmykn_: リジェクトファイトナイトをみんなで観よう！
[41.701] ken_chan77: やっぴー
[44.849] 葉トリ: 暇
[47.324] paysan7: 純いないから暇だよ
[52.866] void_193: ダイヤ行ったんだ
[56.197] iquinox1586: 配信みれるくらいには暇やね
[60.349] hayato_fire0521: 鬼しかおらん
[90.500] PEACE_MashI: 暇じゃないよ
[115.464] (S)k_e_n13: ramuzuYa
[127.632] zackz_fair: こんばんは～豪鬼襲来モードだから耐えてくれw
[136.537] (S)ヒイロジーエム: ramuzuYa
[149.935] (S)ヒイロジーエム: 豪鬼祭り開催中かー
[163.712] ミスタートウジン: キャンプ行ってたんじゃないの
[187.369] zackz_fair: 瞬獄殺って聞いたこと無い？
[199.603] PEACE_MashI: ずいぶん前だな
[212.789] sayo_za: キャンプ期待してたｗ
[247.518] narimaaaaa: らむが小さすぎて悲しい
[256.622] sayo_za: ｗｗｗ
[319.221] kohamii1031: やぴ
[360.014] めんたいこっ: 頑張れｼﾞｭﾘﾁｬﾝ
[442.990] zackz_fair: 豪鬼はこんな人相してるけど民を襲ったりはしないのよ
[448.069] sayo_za: 豪鬼しかないらしい
[479.490] zackz_fair: ダイヤ帯は豪鬼しかおらんのかレベルらしいしな
[608.890] ユウト7: ガンバレ～✨
[720.074] Qnw3_: 弾無敵ないねー
[731.944] kaki_mau: 弾無敵ないから今までも喰らってたよ
[733.400] zackz_fair: 弾無敵あったっけ？
[744.047] toshiunk: ジュリ強いんでしょ
[744.709] Qnw3_: SA3は弾無敵ある
[748.428] kaki_mau: 当たってたよ前から
[759.527] toshiunk: 波動が早いから
[783.580] ゆうちゃ2559: RaMuちゃんのスト6だやったー
[873.630] 27歳の梅: ミーアキャットが頭から掘ってくるんですけどどういうつもりでやってるんですか？
[883.061] ゆうちゃ2559: こぱんだ？
[925.456] ゆうちゃ2559: 子パンダ毛
[947.818] 27歳の梅: 対空うま
[970.438] 27歳の梅: あたまを掘られます
[1045.222] zackz_fair: ミーアキャットって仲間に毛づくろいとかってする？
[1069.852] 27歳の梅: 仲間だと思ってくれてるんですかね？
[1199.383] 27歳の梅: 弾パリィしてるの素晴らしいですね
[1305.017] sayo_za: すでにダイヤまで行けた豪鬼はうまい人のサブキャラ多分
[1343.148] 27歳の梅: 竜巻→足払いはodてんせんりんガードされるので気をつけてください
[1346.370] zackz_fair: マスター帯のサブキャラが集まる所だしねダイヤ帯は
[1364.975] abc528: ダイヤの豪鬼はマスターのそれ
[1396.477] 27歳の梅: いい投げ
[1418.846] 27歳の梅: 阿修羅とんでんのえらいっすねw
[1445.730] zackz_fair: 阿修羅っていう移動技でその派生でコマ投げがあるのよ
[1526.281] 27歳の梅: 対空ガチでうまいです
[1563.843] みずじろー: 真剣な顔かっこいい
[1573.713] abc528: へっる
[1578.354] sayo_za: キャラごとにモダン操作の調整もありました
[1691.867] 27歳の梅: 今のシミー天才すね
[1695.560] みずじろー: 今のしみーうっま
[1698.697] sayo_za: うまい
[1795.005] 27歳の梅: 26歳の女性がシミーしてくれるだけで、このゲームが流行ったことを暗示してくれて嬉しいです
[1869.084] takayoshi888: ラムちゃん集中してる👀
[1882.072] nnn_makau: 配信じゃなくて裏でやってるぽい
[1897.453] takayoshi888: そっちか！
[1936.636] 27歳の梅: 投げと打撃とシミーのバランスがいいですね
[1995.444] zackz_fair: 昔はその阿修羅が出るか出ないかで豪鬼の強さが分かったのよ
[2049.639] sayo_za: ダメージでかいけど体力少ない
[2067.561] 27歳の梅: odしゃっか→阿修羅は豪鬼プラスなので、ちゃんとトレモしてる豪鬼ですね
[2104.766] omagorenegado: time
[2173.985] 27歳の梅: nice
[2195.188] abc528: 激強はみんなマスター行った
[2227.625] zackz_fair: ジェイミーも強化という評価やね
[2366.364] 27歳の梅: 妹が松伏高校出身です
[2423.463] easysy777: おい！らむ！！！調整後のジュリどうや！！！！
[2438.756] easysy777: Mジュリはちょっとおもろくなったって聞いた
[2485.508] kamidesuyo: いま暇だったりしないってきたんだが
[2623.314] wwwa334: うま！
[2688.901] バンジュ: 対戦開始時のキャラビジュアルに「がんばれジュリちゃん」のイラストレーターの絵が追加されましたね。私は買う。
[2737.525] abc528: 豪鬼村
[3023.399] バンジュ: そりゃスト２の隠しボスだもの・・・。マーベルVSカプコンが誕生するきっかけになったキャラでもあるし。
[3031.191] runbu_03: よ、調子良さそうだね〜
[3042.744] zackz_fair: ちょっと休憩すんべ
[3049.084] ~MISSING_COMMENTER_INFO~: 空対にインパクトは豪気に限らずやらないのが正解です！
[3077.936] ~MISSING_COMMENTER_INFO~: 出ちゃうならしょうがない！
[3275.236] sayo_za: マスターまで行くつもり？
[3323.498] バンジュ: トレモの豪鬼レベル７で、練習しまくるのがベストかな？
[3361.371] zackz_fair: 豪鬼を知るために豪鬼触るのもありだけど
[3441.442] zackz_fair: 真豪鬼と戦えるよ
[3490.505] バンジュ: 豪鬼の新カラーがもらえるらしい
[3506.845] sayo_za: ｗｗ
[3645.138] やる気元気ダイキ: 俺もスト６やると脇汗びっちょになる
[3709.849] zackz_fair: RaMuちゃん師弟杯の時はハブに入らなかったの？
[3883.359] バンジュ: 技が出にくくなったのは、暴発対策で、発生フレームの調整が入ったのが原因かもしれません。
[3964.491] ibuibu_lv: ケンは来るよね〜
[4304.788] バンジュ: ワールドツアーでキャラが育ってなさすぎ。あと、この豪鬼は特別仕様です。
[4308.935] zackz_fair: キャミィでハメ出来て楽に勝てるって見たけど
[4316.854] ibuibu_lv: これはワクワクしますね
[4325.439] マンチカン小太郎: 今きたけど豪鬼強すぎて笑う
[4338.710] zackz_fair: この豪鬼はおにぎり食べて本気になってるのよ
[4399.509] バンジュ: レベルは100まで育てないとダメっぽい。
[4530.104] fox_kova: やぴ
[4532.886] zackz_fair: ワールドツアーどのへん？
[4628.643] zackz_fair: ジュリちゃんとマリーザとブランカの技を持ってるのか
[4660.414] バンジュ: エナドリで回復
[4662.020] zackz_fair: アイテム使えなかった？
[4680.436] zackz_fair: それ回復
[4748.091] zackz_fair: あと79も上げないとあの豪鬼と渡り合えないってことか
[4800.452] バンジュ: コーディ。ファイナルファイトの主人公。
[4867.737] pongashi893: スト6こんなんあるんだ
[4868.419] わいわいばけると: おい！なんだこの同接は！
[5016.928] ダメガネ: おつかれ様です応援してます
