[18.879] kom110jp: きた
[56.944] (S)maro134r: ramuzuMello
[125.578] tamayan0204: こんにちは。
[153.516] tamayan0204: さっき
[264.341] (S)ヒイロジーエム: ramuzuYa
[290.508] fishtanaka: やあ
[363.045] timiyonion: こんちはー仲間はいないの？
[428.986] oootoaooo: 犬肉か
[643.407] timiyonion: デスクローの巣になってるのかな？
[649.671] 田所大掃除: こんな狭い室内でデスクローとか正気じゃないよね
[712.177] timiyonion: もどしたらゆるしてくれるか？
[727.280] なっとう___: かわいい
[813.611] timiyonion: メインクエストはどんぐらい進んだ？
[908.814] 田所大掃除: 警報鳴らしちゃったね
[943.596] timiyonion: デスクローとレイダーが戦ってる
[980.415] 田所大掃除: ホットドッグだね
[1007.662] lodnv: ええ
[1007.794] 田所大掃除: 多分拾ったからぶっ殺される
[1068.458] timiyonion: 食料？
[1083.393] heyheydayo: こんにちは🌞
[1215.237] 田所大掃除: 実は卵戻したからありがとうって態度出すくらいには理性あります
[1225.195] timiyonion: 許された
[1258.704] けーてん: そのガントレットがお礼だよ
[1273.893] timiyonion: 卵戻したら許してくれんの優し
[1295.958] cereal_box_conspiracy: Why am I subbed here? Did I get drunk and harass Japanese streamers again?
[1349.184] 田所大掃除: ほぼフルtﾝ
[1374.960] timiyonion: ほぼフル珍はもうフル珍だろ
[1422.465] 田所大掃除: ４４マグナムだから片手で持って撃ったら肩の骨抜けちゃうよ
[1425.401] timiyonion: その銃はクリティカルが強い
[1447.899] 田所大掃除: マライア？
[1464.346] timiyonion: 初めて見る？
[1467.548] moyac19: やってますね〜！
[1471.707] sirohigeX: 戦車みたいなのきた
[1607.997] timiyonion: 地雷どう？
[1709.324] 田所大掃除: 戦闘中に出産するのやめてほしいよね
[1775.206] 田所大掃除: あんなカマで切られたら部位ごと無くなるで
[1875.946] timiyonion: ぼっびのクエスト進めるとハンコックをなかまにできるぞ！
[1895.811] nattokinmm: おはよう、餃子配信から寝てたわ
[1918.576] timiyonion: そもガントレットが強くない
[1970.129] timiyonion: ハープーンはDLCの島で出てくる
[2048.746] (S)mimimiumiu1: なんかボッピしてきた
[2122.421] timiyonion: そこにくそ強い銃売ってるぞ
[2174.723] arayu2525: らむきゅん❤️
[2190.006] timiyonion: ダイヤモンドシティの前に売ってる
[2269.119] arayu2525: 本当か〜い〜〜！？
[2344.112] 淡香ちゃん: 初見です---
[2366.596] nattokinmm: 速報)はんじょう競馬で59万負け
[2509.514] timiyonion: ダイヤモンドシティに入るとこの広場にとんでもない強さの銃が売ってる
[2520.382] akazukin_san: イッヒッヒ～
[2823.855] timiyonion: 覗いてるときに息を止めるってのがあると思う。当たりやすくなる
[2839.316] もたぁ: このゲームってろぼげーじゃないんだ
[2972.505] 高島いやぁんケーキちゃん: すみません。もう耐えられません。さようなら
[2987.788] もたぁ: どしたｗｗ
[2996.638] timiyonion: なんで病院を調べることになったの？
[3033.648] arayu2525: 何を言ってるの？
[3039.429] kokohan4: アップルパイ食べるね
[3055.888] timiyonion: クリア済みは？
[3089.712] kokohan4: 整形済み？！
[3094.070] timiyonion: この視点じゃわからんな
[3121.947] keitadktts: 整形したキャラクター観たい～
[3132.935] kokohan4: やっぱりエイム上手いよな
[3172.475] timiyonion: パークでAPふやすのはどう？長く走れる
[3192.050] oyupon: クオンタムはレアです
[3413.659] dorako27: やめ時分からないよね
[3500.240] timiyonion: エンディングが複数あるので周回プレイまであります。そのたび使う武器とか変えるととマジ無限
[3562.363] timiyonion: ニック呼んでこよう
[3670.941] (S)mimimiumiu1: 核持って突っ込んでくるミュータント嫌い
[3752.002] okp_rin: 謎の人物が助けてくれるスキル、面白いですよ！
[3756.548] timiyonion: 道間違えてる
[3813.785] 1111_kou: 泡だらけ
[3956.142] timiyonion: さっきの水がたまった地下だべ
[4077.974] (S)mimimiumiu1: 強そう
[4084.571] (S)mimimiumiu1: よわいんかい
[4127.275] timiyonion: 人にしか効かない
[4151.308] chiharu1988: ラジウムライフルは弾薬費とダメージのコスパがめちゃいい
[4188.218] timiyonion: もう倒したろ
[4306.057] うし君です: やあ
[4339.755] gushsy: 激辛ペヤング食べて今3時間トイレから配信見てます
[4360.812] timiyonion: 鬼瓦みたいな顔してた
