[29.644] shiroseitz: よ
[30.261] spavee: unkochanYaa
[30.470] morimoridesuuu: やあ
[30.692] batoralovelove: ラムきたあああああああああああ
[31.175] bettylove666: Konbanwa
[32.959] h_hiroki0318: やぁ
[35.510] かずきち101451: ramuzuYa
[37.966] anjifish0225: かわいい
[40.393] ~MISSING_COMMENTER_INFO~: おっぱい見せて!
[40.445] エディ9999: やあ
[41.774] zackz_fair: こんにちは〜
[44.562] NAKAMURA_SYUNSUKE: つーす！！！
[52.293] hiyoko67: やっほーー
[52.398] 猫を食む者: ramuzuPi
[54.193] kaito7890330: おひさしぶりです！
[55.811] (S)こがわ_: ども
[66.175] csgsssj: ミュート芸
[66.586] ibuibu_lv: チチ肥えた?
[67.572] zakio893893: ミュート
[68.724] mare_ficent: おす
[69.790] hiyoko67: 聞こえない？
[71.632] エディ9999: 声が
[71.915] 猫を食む者: マイクon！
[75.176] zackz_fair: ミュートよ
[76.548] mare_ficent: 聞こえないよ
[80.715] kaujya: ミュートになってます！
[81.972] unkotomitaro: voice is muted
[90.502] meyataku: 今晩は
[94.612] unkotomitaro: お
[95.795] mare_ficent: おけ
[100.290] hiyoko67: 👍
[101.669] 猫を食む者: 聞こえます〜
[102.088] ibuibu_lv: ミュートに慌てるラム氏
[103.766] zackz_fair: 聞こえるよ
[123.299] unkotomitaro: 布団ちゃんと一緒
[130.475] こばてん: やったね
[138.342] meyataku: 引っ越すの？
[139.918] 猫を食む者: ほうほう
[144.235] zackz_fair: ほう
[146.599] karikid: えっちだねぇ
[161.150] こばてん: なんだと
[162.631] unkotomitaro: ペット不可の壁
[164.263] mare_ficent: あれれ
[165.171] 猫を食む者: むーん
[165.840] csgsssj: まぁ、
[170.681] ibuibu_lv: キャットミーアです
[171.964] zackz_fair: ミーアキャットがダメな理由ってなんだ？
[187.822] こばてん: ペット可でもダメなんだ
[201.902] mare_ficent: ミーアはハードル高いんだ
[202.630] csgsssj: 壁とか噛むからじゃない？
[212.674] 猫を食む者: 知らないからってことかね？
[226.102] がるういど: ペット可て犬猫だけのことなのか
[228.667] akiragamer2: ramuzuYa
[241.870] sizemini4869: 初コメです✨
[253.016] unkotomitaro: あかんやん
[253.334] tabacco_taro: ラム教にマンション買ってもらおう
[255.509] ko_sw: 壁に粗相しちゃうからじゃないの？
[269.663] ヨモギ田モギ代: なにが起こるか想定できないからかなぁ。犬猫も何するかわからんけども
[281.483] wikidmw: ミーアキャットの知識がないからなんかするか分からんゆえに怖いのか
[284.995] csgsssj: soso
[285.054] ダニエルぅ: 立ちション
[287.148] ガビタク: やぴ
[300.527] mare_ficent: 大家さん側の理解度が低いからNGなのか
[301.135] hokutozycpro: いつかプンバとのコラボ待ってます
[304.666] zackz_fair: 知識ゼロだから怖いのよね
[320.193] takabo124: オーナー頭かてーなー
[332.217] こばてん: あんなに可愛いのにね
[335.277] bpsmikaeru: こんにちは初見でーす
[343.057] 猫を食む者: 世間的に広まってるフェレットならOKなんだろなぁ
[346.771] トリニティの: 前例がないとなにするかわからんのよね
[348.968] csgsssj: ミーアキャットのキャット部分🐈
[351.762] watcher_japan: 参っちゃうみたいなポーズで草
[362.320] ヨモギ田モギ代: 家建てよ
[362.652] mare_ficent: 前回は11件って話だけど今回は1件だけだったの？
[400.269] zackz_fair: 取ってあの匂いなの？
[404.784] hokutozycpro: オーナーに配信みせるべ
[426.983] takabo124: オーナーって年寄り多いんかな
[441.960] (S)こがわ_: ミーアキャットの知名度上げるしかないのか
[453.384] jiro_087: これから公開の実写邦画作品でオススメありますか？
[458.978] bpsmikaeru: ramuzuKao
[466.330] zackz_fair: ペットは何ですか？ミーアキャットです。ミーアキャット？ムリムリで話終わるのか
[468.343] mare_ficent: じゃあ今白紙の状態？
[472.440] ribamoa: らむさんこんにちわ(^^)
[475.452] 猫を食む者: あら？んじゃ、まだ見つかってないのか、見つかりますようにびっつ uni100
[477.785] tabacco_taro: ramuzuKao
[479.466] unkotomitaro: えっ
[498.794] (S)ヒイロジーエム: ramuzuYa
[504.430] mare_ficent: なんやそれ
[514.276] greenismine11: www
[519.270] 猫を食む者: ２匹ってのも、ビックリかもねぇ
[520.146] hokutozycpro: ramuzuMello
[521.778] wikidmw: ただ、見たかっただけ
[524.607] zackz_fair: ミーアキャットってこれか〜で終わりかいw
[529.015] starrrrrch: 獣臭ないんだ
[541.980] ヨモギ田モギ代: 資産価値下がりそうな習性があったら困るから、理解がないと厳しいのね
[559.922] hokutozycpro: トイレは覚えるの？
[575.112] wikidmw: フェレット好きのオーナーを探そう
[575.729] ヨモギ田モギ代: ミーアキャットの伝道師になりましょう
[580.079] watcher_japan: 不動産屋のやる気次第で結構説得してくれたりもする
[589.675] tabacco_taro: 日本らしい
[592.888] bpsmikaeru: 未知っていうか無知
[606.098] 猫を食む者: 建てちゃう？
[607.398] unkotomitaro: 敷金を倍にする
[609.952] tabacco_taro: どこに欲しい？
[613.576] ヨーコはやきの熟練奴隷豚: トレーラーハウスとか安そう
[615.500] ジャルパンク: 生き物ダメって言われたの？
[618.484] ジロ5454: トレーラーハウスとかは？？
[622.268] Sandbox30: ペレットじゃなくてミーアキャット
[636.264] こばてん: エグいね
[651.159] takjwmamw: とことこ動いてて可愛い
[672.975] ぽるはぶちゃんです: お久しぶりです。めろちゃんかわいいですね
[681.469] ジャルパンク: 世田谷に一軒家買うかw
[690.129] ヨーコはやきの熟練奴隷豚: 股間触ったやつ
[694.486] emonda_ceo_02: お久しぶりです
[696.802] hokutozycpro: 70のじじいにおまん触られたやつね
[697.192] zackz_fair: はぁ！？
[699.350] takjwmamw: ええ？キモ
[699.481] ジャルパンク: 毛のやつね
[701.850] unkotomitaro: 陰部検査やな
[704.711] ヨーコはやきの熟練奴隷豚: 他の小児科医は普通はやらないって言ってた
[705.490] bqzzil_kei: あれエグいよな
[708.197] 黒毛和牛980円: やばすぎ
[710.250] ranran73: 性発達の専門医だったみたいです
[731.160] ジャルパンク: 見られたことなくない？
[735.834] ヨモギ田モギ代: いらないね！
[736.891] こばてん: トラウマになっちゃうよね
[737.445] csgsssj: 女医ちゃうの？
[738.469] takjwmamw: 男子児童のやつみたの？
[741.096] mare_ficent: 現代医学のアップデートされてなさそう
[744.164] emonda_ceo_02: 完全な犯罪だから高齢でも服役させるのが一番です
[746.156] takabo124: 女医じゃダメなん？
[746.389] unkotomitaro: おけけ
[753.732] びんとろ0303: ち、んげも見ろよ
[758.853] hokutozycpro: それをしたいがためにジジイは勉強がんばってきたんやぞ！！
[778.785] takjwmamw: きんも
[783.484] takabo124: 男でも少し恥ずかしいのにな
[787.008] 猫を食む者: んなもん、いらんなぁ
[788.920] びんとろ0303: 男子もかよｗ
[800.060] unkotomitaro: 性徴の度合を見てるやで
[801.407] takjwmamw: wwww
[802.814] ヨーコはやきの熟練奴隷豚: かもｗ
[806.586] guguttyy: おい！ラム！髪伸ばしてポニーテールにしてくれ！
[806.984] zackz_fair: 高校生の健康診断でオジサン先生が女の子診たりするとか見たな
[807.699] nagi1308: かわい
[809.293] mare_ficent: かもなんだw
[810.790] ジャルパンク: www
[829.780] dededen7: それは親が悪いｗ
[831.234] sizemini4869: おまたって子供頃しか言わないw
[832.844] 猫を食む者: ママのせいか
[838.013] hokutozycpro: 合ってはいる
[841.579] takabo124: マセガキ
[850.250] ヨモギ田モギ代: おまた毛アピール、かわよい
[857.611] bpsmikaeru: おったま毛
[861.681] ~MISSING_COMMENTER_INFO~: かわいい
[868.535] こばてん: じゃあRaMuさんは
[874.145] unkotomitaro: w
[886.068] ミスタートウジン: 毛貼ったりして
[887.539] watcher_japan: おっそ
[888.062] ~MISSING_COMMENTER_INFO~: おっそ
[894.187] unkotomitaro: おっそ
[894.887] 1226yoppy: まんげ？
[896.033] ジャルパンク: 男も一緒早く毛はやしたかったw
[900.321] 猫を食む者: 待望の
[918.831] unkotomitaro: 変わってる
[925.311] ヨーコはやきの熟練奴隷豚: 草
[927.289] 1226yoppy: 栄養がかたよってる
[931.532] unkotomitaro: もうないのか！
[932.333] emonda_ceo_02: はっきり言うなw
[934.450] isudaisuki0141: えっど
[936.019] takabo124: エネルギーもってかれたな
[937.958] sizemini4869: 脱毛したんだ！？
[938.123] 牛人間: OMANGE MANGE
[945.651] _エゴイスト: がっつり言うやん
[950.322] 猫を食む者: あこがれるのをヤメたのね
[955.680] watcher_japan: はっや
[956.412] takabo124: 超過酷な…
[956.521] isudaisuki0141: wwwww
[958.135] mousan0555: なぜそれで大きくなれたのか…
[958.484] emonda_ceo_02: グラビアやるから脱毛？
[963.031] ~MISSING_COMMENTER_INFO~: ホルモンバランス大事やな
[966.807] 猫を食む者: 短い付き合いだったね
[967.040] kusahuton427: おまんげんは生えてる方がイイ！
[968.910] 1226yoppy: お前実は男？
[969.037] unkosan893: らむ 
[975.317] bpsmikaeru: せっかく大人になったのに笑笑
[981.987] koitiro1: ラムちゃんうしろ！（笑）
[987.392] zackz_fair: 毛は髪の毛だけで良いってなったのか
[988.230] o465o: ramuzuKao
[988.795] koitiro1: 可愛いな
[999.679] unkosan893: は？オセッセどないすんねんそれ
[1001.600] emonda_ceo_02: えー男子の体も気持ち悪いの？
[1003.450] 牛人間: 欧米みたいに日本もパ○パン流行って欲しい
[1007.860] tqlk05: はんじょうからきた
[1016.934] o465o: 銭湯無理な人いるよな
[1019.575] easpnl: unkochanPower
[1028.866] 肥前国住人伊予掾源宗次: ramuzuKao
[1038.373] 左利きのエレン: 自分一人で致していたほうが気持ちいいんだけど技術不足ですか？
[1039.186] unkosan893: 嘘だろ 
[1042.540] kusahuton427: ？？？？？？
[1042.879] sizemini4869: 女性が脱毛してても男性は気にしないよな
[1045.475] ジャルパンク: 男だとすね毛のほうが抜ける
[1047.042] 1226yoppy: ？
[1048.304] easpnl: でもお前脱いだら凄いじゃん
[1053.009] ~MISSING_COMMENTER_INFO~: アブノーマルな方ですね
[1062.144] zackz_fair: 日曜の夕方に何を大声でw
[1064.318] 1226yoppy: 毛くれよ
[1068.783] ヨモギ田モギ代: ホルモンバランス
[1072.585] mumr4: 滴るんよなぁ…
[1077.825] kusahuton427: えつど
[1078.361] アドバ兄: 初見です  下品ですね
[1080.663] hanzoumon_baba: ヒゲじゃん
[1081.013] unkosan893: そら濡れたらそうなるやろw
[1089.408] gd17g: しんじさんみたいになってるってこと？
[1089.639] kusahuton427: 最高だろ
[1092.462] asameshi_mae: そのしたたりがいいんだろうがぁ
[1093.954] ~MISSING_COMMENTER_INFO~: 笑
[1095.186] hanzoumon_baba: ダルシムのヒゲやん
[1095.997] ~MISSING_COMMENTER_INFO~: ひでぇ
[1097.515] 猫を食む者: 枝垂れ桜🌸
[1098.757] tqlk05: 潔癖じゃん
[1099.539] easpnl: なんでそんなじっくり見てるん
[1101.336] simoya1: 男の方がもっとえぐいぞ
[1103.788] ta9ya_infinity: こっわ
[1106.628] takabo124: 剛毛さんかな
[1110.565] makunouchi_yutaka: 珍こも一緒だろ
[1112.874] kusahuton427: ていうかおまんげん見過ぎだろ
[1113.101] 1226yoppy: 男の玉毛でもそうなるそ
[1118.232] 猫を食む者: 濡れワカメ
[1119.200] ta9ya_infinity: みてはいけないものをみてしまうやつ
[1122.354] sizemini4869: ジロジロ見たらだめだよ
[1122.764] zackz_fair: トラウマに
[1127.029] ~MISSING_COMMENTER_INFO~: 足だろ
[1127.989] emonda_ceo_02: そういう感覚は人それぞれだから仕方ないよねー
[1128.496] unkosan893: 足だろ
[1128.804] tabacco_taro: なんで
[1131.626] easpnl: ケツから入水するよ
[1133.081] zackz_fair: 足だよ
[1134.726] kusahuton427: 玉からかな？
[1139.742] ダニエルぅ: ｗｗｗ
[1140.936] 猫を食む者: タマタマからの人もいるよ
[1141.577] tqlk05: てことはちｎを見たことあるってこと？？？？？？？
[1144.695] kimNit0: 途中からでよくわからん
[1147.969] thermotogamaritima: 右の金玉から入水するよ
[1151.578] 怠慢人: じゃあ今度から頭から入水するわ
[1151.748] 1226yoppy: お前ちんことかまんげとか普通言うんだか
[1154.571] keiogu: 短いと玉からだよ
[1160.624] kusahuton427: ちんちんがたまたまより小さいのでたまたまから入水します
