[10.182] ミュク: よっ
[26.557] ぜろこーど: sunaodOha
[30.077] アメーダ: sunaodOha
[36.394] ななな7: はっや
[37.252] はらまきっ: sunaodOha
[38.149] リュダ: sunaodOha
[42.379] 不得不爱: sunaodOha
[43.712] mogubou: sunaodOha
[47.701] gurikororo: sunaodOha
[48.502] ぜろこーど: 3時間配信ですか助かります
[50.567] アメーダ: ジャンがちょうど終わったから助かる
[51.733] 海老マシンガン: すなーおがきたあああああああ
[56.142] taku_4321: sunaodOha
[60.243] gurikororo: 今日はやくない？どしたの？
[61.117] デジツンジ: sunaodOha
[69.496] リュダ: 早起きですか
[76.014] ななな7: なんかあった？大丈夫？
[83.618] mec314: 純のPK見た？
[120.384] gurikororo: sunaodYeah
[129.103] mogubou: sunaodHBD
[132.767] ななな7: 純のPK見た？
[142.632] リュダ: 引きこもりを決意したすなお
[161.157] mec314: いま加藤純一さんが室内サッカーW杯でオーナー最多得点です
[178.941] はらまきっ: はらまきっ subscribed at Tier 1. They've subscribed for 15 months, currently on a 15 month streak! sunaodLove
[179.757] gurikororo: オーナー最多なんだ 
[204.543] リュダ: 映画観るの？
[226.442] (S)おすぅしぃ: sunaodOha
[236.926] cafelatte99: sunaodOha
[237.499] ななな7: いもーおもくる？
[251.774] (S)おすぅしぃ: ﾍﾟﾘﾍﾟﾘﾍﾟﾘ
[257.261] wasabi_suki: sunaodOha
[272.345] cafelatte99: cafelatte99 subscribed at Tier 3. They've subscribed for 13 months! 
[281.137] リュダ: 富豪だ
[330.552] ななな7: ないた
[334.278] cafelatte99: 終わりだ；；
[347.986] リュダ: 祝日が無いなら毎日休みにすればいいじゃない
[362.795] gurikororo: 新作のマッドマックス見てきたよ 
[380.511] wasabi_suki: いいなー
[381.780] gurikororo: フュリオサーね
[398.360] gurikororo: え
[398.383] (S)おすぅしぃ: スポンジボブ理論
[402.750] wasabi_suki: 今日も明日も仕事だから見に行けない；；
[405.136] cafelatte99: ｗ
[419.023] ななな7: マンガ〇巻まで我慢して読めば理論
[458.904] はらまきっ: おおお
[469.568] gurikororo: おぉ
[474.027] ななな7: 序盤で自慢しないってことはまだモニター送ってないってこーーと
[479.489] gurikororo: またサクサクプレイですか
[481.187] リュダ: 時間差ホラーのお時間です、か
[488.813] cafelatte99: sunaodBanana
[489.745] gurikororo: おいおいw
[491.977] ぜろこーど: やばすぎる
[496.350] mogubou: sunaodSu
[499.586] はらまきっ: ｗｗｗ
[500.081] リュダ: sunaodBanana
[509.482] ぜろこーど: もう二ヶ月ぐらい経った？
[523.433] ななな7: おわってらｗ
[539.688] gurikororo: sunaodYeah
[541.427] はらまきっ: 用意周到ですね
[566.244] さしはら: sunaodOha
[568.384] eda_donguri: sunaodOha
[586.030] mogubou: 上手くいかない日もあるさ 
[590.307] ぜろこーど: 多分間違えて貰いに来る人が多いんだろうなｗ
[592.229] はらまきっ: 4枚ならなぁ
[627.311] ななな7: もう２か月おくってない
[641.051] cafelatte99: コンビニダッシュrta
[652.029] はらまきっ: 自分待てます
[666.443] ぜろこーど: ウルトラワイドにしたら？
[685.030] ぜろこーど: そんな漢字
[688.186] リュダ: 首疲れそう
[752.045] (B)sunao_desuu: はらまきっ 様、470 どねありがとうございます！
[765.630] wasabi_suki: sunaodGyoee
[768.964] gurikororo: sunaodGyoee
[770.898] ぜろこーど: ｗｗｗｗ
[773.893] ななな7: ただ
[784.225] cafelatte99: DinoDance
[784.716] ぜろこーど: 結構安かったｗ
[795.448] mogubou: sunaodUkiuki
[822.585] ななな7: 休憩？
[892.738] ウロ: おはよー 配信始まるの早すぎ 朝型人間になっちゃった？
[919.101] ぜろこーど: また誰か連続視聴記録消えそうだな
[928.064] gurikororo: これくらいでも助かるよ
[930.706] eda_donguri: 速すぎてびっくりした
[948.252] ウロ: 見逃すとこ
[971.193] ななな7: 盛った？
[973.093] mogubou: すっご
[973.171] ウロ: 頭いてぇ
[991.006] ウロ: マイク壊れた？
[997.598] wadaryu_ope2: sunaodOha
[1004.790] ウロ: ロボみたいだった
[1024.692] ウロ: 8番のりば買ったんだ
[1053.785] (S)ミカロニ: ここから始まるんだ
[1071.212] mogubou: 8番出口と似た感じ？
[1071.291] ウロ: このゲームもチラズから行ったり来たり行ったりで大変だな
[1087.848] (S)ミカロニ: platform だったかな
[1088.263] ななな7: やめよっか
[1090.050] ウロ: 先駆者になるか
[1092.722] rnzrnz: platform ８ dederukamo
[1098.190] ぜろこーど: EXIT8にしとくか
[1141.498] ウロ: そしてまたワイプの遅延調整をして
[1164.993] (S)ミカロニ: 8番出口っていうジャンルが出来たよな
[1193.749] ウロ: 加速度切るべ
[1199.011] はらまきっ: sunaodYeah
[1200.536] ウロ: まだいける
[1200.630] ななな7: ゆれあると吐いちゃう
[1212.493] はらまきっ: ｗｗｗ
[1215.565] ウロ: ｗｗｗｗｗｗｗｗｗｗ
[1216.061] (S)ミカロニ: もしかして間違い見つけないと本編行けない？
[1228.273] mogubou: 音ズレはあってもいい
[1236.470] ななな7: おえええええ
[1236.474] はらまきっ: えっぐｗ
[1240.452] ぜろこーど: 酔うわ
[1240.519] ringojam03: もう吐きそうだ
[1246.096] cafelatte99: ｗ
[1257.101] (S)おすぅしぃ: すなーおの初ゲロがみれちまうよ
[1268.408] mogubou: sunaodYeah
[1291.713] ななな7: ん？
[1302.585] (S)ミカロニ: これ本当に乗り場のやつ？
[1307.543] ウロ: 入口に入るところからか
[1327.791] ななな7: 電車のらない？
[1338.898] (S)ミカロニ: ゲーム間違ってる説ない？
[1339.192] ninninninjack: 流行りのゲームやってるね
[1339.656] ウロ: ８番出口開いてたら驚愕するところだけど
[1358.485] はらまきっ: やる感じか
[1379.779] ウロ: じゃあ今からやる人はこっち買えばいいんだ
[1381.929] ninninninjack: なんかアプデきた？
[1392.479] (S)ミカロニ: 本当にこれのりばのやつ？
[1404.245] taku_4321: ｗｗｗ
[1405.209] はらまきっ: こっわ
[1406.314] wasabi_suki: ｗｗｗｗｗ
[1407.853] ななな7: おわってら
[1407.988] gurikororo: sunaodBanana
[1408.295] ウロ: 何をしとんねん！！！！！
[1409.506] ぜろこーど: ｗｗｗｗｗｗｗｗ
[1410.205] cafelatte99: sunaodBanana
[1411.028] mogubou: www
[1412.191] ninninninjack: 普通に8番出口やってるよ
[1414.180] ninninninjack: え？
[1419.697] typingood: あなたが一番ホラー
[1426.096] ウロ: 笑ってごまかしていけ〜
[1432.384] mogubou: 異変だー
[1438.490] ウロ: もどれもどれ〜
[1442.718] (S)ミカロニ: 出口まで気づかないの見たかった
[1449.073] ウロ: 乗った〜
[1449.754] ninninninjack: あーね
[1452.695] typingood: この配信出口ないの？
[1484.961] ウロ: 0.4 0.4 9.0
[1494.343] ウロ: 乗れたんだ
[1496.800] gurikororo: たっか
[1501.925] (S)ミカロニ: 俺こんぐらいだよ
[1507.197] ななな7: 175くらいか
[1513.062] ウロ: カービィ
[1520.656] K4N4chan: こんすにゃー
[1521.831] ウロ: 普通に気になる広告だな
[1534.398] wadaryu_ope2: VRCはまずい
[1543.745] ぜろこーど: これは既に異変
[1547.825] ウロ: ここに広告枠つけて金稼いだのか
[1549.343] (S)ミカロニ: これあるよ
[1566.113] (S)ミカロニ: 実際にあるよ。多分スポンサー
[1586.014] wadaryu_ope2: 10G(10G出るとは言っていない)
[1588.336] ウロ: 10契約して１ちょい出るくらいじゃね
[1606.917] はらまきっ: 窓ガラスに体映ってないな
[1608.421] ななな7: TRPGもいつかやってほしいな
[1683.271] ウロ: 消えた
