[18.844] futabaame: FortOne
[30.838] わやみんぐ: 久しぶりぃぃぃぃぃぃぃぃ
[35.140] rep008_: やたああ
[35.900] 私さーもんちゃん: tennnUWAAA
[36.200] keybow_lr: 音入ってない？
[36.424] b1______: hi
[37.400] hourens0_: BloodTrail
[37.670] soshitema: tennnZETA
[40.344] クロエ0909: ！！てんた？？久しぶりいいいいい
[41.853] (S)もあ_모아: tennnHi2
[42.618] peeemas_jp: tennnHi2
[43.237] rays_0121: おとないお
[46.016] 私さーもんちゃん: sekiMute
[47.498] すのは_: わああああああああ
[50.297] jima922: 聞こえる
[51.639] らきぽて: きこえた！
[52.159] hourens0_: 今尾とは言った
[53.144] keybow_lr: 聞こえダァあ
[53.351] rays_0121: ありがと
[54.807] ninna811: tennnHi2
[56.351] クロエ0909: 帽子かわいいいいい
[56.395] 私さーもんちゃん: 音きた！
[56.687] みうら_: tennnHi2
[57.873] (S)soar_az: 待ってたよー
[58.534] (S)rin050121: rin050121 subscribed at Tier 1. They've subscribed for 8 months! 
[58.721] わやみんぐ: てんたすきだ
[60.346] (S)_あしゃ: tennnHi2
[60.471] (S)もあ_모아: もあ_모아 subscribed at Tier 1. They've subscribed for 8 months, currently on a 8 month streak! ウォチパありがとう！！ tennnHi2
[62.909] rep008_: おほほほｈ
[63.413] kei_vlz113: 配信感謝ー！ 
[64.318] kiyo_109: tennnHi2
[65.833] rays_0121: ゆらーーーーーん
[66.265] すのは_: めっちゃ久しぶり；；
[67.001] クロエ0909: てんたあああ
[69.033] きょむろーら: tennnHi2
[69.346] 私さーもんちゃん: ゆらんんんんんん
[69.902] me_tmt: valorantを頑張っているてんた久しぶり！
[70.598] にゃんキャッツ: tennnHi2
[74.823] (S)_あしゃ: ~MISSING_MESSAGE_INFO~
[77.283] らきぽて: もうちょっと大きくてもいいかもです
[98.212] _えびふらい_: tennnHi2
[98.793] (S)ココ茶_26: tennnHi2
[102.382] ダンブル: ~MISSING_MESSAGE_INFO~
[105.351] マシュマロドディ: tennnHi2
[108.109] にゃんキャッツ: 帽子かわいいねぇ
[111.321] mamimami422: うるさ
[111.647] ギムネマ茶: tennnHi2
[112.046] rays_0121: ええ感じ
[119.229] すのは_: サブスクの音が大きい
[121.769] (S)もあ_모아: 読み上げでかい
[125.980] きょむろーら: きょむろーら subscribed at Tier 1. They've subscribed for 25 months! 
[129.996] (S)rinsan_0825: rinsan_0825 subscribed with Prime. 
[131.431] 私さーもんちゃん: 読み上げガールの声バカでかい
[132.488] acxxv: ゆらん寝ぐせ？
[140.620] taro_Vlrt: Tシャツ買ったよ〜🫶🏻🫶🏻
[141.675] ギムネマ茶: !goods
[157.037] _えびふらい_: tennnNICE
[162.839] ギムネマ茶: やっぱ黒もええなあ
[166.540] 私さーもんちゃん: 黒かわいいな
[166.585] (S)yamatakeboy: tennnOHATEN
[175.681] 私さーもんちゃん: 感謝します
[177.711] me_tmt: 他の試合は一応見てはいたの？
[177.929] きょむろーら: 黒もいいね 
[180.306] kasyu_940: kasyu_940 subscribed at Tier 1. They've subscribed for 20 months! 
[190.479] クロエ0909: オレンジ買った〜
[195.220] (S)げん2: Tシャツとヘアバン買ったよー
[196.704] jima922: 女ま
[197.927] maru_3366: www
[200.170] rays_0121: ちょとでかいな
[204.848] きりんたーん: この女やめてｗ
[206.436] (S)もあ_모아: ヘアバン色迷ってる
[206.589] にゃんキャッツ: うるさいやめてねw 
[211.903] kasyu_940: ﾃﾝﾊｲﾄｩｰﾃﾝﾊｲﾄｩｰﾃﾝﾊｲﾄｩｰﾃﾝﾊｲﾄｩｰ
[226.999] takuma153: ゲーム音小さくなった
[231.799] hourens0_: ゲーム音小さいかも
[232.862] クロエ0909: クロエ0909 subscribed at Tier 1. They've subscribed for 21 months! てんた久しぶりいいいいー
[234.293] ギムネマ茶: ゲーム音下がってない？ｗ
[235.086] blue_vlrt: !goods
[235.734] すのは_: ウォチパしてなくて怒られた？
[237.423] mamimami422: ゲーム音小さくなった
[241.689] syeiaaa: tennnHi2
[243.598] rozena2525: zetawin
[247.160] rays_0121: wwwwwww
[249.144] rep008_: ｗｗ
[249.731] jima922: あーーwww
[251.435] kasyu_940: いて
[251.552] fre_____d: ねえ
[253.562] えむえにゃ: wwww
[253.618] (S)もあ_모아: ｗｗｗｗ
[254.410] r1ar1a_: 耳壊れた
[254.686] aaaasahi_0123: 死ぬほど聞かれてると思うけどてんた競技復帰はない？
[255.697] takuma153: www
[257.938] きょむろーら: wwwww
[259.988] ギムネマ茶: 相変わらずで安心した
[261.268] yukorin_game: www
[261.418] にゃんキャッツ: うっさww試合見せてよwww
