[16.335] r7ponpopo: DinoDance
[18.808] chanray_: おはようございます
[19.462] (S)うんぺるたる: おはようございます！！
[28.603] (S)at0m_dayo: おはようございますー
[29.271] (S)coco_xxxi7: おはよヘンディー
[33.463] pwgkpmtjwm: おはんはん
[34.601] (S)やなぎ1617: こんにちはー！
[40.271] (S)かなるな: おはよう！
[41.912] (S)猫ゆ: こんちゃー！！！！！
[43.198] (S)hanana___: おはようございます
[45.260] (S)annindo__fu: おはようございます
[45.390] bamboo3q: おはよー
[45.542] 9rubu4: おいすー
[47.683] 悪魔的うたのさん_たいら: こんちゃ
[47.986] オーマーン国際空港: こたろおはよー
[47.987] しゆう_: tonaka2Penraito
[50.048] aru_paru: おいすおいす
[57.369] ゆんち遊戯: 待ってたよ、おはよう
[61.147] kirin_rokushin: おはようございます
[62.254] 悪魔的うたのさん_たいら: Kreygasm
[62.477] (S)owo_8o8: アーカイブ見てましたおはようございます
[69.009] arincoyade: おはようございます！
[70.178] ヘラウキ師: こんにちは🌞
[72.180] papillon779: おはようございます
[73.718] (S)かなるな: タイトルがめちゃくちゃ切実
[75.660] (S)zakiyoka: 元気ですかー
[76.073] soralis99: おはようございます〜
[78.676] (S)pippi_po: pippi_po subscribed with Prime. They've subscribed for 20 months! こんちゃ〜
[82.008] ポテンシャル敬: おはへんでぃー
[82.031] (S)akko818: こんにちは
[83.724] (S)猫ゆ: ツノかわいw
[83.952] miii_4: こんにちは！
[86.464] inomizu19: こんにちはー！お昼にちらっと失礼しますー
[89.773] きょうちっち: お疲れ様です！
[91.102] (S)coco_xxxi7: おはです
[92.053] おパジャマ: オハンヨ
[92.938] optimus_black: おはようございます！
[94.009] (S)大きな寿司: tonaka2Nikkori753
[94.280] さくぅ_: おはようございます
[94.670] arincoyade: 仕事の休憩中に見れるの嬉しいです！
[95.532] koborimaru_kobo: おはです！
[95.942] オーマーン国際空港: おはんよ
[102.780] (S)かなるな: お元気ですか？
[105.921] (S)千茶: おはようございます！
[108.290] llloolololollo: おいす
[108.320] kamimono_room04: こんにちは👋😃アーカイブ見終わった
[109.736] (S)syao_2: おはよう！
[113.685] naa_6250: おはようございます！
[115.449] (S)棚華タナ: おはです！
[116.800] (S)やなぎ1617: アーカイブ見てたけど今回も追いつかないw
[118.520] 湯屋さと: おいすおいす
[125.030] inomizu19: 仕事に戻りたくなくなった…
[125.361] (S)syao_2: 今回のスト鯖っていつまでなんですか？
[134.587] (S)akko818: えええぇぇ
[137.056] ktuunn: 損した
[138.984] osakihajme1230: おはようございます☀️ハジキ買いますか？
[139.833] (S)えまㅇ: おはようございます〜
[143.086] (S)みにろん: みにろん subscribed at Tier 1. They've subscribed for 12 months! こんにちは！
[147.643] (S)かなるな: 昨日400円だったのに
