[24.626] 桜子ちゃん: こんちはー
[32.909] (S)じぇにん: tonaka2Nikkori753
[33.757] (S)わしのしわ: おいすおいすー
[35.103] (S)annindo__fu: こんばんは
[35.630] (S)hanana___: こんばんは
[43.293] さくぅ_: こんばんはー
[52.854] (S)Nasia_FF14PvP: こんばんは～！ 
[65.564] (S)なちゅ120: こんばんはー！
[65.742] (S)わしのしわ: お、問題解決したか！？
[70.494] (S)zakiyoka: こんばんは
[72.515] miii_4: こんばんは！
[104.322] inufu: こんばんは！間に合った
[107.154] さくぅ_: tonaka2Penraito
[113.716] (S)Enchan08: こんばんはー
[120.660] (S)わしのしわ: GL
[128.298] (S)わしのしわ: tonaka2Penraito
[131.404] (S)zakiyoka: tonaka2Ganabare
[134.704] inufu: がんばえー！
[140.489] (S)わしのしわ: あれ？しのみやさん解決できてない？？
[147.995] (S)なちゅ120: tonaka2Ganabare
[150.554] (S)hugukujira: tonaka2Ganabare
[153.202] (S)わしのしわ: 頼む3人で！！ 
[160.825] (S)わしのしわ: きたきたきたきたきたー！！！
[173.965] (M)Nightbot: 面白いシーンなどがあれば”名前”をつけてクリップしてもらえると嬉しいです！もしかしたらそのシーンが切り抜きで出てくるかもです！メンバー、サブスク限定のディスコードサーバーもあるので是非はいってみてください！
[174.171] (S)zakiyoka: そのままそのまま
[187.169] ふか_321: スタッフw
[190.507] (S)rat0_7777: なんで白鳥？
[199.443] (S)わしのしわ: よしよしがんばえー！ 
[275.914] inufu: この中だとヘンディーが1番やってるのかな？
[341.474] inufu: ナイス
[418.789] (S)けーーま: tonaka2Nice2
[645.273] inufu: うめええ
[670.617] papillon779: がんばれ〜
[687.533] タノア: インベーダーゲーム的なやつか
[736.475] (S)けーーま: tonaka2Ggggggggg
[739.964] papillon779: やった！
[744.497] さくぅ_: tonaka2Nice2
[744.518] (S)ららく: GG！！ 
[753.745] inufu: GGwinー！
[763.736] (S)じぇにん: タクティカルエキスパート宮つよい
[778.907] (S)けーーま: ちくちく
[780.405] ふか_321: 何してたのwww
[785.583] daichaaan12: ヘンディーw
[790.863] inufu: 結構頑張ってたやんwww
[823.958] (S)ららく: めっちゃ起こしてたよ！ 
[1044.957] inufu: どうでもいいwww
[1085.555] 脳筋ハム: なおすはよく使うは
[1095.750] inufu: それ聞いて初めて方言て知ったな
[1104.085] タノア: 片づける って意味で使うね 治すって
[1120.714] タノア: 直す←やった
[1133.376] inufu: 関西だけ？
