[28.956] ほどほど: がんばれ
[30.021] kazuuuma1023: おいす
[31.617] (S)akahige9280: こんへんー
[32.967] (S)じぇにん: tonaka2Nikkori753
[39.025] (S)猫ゆ: tonaka2Nzyuuago
[39.995] ice7se: え？
[43.511] ice7se: どうした？
[43.833] (S)ケビンビン: tonaka2Niyari
[44.491] cocoamilk24: こんにちはー
[45.439] オーマーン国際空港: おいすおいす
[51.748] saitou_apple: なんか来た途端爆買いしてません？？
[54.890] ice7se: めっちゃ買うやん
[60.926] (S)カズ_京楽和平: tonaka2Nikkori753
[62.645] (S)zakiyoka: 呪文のような
[62.698] 上腕二頭筋サンドイッチ: それ走り方ヤバい
[66.362] (S)owo_8o8: 張り切ってこー 
[71.704] gjihhi: ナイフ、クソダサいど
[74.494] _えれれ_: 走り方やばいやつね笑笑
[77.506] bamboo3q: がんばー
[80.763] オーマーン国際空港: ぶいすぽ 泣かすかー
[87.119] さくぅ_: こんにちはー
[87.764] achan141: こんにちは～
[98.597] (S)hugukujira: こんへん〜
[101.304] (S)sbisyk: sbisyk subscribed with Prime. They've subscribed for 10 months, currently on a 1 month streak! 頑張ってください
[101.331] 에프킬라ㅏㅏ: こんちゃ～
[105.268] deni_0125: こんにちは〜
[110.591] (S)junn_0212: junn_0212 subscribed at Tier 1. They've subscribed for 11 months! 
[115.648] deni_0125: 私もバロやりたいなぁ
[118.930] (S)やなぎ1617: こんにちわー
[121.908] deni_0125: 2日くらい触ってないや
[124.629] (S)かなるな: こんちゃ〜
[126.302] irukakundayo: こんにちわー
[139.586] yudai_kota: 今から焼肉屋オープン緊張ですわ😳💦 へんちゃんヴァロ頑張ってー
[146.577] ice7se: そろ？
[148.342] (S)じぇにん: ソロは遅延入れてはらへんね
[158.690] mozurr: もうぶいすぽを倒せるのはヘンディさんしかいないですよ！！！
[159.868] azarashi_ft: raizinOja
[166.362] (S)じぇにん: フルパは遅延入れてはるね
[169.114] achan141: まだまだいける〜！
[194.895] (S)バナナヨーグルト: こんにちは〜！
[200.313] achan141: かっこいい！
[202.197] ssssssssszx: んーw
[203.958] 에프킬라ㅏㅏ: ｗｗｗｗ
[204.923] _えれれ_: www
[205.283] deni_0125: 厨二…？
[205.710] mozurr: ワイルドすぎる
[208.879] gjihhi: え、かっこいいん？
[209.415] achan141: www
[210.093] 에프킬라ㅏㅏ: なんか。。。
[210.644] (S)junn_0212: カマキリ
[211.535] ぱきお: このダサさがたまらない
[216.885] こう_0920: 走り方エグいw
[217.749] jakkaru_127: だっさ
[218.862] azarashi_ft: そうなんよな。ドワーフみたいな持ち方してるんだよな
[221.553] 鯖の蒲焼: 野蛮ではある
[221.996] さくぅ_: www
[224.595] 에프킬라ㅏㅏ: ｗｗｗｗ
[224.880] deni_0125: なんか速度がどうのってやつ？
[228.518] (S)owo_8o8: なんかクセになる
[230.122] (S)かなるな: www
[235.277] まうすろぺ: 1.1倍はやいんだよ
[242.411] achan141: それもまたよき(笑)
[243.539] 上腕二頭筋サンドイッチ: こーれ50m走早くなります
[243.820] みどぱー: 名前隠してるのに相手が分かってたら、スナイプやんって言うてる
[249.296] kobakobabunbun: あなたからは静かなる熱を感じます
[268.637] (S)かなるな: 忙しそうね
[270.242] Juicewisdom: axeumBlush
[271.111] オーマーン国際空港: 夜はフルメンバーくる？
[272.806] inufu: こんにちは!!
[277.934] achan141: 忙しそうだね〜
[300.254] (S)かなるな: ん？
[303.987] ssssssssszx: んん
[304.828] inufu: 今日は暑っついすねえ
[307.046] まうすろぺ: はよ選んであげて
[307.469] azarashi_ft: 走り方言ってたコナン君って安村のやつ？ｗ
[307.906] (S)かなるな: 気分転換ね
[309.221] (S)owo_8o8: OW!
[309.855] (S)akahige9280: OW？？
[313.965] inufu: え？
[335.839] ゆやーーん: ヘンディーってゴールド行ってたよね
[336.088] (S)zakiyoka: 時間は待ってくれない
[344.531] (S)かなるな: キャンプ楽しそうやった
[352.276] inufu: お疲れ様ですなあ
[353.647] (S)owo_8o8: 精神と時の部屋ほしい
[362.946] kobakobabunbun: げっこーotpんへんでぃさん
[392.271] achan141: そうなんだw
[401.039] (S)かなるな: 縛りはキツイよな
[402.290] inufu: BibleThump
[413.666] (S)かなるな: へにゃへにゃやんwww
[420.696] maguro_eleven: うーんナイフが
[424.111] kobakobabunbun: あなたは戦いの中で成長する
[447.148] 乙葉ネル: すたぬキッチンみたよ！、
[463.663] 乙葉ネル: あいらぶへんでぃー
[479.041] inufu: 声わらう
[480.311] (S)かなるな: やられればやられるだけど強くなんねん。サイヤ人かな？
[487.088] (S)junn_0212: レモン
[502.232] 乙葉ネル: ウェって言わなきゃ
[502.280] (S)owo_8o8: ジョーカーヘンディー出てたな
[529.524] achan141: 下？w
[552.877] (S)かなるな: やめれへん
[573.465] ほまれー: 「別に良いんだけどさー」は、流石に出ないかww
[585.536] achan141: いいよ！
[623.212] (S)かなるな: はぁ〜ん
[644.378] achan141: デデンデンデデン聞きたいな〜
[670.893] (S)かなるな: あえてね
[673.602] (S)natu0713: あえてな
[684.205] (S)owo_8o8: wwww
[684.747] bamboo3q: w
[687.246] achan141: www
[696.868] inufu: エイム調整なんでね
[700.163] (S)owo_8o8: BloodTrail
[701.382] syobooo: BloodTrail
[702.639] カマカケガエル: !rank
[702.731] (M)Nightbot: APEX/ゴールド２ VALORANT/ゴールド１
[703.209] (S)junn_0212: BloodTrail
[705.364] (S)けーーま: BloodTrail
[722.523] achan141: ガンバレ～
[724.920] (S)かなるな: 萎えぽよ〜
[746.353] inufu: いやんバカ〜ん
[757.181] (S)かなるな: tonaka2Appu
[763.168] (S)akko818: こんにちは
[767.323] (S)かなるな: 一旦ね
[782.972] sayapoyo911: こんちゃーす
[783.957] (S)owo_8o8: 早起きの部類か
[784.273] moriokareimen_: ヘンディー好き
[791.334] テープ職人: 早昼やから
[806.923] aria_ow_: おはよおはよ
[808.535] gumic: こんにちは
[808.828] (S)じぇにん: この時のエイム見せて
[809.059] achan141: 年齢w
