[23.913] noa5566: Kappa
[28.876] (S)シャケ猫: おいすー
[29.573] (S)はおちゃ: こんへんー
[35.657] miii_4: こんばんは！
[37.228] (S)シャケ猫: あーあーてすてす
[39.248] (S)ヘッドハンターたかしくん: おいすー
[41.528] 盧咖斯: こんばんは！
[41.602] (S)yamato_bb: yamato_bb subscribed at Tier 1. They've subscribed for 13 months! こんばんは！！
[41.720] (S)千茶: こんばんは！
[46.711] さく_らば: こんばんは
[46.761] inufu: ｺﾝﾊﾞﾝﾊ!
[48.066] (S)脳筋ハム: こんばんは
[48.562] むさ子: こんばんは 
[48.619] (S)シャケ猫: ぽすぽす
[50.285] (S)ららく: ららく subscribed at Tier 1. They've subscribed for 14 months, currently on a 14 month streak! こんばんは！明日行きます
[53.497] (S)yamada9712: おいすー
[61.859] (S)ららく: おいすー！
[64.530] bamboo3q: こんばんはー
[66.071] (S)Enchan08: Enchan08 subscribed at Tier 1. They've subscribed for 22 months, currently on a 19 month streak! こんばんはー！
[68.192] (S)シャケ猫: コメントも良好ですと
[68.861] chromrem: ヘンディーおつー
[70.910] (S)ms_hz: こんばんは
[72.785] (S)jilval0303: こんばんわ～
[84.635] (S)はおちゃ: 次出るサクラのやつ可愛かった
[88.376] (S)jilval0303: jilval0303 is gifting 1 Tier 1 Subs to ヘンディー's community! They've gifted a total of 9 in the channel! 
[88.809] (S)jilval0303: jilval0303 gifted a Tier 1 sub to 和人! 
[90.936] (S)ヘッドハンターたかしくん: シンギュラリティびみょい
[96.007] inufu: 明日ですなあ
[107.504] mi37621: こんばんはー
[115.196] (S)シャケ猫: レトロでええやん
[121.622] (S)じぇにん: tonaka2Nikkori753
[141.169] (S)柚子はちみつ: tonaka2Nzyuuago
[142.012] まろ132456: こんばんは！
[147.727] (S)おはるてゃん: おはるてゃん subscribed at Tier 1. They've subscribed for 17 months, currently on a 16 month streak! 
[151.701] (S)シャケ猫: w
[156.322] とらんぺっこ417: ナイトマーケット見た？
[163.226] まろ132456: きょうはチーム練ですか？それともソロですか？
[171.995] KUMANOMAHKUN: スペクトラムおすすめ
[172.410] さく_らば: ついに、ですか
[173.387] (S)yamato_bb: 明日早いんですか？
