[27.652] musawo63: BloodTrail
[27.777] haru_nuko: こんにちはー
[30.236] (S)akahige9280: こんへんー
[36.741] hubupei: こんにちはーー！
[38.379] (S)ms_hz: こんにちは～
[38.640] ~MISSING_COMMENTER_INFO~: こんにちは！
[44.363] (S)junn_0212: ｵﾊﾝﾖ
[46.008] (S)コブリアン: こんにちは〜
[46.416] (S)yamato_bb: 本日はソロでしょうか！！
[47.433] miii_4: こんにちは！
[47.659] nuko_ko: こんにちは！
[49.042] (S)takachan0008: こんちは！
[50.279] (S)kazuti025: こんにちは〜
[53.705] hubupei: 久しぶりに配信見に来ました！！
[59.400] inufu: シルバーキングｺﾝﾆﾁﾊ
[60.245] Junk_Clouds: ohh valorant?
[61.397] maron4696: こんにちはヘンディーさん
[62.567] Lady1550: こんとなー
[62.581] (S)むーとろ: 夜にFF、昼に別ゲーか！
[66.007] (S)akahige9280: いったんね
[66.206] nachi16mi: こんちゃー！
[68.903] (S)お野さい: こんにちは〜
[69.053] (S)とんすけクレオ: こんにちは♪
[73.485] Qby_1711: 竈門炭治郎？
[78.176] lililllln: おいすおいす
[79.562] (S)minq317: こんにちは 
[82.487] waracat333: シルバーキングヘンディー
[91.791] あーちゃんんんんん: こんにちはー！
[92.015] (S)なちゅ120: こんにちはー！！！
[92.018] (S)おはるてゃん: シルバーキングおはようございます！
[93.816] (S)minq317: w
[97.475] (S)akahige9280: でかw
[99.984] (S)なちゅ120: wwwwww
[104.518] inufu: w
[106.581] (S)おはるてゃん: 設定からムービーだけの音下げれますよ
[110.921] xx_yuyu1013: ヘンディーさんがヴァロだと！？
[112.207] (S)ケダ: こんにちは
[112.228] (S)きょんた85: こんにちは
[112.612] しゆう_: ﾊｧｰﾝ
[119.247] (S)minq317: 鼓膜いくかと思ったw
[120.295] みみみ223: こんちゃー
[136.820] (S)sbisyk: こんにちわこどもの日です
[136.950] りきゅ0139: こんちわ。
[136.968] Junk_Clouds: wwwwww
[142.427] (S)akahige9280: www
[143.358] tomoame105: wwww
[148.286] mysk77: 色ごとにやってるぞそれ
[151.547] nachi16mi: うまぁ！？！www
[157.031] (S)ケダ: 色ごとにキル集全部違いますよ
[159.741] しゆう_: 魅せていくぅ
[165.341] ざきたけ: うまいです
[167.349] NATSU12654: 今からコラボしてくれませんか？
[170.684] hubupei: ヴァロ久しぶり？
[176.188] (S)akahige9280: ええてwww
[182.693] どす: pay to win
[187.710] (S)ケダ: ｗｗｗ
[187.811] rei7889: プロやんw
[189.425] inufu: 分かったからwww
[191.177] ざきたけ: リズム感が良いですね
[201.421] ciderjingerr: ｗｗｗ
[203.088] Junk_Clouds: tenz?
[204.298] あらお: FF14はそのうちやりますか？
[226.437] (S)akahige9280: シンプルですね
[232.506] おに1003: こんにちは
[236.140] _ちーちゃん: ないすです
[252.280] ~MISSING_COMMENTER_INFO~: へんでぃーバロにかえってきたんか！
[253.027] mi7145u: おはようございまーす
[255.201] ~MISSING_COMMENTER_INFO~: おはよー
[258.730] _ちーちゃん: ふぁいとー！
[263.141] (S)akahige9280: イライラしてない？
[269.964] inufu: 闇のゲーム、ねっ！
[272.188] iwaiwa11072218: ナイフ装備した？
[274.737] (S)akahige9280: www
[276.254] _ちーちゃん: え
[277.215] みみみ223: OWは信用性高い
[277.345] hubupei: 最近オーバーウォッチブームきてるよね！
[291.018] (S)akahige9280: そんなことあるんですね
[297.190] らぃむちゃん: 竈門炭治郎Tシャツ〜？
[310.835] シラポン: ヘンディーのヴァロうおおおお！
[313.973] まもるです: おはざすいぇーい
[329.412] yozakuraarika: こんにちは！頑張ってください！
[333.924] NATSU12654: ヘンディーお願いコラボしてくれませんか？
[348.590] シラポン: キング！キング！
[351.454] _ちーちゃん: ジョイふぁいとー
[359.129] inufu: 任せた！
[360.769] Lady1550: 女王はどこですか？
[360.994] (S)na_mi_gon: na_mi_gon subscribed at Tier 1. They've subscribed for 10 months! おはよー
[362.923] (S)na_mi_gon: おはよー
[367.358] (S)syao_2: 王の帰還か
[385.540] (S)akahige9280: 責任も取りますよと
[395.743] シラポン: 死ぬときは一緒だ的な
[398.260] inufu: ロード・オブ・ザ・シルバー
[404.783] ほまれー: いやー、また、かるび選手とシルバーの王と女王でやって欲しいww
[416.811] (S)na_mi_gon: tonaka2Faito
[420.029] (S)akahige9280: tonaka2Faito
[423.920] (S)yamato_bb: お肉の姫様とのvalo最高でした
[427.018] Spr_Sho: ヘンディーがヴァロ？？？
[456.008] taishudaigin: シルバーの門番
[456.206] みみみ223: 光を見せてくれ
[466.409] gumic: こんにちは
[467.046] (S)akahige9280: www
[472.284] Spr_Sho: 大活躍した
[472.305] シラポン: 持ってった！
[476.983] (M)Nightbot: 面白いシーンなどがあれば”名前”をつけてクリップしてもらえると嬉しいです！もしかしたらそのシーンが切り抜きで出てくるかもです！メンバー、サブスク限定のディスコードサーバーもあるので是非はいってみてください！
[477.937] Qby_1711: いやこれは王
[480.008] yozakuraarika: ないわん！
[492.750] inufu: www
[500.543] (S)akahige9280: OWで鍛えられたエイム
[501.510] (S)mekabu2929: ないすー！
[503.382] (S)ケダ: ないす
[504.365] (S)akahige9280: tonaka2Nice2
[505.447] シラポン: タンクにいつでも来てくれよな！
[506.864] yorime_004: ブラパライトアーマーのバイもある
[510.606] hubupei: ないす
[510.669] Spr_Sho: ？？？？
[510.851] 巳龍ねこ: え？ｗ
[510.989] シラポン: ん！！！！！？
[511.101] 773_owl: 女の子？！
[511.643] y__yel: おんなだああああああああ
[515.819] (S)akahige9280: めがおる！？
[519.276] hubupei: おなごだぁ！
[523.825] gumic: aim labよりOWか
[527.309] inufu: おなごだｱﾁﾁ
[527.712] usiuma: OWとセンシ一緒ですか？
[528.220] manji5616: mother118Onnaa
[528.585] (S)mekabu2929: ｗｗｗ
[532.407] (S)akahige9280: www
[585.408] (S)akahige9280: うま
[585.692] (S)junn_0212: おっほ
[585.716] シラポン: ヒュー♪
[592.584] 巳龍ねこ: ホワイトノイズすごいって言ってましたね
[593.224] (S)junn_0212: wwww
[593.941] lililllln: ﾊｧｰﾝ
[594.588] (S)mekabu2929: ｗｗｗ
[596.362] (S)akahige9280: wwwwww
[598.963] (S)mekabu2929: はぁーん
[600.590] manji5616: 謎のキャラも生まれます
[601.847] taishudaigin: みえてるな〜
[603.797] 巳龍ねこ: ころせんせ～ｗ
[608.683] lililllln: ないすー
[610.455] yozakuraarika: wないす！
[611.599] (S)akahige9280: ナイスー
[623.580] シラポン: 不敬であるぞ！
[625.160] inufu: ナイシュー
[641.524] シラポン: 俺は速いぞ…！？
[667.343] lililllln: LUL
[670.195] げすと_: いい返事
[679.599] (S)mekabu2929: ｗｗｗｗ
[680.053] lililllln: NotLikeThis
[680.767] yorime_004: ｗｗ
[682.441] シラポン: ガハハ！
[682.860] ajimaru_: お、ジョイやってる
[685.409] lililllln: 思い出したか
[685.618] らぃむちゃん: wwww
[689.048] mif_akey: www
[692.593] Spr_Sho: 実感してきた
[694.979] inufu: おじさん出さないで
[701.078] (S)猫ゆ: こんにちわん
[702.433] lililllln: 心してかかれ
[702.777] sun_hidamari: テンション高いね
[703.761] 522nechikoyan: シルバーの女王ってまだ鎮座してる？
[712.889] (S)akahige9280: 思い出してくれてありがとう
[715.874] manji5616: ヴァロやってくれてありがとう
[797.992] omotchiiii: ヘンディーさんのヴァロ久しぶりや（ソロ）
[834.733] lililllln: ntnt
[835.316] シラポン: ナイストライ！！
[836.873] (S)akahige9280: tonaka2NICETRY
[837.559] omotchiiii: ｎｔ
[842.272] yozakuraarika: nt
[843.141] lililllln: がんばえ〜
[844.710] (S)ケダ: tonaka2NICETRY
[845.937] げすと_: 行きたくなっちゃう
[846.063] (S)なちゅ120: nt！！
[848.928] taishudaigin: GG
[852.265] omotchiiii: 結果論っしょ
[853.640] (S)猫ゆ: tonaka2NICETRY
[856.762] シラポン: ネクネク！
[856.791] inufu: nt
[859.031] lililllln: 山下キルジョイ
[870.651] (S)rootlic: がんばって炭治郎
[887.298] taishudaigin: 炭治郎草www
[902.960] シラポン: ﾀﾞﾆｨ!?
[934.985] lililllln: ひん
[937.526] lililllln: nt
[938.362] taishudaigin: 炭治郎〜
[938.667] シラポン: ナイストライ！
[939.565] (S)mekabu2929: nt
[943.167] inufu: nt
[944.049] yozakuraarika: nt
[947.525] ~MISSING_COMMENTER_INFO~: nt
[958.501] yorime_004: owとはちょっと違うか
[959.569] (S)akahige9280: まだまだこっから 
[975.032] sun_hidamari: そりゃそうだ
