[29.299] yu_yu_cherry: おはにょ
[31.323] kokokou0417: きたー
[33.197] 古代ハルト: こんばんは！！
[35.286] (S)ふここ: ふここ subscribed at Tier 1. They've subscribed for 5 months! mother118Hello
[37.555] ゆるふわ丸: きちゃー
[38.317] coco_xxxi7: こんばんはー
[40.812] pekomochi: こんばんは〜
[41.078] (S)Enchan08: こんばんはー！
[42.273] (S)甘夏みかん: こんばんは！
[42.482] でぇふくぅ: こんばんは〜
[42.950] pwgkpmtjwm: ChewyYAY
[46.235] skuld_x14: やったぜ
[47.621] (S)しょーぐん: こんばんは！
[49.671] かめちゃんです: こんばんは！待ってましたぁ😀
[54.436] merutyyyy: こんばんわ〜ffｷﾀ━(ﾟ∀ﾟ)━!
[56.068] coco_xxxi7: 頑トナさん見てたとこw
[56.807] (S)na_ga2244: こんばんは！
[60.686] (S)らずきち: こんばんはあああ
[66.174] (S)chloe48o: こんばんわー
[66.450] (S)ルイボステイ: こんばんは～！
[72.010] さくぅ_: こんばんはー
[74.754] ナターレの2019: こんばんはー
[76.508] kitori5523: こんばんわ。切り抜きから来てみました。初見です
[77.418] kokokou0417: なんでそんなヘアバンド似合うん？
[85.016] (S)おばらら: こんばんはああ
[86.953] (S)おばらら: やったああ
[88.011] pkpk14: こんばんは〜生放送は2回目くらいですー
[90.568] びんじ: こんばんはー
[91.046] まろぱい: 寝かしつけしながら耳だけお邪魔しまーす！
[92.400] (S)felty_0: こんばんはだす、マトシャだす
[96.912] ゆるふわ丸: 今日もイケおじやねき
[101.603] (S)ぽちこにゃ: こんばんわぁ
[102.319] pen_mkj: こんばんはー
[107.619] (S)えりち_: こんばんわー
[112.654] crazynoobka2u: こんばんは！
[121.666] きぬどーーーふ: こんばんは、火曜日ですね！
[132.245] cocoamilk24: こんばんはー
[139.872] sorashingapura: こんばんはー！
[146.236] (S)かなるな: こんばんは
[156.556] (S)kuroma_lp: こんばんわー
[165.238] (S)はとさん_: 待ってただす
[165.948] (S)かなるな: 今日も好きです
[166.684] chocomilk_riri: こんばんはー！
[169.334] ゆう03: こんばんは～！
[170.786] (S)サンシグ: こんばんは〜
[178.876] (S)kiyo1108: 酒配信
[180.117] popo_2424: こんばんはー
[185.683] chocomilk_riri: 暁月楽しみっ！
[187.398] merutyyyy: 暁月のbgm本当好き
[190.249] qm5ufg: プラチャラは？
[193.581] pkpk14: 漆黒も良かったけど暁月も最高だぞ！！
[204.112] (S)おばらら: ほほぅ
[214.088] (S)おばらら: かっこええ
[223.693] merutyyyy: しっかりナイト育ててる笑
[224.852] ナターレの2019: ノーマル周回大変そう
[228.451] ナターレの2019: そういう……
[228.487] (S)pochizouu: こんばんはー
[230.815] yura_coco: こんばんは
[231.871] pkpk14: 草
[234.133] zakiyoka: ほっほー
[235.792] (S)iemoto1110: ナイトのAWもすごいかっこよくておすすめよ
[236.944] あらかず: ww
[246.765] アスミン: ナイトのレジスタンス真ん中のやつ好き
[249.959] kame_kou59: こんばんはー！
[251.942] (S)おばらら: あー
[269.021] にゃんりか: こんばんはー！昨日は長時間配信お疲れ様です！
[270.199] (S)かんろニケ: こえちかパワー
[274.412] namoa76: きたああFFだ
[276.735] ナターレの2019: 少人数でクリアするのも面白いんだよなあ
[282.718] アスミン: 最後まで強化するとやると干芋ついちゃう
[283.622] 皿盛りライス: 8人！？
[299.441] ナターレの2019: どうしても人質がやられちゃうねんなあ
[301.060] gariduncan: こんばんちゃー
[301.228] kokokou0417: もしかして最終進化がトナカイトシールドとかではない？
[305.381] (S)sixfutaba: こんばはー
[317.513] おちむう: 捕虜は大変だね
[321.505] (S)peace_d: こんばんは！
[337.481] (S)sixfutaba: リコレクションかっちょいいね
