[23.483] (S)Enchan08: こんばんはー！
[29.565] (S)はおちゃ: こんへんー
[45.841] (S)えりち_: こんばんわー
[46.661] (S)けーーま: tonaka2Penraito
[49.373] (M)Nightbot: 面白いシーンなどがあれば”名前”をつけてクリップしてもらえると嬉しいです！もしかしたらそのシーンが切り抜きで出てくるかもです！メンバー、サブスク限定のディスコードサーバーもあるので是非はいってみてください！
[52.094] (S)こはる56: konntixya
[57.302] (S)こはる56: こんちゃ
[58.837] inufu: こんばんはー
[61.257] (S)akahige9280: こんばんはー
[62.099] Nagoya_taro: こんばんは〜
[63.244] zakiyoka: ご無沙汰ー
[65.375] (S)かにぶる: お久しぶりでーす
[65.483] さと_1022: こんばんは
[65.490] cocoamilk24: こんばんはー
[73.288] megane_bouzu: こんばんわー
[73.554] (S)じぇにん: tonaka2Nikkori753
[76.872] Nagoya_taro: 新マップま？？
[77.082] chromrem: ヘンディーこんばんは〜〜
[84.225] (S)お野さい: こんばんは～
[91.558] (S)らずきち: こんばんはああ
[99.414] (S)えりち_: オーバーレイお願いできると助かります🙏
[104.025] papillon779: こんばんは！配信待ってました！
[105.543] (S)pochizouu: こんばんはー
[107.481] (S)akahige9280: それ思ったwww
[110.696] zakiyoka: 持つべきものは
[112.371] (S)けーーま: え…な…
[117.051] ミロスティック: www
[117.113] くろばれお: wwwww
[123.500] (S)akahige9280: あ
[127.175] (S)はおちゃ: チームでバナー揃えててかわいい
[137.514] (S)えりち_: ありがとうございます！
[156.790] (S)akahige9280: 終わってるwww
[158.157] Nagoya_taro: www
[161.201] atsugarineko: こんばんは！
[161.417] (S)らずきち: ｗ
[165.464] (S)えりち_: www
[166.842] sun_hidamari: けんきマジでくそw
[174.526] (S)akahige9280: え！？開始10分前に！？
[179.960] (S)えりち_: 置いてきたwww
[187.139] ミロスティック: かわいそうwww
[187.293] (S)rootlic: 気付かれてないの草
[192.114] mickye0322: やばすぎw
[193.248] zakiyoka: 置き去りww
[199.422] なかたけ11: 無茶苦茶やw
[203.813] (S)えりち_: 置き去り、ま？？？
[223.044] (S)akahige9280: ん？
