[21.403] reovivi: こんちわ
[31.537] 에프킬라ㅏㅏ: こんちゃ
[34.261] (S)ふここ: mother118Hello
[34.572] (S)らずきち: こんちゃああああ
[35.438] しろいえなが: こんちわ！
[36.571] ききょうさん: こんにちは！
[36.600] ほーぷ波旬: こんにちは
[44.001] _ふぁる_: こんにちは！
[48.143] zakiyoka: こんにちは
[48.807] (S)ぶるじん霜月: こんにちわ
[50.615] おにれも: こんにちは！
[57.978] tamanegi_14: こにちはー！
[58.582] (S)annindo__fu: こんにちわ
[63.811] (S)opkuas: ちわちわ
[73.617] (S)やなぎ1617: こんにちわー！
[75.489] sizumuhi: こんちわーーー
[77.325] ee_grid: ちわー
[85.304] payponpon: こんにちわー！
[90.146] o_takuchan: こんにちは
[92.011] chankawaikunai: ちは！
[92.584] wabon112: こんちゃ
[96.145] koyubi0128: こんにちゃー
[98.517] たいしょー777: こんにちお
[100.529] (S)けいしゃん: けいしゃん subscribed with Prime. They've subscribed for 2 months, currently on a 1 month streak! 
[102.086] (S)junn_0212: おはんよオハンヨ
[107.734] b_lack_p_ink: こんちはーへんでぃー！
[111.450] (S)けいしゃん: FF作業用FF配信ｷﾀ~~~
[114.771] (S)kuroma_lp: こんにちわ
[121.867] banzok_00: ごんちゃ
[130.029] (S)のらぁ: Cheer100 Cheer100 Cheer100
[133.698] (S)なちゅ120: こんにちはー！
[138.040] いずみあきら: こにちわー！昼はボズヤとかですか？
[138.102] (S)甘夏みかん: こんにちはー
[145.172] banzok_00: 坊主ですか？
[148.538] (S)お野さい: こんにちは
[161.641] (S)rootlic: tonaka2Nikkori753
[162.477] (S)ふここ: 詩学なんてなんぼあってもええですからね
[170.267] 에프킬라ㅏㅏ: おっと？
[172.805] (S)Hachiken0326: こんにちは
[176.885] inufu: こんにちは
[177.653] (S)ぶるじん霜月: ヘアバンドと真ん中の黒が一体化して見える
[192.223] 에프킬라ㅏㅏ: ｗｗｗｗ
[195.493] (S)らずきち: ｗｗｗｗ
[205.567] inufu: ほんとだwww
[212.199] (S)Hachiken0326: トンファ―うおおおおお
[215.964] (S)hal09sp: げんぷなんぺ
[219.290] (S)らずきち: あう
[221.081] ゆずっこ420: エオルゼアにおかえりなさい！！！
[221.530] (S)rootlic: 〇〇ウェポン系あるある
[224.817] (S)fuji_33_: fuji_33_ subscribed at Tier 1. They've subscribed for 14 months, currently on a 8 month streak! 
