[10.840] tajickel: yoshimiDance
[32.018] 率先して奢る漢の中の漢: yoshimiClap
[39.099] ikuchanman: 配信ありがとう
[51.427] osamuuuusjs: どんもー
[60.613] ikuchanman: 風よけれてる
[63.083] dadada1717: いま起きたぞかも！
[63.739] jmdwjmwtpj: 緊急！？
[65.962] 率先して奢る漢の中の漢: batoraRikime
[75.776] osamuuuusjs: いい感じだよ
[77.232] mykey0822: めっちゃよけれてる
[95.341] zakk_mfs: やあ
[103.572] ikuchanman: 配信ありがとう〜うれし〜
[104.721] dadada1717: スタバはタンパク質とれますか？
[118.775] じるごん: 筋トレ早くね？
[124.137] リオセイア希少種: めっちゃ曇ってるけどいいねここ
[125.159] jmdwjmwtpj: は？
[125.466] okookookome: マナル
[125.851] kenkenken0000: うおw
[125.997] sashax023: おはよう
[128.238] kunchan123: まずい
[129.637] daithi0825: むらまこがVチューバーなって配信してるよ
[129.757] あおのり___: マナル！？
[132.137] jp_089: BloodTrail
[132.947] ~MISSING_COMMENTER_INFO~: なんか高くね？
[134.288] sashax023: こいついつもくってんな
[136.473] zakk_mfs: rageお疲れ様〜
[137.043] kunchan123: 覚醒魔ナル
[137.095] sai11000: マナルいいね
[137.551] 髭ポテチ: おはようございます
[138.162] mykey0822: 痩せてムキムキになって実際モテる？
[142.522] ~MISSING_COMMENTER_INFO~: まなる
[145.321] osamuuuusjs: マナルな
[160.392] yosidaqwer: 男にモテるぞ
[163.879] ドラミチャンエラシコ: アナルネコ
[167.739] okookookome: ジョージ
[172.177] 髭ポテチ: 今は増量中ですか？
[173.885] kenkenken0000: 奇しくも曇りだな
[177.576] めんどる: お前くそかっこいいな
[180.757] sai11000: でたああ
[195.241] めんどる: こっわ
[200.714] beeeeeefff_: BloodTrail
[201.256] mukaisan_47: こっわ
[201.669] a_wataam1370: 黙れw
[202.385] robinfood_of_tokai: ！？
[203.745] osamuuuusjs: タモリ！？
[204.197] papaiya2211: タモリ！？
[205.284] floghost0302: それうまいよ
[207.668] hiyokko3: うおw
[208.084] ヘラクレスン: unkochanYaa
[210.125] まめっ子: うまそおおお
[212.162] twitch_hate_: どこだよこれw
[213.271] kusai53: いい音
[215.211] (S)bcaaeaa: ガツン
[216.189] さとやんやん: やあ
[218.159] ぱぷぺぼ: どこ？？
[218.378] ikuchanman: おいちそう
[218.587] yarukiryoku: 伏線だぞ
[218.961] ノーフィアー: マクナルスタバやねん！
[220.093] water_melon200: じゅんいく
[225.186] sai11000: えっど
[225.405] bullgame1234: ごめんじゅんきた
[226.447] yonpe_: えど
[226.488] ぱぷぺぼ: 天空のマック？
[228.412] richcaramelcookievannila: httptjCinnawave
[230.100] kaihin_makuhari: こにゃちわ
[233.534] るるてゃん: どこにいるの？
[234.760] floghost0302: なんか標高高くね？
[234.880] highball5959: 普通のしか食ったことない
[237.669] ohige_daihuku: めちゃくちゃ景色いいね
[237.927] osamuuuusjs: オスガキボイス
[238.470] リオセイア希少種: マクナル、チキンはうまいよな
[242.834] ハチミツ代償軍: どこにいるの？
[248.730] まめっ子: かもの家？
[250.312] chibi_niki: 天空のマナル
[250.511] mukaisan_47: オスガキだのメスガキだの
[251.264] ~MISSING_COMMENTER_INFO~: 空飛ぶマック
[254.745] ikuchanman: バーミヤン
[255.480] (S)bcaaeaa: バーミヤン
[257.199] netsuso: バーミヤン
[258.439] mukaisan_47: バーミヤン
[258.972] sai11000: www
[260.930] syootd: バーミヤンかw
[261.150] floghost0302: アナルだのマナルだの
[263.916] kaihin_makuhari: 🍑
[263.944] yosidaqwer: モモな
[267.692] ねもうす人: 空晴れてたら景色綺麗なんだろうな
[268.470] ikuchanman: おちり
[279.644] ikuchanman: 風ゼロ
[279.855] ぱぷぺぼ: 全く
[280.420] futagonoakaji: うん
[283.430] jmdwjmwtpj: 全然
[287.390] kusai53: うん
[287.637] ノーフィアー: それいいね
