[32.595] additive0: かもきたああああああああああ
[36.094] MayuTanuki: やあ
[37.232] いっぶいぶ: スポーツカー
[42.011] hamuta_fl: 今日もおっぱいがデカすぎる
[45.057] samalunch: 急に始まったからビビった
[47.776] uoseii: 何その車
[48.700] にゃーーご: ありがとう！
[53.464] ら行変換: よお
[54.873] uoseii: かっこよ
[55.167] ヘラクレスン: unkochanYaa
[66.058] ら行変換: 相変わらずイケメンだな
[68.694] MayuTanuki: いい天気だな
[74.340] ma_ya_111: 風強い
[75.031] samalunch: スマホアチアチなりそう
[79.328] uoseii: うぃーふぃ
[81.133] highball5959: やあ
[85.935] basketcold: 配信多くてうれしい
[90.577] uoseii: ？
[94.988] fuku0226: きたああああああああああ
[96.946] itsumademo08: よ
[97.144] i_love_mokou: やんやー
[97.770] ああ0: 緊急
[97.965] water_melon200: 緊急
[97.983] reo_821: 筋肉
[98.011] macaron359: きたぁ
[98.807] jun01234567: きたあああああああああああ
[99.139] MITSUBA5101: 緊急
[99.336] bombermaaaaaaaan: きたあああああああああ
[99.455] ポンチ侍: よお！
[99.548] uoseii: こーすけはこないよ絶対
[99.777] ~MISSING_COMMENTER_INFO~: やあ
[100.520] mnk2733: 緊急
[100.554] へそのゴマ: きたあああああああああ
[100.622] aru6174: やあ
[100.966] msg_absolutezero: 緊急界隈
[101.261] CurryUdon_love: やあ
[101.476] 絶対荒ら: やあ
[101.522] hamuta_fl: 緊急で動画回してるんでけど
[101.705] molith72: やあ
[101.934] syafutan: やあ
[102.157] まめっ子: 緊急！？
[102.347] tomonoue: きたああああああああああ
[102.363] (S)jaden397: きたあああああああ
[102.548] ponpokopooon0852: 緊急きたあーーーーーー
[102.552] eenn_25: きたああああああああああああああああああああああああああああああああ
[102.553] pyonpyon96: ニコニコ！？
[102.572] reo_821: きたあああああああああああ
[102.771] ~MISSING_COMMENTER_INFO~: 緊急ってまじ？
[102.774] tanaka0535: 緊急
[103.332] apathy0808: やあ
[103.389] MITSUBA5101: ど、どうした！？
[103.414] wmwmouo: きたああああああああああああああああああ
[103.516] masa_725: 緊急
[103.545] goshikicammy: 筋肉モンスター
[103.558] ususio10: やあ
[103.725] shujinkmr: 緊急！！？？？！！？
[103.965] opanth_n: ほんとに行くのか！？
[104.128] reo_821: こーすけ
[104.195] hulilc: 緊急ありがとう
[104.214] daihuku_1: マジで緊急じゃん
[104.220] ~MISSING_COMMENTER_INFO~: おす
[104.336] komikomii: やあ
[104.603] czarcv: 緊急！？
[104.706] macaron359: 富士山！？
[104.890] (S)trsrhrhy: turuokKinkyu
[105.168] ねもうす人: きたあああああああああああ
[105.369] numaoo1116: 緊急と聞いて
[105.403] あき28号: 緊急と聞いて
[105.421] yoshizaurs: 緊急は仕方ないから来たわ
[105.475] MayuTanuki: 草
[105.695] ソイロアルモンテ: 緊急
[105.895] maru__cheese: 緊急！？
[105.942] hayakenta: 流石に緊急だわ
[106.142] uoseii: どーしよーもないな
[106.204] nanamuchan: 来たああああああああ
[106.342] ノルディック親父: 緊急！緊急！
[106.429] rinrinnrinri: 天気いいね
[106.591] ashikiisgod: やあ
[107.141] haco3dayo: 緊急！？
[107.218] highball5959: こーすけ来ず
[107.238] gera_rs: 緊急！？
[107.330] しんく大先生: 緊急！？
[107.341] sss25846: 緊急？
[107.341] tokkun2ytk: きたあああああ
[107.388] locorococo: 緊急と聞いて
[107.549] ささのまんた: きたあああああああああああああああああああ
[107.588] i_love_mokou: やんやー 
[107.634] ヘラクレスン: 最低だなあいつ
[107.653] ら行変換: こーすけ４
[107.694] らりるれろ123: やぁ
[108.272] 激安の殿堂: 緊急定期
[108.432] reo_821: ああああああああああああああああ
[108.568] ~MISSING_COMMENTER_INFO~: 緊急と聞いて
[109.180] ~MISSING_COMMENTER_INFO~: 緊急！？
[109.263] hamuta_fl: これは説教
[109.266] maaaaru05: やあ
[109.449] (S)daruide: turuokKinkyu
[109.472] acolthat: 筋急
