[0.786] gomashioking: BABY
[0.830] ﾏｲｸﾄﾗｲｱｳﾄ: 嘘だろ・・・
[0.940] ahoxa113: BibleThump
[0.981] tubakida_yoshirou: BANです
[1.039] (S)bcaaeaa: 土井に消された
[1.332] nats60: けされた
[1.519] ~MISSING_COMMENTER_INFO~: かもー？
[1.540] 123789_893: おばちゃん写したからBAN
[1.639] 御猫榴: BAN
[1.696] ~MISSING_COMMENTER_INFO~: かものBAN
[1.761] mmegane: BANかぁ
[1.879] sonoh_m: ありゃ
[1.901] ソイロアルモンテ: BloodTrail
[2.160] _中_村_: BAN？
[2.295] menosumo: GoldPLZ
[2.310] r0xss8: あ
[2.318] skyffkk: え？
[2.489] richcaramelcookievannila: NotLikeThis
[2.510] sayosayo320: あ
[2.683] chaika1206: 無許可ですか？
[2.693] hebibinim: 見た目が怖いからBANされたらしい
[2.709] マップリオ: 無許可BAN
[2.745] ginginsemi: Banなの？ 
[2.992] 鹿馬: まーた
[3.158] runrun0710: 迷惑かかったから
[3.237] diy0304: うおw
[3.719] arataf91: あ
[3.721] ashleyuyiy: やろう
[3.725] yahubuna: BANはっやw
[3.786] 流刑: 土井はまずかったか
[3.816] sai927: はっや
[3.883] abcefmp: 無許可BAN
[3.918] nin2552: BibleThump
[3.934] ketsuks: BAN
[3.986] ~MISSING_COMMENTER_INFO~: ガチでBAN？
[3.986] きりみんです: ばん
[4.132] nabeo777: 無許可につきバン
[4.167] shake_0925: ひん
[4.517] meow_meow_28: 無許可だからね
[4.586] お茶ぱんだ: 電池切れ界隈
[4.642] utenkekkodes: 🍐💢
[4.813] しがたび: ban
[5.075] keikaei: BibleThump
[5.099] kurage_2424: bAn
[5.103] richcaramelcookievannila: httptjKeroppisob
[5.254] yuyuyuta1234: BAN
[5.316] seadra28: みちまるに消された
[5.430] ninnin: やっちゃったな
[5.875] やまらは9761: あーあ
[6.045] sonoh_m: 厳しすぎだろ
[6.055] psycho_315: ど冷もん←まずい
[6.068] まほろあ: BANかよ
[6.073] wassshhhoi: またかよ
[6.339] 後藤純一: え
[6.441] かえでつばめ: 衛門冷めちゃった・・・
[6.547] ~MISSING_COMMENTER_INFO~: どひえBAN
[6.699] takoyellow: 富士山見たかったなあ
[6.824] ビクトリーム様: 独り言界隈
[6.831] カフ力: koushi5Ban
[6.978] ポンチ侍: BAN
[7.344] nobuhhank: うおｗ
[7.351] うンこっこ: BAN
[7.495] mrg473: 流石にエロ過ぎたか
[7.508] winter_vacation10: banです
[7.552] kiriboshi_daikon315: 消されちまった
[7.753] keikaei: BibleThump
[8.228] おたおたマン: オーマイガー
[8.335] gsthni: 無許可界隈w
[8.339] hitagil0ve: 嘘だろ？
[8.385] kurokatazoumusi: あ
[8.535] げろんちょりん: ばんです
[8.757] GakaKoh: !?
[8.769] masa_725: グッバイ👋
[9.065] 鬼瓦権左衛門: ああ
[9.630] ~MISSING_COMMENTER_INFO~: 無許可ＢＡＮ
[9.712] fnhmenag: ｗｗｗ
[9.760] anya1125: どひえもんでban
[9.835] 0みずほ: どひえもんBANやね
[9.881] umanohonedesu: グッバイ
[10.045] roripo7: エロすぎた
[10.314] rainchan4: 操作ミスったか？
[10.814] 34gjcg: BAN
[10.934] 凡没: 消された
[11.005] sonoh_m: えええ
[11.034] yutapeso: 無許可ban
[11.088] umebosshi: BAN！？
[11.148] naresome: 土井許さねえ
[11.974] pokkkkkeewa: 無許可
[12.110] kyantamaojisan: 早くない？
[12.219] kazuki8044: 🤡🔪
[12.697] luv9___: 🤡✋かーもくん、来たよ
[12.711] junsuibosatsu: 無許可界隈
[12.786] mb2sy: でっぶ
[12.818] fnhmenag: 買え
[12.939] asahigaok: またー？
[13.020] バルバ: 奴婢右衛門でBAN
[13.737] wassshhhoi: 無許可BAN
[13.742] chishnrcnfn: ban
[13.799] runrun0710: やあ
[13.815] ぬまピー: うそやん
[14.232] ~MISSING_COMMENTER_INFO~: グッバイかも
[14.312] tokkun2ytk: でっぶ
[14.336] ketinbou: いいね
[14.475] keikaei: BAN
[14.582] ごめんあそばせ: どひえもんまずかったか
[14.689] るとんんんん: でっかｗ
[14.758] yahubuna: 無許可系配信者まものはし
[14.958] あぁぁぁんぱん: やあ
[15.875] (S)xexeedee: banか
[16.153] sai927: 戻ったぞ
[16.242] musuka5384928: これ許可とったの？
[16.251] おたおたマン: かもー！
[16.353] alpusu56n: やっぱりドヒエモンダメだったか
[17.146] sonoh_m: ひどくね？
[17.354] kugelsplat: あーあ
[17.359] (S)jaden397: おかえり
[17.368] しんしん13: え
[17.394] ahumario: 富士山の許可取らないから
[17.427] jyakkaru_takkaru: 僕らのBANだ🫵
[17.680] ら行変換: やあ
[17.730] midorin_330: DinoDance
[17.758] ひよこババア: でぶすぎる
[17.858] kurokatazoumusi: あれ
[17.876] ちくパコ: かもさんうせやろ
[17.887] (S)daruide: ﾓｴｰ
[18.054] katura123457: くそったれ
[18.202] you___o: どひ衛門
[18.394] げろんちょりん: BloodTrail
[18.679] (S)0_mare: みちまるくんに
[18.835] keikaei: BANかぁ
