[7.129] rusalka213: NotLikeThis
[7.623] zabike2: にげろ
[7.713] cervelo8624: これ無許可？
[7.737] (S)4kapk: turuokORIGINAL
[8.312] はりいさん: やっぱ無許可だったンダ
[8.776] ikarosu_3: 公認取り消し
[9.716] intaisita: ひん
[9.755] popdy22: セーフ
[9.878] nnnnnnnunnnnnu: BAN
[10.429] undakenakiman: 胸板がえっちすぎた
[10.466] polyphenol__akiyama: BloodTrail
[10.845] k1n4k0m0t1: yuyutaBan
[10.903] あぅあぅあぅあぅあぅあぅ: ひん
[10.973] zuntarosan: 回避
[11.194] asuparam: かも、嘘だよな…？
[11.216] ~MISSING_COMMENTER_INFO~: 無許可
[11.418] kyantamanmos: 緊急バン
[11.534] テラワロッサ: 牛宮城やぞ
[11.713] けんこん: 上から❌が出た
[13.189] ぶじん: 関とかいうから…
[13.900] ~MISSING_COMMENTER_INFO~: やあ
[13.901] ドヤコンガ信者: turuokKinkyu
[14.426] pasukaru098765432: unkochanPower
[14.474] run_evo: 叙述トリック
[15.309] sai927: セーーフ
[15.544] maitakeyayaya: セーフか？
[16.134] 彎鞹: 迷惑かけたらやめますwwww
[16.315] saruuu2001: 無許可
[16.568] tpajvot: 許可とったか？
[16.772] pokahito: マジで配信切れすぎじゃない？
[17.706] ﾏｲｸﾄﾗｲｱｳﾄ: よし！
[18.468] buutjunichi: 胸板がえっち過ぎたかぁ〜？
[22.664] あぅあぅあぅあぅあぅあぅ: やあ
[23.063] lkjfcbhdruiutu: さわやか
[23.765] yarana1234567: 縦画面やめろ
[24.705] ynwnnbf: やあ
[24.986] kugelsplat: きた
[25.680] ~MISSING_COMMENTER_INFO~: せーふ
[25.912] ryu_waaao: せーふ
[26.912] たまご51: djshigDjshigeyo
[26.998] テラワロッサ: よこのはし
[27.431] ゾロロ90: セーフ
[27.975] プジョイ: 無許可界隈
[29.219] ym0654: 阪神2-9でリードしてたのに11-9で負けてた
[29.292] ynwnnbf: ひん
[29.298] けんこん: 配信技研に相談しろ
[29.937] ソイロアルモンテ: にょ
[30.096] k1n4k0m0t1: セーーーーーーーーーーフ
[30.364] エルエルフ: 太陽フレア？
[31.212] shokyun: セーフ
[31.252] まほろあ: せーふ
[31.513] ~MISSING_COMMENTER_INFO~: かもでっか
[32.803] zabike2: せーーーーーーーーーふ
[33.870] masa_725: せーふ
[35.601] unite_mnt: せーーーふ
[36.539] leopon_1021: フレアかね？
[36.994] lkjfcbhdruiutu: 迷惑かけたらやめます
[37.638] gobrory: やあ
[38.685] mogarisa: BANされすぎ
[39.124] fullpower_daddy: 公序良俗に反した胸板は仕方ない
[40.595] kugelsplat: 太陽フレアか
[40.668] zio6_6: あ
[41.131] yutapeso: 太陽フレアのせい
[41.321] 霞ヶ丘浪人: ptptやめてね
[42.188] まほろあ: フレアかな
[42.722] ~MISSING_COMMENTER_INFO~: ジャミングされてる
[48.559] k1n4k0m0t1: 太陽フレア←ほんとにまずい
[48.775] sai11000: 迷惑かけてからじゃおせーよ 
[49.434] お茶ぱんだ: サングラスどこのだ！
[50.300] pikuminn2: あ
[50.758] kyantamanmos: ドンキー感
[50.949] k1n4k0m0t1: あ
[51.027] ~MISSING_COMMENTER_INFO~: あ
[51.398] animedaisukidayo: Wi-Fi切れば
[51.499] leopon_1021: 知らないの？
[51.539] jmdwjmwtpj: あ
[51.903] masa_725: あ
[52.007] lkjfcbhdruiutu: あ
[52.873] chocolate_minto: サイゼだ
[53.801] yutapeso: あ
[53.826] kugelsplat: あ
[54.494] nnnnnnnunnnnnu: あ
[54.525] トロロです: あ
[54.712] sai11000: あ
[54.718] o_hyakusyou: うおw
[54.831] k1n4k0m0t1: 触れるな
[55.786] tanaka_takenoko: 触れるな
[55.841] 霞ヶ丘浪人: まずい
[56.047] 彎鞹: taiyo−！？
[56.173] boya2525: 太陽フレアには触れるな
[56.946] gmkz774: 太陽フレアちゃん 
[57.218] kuduuuuuu: Gフレア
[58.015] にわかろっく: ノウイング
[58.152] ふゆりす: まずい
[58.726] (S)まてき: アーカイブ残しますか？
[59.284] zabike2: びっくりどんき？
[59.475] ダミアオ: マジレスすると鉄板鍋かな
[59.597] gmksy: 磁場の乱れ
[59.863] another_yesman: アルミホイル必要
[60.154] ki6gss96: Vtuberだよ
[60.302] wonderboy_9: 太陽の寿命がまずいらしい
[60.993] ドヤコンガ信者: アルミホイル界隈
[61.094] けんこん: おそらく胸板で電波がブロックされてる
[61.667] kugelsplat: 太陽爆発するぞ
[62.122] zuntarosan: アルミホイル被るといいよ
[65.381] glumitane: 煉獄に焼き尽くされる
[65.577] buutjunichi: つわはすとドライブ配信して欲しい
[65.743] ~MISSING_COMMENTER_INFO~: 太陽からびゅーって出てるらしい
[66.130] chIROruNRun4869: 陰謀論者に目をつけられる
[67.460] fullpower_daddy: うび
[67.893] gobrory: うおwデイズ
[72.032] nnnnnnnunnnnnu: vtuberですか？
[76.468] jmdwjmwtpj: あ、
[76.811] k1n4k0m0t1: 太陽 フレア←V
[77.635] ki6gss96: 太陽からビュルン
[77.744] まほろあ: あ
[78.532] watti0826: 俺の眼鏡もOWNDAYSだわ
[78.610] ﾏｲｸﾄﾗｲｱｳﾄ: ｗ
[78.843] sabre1682: あ
[78.967] zabike2: あ
[79.006] buutjunichi: あ
[79.230] wonderboy_9: あ
[79.276] kugelsplat: あ
[79.643] nizetogo: あ
[79.688] ~MISSING_COMMENTER_INFO~: ｗｗ
[80.277] itachi12444: あ
[80.863] ikarosu_3: 消えるじゃん
[81.091] kaluta12345: あ
[81.390] ハルカ1125: やめようね
[81.405] zuntarosan: ｗｗｗ
[81.415] mogarisa: それはまずい
[81.609] leopon_1021: うおw
[82.217] sai11000: やめてね
[82.286] タマモミクロス: あ
[82.664] tera5514: いいね
[83.262] kuduuuuuu: するね。
[83.317] kugelsplat: まずい
[83.522] buutjunichi: まものもいます
[84.622] ゆーぜうす: あ
[85.735] トロロです: まものはし
[86.001] ki6gss96: 飲酒はまずい
[86.246] ~MISSING_COMMENTER_INFO~: それはますい
[87.152] k1n4k0m0t1: あ
[87.268] novel_53: じゃあのこらないね
[87.499] gobrory: 暴走機関車
[88.047] ruluanya: ノンアルコールビールを飲んでいけ
[88.154] ふゆりす: その可能性も視野
[89.063] rmzm3: じゃあ消えるじゃん
[89.191] gmksy: コッソリ飲もう
[89.399] glumitane: じゃ残らんな
[89.597] zawa_iwate: あ
[89.809] redwopu2: します 
[90.026] すうううが: 飲酒運転も視野
[90.481] kenshiisgod: もうやってます
[91.229] chIROruNRun4869: 奇しくもな
[92.211] けんこん: にょす
[92.221] hyosaburou: 奈良漬け食うなよ
[92.937] jmdwjmwtpj: 暴れ散らかす可能性あるね
[93.062] ama2ka_angel: 魔物だね
