[15.013] yarana1234567: a
[17.388] yakusoku1122: ooo
[28.358] ヘラクレスン: unkochanYaa
[28.627] オサキマックラー: 緊急
[28.782] 15chang: 💪💪💪
[28.997] jmdwjmwtpj: ぎゅるん！？
[29.234] 森のフドウ: unkochanYaa
[29.241] manimani0418: よお
[29.263] ささのまんた: きたあああああああああああああああああああ
[29.711] 虫歯5本: ぎるゆん
[29.777] oinuinui: やあ
[29.793] つくるだお: ぎゅるん！？
[29.872] まほろあ: ぎゅるん
[29.947] gwen_desu: ぎゅるん！？
[30.086] replica0907: やあ
[30.194] agitonokyojin: きたあああああああああああああああああああああああああああ
[30.217] tbytbyt: ぎゅるんきたぁぁあ
[30.939] ~MISSING_COMMENTER_INFO~: えっど
[30.951] 加藤純子: 緊急？
[31.007] yarin0323: びゅるん
[31.376] (S)Sasurai_ne: 配信ありがとう
[31.439] ~MISSING_COMMENTER_INFO~: やあ
[31.504] mamegohann114: やあ
[31.552] takaynnn: uooooooooo
[31.973] あぱれる君: やあ
[32.123] しんしん13: ぎゅるん！？
[32.295] つくるだお: ぎゅるん
[32.553] からあげたそ: やったああああああああ
[32.557] suna_59: きたあああああああ
[33.200] meiitt11: ぎゅるん
[33.488] ~MISSING_COMMENTER_INFO~: よおお
[33.546] hulilc: ぎゅるん！？
[33.682] nemo_1729: ぎゅるんきたああああああああああ
[33.914] yuua0817: きたあああああああああ
[33.942] むむむの: きたあああああああああああああああああああああああああああああああああああああああ
[34.126] エエヤン: ぎゅるん
[34.252] netikic: ぎゅるん助かる
[34.257] tenly107: やあ
[34.281] kuririn39: unkochanYaa
[34.335] syruuutxu: ぎゅるん
[34.447] 33maxfer: ぎゅるん！？
[34.451] adjjwmjq: ぎゅるるん
[34.463] つくるだお: ぎゅるん！？
[34.582] tefuzeu: 緊急
[34.634] (S)x893: ぎゅるん
[34.655] ~MISSING_COMMENTER_INFO~: 待ってた
[35.108] micky6obrien: きたあー！
[35.215] bunsok: きたああああ
[35.286] chhcyd: うおw
[35.450] nohito_: ぎゅるんと聞いて
[35.875] yuyu_walk: きゅるん
[35.927] ヘラクレスン: 待ってたぞ！！！！！
[36.075] boboriborii: 緊急！？
[36.101] kara_don: unkochanYaa
[36.562] きゃちゃぼー: ぎゅるん！！！！！！
[36.581] memikn: ぎゅるん
[36.791] 平沢うい一: ぎゅるん
[37.379] (S)行雲流水和光: きたよー
[37.566] うまい肉食わせろ: 待ってた
[37.681] im_ironman__: ぎゅるん
[37.725] burimoruo: パワプロいつ来るんだよ
[37.764] からあげたそ: 待ってたぞ
[37.784] (S)jaden397: ぎゅるんきたねぇ
[38.310] sashax023: 緊急きたあああああああああああああああ
[38.343] ミルキーベル2: ハイエナおつ
[38.407] ドッフル: 緊急！？
[38.525] nekoyanagi4: ぎゅるん
[38.525] ~MISSING_COMMENTER_INFO~: 待ってたぜ！
[38.556] netikic: ぎゅるん！？
[38.732] kaluta12345: ぎゅるんきたああああああああああああ
[38.917] gaogaosudachi: やあ
[39.131] sisisima: びゅるん
[39.264] (S)4kapk: びゅるん
[39.333] (S)hopma_7: えっど
[39.416] cervelo8624: 緊急
[40.029] ryotooo00: きたあ
[40.238] 加藤純子: 緊急か？
[40.439] ~MISSING_COMMENTER_INFO~: 緊急きたぁ
[40.445] qaz3x6: ぎゅるん
[40.644] まほろあ: びゅるんするわ
[40.663] meiitt11: うおw
[40.669] 平沢うい一: きたたああああああああ
[40.845] (S)jaden397: 緊急か？
[40.848] hyde_twi: ばるん
[40.862] yyyac: おっす
[40.896] きゃちゃぼー: BibleThump
[41.054] ~MISSING_COMMENTER_INFO~: けつ
[41.059] kara_don: すご
[41.064] ~MISSING_COMMENTER_INFO~: unkochanYaa
[41.257] orange_ryo: ぎゅるん！？
[41.489] boboriborii: ぎゅるん！？
[41.585] leopon_1021: うおw
[41.722] ~MISSING_COMMENTER_INFO~: あ
[41.754] migu024: えっろ
[42.017] 注射痕: きたああああああああ
[42.382] breadcrumbs64: ガッコン！
[42.746] hijiri130: 緊急！？
[43.209] sashax023: 緊    急
[43.251] tgjgmgt: きたああああああああ
[43.975] ホーくん: ぎゅるんの方
[44.422] gorubachofinn_2: やあ
[44.456] hachcah: 流石にかものはし
[44.537] みやぢと申します: （と
[44.593] ashleyuyiy: うおw
[44.614] yoshizaurs: 緊急だこれは
[44.662] mango_mango9: 緊急ではないの？
[44.676] czarcv: ファイビー！？
[45.399] mooonmi: ぎゅるるん
[45.584] ~MISSING_COMMENTER_INFO~: 脚なっが
[45.999] ドッフル: えっど
[46.241] boboriborii: 緊急！？
[46.275] yyyuuna: ぎゅるん！？
[47.062] anyohaseyoh: えっど
[47.180] breadcrumbs64: カンカン！
[47.274] mane_mane5: いい足ホモ気分
[47.474] kanekiti3794: もうやってるし
[47.499] rainbowroad1182: すげー
[47.656] (S)x893: turuokKinkyu
[47.754] konbini7: この時間のマッスルちくび助かる
[47.765] hyde_twi: 無限外配信編
[48.148] akijiooooo: チュール4
[49.016] kakikukeko021: えっろ
[49.231] kintaroame358: 牛るん
[49.235] debtken: びゅるん
[49.337] yyyoooo22a2: そろそろ来ると思ってたよ
[49.695] iruka_no_iruka_kun: えっど
[50.048] nooon_opo: ぎゅるん
[50.323] toramaru381: カモしゃん！
[50.740] ~MISSING_COMMENTER_INFO~: お尻がセクシー…えろい！
[50.991] nananho: うおw
[51.221] boboriborii: えっど
[51.620] (S)hitokamip: 緊急
[52.339] (S)jaden397: えっど
[52.833] ~MISSING_COMMENTER_INFO~: ガッコンガッコンうるせえな
[53.056] 平沢うい一: これ緊急ですか？
[53.113] gmkz_258: エロエロな配信してますね
[54.358] いつです: えっど
[54.609] kadeey_: ぎゅるん
[54.705] 黒波バドレックス: oxspirSPARKLE
[55.827] breadcrumbs64: あぁ❤️
[56.058] kara_don: 懸垂出来るようになりてぇ
[56.145] fukafuka0: 絶望大緊急ぎゅるんぎゅるんTV
[57.738] sashax023: この方は何をされてる方なの？
[58.321] まほろあ: えっど
[59.750] boboriborii: 緊急ときいて 
[59.828] ninnin: ぎゅるんって誰って思ったわ
[60.292] toramaru381: えっど
[60.628] mooonmi: えっど
[63.982] 加藤純子: 緊急？
[64.066] mantaro_25: えっど
[66.111] 八百屋のヤマダ: 今日は上の日か
[66.221] ~MISSING_COMMENTER_INFO~: 喘がないで
[67.009] musshuuuuu: 足ほっそ
[67.085] (S)jaden397: ASMR
[68.395] boboriborii: えどすぎだろ
[68.402] sashax023: 筋トレかよ
[68.693] ~MISSING_COMMENTER_INFO~: 今日休みだけど、お前がやるなら俺も懸垂する
[69.185] mantaro_25: ぎゅるん
[70.609] frenkie_210: やあ
[71.117] YOKOHAMAXQ: BloodTrail
[74.729] オサキマックラー: いつもの高笑いしてくれ
[74.874] nananho: 開始早々喘ぐのやめてね
[74.937] エインセル河本: 三角筋後部のトレーニングオススメなに？
[75.045] tabogamitoshio: koushi5Yametene
[75.457] haaaaman: ぎゅるん♡
[75.863] 湘北の赤木剛憲: 声が出ちゃうねぇ
[76.632] ~MISSING_COMMENTER_INFO~: ぎゅるん
[77.446] きたく: 足綺麗〜
[77.680] sashax023: 初手無言筋トレやめてね
[78.914] suu_2: 助かるー！散歩行けるわ！
[79.402] agitonokyojin: すまんイクわ
[80.247] ホーくん: 配信者筋トレ部開始
[80.480] boboriborii: 緊急！？
[80.586] yuyu_walk: 男磨きのために45ってた最中だけど見に来たぜ
[80.872] andlejn: 脚トレから逃げるな!
[81.175] sho33333: えど
[81.763] frenkie_210: 緊急ですか？
[83.098] ~MISSING_COMMENTER_INFO~: 初っ端男のケツを見せられる配信
[83.819] yu_yuchan: どーせ筋トレ後に寿司屋言って茶しばく配信だろ！
[83.947] homelander029: 上から撮ってくれ
[84.532] yama_wasab1: ぎゅるん
[84.850] かえでつばめ: きゅるんよりぎゅるんだよなぁ！？
[85.226] mooonmi: ギュルルン
[85.421] sisisima: パワポケやってくれよ
[86.426] gobrory: どもう
[86.562] ~MISSING_COMMENTER_INFO~: えどてんせい
[86.700] gmkz_258: ムクムク
[87.192] hyde_twi: ギガ無制限きたああああああああ
[87.417] toramaru381: エドいのやめてね
[87.665] elmoacrane: この時間かみ
[87.696] kairuzz: えっど
[88.137] zyrmos: でっか
[88.529] takaynnn: でっかｗｗｗｗ
[89.151] カメのおせんべい: 胸でっかｗｗ
[89.271] 33maxfer: ぎゅるんときたら筋トレ確定だからな
[90.791] boboriborii: 緊急ときいて
[92.216] anyohaseyoh: 胸すっご
[93.564] (S)nokonoko_ttv: まもさん！
[93.927] tobenai10ri: 水筒かわいい
[94.374] mantaro_25: 胸でっか
[95.447] mooonmi: あ、水筒同じ！
[96.696] syopityandesu: かものはしの配信見ながらおしゃんぽいくおー！
[97.262] frenkie_210: 緊急ときいて
[97.907] sashax023: プロ野球選手がベンチで飲んでる飲料やめてね✋️
[98.469] オサキマックラー: 黄色い
[98.741] b85a32j: えっど
[98.771] mane_mane5: それは何のドリンク？
[99.355] ~MISSING_COMMENTER_INFO~: 国旗が伸びきってるよ
[101.109] haaaaman: でっか
[101.553] ~MISSING_COMMENTER_INFO~: なにそれしょんべん？
[101.561] punhpunimu: 沢山放送してくれよな
[101.711] gopherdesu: これ緊急ですか？
[102.283] ~MISSING_COMMENTER_INFO~: 胸でっか
[102.480] boboriborii: えっど
[102.902] gobrory: でっか
[103.963] xxxneruxxx_: 緊急じゃないなら解散
[104.459] へそのゴマ: ぎゅるんきたあああああああああああああ
[105.521] うまい肉食わせろ: えっど
[106.230] eichanx: 初見です、ぎゅるんと聞いてきました
[106.388] frenkie_210: でっか
[108.199] agitonokyojin: すっご
[108.262] masa_725: やあ
[109.608] yuyuyuyuad: カメラの角度わるいな
[109.638] しんしん13: 胸があつすぎす
[109.660] ~MISSING_COMMENTER_INFO~: すっご
[109.809] ドヤコンガ信者: turuokBUDECHAN
[115.538] ~MISSING_COMMENTER_INFO~: パンパンやん
[115.611] ヘラクレスン: 動画見たよ！
[116.272] まほろあ: でっか
[117.070] aatappa: でっか
[117.860] frenkie_210: ふっお
[118.321] ~MISSING_COMMENTER_INFO~: パンプしたか
[118.553] みやぢと申します: 腕やばい
[118.621] hulilc: でっか
[118.786] highball5959: でっか
[118.855] ~MISSING_COMMENTER_INFO~: 腕ふっと
[119.014] realavemafia: 奇しくもオレも今日懸垂カマしてきた
[119.238] みょんちん: えぐ
[120.305] tenly107: すっご
[120.404] gmkz_258: でっか
