[18.072] nekoneko_tokage: やっほー
[21.715] (S)しゆわ: 緊急と聞いて
[25.334] sssiiioooooo: 緊急
[28.090] aikoai_dao: きたあああああああああ
[28.291] (S)jaden397: きたああああああああ
[28.316] JD_takutaku: 緊急と聞いて
[28.521] mjiei: 緊急助かる
[28.720] nonamenolife23: やあ
[28.733] (S)~MISSING_COMMENTER_INFO~: きたあああああああああああ
[28.891] intaisita: うおおおおおおおおおおおお
[29.121] kkrok9651: 緊急ときいて
[29.350] つくるだお: 緊急？
[29.850] pa_pyrus: ぎゅるん
[29.891] jmdwjmwtpj: 緊急ですか？
[30.046] gorira3031: ぎゅるん
[30.464] jsidbieo: うおおお
[30.927] key0880: 緊急！？
[31.281] 内野安打王: 緊急と聞いて
[31.396] (S)jaden397: 緊急か！？
[31.499] ashikiisgod: やあ
[31.612] kei313345: 緊急
[31.838] mooonmi: おはー
[31.938] amethystbeet: うて！うて！かもの！
[32.071] dainihon1: にょっす！
[32.086] chimudomdom: にょっす
[32.119] sunpower12345: まってた
[32.262] 霧雨振掛: 緊急！？
[32.355] ポンチ侍: やあ！
[32.554] jusu_ringo: きたーーーー
[32.766] ドッフル: 緊急！？
[32.998] oinuinui: やあ
[33.253] Aeroblue333: 緊急きたああああ
[33.531] ~MISSING_COMMENTER_INFO~: 遅いって
[34.119] つくるだお: 緊急か？
[34.182] skg1101: ついに今日救うんやな
[34.623] vxfjbvx: 緊急
[35.005] sdjklyhgk: 緊急か
[35.095] ynwnnbf: おい！今動画見てたぞ
[35.204] bavaku: unkochanYaa
[35.247] TanukiAsobi: 緊急配信
[35.265] (S)yangshi86: turuokKinkyu
[35.915] jk13psy: かもさんこんにちわ
[36.694] ws0703: 待ってた
[36.734] irazoi803: yoo
[36.778] さとやんやん: 緊急助かる
[37.101] おそばちゃん: これは緊急ですか？
[37.221] axels000: ガチのマジでな
[37.288] 20130928: 緊急！？
[37.292] 7na43: 緊急じゃないのかよ
[37.528] つくるだお: これは緊急ですか？
[37.529] tak_0905: こんばんわ
[37.579] tyanntyannkwo: にょっす!🐮🖐️
[38.019] comecomekun: きたあああああああああ
[38.141] (S)ねこ馬場: 待てと！？
[38.178] yutapeso: 緊急？
[38.228] ドヤコンガ信者: うおw
[38.239] (S)bokunonyanko: turuokKinkyu
[38.286] たくあんのこと好きすぎ: 今は夢？ 現実？
[38.350] zepto12e369: やぁ
[38.430] tanishi_3232: 大丈夫か！！
[38.449] yaneurafj: 緊急？
[38.470] banpon: 緊急！！！松井稼頭央きゅうよう！！！！！！
[38.853] JD_takutaku: 緊急ですか？
[39.260] (S)~MISSING_COMMENTER_INFO~: 補給タイムですか？
[39.356] diodiomjg: 緊急？
[39.494] トロロです: クソ待ってたよ
[39.717] 1escalade1: unkochanRunnewdave
[39.745] らりるれろ123: 緊急ですかな
[39.999] sein105: 生きがい
[40.444] bb_songbeans2: 緊急な
[41.164] goreinu_cpa: KappaHD
[41.902] kkztym: ガチのマジ
[42.101] pjhailmary: King Q
[42.247] 鼻中隔湾曲症: やあ
[42.575] sssiiioooooo: 緊急だろ
[42.972] (S)yangshi86: turuokAisan
[43.039] otamaSo: 緊急！？
[43.178] peacegundam: 緊急
[43.229] つくるだお: 緊急じゃなさそう
[43.348] (S)manmu04: 涙が止まらない
[43.407] (S)heiroku05: turuokKinkyu
[43.633] (S)longbowdmrshimba: turuokKinkyu
[43.843] (S)パイモンすこ: きたあああ
[43.911] bavaku: 待ってた
[44.417] gfryjbgj: 緊急か緊急でないかだけ教えてくれ
[44.584] (S)強竜優勝: turuokKinkyu
[44.629] ace1ace1111: いつクリアするんや
[44.753] mogarisa: やあ
[44.766] Mine_ssbu: 緊急
[45.854] haland05: こんばんは
[46.055] (S)daikiraionion: 緊急きたあああああああああああ
[46.779] amethystbeet: 緊急緊急緊急緊急緊急緊急緊急緊急緊急緊急緊急緊急緊急緊急緊急緊急緊急緊急
[47.066] kamomefan: だいすこです
[47.272] higan3535: 昨日ダメだったのか
[47.972] ナナミン: unkochanYaa
[48.812] amethystbeet: 緊急緊急緊急緊急緊急緊急緊急緊急緊急緊急
[49.193] (S)jaden397: 緊急じゃないのか？；；
[49.466] jmdwjmwtpj: なら帰るけど？
[49.643] konpasuta: どうした^_^v
[49.799] JD_takutaku: 緊急そうだったから来てやったぞ
[49.937] chibi_niki: かもさん筋トレすると熱出たんだが免疫落ちるとかあるのか？
[50.483] ねもうす人: 緊急ですか？
[50.508] mooonmi: 緊急🚨
[50.562] kadeey_: 緊急
[50.709] つくるだお: 緊急やめろ
[50.768] debtken: turuokKinkyu
[51.340] banpon: 緊急！！！松井稼頭央休養！！！！！！！！！
[51.505] frappe0315: 緊急？
[51.538] (S)daruide: turuokKinkyu
[51.555] Shouponkunio: 筋急
[52.197] konbini7: ガチのマジで緊急ですか？
[53.113] Aeroblue333: かものパワプロ大好き
[53.582] kkrok9651: ぎゅるんでもある
[53.709] かーと397: またかよw粘り強いな！
[53.800] ハルカ1125: 昨日見てなかったんだがこれってそういうことか？
[54.526] (S)~MISSING_COMMENTER_INFO~: 今日こそクリアですか？
[54.590] ynwnnbf: 緊急だったり緊急じゃなかったりしろ
[54.969] yutapeso: 何食べてる？
[55.214] つくるだお: 緊急と聞いて
[55.830] (S)yangshi86: turuokORIGINAL
[56.514] gmkz774: 緊急 はんじょう100円負け
[57.346] jmdwjmwtpj: 緊急じゃないなら帰る
[57.494] 鼻中隔湾曲症: かものはしの栄冠アーカイブみてたわ
[59.604] sein105: エブリデイ緊急
[59.668] (S)mosamosawww: 緊急松井稼頭央
[60.991] (S)jaden397: 緊急きたねえ
[61.453] banpon: 緊急！！！！！松井稼頭央休養！！！！！！！！！
[61.518] (S)manmu04: 俺らには伝わるよ
[63.651] ym0654: 来た途端広告やめてね
[63.924] ynwnnbf: あ
[64.076] tanishi_3232: 緊急じゃないなら帰るぞ！
[64.132] yu_yu_yu_3: これがシャドウバース？
[64.159] つくるだお: 緊急じゃないのかぁ
[64.830] (S)cho_suke1031: ご飯大好きタグ笑うわ
[65.784] (S)ねこ馬場: 高タンパクのパン🍞
[65.972] amethystbeet: あ
[66.474] かーと397: あ
[66.479] burimoruo: ドリルモグラーズ！？！？
[66.509] Mine_ssbu: あ
[67.215] pjhailmary: あ
[67.243] ashikiisgod: 動画上げた直後に枠やるな！
[67.253] patch_bobo: 待ってた
[67.314] hyde_twi: 松井緊急
[67.399] pa_pyrus: 緊急はこっちだというオチ
[67.539] skg1101: 伝わるで
[67.559] (S)鯖生姜煮: おまどうまてやつ
[68.130] iguana_chan_22: 緊急
[68.163] 内野安打王: はい
[68.288] horishi01: あ
[68.330] peacegundam: ツイッチ片目にYouTubeのけつでか見てます
[68.754] mogimogieigo_ro: 緊急できました
[68.901] mukaisan_47: 緊急やめてね 
[69.599] たくあんのこと好きすぎ: 稼頭央、
[69.904] mooonmi: なにたべてんの？
[70.280] mogarisa: それはがちでまずい
[70.774] jmdwjmwtpj: ww
[71.043] (S)daruide: 稼頭央
[71.112] makahiki1019: かずおな
[71.270] つくるだお: じゃあ帰るわ
[72.066] ws0703: 監督不在
[72.266] hmrhmr5: まずい
[72.365] morimoridesuuu: ベルーナ現地楽しかったよー！！！！
[72.415] jmdwjmwtpj: あ
[72.604] yaneurafj: あ
[73.265] sunpower12345: あ
[73.327] ねもうす人: あ
[73.469] whitymashiro: ドリルモグラーズ編、たのしみ〜
[73.492] かーと397: 松、井
[73.932] ituki123: かずお...
[73.943] ynwnnbf: かずお 
[74.251] gfryjbgj: ドリルモグラーズと弓子を救おっか
[74.459] tukusi0927: かなしい
[74.713] つくるだお: あ
[74.764] mogimogieigo_ro: あ
[74.819] おでまる: あ
[75.540] amethystbeet: 松井稼頭央ひ
[75.586] ナナミン: かずお；；
[75.641] 内野安打王: あ
[76.742] kadeey_: 稼頭央
[77.183] (S)パイモンすこ: 松井  
[77.452] dreament007: 昨日も救えなかったのか
[78.129] skg1101: それは笑えん
[79.124] makahiki1019: ま、つい
[79.247] ねもうす人: せ、いぶ
[80.021] イヴァンバッソ: 緊急で来ました
[80.904] (S)しゆわ: 稼頭央 
