[23.140] 東京科学大学大学院: うんこ
[29.128] real_surasoso: unkochanYaa
[30.752] (S)Sasurai_ne: 緊急
[31.083] melonpan_orix: やあ
[31.640] mamegohann114: やあ
[31.708] (S)osarutaicho: turuokKinkyu
[31.809] nikumeshi_ponta: 緊急
[32.118] nuko_nu: 緊急
[32.210] 9タロウ: どんもー
[32.324] luka232433: ！？
[32.646] gorira3031: 緊急
[32.773] kotoha0321: きたよ
[33.325] yuua0817: やあ
[33.950] きゃちゃぼー: やあ
[34.054] rmzm3: きたあああああああああ
[34.158] ~MISSING_COMMENTER_INFO~: きたああああああああ
[34.662] wairoya: ぎゅるん？！
[34.790] (S)Sasurai_ne: ギター！？
[35.007] pjhailmary: びょるん
[35.173] sssiiioooooo: 緊急
[35.214] 9タロウ: どんもー、
[35.455] qoq_a_qoq: 鴨のパワポケきたーー
[35.661] replica0907: 動画見てた
[35.713] vxfjbvx: 緊急
[36.107] ドッフル: 緊急！？
[36.505] ノルディック親父: 緊急
[36.517] yakusoku1122: どんもー
[36.616] bartologolon: やあ
[36.676] akiragamer2: TwitchConHYPE
[36.719] tabogamitoshio: 奇しくも
[36.868] amethystbeet: やあ
[36.916] ghyunimkai: やあ
[37.196] ynwnnbf: 最高のはむほーから緊急
[37.341] fbimzn: yaaaaa
[37.384] bis_maru: きたあああああああああああああああああ
[37.400] まほろあ: きたああああああああああああああああああ
[37.480] いなさくさん: はやいね
[37.567] TanukiAsobi: 緊急配信
[37.738] (S)osarutaicho: turuokKinkyu
[37.958] 9タロウ: どんもー
[38.499] (S)kotaro1216: kotaro1216 subscribed with Prime. They've subscribed for 3 months, currently on a 2 month streak! 
[38.647] bellsan3: 緊急！？
[38.652] もたる: 緊急
[38.710] mini_3232: やああああああああああああああああああ
[38.965] シニクエン: 緊急
[39.470] (S)ねこ馬場: こんばんは 
[39.587] ジャマイカ米: きたああああああ
[39.693] gorira3031: きたー！！！
[40.015] hydeus666: ちょうどアーカイブみてたよ
