[13.259] udmdummymymdyd: うおおおおおおお
[14.668] (S)0_mare: turuokKinkyu
[28.071] ドッフル: 緊急！？
[28.332] water_melon200: 緊急
[29.301] (S)パイモンすこ: きたあああああ
[29.321] (S)kotaro1216: turuokKinkyu
[30.314] zawa_iwate: 緊急と聞いて
[30.453] EUREKAgg5: きたお
[30.624] melonpan_orix: ちゅるん！
[30.892] イナホール: 緊急
[31.082] gorira3031: 緊急
[31.101] snvlll: よお
[31.355] しがない一般男性: 緊急うおおお
[31.493] ynwnnbf: まけほー 
[31.791] sssiiioooooo: 緊急
[32.281] banbanman1: ！？
[32.905] けんこん: 緊急
[32.948] kkrok9651: 緊急ですか？
[33.120] (S)jaden397: 緊急か！？
[33.399] kei313345: 緊急
[33.416] sisisima: まってたぞ
[33.618] mypopopopooi: 緊急
[33.694] (S)hanamiz7: 負けちゃったね今日；；
[33.787] akiragamer2: BibleThump
[33.900] kutaragi: きたあああああああああ
[33.909] jun01234567: やあ
[34.575] frenkie_210: 緊急！？
[34.780] ナナミン: unkochanYaa
[34.953] (S)けいちゃんん: turuokKinkyu
[35.062] junchankato: やあ
[35.174] lisdil8: きゅるん
[35.251] (S)ponpokopooon0852: 緊急きたあ
[35.591] (S)4kapk: turuokKinkyu
[35.980] (S)強竜優勝: turuokKinkyu
[36.119] ponpokoyaa: おい！ロッテ強すぎるだろ‼️
[36.208] kuremore: うにょ
[36.431] zeitakumentai: ぎゅるん
[36.902] ポンチ侍: 緊急ー！？
[37.127] aaaa41sho: 緊急？
[37.293] an_rlax: 待ちわびた
[37.351] pjhailmary: びゅんきゅう
[37.479] (S)33maxfer: 一発勝負
[37.499] naginohazama: 緊急と聞いて
[37.507] akagi_38: びゅるん
[37.733] CurryUdon_love: 緊急と聞いて
[37.847] hulilc: 緊急！？
[38.245] tatsuto0906: うさほー
[38.328] みるくてぃらぶ: Twitterな
[38.612] ~MISSING_COMMENTER_INFO~: よお
[39.093] (S)jaden397: 緊急なのか！？
[39.099] e_e_e_q: おい！もしかして緊急か！？
[39.329] kainaco: きたあああああああああああああ
[39.497] らりるれろ123: 緊急で
[39.618] wwwa334: えっくす！？
[40.256] 7yucchi7: 緊急きたぁぁぁぁ
[40.368] ao_ken89: 緊急！？
[40.617] (S)ponpokopooon0852: turuokKinkyu
[40.887] kitten0531: まけう、まけう
[41.078] akko12345678: 緊急
[41.164] sin_enwa: 緊急
[41.647] ace1ace1111: パワー
[41.840] (S)nabenabeman: turuokKinkyu
[41.860] mayoi_misora: 緊急じじい
[42.501] tahasoya: 緊急ときいて
[42.717] jun01234567: 緊急
[43.192] むむむの: 緊急と聞いて
[43.319] (S)でっかい海老: いきがい
[43.983] nata357: 日ハムざっこ
[44.151] ディギモー: 流石に一発勝負なら緊急性も高い
[44.347] mogimogieigo_ro: 緊急できたぞ！
[45.145] arararuuu: 岡田采配終わってる
[45.705] (S)jaden397: 緊急だよな...？
[46.492] (S)4kapk: 日ハム観てたけどクソ萎えた
[46.516] steak_2929: 緊急
[47.292] (S)hanamiz7: 緊急きたああああああああ
[47.480] sssiiioooooo: 扉空いてるぞ
[47.961] tyouryou_: えー、今緊急で動画回しております
[48.139] japanyuta: 緊急と聞いて
[48.194] ponpokoyaa: ロッテの勢いどうにかしろ❗️
[49.116] nori7_twitch: PopNemo
[49.764] e_e_e_q: 緊急きたああああああああああああああ
[50.748] frenkie_210: 緊急です、か
[50.855] aaaa41sho: 緊急きたああああああああああああああああああ
[50.959] patch_bobo: 緊急と聞いて
[51.562] vxfjbvx: 緊急
[52.060] wichan1516: うぅわパワポケや！！！
[52.583] もたる: 緊急
[53.063] tannou1472: 緊急の配信
[54.321] melonpan_orix: ⚪︎ックス！
[54.733] snvlll: PRChase
[55.786] しがない一般男性: ったりめぇよ
[55.828] mokou755: よぉ
[56.026] (S)パイモンすこ: ミスったらそこで終わりなのか
[56.065] (S)nohito_: turuokORIGINAL
[57.152] カピお: 緊急ときいて
[57.615] しうへ: 緊急🚨
[58.229] tensabo3: DinoDance
[59.659] marryh1: 裏サクセスたのむ
[60.570] banmeshi: 緊急！？
[60.700] c_o_m_b_fox: 緊急で来た
[60.915] 金田満蔵: 緊急ですか！？
[62.237] barikataaaa: 多分緊急だから
[62.685] konbini7: 2、30発やれ
[62.975] ~MISSING_COMMENTER_INFO~: マジかよパワポケ歴代できんのか
[63.767] nori7_twitch: 緊急
[63.811] ポンチ侍: 楽天最強！！！！
[64.375] yugo123098: ぎゅるんどこ？
[64.673] juiahj: 緊急か
[64.873] peacegundam: 緊急
[64.884] sayosayo320: カモのシャドバ見てた
[65.044] akko12345678: 会話芸おもろ
[65.742] gfryjbgj: いい加減パワポケシリーズやめてね。視聴者厳選やめてね
[65.900] ynwnnbf: 勝ちパで負けたならやむなし和也
[66.711] かえでつばめ: 配信きたあああああああああ
[67.370] bdkt02: 緊急なので
[67.752] takahashi_vol2: 緊急だし
[67.755] (S)0_mare: 焼肉のアーカイブ見てた
[68.732] wichan1516: 緊急
[68.948] kumasanmorino: 緊急できました
[70.105] ゾロロ90: 今日も中日負けちゃった
[70.251] ao_ken89: ギータが怪我しちまったよ 
[71.063] fukafuka0: 緊急だあああああああああ！！！！！！！
[71.544] こーしゃ: 緊急らしいけどどうしたの？
[72.108] kainaco: 緊急だからな
[72.153] steak_2929: 緊急だからな
[72.619] kutaragi: 自分と会話してやがる
[72.880] aaaa41sho: 緊急だからな
[73.126] (S)jaden397: 緊急きたあああああ
[73.132] otani_syuhei: 緊急だからきた
[73.637] sai927: パワポケ最高
[73.789] aiksama100: クソジジイゲーム
[73.846] terii303: まあ緊急だし
[75.223] tk8n: パワポケきた！！！！
[75.261] kkrok9651: 緊急でな
[75.423] (S)33maxfer: もう1000人
[75.640] guarana07: お前は今人気だよ
[76.261] goreinu_cpa: 緊急
[76.453] an_rlax: まじで楽しみにしてた
[76.454] frenkie_210: 緊急できたよ
[77.356] maitake_abisu: 1000人だぞ
