[36.505] 306h: おいす
[44.010] agenasuu: SeemsGood
[52.232] 臭めのこかりん: がおがお
[59.682] 倉内: やあ
[71.446] galaxysc53c: クリップ鑑賞会？
[75.389] karen_o7: がおっす
[77.841] 臭めのこかりん: ボドカ選手の飲酒雑談うおおおおおお
[78.844] 8036_: 明日バイトなんですけど僕を寝かしてください
[79.933] pasta_hormon: PCの熱であつい
[83.188] himaruuu__: おす
[84.887] 3あかつき3: お疲れ様です
[88.486] SseinRJ: 寝起きの社会人ですおはようございます
[89.278] 臭めのこかりん: オ、ワコン
[90.328] 倉内: 久々飲酒雑談がちでたすかる
[90.862] オカっち: おつっす
[91.997] peroon_: うっす
[92.407] reimeikyou53: 明日学校の俺を寝させてくれ
[92.729] amanai_yu: がす
[95.510] moemiiii10: 眠れなかったので助かります
[96.432] sheeeelll: ボド、寝れないよ
[97.466] qyntpopo: 後ろにあるキーボードぶいすぽ？
[100.347] シュバイソ: お疲れっす
[100.841] hide_on_sweets: わーお
[100.897] shunma_09: おつ
[103.155] himaruuu__: rustおつかれさまです
[103.996] はりぼんち: 雑談さんくす
[104.873] nota_mrh: VCRお疲れ様でした
[108.768] キューブってる: お疲れ様
[109.520] aphelios_4: やあ
[119.134] みらんちゃゃ: お疲れ様です
[119.287] b_hibiki: ほぼおはようございます
[121.814] pasta_hormon: きたあ
[121.939] キューブってる: すみーだ！
[122.005] むちぽよ: すみー
[122.798] rask_127: rustお疲れ様でした
[123.693] ぜりっぴ: す、みー
[124.110] 3あかつき3: エイネ
[125.546] amanai_yu: かわよ
[126.111] シュバイソ: うおおお
[126.631] 臭めのこかりん: おおおお
[127.827] karen_o7: いいね
[128.058] オカっち: うらやましい 
[128.639] 明日7: おはよぼど
[129.378] ~MISSING_COMMENTER_INFO~: おー！
[129.798] 5hqw: レビューしてくれ
[130.957] sheeeelll: 箱かわいい
[131.527] SseinRJ: いいねえ
[133.093] rask_127: おおおおお
[133.352] ぜりっぴ: ｗ
[136.771] 3あかつき3: w
[139.115] reimeikyou53: 明日学校の俺を寝させてください
[139.935] hanimasukiyaki: すみーのやつマジで色いい
[141.799] shunma_09: あも最高
[143.100] やっぎ: 箱めちゃくちゃかわいいな
[143.523] キューブってる: ww
[143.749] 臭めのこかりん: 1次当たったのまじか
[146.521] kouchan_ex: VCRお疲れ様でした
[161.966] syouyumirin: 今寝たらしぬかも
[163.113] sheeeelll: そういやリドルとaim1スポンサーなってたな
[167.667] bb_arch_hiko: 久々ぼどさんのBO3の動画見返したんですけど最高でした
[168.143] キューブってる: おお！！
[172.434] SseinRJ: サンプルか
[172.873] オカっち: なるほどな
[175.142] 臭めのこかりん: あーなるほどね
[175.345] yuteeeeeen: クリップみよや
[179.110] むちぽよ: BloodTrail
[179.989] pasta_hormon: hanjouDarlinn
[180.445] やっぎ: 強そうなお酒
[182.274] オカっち: スタンバイ！！
[186.545] 3あかつき3: 決闘
[187.530] ぜりっぴ: ツマミは松坂牛？
[187.937] (S)竹トンビ: どこのビール？
[189.502] natsumori029: 悪魔のやつね
[194.328] キューブってる: デュエルスタンバイ！
[197.225] ojalmal: Duvel
[198.757] ケロリンパ: じゃあ僕も飲みます。
[201.023] SseinRJ: カードゲームやってそう
[201.487] ぜりっぴ: ｗｗｗｗｗｗｗ
[207.144] 3あかつき3: ヴェル
[211.852] キューブってる: デュベルなのねw
[212.094] reimeikyou53: 寝たらまずいか、学校だけど
[226.413] 96san_788: shakaHi
[227.466] shadowchiefzed: ベルギービールか、うまそ
[240.334] デクノボーイ: あれ？ピングーいない？
[243.453] (S)venven8: ぼどー！起きてたんか！
[262.695] はりぼんち: 5:5
[263.801] ぜりっぴ: ｗｗｗｗｗ
[265.974] (S)なちょがすきー: がおっ
[266.057] bachikorizumu: 美味そう
[266.406] mot1o__: 後3時間後に出勤なのに酒飲みてえや 
[270.062] はりぼんち: w
