[25.658] 限界関西人: こんちわ
[26.144] mm_kos: おいす
[33.824] (S)ゆきちゃす: おいす
[37.798] miyabi_0310: おいす
[39.005] optionpurple8: がおっすーきたーー
[39.698] yamayamaowo: おいす
[41.143] soradmt: きたぁぁぁ
[41.344] 1234yuma: オイスオイス
[42.117] あたせ: おいす
[42.323] lionelmessi4545: き、きたー
[43.292] google_redox1: 神枠きたおいす
[43.539] yusuke3225: おいす
[44.944] キューブってる: がおっすー
[46.820] komi_koo: おいす
[49.481] やま9: あむちゃあん
[49.500] yuukiieee: キャンプやー
[49.726] soradmt: アムかわよ
[52.995] doggo813: 今日暑いですねええ
[53.127] ch_is2: がおっす！
[54.910] 全部が中途半端: 神回きちゃ
[55.107] どらどら君: おいす
[55.134] (S)regulus_281: アムいるやーん！
[55.212] rix7979: アム〜！
[56.750] optionpurple8: アム 
[57.595] キューブってる: いい天気
[60.900] (S)Chinmori: アム❤️
[62.317] newoyag: HeyGuys
[63.476] のうきんちゃん: あむうううううう
[65.191] erechuu: あむー！！
[65.266] halu_o225: アムちゃん！
[66.058] mimicqan: あむだ！！！
[66.210] (M)tennkoh: !editcom !member おぼさん, しんじさん, トナカイトさん
[66.439] (M)Nightbot: @tennkoh -> The command "!member" has been updated successfully.
[66.913] narrr_a: アムちゃん！
[69.267] やま9: wwwwwwwww
[69.561] 全部が中途半端: アムかわいい 
[69.843] らむぽっぷ: unkochanYaa
[71.034] キューブってる: アム❤️
[71.265] hotarumarunn: アム♡
[73.652] dfonxz268: PopNemo
[74.901] mot1o__: あむー！！
[75.151] risotto_kahn: かわよ
[77.783] efurulee: かわよ
[81.480] mimicqan: かわいい
[83.471] ankomochi_35: やあ
[83.578] (S)kodomodatteumaindamon: あむかわよ
[83.716] ケダ: あむかわ
[85.826] ch_is2: もっふもふ
[86.041] ぎんじろう: あむうううう
[87.538] キューブってる: かわいい
[92.707] aoao710: あむううう
[94.807] ttoomo: あむちゃんサモエドですか？
[95.076] どらどら君: 叩けばなおるぞ
[95.836] oooooooisuuuu: かわ
[99.195] らずきち: DinoDance
[103.447] (S)あじかさん: アムかわいすぎ
[105.145] mm_kos: いつもの場所？
[109.639] akatoash: ここ前来てた所かな
[112.728] のうきんちゃん: おぼ運転？
[117.305] mimicqan: ナンバー気をつけてください！！！！
[120.204] どらどら君: めっちゃ外行きたそうやなｗ
[122.716] らむぽっぷ: この前と同じぽい？
[124.536] ケダ: 今日はアムだけか
[133.256] キューブってる: ヘンディー
[140.661] lionelmessi4545: あ
[145.078] Nagatomo_ch: 楽しそう
[148.018] aoao710: ナンバー見えそうなら紙貼ろw
[157.563] yu_777_god: shakaHi
[161.755] soradmt: ちょくちょく止まるのおま環かな？
[169.440] lionelmessi4545: しんじ❤️
[173.586] rumor0000: しんじさんいつも配信で見てる動画まんまや
[177.414] のうきんちゃん: あむ❤
[178.984] newoyag: 労働しんじ
[182.767] risotto_kahn: それは遠い
[183.498] richcaramelcookievannila: luna777Rockstah
[183.963] (M)tennkoh: !editcom !multi おぼさんの配信とのマルチ視聴はこちらから< https://multistre.am/vodkavdk/obormentv/layout3/ >
[184.136] (M)Nightbot: @tennkoh -> The command "!multi" has been updated successfully.
[187.070] らずきち: 運転大変だ
[187.597] mm_kos: しんどw
[190.057] kuros46790: BloodTrail
[197.182] タみかん: アム！！！
[200.186] risotto_kahn: あ
[202.432] optionpurple8: あ
[205.841] らむぽっぷ: あ
[206.740] キューブってる: 長いなぁ2時間半は
[210.092] (S)あじかさん: まずい
[210.651] キューブってる: あ
[210.794] ぐるうむ: BibleThump
[211.308] risotto_kahn: BibleThump
[214.253] さとうでした: shinjisanNotlikethis
[215.638] lionelmessi4545: BibleThump
[220.800] キューブってる: その話しやめてね
[223.126] mm_kos: 気まずw
[223.257] zoeffffffff: CurseLit
[225.776] poohdaisuke: !title
[226.029] (M)Nightbot: @poohdaisuke -> Current Stream Title: いつめんでキャンプw/おぼ、へんでぃー、しんじ
[231.417] サムライチャンバラ: こんにちは 
[231.430] noradakedo: この季節のキャンプいいなー
[232.500] mirukure0610: アムちゃんかわいい
[233.833] リーン: PopNemo
[236.513] milk_tea_5915: PopNemo
[237.528] kedama_man: あむー
[242.611] のうきんちゃん: ヨージローおらん？
[243.830] lionelmessi4545: ボドの服やめてね 
[244.817] kanikanimiflkoipij: あむーーーー
[248.488] どらどら君: あむにこにこでかわいい
[249.053] やま9: ぷい
[250.803] yu_777_god: ヘンディー電話中かw
[250.924] morinoahiru: アムかわいー
