[16.071] anti0124: お
[19.275] チーム水原: よかった
[23.260] じゃこねさん: いけた？
[27.020] ボン太郎: いけた
[31.434] souken_rush: 今日暑いなぁ
[31.504] iamive6: きた
[37.830] yukidarum4n00: あ
[38.371] non_438: おかえり
[41.546] ただのともや: おかえり
[48.482] lisdil8: 帰ってきたか
[66.069] ケダ: おかえり
[66.657] alfredo_the_meat_boy___: おかえり
[76.415] じゃこねさん: いいねえ
[78.895] alfredo_the_meat_boy___: これなんだ
[79.316] glicoxxx: おお
[82.229] トメイトゥ: いいなあ
[82.862] zasomaruu: おいしそ〜
[84.931] kikichan917: ううおおおお！
[87.210] 鹿馬: 食べたい
[90.433] zasomaruu: アムどこ〜
[91.244] ボン太郎: もうよくないか
[93.987] らむぽっぷ: おかえり
[95.285] チーム水原: うまそ
[96.746] optionpurple8: おかえり
[97.331] (S)a3mia_ois: a3mia_ois subscribed with Prime. 
[100.585] みこと0000: 蟹入るスペース無い
[103.124] 刺身用ブロック: 米膨らむけど大丈夫？
[103.686] sab4kan: うまそー
[107.286] sirakonodoguro: 復活
[130.237] kamuyazule: 山盛りやなｗ
[160.690] lamfjo: あ
[161.475] sirakonodoguro: ひん
[161.591] yukidarum4n00: ひん
[161.812] ケダ: あ
