[7.470] きつね__: きたああああああ
[27.236] purin_kun6279: がお
[34.712] lionelmessi4545: きたあ
[35.611] (S)trkn_3: おいっすー
[35.905] yamao0010: がおっす 
[36.448] hikaru0822: まっち
[37.075] tottocohamu: きたああああ
[37.184] zen7lk: がおっす
[37.276] guggivfy: や
[38.029] shari01234: Haha2020
[39.015] プリッツェル: がおっす
[41.025] yusei_0814: やぁ
[48.460] booota_99: がぉっしゅ
[49.292] muuuusuke: がおっす🦁
[52.735] kouchan_ex: おはようございます
[53.089] naranyorai: リドル試合いつですか？
[55.765] pin_pin7: がおっす
[57.862] 1234yuma: k4senKansya
[62.115] シンラくん: シンラくん subscribed with Prime. They've subscribed for 12 months! 全力応援やああ
[65.720] kqreh: にょっす🐮✋
[71.532] WtYnT: zetaファンとまんぜう軍が手を取り合う時です
[79.782] らむに: おいす
[96.477] (M)tennkoh: !editcom !member solo
[96.630] (M)Nightbot: @tennkoh -> The command "!member" has been updated successfully.
[146.200] T4ppei: おいす 
[151.474] konpota3818: ZETAWIN!
[153.516] rion222222: がおっす
[165.112] khyan225: がおっす
[168.414] suzuno_g: がおっす
[172.653] kugel33: ボドさんおおきに
[173.776] angry_hungry19: がおっす
[174.343] (S)yusebambam: なんかいつの間にサブスクギフト頂いてました、ありがとうございます
[178.354] aokinori: TSが勝たないとなZETAは
[178.531] (S)うるふっ: おいすー
[185.037] アゴナガザル: がおっす
[186.376] nexlowsis: ZETAは0－2必須？
[195.930] hiro_918: にょっす🐮✋
[197.670] arumon_JP: 仕上げてけー
[201.981] khyan225: TSがストレートで勝ってくれれば２－１でも行ける
[204.434] pcpcj: a
[207.061] (S)venven8: きょうめっちゃ暑いっすね
[209.886] a8mahman: ２－１でもｔｓが２－０で勝てばワンチャンある
[211.669] 雪だる: がおっす
[211.938] kairuzz: にょっす🐮✋
[212.923] てとぽおおおおん: がおっす
[221.010] nexlowsis: ty
[242.484] jeepjeepjeep44: おいす
[245.349] a8mahman: １７時
[247.371] khyan225: １７時くらい
[249.913] ピタパンです: こんちわー！
[253.459] aokinori: 正直チームはんぜう次第
[255.187] h4nqb1_: karubisJo
[256.646] ~MISSING_COMMENTER_INFO~: こんち
[267.195] ryy_0714: DinoDance
[270.014] てとぽおおおおん: 今日はZETAかTSのどっちかが２−０で勝たなきゃいけんから全力応援や
[275.774] quartet__25: おはようございます
[276.619] ヌクテメロンの魔神: 日本を全力応援するボドち萌え〜🫰🏿
[279.203] z4k1_0607: うい
[301.713] khyan225: yayがいる
[301.934] nakasima_jp: 今日riddleいつから？
[303.160] shunakiaki: DinoDance
[307.250] ねんここ3: yuz48Oisu
[311.023] chikichikiburiiiii: 配信待ってた
[315.594] beika___: 寝落ち思想やったから助かる
[318.875] a8mahman: 確定
[319.719] ベロのブラシ: y0yがいるよ！！！！
[329.108] k_denden: エーペックスの世界大会もミラーしますか？？
[329.166] z4k1_0607: TwitchConHYPE
[337.741] meowedog: GENGはアルファじゃない？
[337.952] sou2875: TwitchConHYPE
[345.817] mnst_saya: geng確定ってさっき言ってなかった？
[355.773] ヒサラギ: kGE
[356.645] gaaahyu: DFMのせいできつくなった
[359.133] しらたきーー: 言ってたね
[361.957] marimo_akachan: karubisDebu
[370.395] aokinori: ZETAタロンRRQの争い
[371.134] a8mahman: TS頑張れ！
[374.177] ヒサラギ: GEがワンチャン上がるのが今回のシステムの納得いかないところ
