[14.913] muuuusuke: ここん
[21.780] 雲皇帝珍満: ぼど？！？！
[30.369] hyu_su: まってたぞ
[30.492] 527wata527: きたー
[31.938] uisce_beatha: こん
[32.648] よわおくん: こん！
[32.660] igoptc: 🐮✋にょっす！ｗ
[32.795] ~MISSING_COMMENTER_INFO~: きたああああああ
[32.995] ssssssssszx: き、きたー！
[33.621] tjklt: HeyGuys
[33.647] gjgptka: きたー
[34.090] boyaooooo: おはにょ
[34.228] ~MISSING_COMMENTER_INFO~: がおっす
[35.318] (S)ahoy_p3ko: おいすー
[37.814] kkrok9651: よく起きれたわ
[38.024] (S)kg58_rad: kg58_rad subscribed with Prime. 
[38.223] ch_is2: がおっす！！
[41.075] gussan5532: グハッ
[41.223] (S)激ローメタモン: おいす！
[41.777] yama_japan: やったーーー
[41.799] 雪だる: がおっす
[42.664] RityTTV: いやあつ
[43.337] scixxxt: きたああああ
[43.655] Sinamorail: RIDWIN!!!
[44.220] suwarin12: がおっす
[46.829] (S)tsukishiro_taso: こんばんは
[46.913] オカっち: にょっす
[47.350] (S)regulus_281: 待ってたー！
[47.566] qpack_lice: やあ
[48.298] (S)warawanaiman: がおっす
[49.264] ~MISSING_COMMENTER_INFO~: ri
[50.221] sh1nRan: こん
[50.429] (M)tennkoh: !editcom !kami 【ALGS Year4 Split1 Playoffs 】 本配信はこちら< twitch.tv/esports_rage > // RIDDLE含むチームごとの視点を見たい方はこちらを使用してください < http://fce.gg/ALGS-S1 >
[50.613] (M)Nightbot: @tennkoh -> The command "!kami" has been updated successfully.
[52.843] ハヨネ: おいす！
[53.428] (S)kale_4: kale_4 subscribed at Tier 1. They've subscribed for 6 months! 
[53.606] バビゴン: RIDwin
[54.416] すと09: こんな時間からあるんや！おは！
[55.021] ssssssssszx: なんかボドカセクシーやな
[56.600] ~MISSING_COMMENTER_INFO~: riddleがんばれー
[56.731] omatsu1234: dtnmukAifaito
[57.481] m1ch1_99: vodkav2Gotochi
[57.576] hiron12nh: やあ
[57.692] meldown_riddler: 今回はコマセンではなく別のやで個人視点
[60.054] オカっち: vodkav2Riddlesmile
[60.276] hazuuuuu1: RIDW
[60.835] peko_miko_aqua: 有言実行できて偉いですね
[60.864] 石原さとみの左足薬指: がおっす
[63.548] 爽来: まってました
[63.726] ~MISSING_COMMENTER_INFO~: さや姉いくわ
[64.698] れんがーねっと: riddleまじ頑張ってほし
[65.010] m1ch1_99: vodkav2Riddlesmile
[65.860] だーおか: fpsakuRidsmile
[66.523] マヒロん: おいっす
