[21.019] ラスタパスタ: HeyGuys
[27.123] purin_kun6279: ども
[27.518] maiku111: おいすー
[27.533] 肉食のビーガン: おす
[27.762] ~MISSING_COMMENTER_INFO~: よお
[30.021] hyu_su: おいす
[30.215] isukunn: おいす
[30.340] 96san_788: shakaWin
[31.095] ゆーむりんじー: がおっす
[31.839] (S)sq9ra: がおっす
[31.976] (S)hinanakoi: おいす
[31.999] bgtfrtyu: BloodTrail
[32.596] benecry: ボドカ愛してるぞ
[34.171] satou567: おつかれ
[34.204] takumiti_jpn: やあ
[34.303] rito_0550: やあ
[35.169] 非常口_123: おいす
[35.411] 生乾き: おいすー
[35.745] nupamaso: 🐮🖐にょっす！
[36.071] (S)こめつぶさん: おいす
[36.297] beaboa2302: おいす
[36.706] heaveen0tanukiti25: vodkav2Angryvdk
[37.534] okashimof: おいっす
[37.675] (S)m14su: おいす
[37.707] デモンズグリードパラセリゼ: いつもありがとう
[37.755] senseihangeki12: おつかれっす
[38.328] hyu_su: リドルヴァロおめでとう
[38.454] suyaav: BloodTrail
[39.059] 96san_788: FURIA帰国
[39.698] ゆーむりんじー: リドルおめでとう
[39.723] (S)しんすん: やあ
[39.755] (S)choregi418: おいすー
[39.840] igoptc: にょい
[39.960] nackykun: おいす
[40.116] kurikingtong: euriecePog
[42.612] daru0222: おいすー
[42.871] (S)激ローメタモン: おいす！
[42.883] yk177228: 突破おめっと
[42.884] 4ymgg: おいす
[42.920] satou567: おめ
[43.544] クロロシババ: おいおいす
[43.843] mooooniio: にょいす🐮🖐️
[44.755] tumblerrrrrrr: おっす
[44.877] rirumaim: がおっす🦁🖐️
[45.767] Peru0795: うっすー
[45.955] himihima: おいすー
[46.139] ahoy_p3ko: おいすー
[46.314] lionelmessi4545: やあ
[47.225] 雲皇帝珍満: 8時からのは流石に見ないよね？
[47.938] shun_baby: がおっす
[50.059] ヘルシー鳥皮: Riddle勝ったな
[50.770] pasta200468: おめでとう
[50.975] nackykun: ああぁん
[52.262] heaveen0tanukiti25: vodkav2Angryvdk
[53.050] lazy_hayapoppo: やあ
[53.124] umichanpanchi009: 好きな人いますか?
[53.697] starlord468: vodkav2Angryvdk
[53.904] liberty_ne: おいす
[54.167] (S)ミランおじ: ボド待ってた
[54.635] poyoyo___: ぼどーー！おいすー！
[57.411] Peru0795: ないすリドル
[57.668] igoptc: RID🤝FURIA
[58.742] takuto135: ヴァロおめでと
[59.115] なちょがすきー: がおっす！！！
[60.230] fine2980: リドル配信台おめ
