[25.292] おかあさんジュニア: うい
[25.525] 臭めのこかりん: がおがお
[30.585] わい_와이: ういうい
[32.134] 非常口_123: おいす
[33.217] (S)はーつー: HeyGuys
[33.512] 31t4ppy01: やったああ
[33.516] keita0704: がおっす
[34.384] ここあだよーん: こんちゃー
[35.564] mintonll: おいす
[35.580] isukunn: おいす
[35.783] 66_mol: yuz48Oisu
[36.040] (S)hinanakoi: おいす
[36.996] rask_127: おいす
[38.326] (S)choregi418: おいすー
[38.775] らんぱ: がおっす
[38.844] ただのともや: がおっす
[39.229] bbjzz: おいす
[40.166] まじめさん: やあ！
[40.448] xashxy: 仕事いやだ
[40.642] cancelll0: おいす
[40.919] terukun11: がおっす
[41.173] ペンちゃごん: うぃおいす
[42.009] 5hqw: vodkav2Angryvdk
[42.037] ただ感謝を: おっす
[42.296] yusuke3225: おいす
[42.507] まねーじゃーだよ: こんち
[42.678] namanama99: おいす
[44.417] (S)モナカのお腹: がおっす
[44.517] taiyoi24: おいす
[48.489] キューブってる: がおっす
[49.290] ねんここ3: にょっす
[49.897] shun_baby: がおっす
[51.083] cancelll0: GWおわった 
[51.316] なるふぇに: 🐵🖐️
[53.618] konnnitewa: vodkav2Angryvdk
[54.577] omatsu1234: にょっす
[54.653] yoneya18: おいす！RIDDLE勝ちおめでとー！！！！！！
[57.816] rainy_st1: rainy_st1 subscribed with Prime. They've subscribed for 23 months! 
[59.339] sai_0077: がおっす
[63.908] じぃじぃじぃ: がおっす
[64.126] 倉内: GW終了←これガチでやめてください。効いてしまいます。
[64.270] zery108: おいすー
[65.754] ry1234y: ALGS3キーマウのあのチームが勝ったな。
[66.113] とうらㅎㅎ: BloodTrail
[67.695] yahqta: にょっす
[69.435] sh1nRan: おいす
[71.938] あぼべ: 海の日まで祝日ないマー！？
[72.031] rqiko: BloodTrail
[72.775] akat2314: 今日楽しみや！！！！
[73.049] (S)trkn_3: がおっす
[74.866] (S)hinanakoi: hinanakoi subscribed at Tier 1. They've subscribed for 5 months, currently on a 5 month streak! 
[75.760] ここあだよーん: (  i ꒳ i  )
[76.670] nenemuishi: BloodTrail
[76.857] unaginuuuuu: やめてね 
[76.916] やまゆう0227: こんちゃ
[78.755] cancelll0: NotLikeThis
[79.238] ひろせぇ: 仕事ｲﾔﾀﾞｱｱｱｱｱｱｱｱｱｱｱｱｱｱ
[80.303] xena4869: おいすー
[80.544] やまゆう0227: 最悪や！！
[81.026] ただのともや: にょっす
[82.103] 31t4ppy01: BibleThump
[83.609] (S)1031hunter: GW一歩も出なかったので明日から社会復帰きつそう😭
[84.674] Kyos_0p1: がおっす
[84.820] lllllNllllll: 7月まで祝日もうない 
[85.415] zery108: ゴールデンウィーク終了BloodTrail
[87.644] naka248: naka248 subscribed with Prime. They've subscribed for 13 months, currently on a 13 month streak! がおっす
[89.415] やまゆう0227: 許せん
[89.964] lamfjo: ニート最高！
[89.984] ここあだよーん: 学校やだぁぁぁぁぁ
[91.285] (S)trkn_3: 現実ヤダ
[93.339] DeMEKiCHi: 辛口好きなんですか？
[95.193] kouk1g: 仕事大概せぇよ
[95.260] akat2314: ハイネケンいいね
[96.288] (S)homuhomuqb: 🐮👉
[98.257] zery108: 学校 
[102.015] 臭めのこかりん: 社畜のみんな頑張ってね〜^^
[108.430] ただのともや: いいね
[111.023] pooh1234556: ざつだんあざす
[115.885] 非常口_123: 学校やだ
[115.927] kouk1g: コンビニに売ってる？
[116.074] xena4869: あと一週間GWほしー
[121.724] kaazu1112: ridが勝ってくれたおかげで明日楽しみやわ
[121.898] taiyoi24: 学校やだー
[127.609] takumiti_jpn: 飯テロ
[127.655] tomiboy_jr: 自分で作ったの？
[127.827] Cartass_Jp: itsogpIckleBORK
[134.648] chikage_1003: 浪人生は毎日ゴールデンウィークだよ〜^^
[135.011] syo7uuu: 15:00
[135.223] shishamodesuyo: ボド明日ミラーする？
[136.808] じぃじぃじぃ: サービス業だからそもそもGWなんかねぇよ
[137.890] lamfjo: 3時
[138.910] zery108: VCJ楽しみ
[139.637] tyokoball: 3時
[139.788] shishamodesuyo: 3時から
[139.958] ねんここ3: 3時
[141.720] yuitsukainori: 15です
[145.578] kaazu1112: 多分3時
[146.053] やまゆう0227: 次の祝日7月らしいですよ
[148.592] まじめさん: 3時早すぎ
[149.541] T4ppei: まじで楽しみだ
[154.971] ただのともや: 3時マ？
[159.497] takumiti_jpn: いいね
[164.599] (S)trkn_3: 配信見ながら勉強するわ
[166.883] 非常口_123: 嘘でしょ？
[167.431] DeMEKiCHi: 課題終わらん
[168.339] tyokoball: どことだっけ？
[168.442] lion_oo6: ついに見れるんやね
[171.629] yerrymina2: BibleThump
[173.096] moi__chan: BibleThump
[173.478] pooh1234556: NotLikeThis
[173.715] xena4869: 現実突きつけてくるやん
[174.078] (S)homuhomuqb: ん
[176.093] (S)虚無__: きつい
[176.113] らふすけ: ww
[176.788] lamfjo: MRGはSZとだぞ！
[178.666] puuuusan8: BibleThump
[179.273] 臭めのこかりん: wwwwwww
[179.472] yuitsukainori: GW最終日→配信無し GW翌日→15:00から配信
[182.443] ここあだよーん: ねるな
[182.588] syo7uuu: WutFace
[183.627] まじめさん: クソすぎ
[184.441] 非常口_123: 7月ってことは海の日か？
[185.189] yusuke3225: 既に仕事中
[185.611] らむぽっぷ: unkochanYaa
[185.741] ただのともや: BloodTrail
[188.871] 31t4ppy01: くそぅ
[190.673] zery108: 夜ずっと配信しててくれ
[191.346] わかごぼう: 俺は毎日祝日
[192.254] (S)venven8: わいは8日就活の面接や！行ってくる！！🔥
[192.489] nabeoooooo: まだ課題やってない
[216.343] まじめさん: vcjあたま大丈夫？
[220.709] zery108: 仕方ない
[229.421] ねんここ3: とっととどこでもいいからリーグ行ってくれー
[233.006] daw012: うぉちぱけんげんもらったの？
[242.853] ここあだよーん: 1口ちょうだい
[247.508] 6534121: 15時とか見れねぇ
[251.364] abc_nj: スマイルクカさい 
[255.073] kuma_mimi_: algsと被らないだけよかったと思うけれど
[263.975] (S)sugarrro: やぁ
[269.420] llnidaime: こんばんは
[270.191] zery108: 学校終わったらすぐ見ます
[271.603] ~MISSING_COMMENTER_INFO~: ウォチパできそ？
[275.834] 倉内: 明日ムラゲもみる？リドルだけ？
[276.037] ry10968: そのままムラゲもみる？
[277.054] mojyajya_016: その飲み物見たことない
[278.488] iru_pika: ALGSみた？
[280.247] syo7uuu: ridとmrg両方メインステージいってくれたらいいわ
[284.795] ~MISSING_COMMENTER_INFO~: よかった
[289.945] ペンちゃごん: GWに課題出すとか終わってるやろ
[291.395] ~MISSING_COMMENTER_INFO~: 頼むでー！リドルもムラゲも
[292.830] 倉内: やった〜
[292.882] mofumofu3773: まじでメインステージ行ってくれよ
[293.172] ただのともや: いいね
[293.940] ~MISSING_COMMENTER_INFO~: 応援してるぞ
[295.430] 6534121: やったーー
[295.500] (S)虚無__: 虚無__ subscribed with Prime. They've subscribed for 2 months, currently on a 2 month streak! よーし
[296.605] ねんここ3: 次負けたらまたIGZとだからきついね
[300.330] pentadoragonn: 何時？
[302.799] ry10968: 勝ったらみるかw
[306.355] (S)可能性の獣1: 負けても勝ってもつぎ配信ある？
[311.718] ペンちゃごん: vodkav2Angryvdk
[313.586] まじめさん: いやみてくれ
[315.169] clannad19: 新規で入ってきたチームが勝つと嬉しいもんねー
[316.329] ~MISSING_COMMENTER_INFO~: ミリオン🆚まんぜう軍みたいんだよな
[316.536] lamfjo: ムラゲ負けそうです
[321.497] zery108: ジョジョが早くみたいよ
[322.388] tomoryi1023: 今日スコアで1万見てたからウォチパどんだけ増えるかな
[329.056] raiiiiirii: 明日ウォチパしますよね？？？
[330.464] 倉内: スカーズなんかGEみたいになっててくそこえーよ
[338.228] ksk_0108: MRGWIN
[340.228] ~MISSING_COMMENTER_INFO~: スカーズマジでグローバルすぎるよな
[340.953] doragongon: リドルとムラゲが当たらなくて良かった
[342.707] (S)sugarrro: 今日かえでーやばかった？
[343.407] takakinnt: algs見ました？
[346.503] ただのともや: 確かに
[351.314] ry10968: 明日平日だからな
[351.693] chachamarud: やっとソルダムジェットが見れるのか？
[354.588] masaki_106: 明日15時やろ確か
[360.192] 非常口_123: まさかな
[360.520] shishamodesuyo: そこつぶしあって欲しくないよ
[362.237] 96nowa: 流石に純もウォチパするか？
[364.542] 倉内: メインステージで再戦できると最高やな
[365.412] ~MISSING_COMMENTER_INFO~: まさかな？
[365.623] クロロシババ: 若いのにギックリ腰してGW潰れた
[366.357] knife2525: どうせならメインステージでみたいもんな
[368.126] s0ngline: でもどっちか負けたら対決見れなくなる
[369.010] プライム君: 前回は当たったよね
[373.815] (S)sugarrro: 一応プレミアの順位とかがあるんじゃね？
[374.642] tomoryi1023: まさかね
[376.920] syo7uuu: 流石にsp１で当たってるから当たらないようにはしてそう
[377.276] erisbloom: RIDWIN
[380.248] zery108: 前回と同じマッチしないようにはしてそう
[382.179] woodenfish0923: Riotに忖度はない
[387.906] シノビ0: そりゃね
[389.575] ~MISSING_COMMENTER_INFO~: 視聴率とれるからな
[391.651] tomoryi1023: www
[393.113] ただのともや: そらそう
[394.780] ねんここ3: 数字的にね
[395.399] clannad19: ｖｃｊトップ3全部むらげ関連の試合だったからな
[396.192] trust_me_baka: 盛り上がりが違いすぎる
[397.037] feee_666: その前のFAVとRIDはわけてくれてそう
[397.344] taku741107: あれって順位でグループ決めてるんじゃないの？
[397.353] mikan9778: 視聴率がな
[401.654] プライム君: gwに配信しないのに忖度するわけない
[402.660] dfonxz268: むらげまけたら衛門だれもみん
[402.728] woodenfish0923: RAGEならあるかも
[404.144] ｴｸﾚｱ: 井上尚弥見ましたか？
[408.752] DeMEKiCHi: 福神漬け入れる派ですか？
[413.686] lkjhgfdsa24: 事前のトーナメントだとリドル側にムラゲが表示されてたんだけど何で変わったのあれ
[414.223] ~MISSING_COMMENTER_INFO~: ムラゲクカーズに負けるなよー!
[414.328] 紗霧ももな: こんばんは
[415.304] akiiii333: シンプルに明日楽しみすぎる
[418.107] シノビ0: 日本のvaloを支えてる
[419.012] まじめさん: 前回RIDフルメンバーじゃなかったししゃーなしよ
[421.253] marukoo1059: えぺ世界枠増えたからよかったねえ
[422.437] 非常口_123: 決めてる基準わからないんだ
[433.246] shishamodesuyo: やっぱムラゲとリドルとノイジーは新しいから結構特別感ある
[443.020] わらびもち2004: ボドカ今日で20歳になったから祝って
[448.479] typewith: バランス良くなってるらしいけどね
[451.268] tomoryi1023: ちゃんと順位分けされてるはず
[451.480] mamenanda: 俺レベのゲームの配信どこでしてたの？
[455.307] (S)モナカのお腹: マウスパッド忘れてたああああ
[458.502] keita0812: ぼとおいす
[458.523] キューブってる: 明日楽しみ～
[470.115] akat2314: 俺レベぶっちゃけおもろかったか？
[477.216] zery108: スプ2マジで楽しみ
[490.451] 倉内: リドルのあいてヴァレルか
[492.008] chartreuse__: アニメみた方がいい？
[497.438] stylish_nojob: 原作愛があって良かった
[500.502] chikaman88: 明日就活第一希望の面接あるから応援してくれ！
[503.816] akat2314: レイドとかあるっぽいしそういうゲーム待ってたから楽しみや
[504.192] typewith: もこうみたいにはならなかったか
[508.382] faiz20404: リドル残念でしたなあ しかしAPACNは検討したっすな
[511.328] nppppppff: 漫画読みたくなった
[512.356] kyarameru_kun: 今なに食べてるの？
[519.360] lamfjo: 元チームメイト対決
[520.695] ヤサイマシアブラカタマリ: バレルも色んな種目で勢いあるね
[524.828] tomoryi1023: gonが明日リドル2-0で勝つって予想してたぞ！
[525.860] DeMEKiCHi: あれって協力プレイとかあ...る？
[526.052] キューブってる: そおうね
[529.285] lionelmessi4545: リジェクトやったね
[536.632] プライム君: ソルダムvsぜんふ
[538.599] mojyajya_016: 明日はヴァロラントの試合があるんですか？
[538.729] FeverRaga: こんばんはーリドル勝利おめです！
[540.164] Aug_Leaf: FNCも３位か？
[541.203] lionelmessi4545: 枠も増えたぞ
[541.890] taku741107: 明日勝てばsp2メインステージや!!
[542.117] marukoo1059: しかも3キーマウやしな
[542.518] ねんここ3: RCFNCに足向けて寝れないよ
[542.853] シノビ0: apexの大会久々にみたらおもろかった
[544.273] ヤサイマシアブラカタマリ: ライカがキル数一位だったよ
[546.095] akiiii333: ソルダムとジョジョはまだ韓国？
[546.319] karukonkonkon: 枠9枠になったしな
[546.814] junjoyjai: フナとRCれべち
[547.974] syo7uuu: fncばり惜しかった
[549.479] tm_tora: 世界大会枠ひとつ増えた
[551.513] まじめさん: 健闘どころじゃないわ！！
[551.591] ameagari_417: 増えた
[551.639] shun_215: フナとか分解して全体的に強くして欲しい
[551.878] 玉子王子です: 3キーマウでRC超えられる気がしない
[552.550] 賽の瓦: 8から9だっけ？
[553.817] akat2314: 平岩さんがブチギレてヤフーニュース自分で書いてたのすっげぜ胸熱くなった
[555.690] takahouse: mnk 最高や
[556.248] キューブってる: FNC強かった
[556.580] aaa_ketchup: フナリジェクトは元々抜けてたしなぁ
[558.040] iru_pika: 一つ増えた
[559.561] KABAYAKIGG: 元RIDDLE
[560.777] うつはる: こんばんわ～
[567.207] ankooisii_1: 昔から最強やったもんな
[569.332] tanakadesukedo: 高木スト6
[570.276] ただのともや: ALGSで日本チーム優勝するの初だっけ
[572.557] ねんここ3: 強い方のRIDDLE
[572.605] 非常口_123: 全員キーマウなんだっけ？REJECT
[574.057] キューブってる: 元RIDDLE
[579.579] yuugao0176: 偽リドルもおもろかった
[584.398] NAMAHAGA: 強い方のリドルな
[584.405] lionelmessi4545: wwww
[584.597] シノビ0: ほんとにチーム点々としてたよな
[584.919] junjoyjai: べつにきれてないだろｗ
[585.237] woodenfish0923: Qさんもウォチパするらしいぞ！
[589.354] akat2314: 誰も記事に纏めんかったから自分でかいてた
[590.782] Aug_Leaf: 全然話題にならんからってこと？
[591.463] y4kum1neg1: ブチギレてはないだろ
[592.652] 賽の瓦: 誰も書いてくれなくて話題になってなかったから
[592.865] c4ndyyyy77: フナがウィナーズ一位で抜けたやつ
[594.673] tanakadesukedo: 高木スト6レジェンド行ってた
[594.877] tomoryi1023: 誰も書いてないから待て
[594.887] ameagari_417: 誰も記事で話題にしないから
[595.050] FeverRaga: 記事でてなかったからかな？
[596.669] むぎとろ65: やぁ
[596.867] aaa_ketchup: なんでどこも書かないの！って？
[596.906] elira_seika: まったくきれてません
[597.082] shishamodesuyo: リドル、エペもバロも調子いいねぇ
[598.685] (S)sugarrro: なんで誰も取り上げないんだ💢ってやつ
[600.058] 臭めのこかりん: ちなみにキレてません
[600.838] 倉内: きれてはないw
[604.430] typewith: １位抜けしたのに話題にならなかった
[604.944] suyu_namin: フナが1位抜けしたことが記事になってなかった
[609.113] キューブってる: ｗｗｗｗｗ
[616.538] まじめさん: eスポーツはおじさん達興味ないからw
[616.772] stylish_nojob: 平岩さんブチ切れです
[621.612] (S)homuhomuqb: へ、た
[622.517] mukusuke_0726: なまいきやな
[625.084] (S)sugarrro: あ
[626.902] progamer_kk: BloodTrail
[627.263] takahouse: あ
[627.441] moi__chan: あ
[627.583] rint2: 井上尚弥みた？
[627.776] faiz20404: ｗｗｗｗ
[627.798] y4kum1neg1: あ
[628.600] tanakagamin: あ
[629.468] サンパ: トムヤンクンにボドカさんいるって話題になってたな
[630.812] シノビ0: ﾌﾞﾘﾝﾊﾞﾝﾊﾞﾝ
[630.913] 96nowa: あ
[635.947] ただのともや: BibleThump
[636.474] raiiiiirii: 最近おじじと喋ってますか？？
[637.721] lionelmessi4545: お
[638.444] はぜぼう: しばく？
[639.998] ればちゃ: こんばんは〜
[640.700] ねんここ3: あ
[641.212] ameagari_417: あ
[641.801] ankooisii_1: www
[642.370] yahqta: あ
[642.493] 賽の瓦: BibleThump
[642.714] lionelmessi4545: あ
[642.919] takahouse: こわ
[643.792] moi__chan: BibleThump
