[21.005] aeom__: 大概にせいよ！！
[28.169] wataoshi: NotLikeThis
[32.689] (S)みりみりみりみり: がおっす！
[38.488] kan___a: こんにちぃは
[40.654] ホーくん: unkochanYaa
[40.662] yukiringo3233: こんにちは！！
[40.931] ch_is2: がおっす
[42.060] shunma_09: がお
[42.927] hyu_su: おいす
[42.948] みぽんぬ: ぼどにゃーん
[43.047] p004444: おいす
[43.481] おもチ: 韓国から?
[44.898] okumoto2nd: こんちは
[44.916] らむぽっぷ: らむぽっぷ subscribed at Tier 1. They've subscribed for 26 months, currently on a 26 month streak! おかえりー
[45.706] 伝説建設: よぉ
[45.961] optionpurple8: がおっす
[46.599] さとうきび400: おはんよ
[47.033] pachinkohanzo: ぼどたん
[47.614] (S)激ローメタモン: おいす！
[47.628] (S)みりみりみりみり: コバルトカタールか
[47.914] sasimi093: がおっす
[49.982] 羅天真流: エペやめてね 
[52.441] たれぞう123: がおーす 
[52.679] doggo813: おかえーり
[53.529] wataoshi: かわいい顔や
[53.609] asumikan0810: がおっす
[53.732] shiva_057: ぼこんにちは
[55.154] (S)yama_mura: がおっす
[57.204] (S)largedog3: BegWan
[57.595] 伝説建設: おはよ
[58.956] tsu_mr: がおっす
[59.371] samekiti675994: こんにちは〜
[60.327] 臭めのこかりん: がおっす
[60.560] m1ch1_99: がぉっす
[61.466] (S)choregi418: おいすー
[62.271] keeshiii84: ハルTSMいなくなっちゃったよ〜
[62.329] kanditch: アプデ後もうやった？
[62.469] 爽来: ドリームチームできたね
[62.978] コダック大好き: 天井までレッツゴー
[63.192] lionelmessi4545: おい韓国どーしたんや
[64.271] metofan3150: よっしゃゃゃゃゃあ
[64.503] (S)激ローメタモン: 直引きまじかよwww
[65.400] wtmjpg: がおっす
[69.130] tsu_mr: えぺうおおぉ
[72.088] コダック大好き: 7万円が天井だよ
[72.103] metofan3150: ええやんええやんwww
[72.203] Karaage9_9: おいす
[76.248] bsz_230: チーム友達！チーム友達！チーム友達！チーム友達！チーム友達！チーム友達！チーム友達！チーム友達！チーム友達！チーム友達！チーム友達！チーム友達！チーム友達！チーム友達！チーム友達！チーム友達！
[79.271] kimpii_o: 500パック買うんか！？
[79.330] (S)激ローメタモン: あと何パックで出るよそう？
[79.478] 爽来: ハル ゼロジェンバーテン
[80.423] シマさん: きたあ
[81.937] すみえ: vodkav2Riddlesmile
[85.351] (S)warawanaiman: がおす
[87.247] attsubloom: www
[87.495] iloh4su: こんちは〜
[88.923] pachinkohanzo: PartyParrot
[90.032] non_438: くれ！
