[15.174] meruwo: vodkav2Oi
[20.607] o8bit2: vodkav2Angryvdk
[26.531] (S)すけ7: ろれ？！
[29.994] suzuno_g: おいす、メンバーだけでも面白いw
[30.947] grapemmm: oisu
[30.950] 5hqw: DinoDance
[33.159] renponu: ナンやこれ
[33.887] ssssssssszx: きたー！！！
[36.038] hiro_918: おいす
[39.008] まろんちゃんこ: おいす
[41.075] (S)warawanaiman: おいーす
[41.346] ろおでん: 最高や
[41.364] bery030917: は、いえな
[44.488] Xphazin: oisu
[45.597] tanaksan: おいすー
[48.205] (S)towa0114: でたこれ
[48.233] kenkiaho1919: おいーーーーーす
[48.908] maruooo0: 初コメです
[49.638] punoco: おいす
[49.830] (M)tennkoh: !editcom !member 英リサさん, 夢野あかりさん, ローレン・イロアスさん
[49.996] (M)Nightbot: @tennkoh -> The command "!member" has been updated successfully.
[53.313] (S)ahoy_p3ko: おいすー
[53.943] シュバイソ: これおもろいやつや
[55.492] 桜花8728: akariSaiyajin2
[62.067] みどりのはっぱ: こんばんわ
[67.577] shibisora1204: 今までボドカブチ切れ集みてた
[73.194] ssssssssszx: ボドチャットでたぞ！！！
[78.271] fat_ojisan: おいっす
[78.497] (S)AKUTANNNN: コメ欄が真ん中付近にある
[79.009] hyu_su: メンバーエグいで
[80.304] spiwdggf: oisu
[82.013] ssssssssszx: 画面えぐいど！
[82.655] karen_o7: これしてくれるんうれし
[83.211] tanaksan: チャットでてるどー
[83.468] ryu04117: なんでもうロレ音割れしてんだよ
[84.306] サムライチャンバラ: こんばんは 
[84.624] スイーパー00: おーこれか！
[86.707] aiu1234567: おいす
[86.918] kusastu: コメ晒しやめてね
[96.795] ssssssssszx: ありがとう
[97.541] にゃむちゃむ: 神ゲーキター！！
[102.067] (S)z__196: z__196 subscribed at Tier 1. They've subscribed for 6 months, currently on a 6 month streak! 
[104.065] Aug_Leaf: メンツえぐ
[111.840] kissyof: おもろいやつやん
[116.751] らむぽっぷ: ホラゲーきたー
[129.634] (S)swmkw: なんか珍しいメンツ助かる
[136.544] (S)Yukimaru1029: vodkav2Good
[148.296] urimubo: フィルムあるから気を付けて
[159.875] trrrrrt8: なんだこの面子！？
[163.539] nekonekochan0: これなんだあ
[168.127] aiudesu: 充電みたいなやつあるぞ
[172.376] epepha: あかさんとロレのからみってあったっけ
[188.669] (S)homuhomuqb: どういうメンツなんこれｗ
[192.305] 96nowa: なんだこれw
[195.609] frosty_____sh: がおっす🦁
[198.879] chikage_1003: ひき、にく
[200.872] maru__2127: がおっす🦁✋
[201.153] hyu_su: コムドットやろ
[202.851] inemuri1220: @epepha VCRGTA以来
[203.114] (S)mci_foden: www
[206.642] miritimujkl: ちょんまげ
[217.111] (M)tennkoh: !editcom !multi 4人の視点のマルチ視聴はこちら< https://twitchtheater.tv/vodkavdk/akarindao/v=Ch_Fb6UQGZ0/v=bEgSDptdrmo/c/vodkavdk >
[217.260] (M)Nightbot: @tennkoh -> The command "!multi" has been updated successfully.
[229.177] Aug_Leaf: SF6裏ch
[235.353] peeman09: 音割れどうにかしてくれ
[249.741] (S)うるふっ: おいす
[268.650] frosty_____sh: がおっす🦁✋いつも大概にSayよ！ボドカです！
[282.231] Aug_Leaf: これゲーム内VCだからいつもより音わるいんか
[284.152] miritimujkl: @peeman09 このゲーム音割れしかたない
[284.493] シュバイソ: vodkav2Riddlesmile
[290.434] suzuno_g: wwwww
[298.550] peeman09: どの視点でも音割れかこれ
[303.319] Aug_Leaf: wwwwwwww
[308.225] ssssssssszx: その声なんなんw
[313.443] (S)homuhomuqb: ワロタ
[313.684] mkkkccc: これ仕切れるのボドしかおらんな
[325.999] spiwdggf: ボドママ
[326.696] aq08ua: フィルムないなるｗ
[329.486] xylitol_gg: フィルムないよ
[330.883] アユゥ: ボドりん
[334.158] lovesonlymikan: へにょへにょ
[334.187] namu0: ﾎﾟｰｳ!
[337.726] チビレナス: おいす
[339.363] a_k1_ra00: とりすぎｗｗｗｗ
[340.754] mkkkccc: ボドリンじゃない？
[340.954] epepha: 肉 
[343.864] Aug_Leaf: フィルム残量えぐいってｗｗｗｗｗｗｗｗ
[344.083] denp0007: おいす
[346.859] ゆうたろぽ: もうフィルムないぞｑ
[349.834] urimubo: フィルム20％ｗｗｗｗｗ
[362.897] ゆうたろぽ: ｗｗｗ
[372.578] maru__2127: ｗｗｗｗｗｗｗ
[372.579] tanaksan: wwww
[373.469] Aug_Leaf: wwwwwwww
[373.789] チビレナス: www
[376.077] aiudesu: ｗｗｗｗｗ
[376.096] (S)Yukimaru1029: w
[376.653] suzuno_g: wwwww
[377.086] 96nowa: wwww
[378.135] (S)homuhomuqb: ｗｗｗ
[382.069] dondonnyaki: 取れ高wwwww
[390.325] kusastu: 助けろじゃなくて撮れなのかよw
[390.532] furuwani: 取ってないで助けろ定期
[419.441] Aug_Leaf: あ
[426.440] (S)mci_foden: あ
[426.856] ledelooo: a
[429.506] guri_guri: 心霊系youtuberおいすおいす
[431.495] Aug_Leaf: てなわけでね
[433.093] panimican: やばい広告来たなんもできない
[459.500] Aug_Leaf: フィルムもうないやんｗｗｗｗ
[476.059] ssgss12: ローレンあかりん珍しいな
[490.245] (S)Crown_chan: wwwwww
[494.719] Aug_Leaf: wwwwww
[497.356] Jagavl: wwwww
[498.136] komekome299: wwww
[507.694] spiwdggf: カメラマン終わってるってw
[512.593] 7tk4: free4sBreak
[521.453] ゆうたろぽ: 戻るって書いてるな
[525.806] Aug_Leaf: うえ
[529.648] ssssssssszx: あ
[533.413] (S)Yukimaru1029: やばいやばい
[536.147] spiwdggf: 戻れ戻れ）
[543.407] komekome299: はぐれたのまずいｗ
[546.156] maru__2127: まずい
[547.584] 私は2525: おひとり迷子
[552.639] epepha: えーベイトです
[554.175] Aug_Leaf: あ
[559.106] ssssssssszx: wwww
[562.315] suzuno_g: 帰られたww
[569.028] スイーパー00: www
[570.899] 작은새ことりー: ^u^
[571.483] urimubo: カメラ…
[574.184] himazinn_com: 置いてかれたww
[574.463] ssssssssszx: あ
[577.826] spiwdggf: 頼りないやつ来たって
[579.902] らむぽっぷ: 置いてかれたね
[612.616] ezoharunobu: E押せばできる？
[616.346] (S)kaputinon777: ねよっか
[616.680] grayrhinoissai: とりいくべや
[618.716] スイーパー00: カメラ持ち置いていくからw
[625.284] darker_0000: カメラ持って帰ってこないとアップロードできない
[629.567] pachinkohanzo: ぼどたん❤
[640.320] komekome299: まっずいか
[649.284] urimubo: 寝れば復活するよ
[651.442] (S)kaputinon777: 一旦ねるしかない
[651.714] ゆうたろぽ: 入口の筒はフィムルか？
[654.721] riria_naruse: 寝て次の日にならないとカメラもらえない
[658.873] spiwdggf: おねんね
[659.728] ksan_0: 次の日きたらカメラリスポン
[673.356] komekome299: 今日のことは忘れようｗ
[676.099] (S)ほのか06: ニートww
[706.205] (S)kaputinon777: 因みに、置いてきてしまったカメラは回収して動画だけ回収できる
[706.995] ゆうたろぽ: 入口のアイテム取らん？
[712.166] オリカナ: リーサル✖️ファスモみたいや
[733.838] (S)kaputinon777: ひき肉でえす！
[760.231] pokpokpink: わあー
[763.362] Allexceed____: こっわ
[768.169] (S)homuhomuqb: ｗｗｗ
[769.619] ssssssssszx: wwww
[769.902] komekome299: ｗ
[770.200] (S)さみすす: wwwwww
[774.188] pepe_1513: wwwww
[775.191] Aug_Leaf: ｗｗｗ
[783.366] ssgss12: うるさw
[785.057] kuchankichan: www
[790.812] (S)kaputinon777: ローレンうっさｗ
[795.527] pond__a: カメラマンwwwww
[809.626] らむぽっぷ: 人が死ぬとこ撮ると金払いいいぞ
[815.059] pepe_1513: ローレン撮れ高に必死になって最初に死ぬディレクター役だろ
[821.838] suzuno_g: wwwww
[823.092] Jagavl: wwwww
[824.868] ゆうたろぽ: 緊急やめてねｗ
[834.743] Allexceed____: ローレン声でけえ
[835.255] (S)homuhomuqb: ｗｗｗｗｗｗ
[837.685] komekome299: まずいｗ
[837.913] maru__2127: ｗｗｗｗｗｗｗｗ
[841.020] しると: karubisGyo
[843.905] (S)kaputinon777: はっやｗ
[847.048] rail1203: 帰るww
[849.094] Aug_Leaf: ｗｗｗｗｗｗ
[853.886] ssssssssszx: NotLikeThis
[853.967] mugi102000000: w
[858.620] urimubo: ｗｗｗｗｗｗｗｗｗｗｗ
[861.633] オカっち: 撮れ高www
[872.107] namu0: やばすぎると話題に
[872.293] peeman09: ローレンがどの視点でもうるさすぎてきついw
[873.232] (S)kaputinon777: カメラの所
[876.705] (S)kaputinon777: 外の
[885.755] オカっち: ショートでバズるぞ！
[888.276] urimubo: そこじゃないよ
[888.695] winter99225: 外にある
[893.698] 可愛男: 一億万ｗ
[894.986] らむぽっぷ: カメラをディスクにする
[902.409] ssssssssszx: LUL
[907.487] misa_iroas: DinoDance
[930.255] (S)homuhomuqb: おー
[933.711] ssssssssszx: すげぇw
[937.952] ssgss12: すご
[938.332] オカっち: LUL
[938.368] (S)homuhomuqb: 草
[939.474] maru__2127: すげえｗ
[939.730] Aug_Leaf: すげえｗｗｗ
[942.248] らぃむちゃん: www
[942.433] (S)Yukimaru1029: w
[945.507] arnananan: 何このゲームw
[945.538] ジャンピング刺身: LUL
[946.200] dondonnyaki: すげえww
[953.088] Jagavl: wwwww
[953.666] ともそらち: ボド、ローレン65％フィルム残量のこしてるのえぐいｗ
[954.833] プチピーマン: ロレうっさｗｗ
[956.139] suzuno_g: ロレ声でっかwww
[956.219] (S)ほっそーー: 臨場感すごいなw
[956.880] オカっち: 声入ってるのおもろすぎるw
[960.524] (S)ヒーロリコン: ｗｗｗ
[961.968] (M)Adazx: wwww
[963.975] rail1203: wwwwwww
[964.827] komekome299: ｗ
[965.275] オカっち: www
[965.388] maru__2127: ｗｗｗｗｗｗｗｗｗｗｗｗ
[965.859] らむぽっぷ: wwww
[966.153] Allexceed____: 282w
[966.644] arlingtonnnnn: wwwwwww
[967.017] チビレナス: wwww
[967.501] (S)homuhomuqb: vdkワロタ
[967.698] ssssssssszx: wwwwwwwww
[968.342] dondonnyaki: wwww
[968.424] grayrhinoissai: すっくなwwww
[970.704] 44n55kf: なにこれw
[971.871] paulyster17: is that vdk?
[972.380] らぃむちゃん: wwww
[974.276] (S)ほっそーー: あれVDKか！？
[976.478] suzuno_g: あのvdk！？
[978.879] Aug_Leaf: なお280再生
[980.941] にゃむちゃむ: ファンおるww
[981.948] urimubo: ロレの声でっか
[982.424] (S)イナムドゥチ: Is that vdk?
[987.981] grayrhinoissai: 置いてきたカメラとりにいけるで
[989.346] (S)kaputinon777: 朝に買うんやで
[989.592] kakipinku: おもろ！w
[989.657] ともそらち: 一回寝る
[993.186] Allexceed____: That famous guy vdk?!
[999.620] なっつです: Is that vdk?はやりそうwww
[1009.902] ともそらち: まず寝るよ
[1031.439] ともそらち: 動画アップロードしたらもう寝る
[1038.455] ぴまんぬーぶ: はよ寝よう
[1041.119] yukinkoc: 手おかしくね？笑
[1043.930] (S)kaputinon777: そうね
[1048.394] tanaksan: 英の腕w
[1051.971] turutoma: 手wwwwwwwwwww
[1052.284] aiudesu: ｗｗｗ
[1054.651] ジャンピング刺身: wwwwwwwwww
[1054.857] ssssssssszx: 手
[1055.089] tanaksan: ホラーやってw
[1055.291] Allexceed____: 手やばいw
[1057.696] プチピーマン: ｗｗｗｗｗ
[1060.130] angry_hungry19: wwww
[1061.512] Jagavl: wwwww
[1064.646] karikarikk: ぐにゃぁ
[1066.034] karagetaro: www
[1087.346] ゆうたろぽ: ベッドの音かわいいｗ
