[24.304] alyncoo: k4sen5ban
[29.851] 肉食のビーガン: おす
[31.921] motizuki_mk: やあ！
[32.127] (S)mao_o9: やあ
[32.583] 96nowa: がおっす
[34.314] ただのともや: がおっす
[34.357] (S)虚無__: がおっす
[35.528] slothfulmonday: おめでとう！！
[36.704] runarunatic7463: よ
[36.838] xinolqy: おいっふ
[37.379] himaruuu__: おいす
[39.089] yuujyuufudann: vodkav2Gotochi
[39.686] jade_0284: おいす
[41.214] vxyutakaxv: ナイトルーティンみたぞ
[41.398] (S)らた茶湯: おいす
[43.268] kurimu45: リド勝ちましたね
[44.482] lemon11117: がおっす
[45.051] ただ感謝を: やあriddleおめでとう！！
[46.125] igoptc: リドル最強でｸｶなんよ
[46.309] mintonll: おいすー
[48.169] imokorori: 俺も寿司食いたい
[48.309] ただのともや: XDEFIANTか！！！
[52.371] sora09416: がおっす
[65.353] (M)tennkoh: !editcom !member solo
[65.495] (M)Nightbot: @tennkoh -> The command "!member" has been updated successfully.
[67.539] tomato112207: こんばんは
[72.439] inakunnpro: ナイトルーティンおもろかった
[76.001] iguni_ru: がおっす
[77.934] area17134: riddle winおめでとう
[78.322] metamon353: 2回行動きたー
[80.972] べじたまん: このゲームってマウスかPADどっちでやるのを想定されてるの？
[95.271] すみえ: vodkav2Riddlesmile
[105.470] (S)激ローメタモン: おいす！
[111.106] mirusen28: ナイトルーティンおもろかったよ
[113.961] rorinennko: 新作なんや
[114.171] sh1nRan: 神ゲーおいす
[121.567] kose091: ボドしゃんのナイトルーティン最高でした！
[131.670] softswarm: これ案件？
[153.853] rorinennko: ナイトルーティン面白かった！！！
[162.507] muuuusuke: がおっす🦁
[164.527] jbf_o3: このゲーム普通におもろい
[231.482] (S)れいにーーーー: SR使用感どうですか？
[242.089] RagRumble: ストレイフしてきたｗ
[247.499] rito_0550: おもろそうやなこれ
[251.481] khyan225: なんかCODGhost感あるな
[259.222] gogen_g: ボドカさん気を付けてください、もうチーターがいます
[259.543] wozuma: Valoの時より楽しそうにやるやん
[271.527] がみちゃそ: こんほど〜
[273.018] alfredo_the_meat_boy___: こるおもろいんよ
[282.885] hatanuzi: 渋谷事変？？
[284.182] 96nowa: もうチーターでたんだw
[287.556] gogen_g: クールダウンなしでずっと透明化してる奴います
[294.341] がみちゃそ: CODから中指立てられてるゲームて聞いて
[309.105] (S)らた茶湯: www
[314.028] ただのともや: ww
[317.039] rito_0550: 優柔不断やめてね 
[320.310] FolkaSeed: SRきっつ
[320.960] (S)ahoy_p3ko: このゲームS&Dみたいなモードある？
[331.008] rushhikakinzz: 普通に楽しそう
[335.586] alfredo_the_meat_boy___: このゲーム砂ごみ
[341.690] hatanuzi: これ無料ですか？
[342.156] がみちゃそ: 普通におもろそう
[343.996] gogen_g: あとシンプルに死なないやつにも会いました。内部レート上がるとチーターめちゃ増えるので注意。
[390.506] がみちゃそ: やっぱ氏が軽いゲームは爽快でいいですな〜
[391.799] kigynghr: Codみたいな感じか
[392.756] 蒼守: このゲームスキルベースマッチングないはずでは？
[395.526] daichaaan12: リスポーンはやw
[402.991] 柚木ちゃんねる: なんか懐かしい感じやな楽しそう
[407.048] fourcinderella: 内部はランクだけとか見たけど
[429.686] がみちゃそ: 撃ち方がCODのそれw
[434.068] gogen_g: 殺されたときに相手のｈｐバーが変な風になってたら体力無限チートらしいです
[440.344] 96nowa: なんか上手い人みんなぴょんぴょんしてるからおもろいなw
[440.457] fourcinderella: ubiだからチート対策は期待できなさそう
[470.361] がみちゃそ: ubiかーい😓
[495.747] picopon_: ドミネーションルール？
[502.030] gogen_g: いや、普通に内部あると思うんですが。。。これは体感なのでわかんないですが
[517.884] がみちゃそ: 砂いっぱつ？？
[537.353] and1285: ランク以外内部はないぞ
[538.963] marqueeplayer: チートいんのかー
[540.239] bery030917: どうですか？
[544.012] Alter_8: このルール防衛がきつすぎる
[553.541] gogen_g: 内部無いんですね
[559.768] ぴーこ3: UIがディビジョンみたいでかっこいいね
[562.180] ownerdesu: やぁ！！！！
[565.243] (S)na7o_akr: SBMないよランク以外は公式が言ってる
[589.016] 柚木ちゃんねる: あると思う、体感って言ってるんだから感想だねえ、チーター怖い〜
[610.930] onaka_pekora: 新作なのにストリーマーもVTuberも誰もやってないな。。。
[613.761] rito_0550: リスポーン1秒なのいいな
[618.821] がみちゃそ: 勝利条件なんなんだこれ
[618.892] gogen_g: ＵＢＩを信頼してる人がここまで多いとは思いませんでした。すみませんでした。
[621.512] rama_adg: おもろそう
[633.194] 柚木ちゃんねる: PR打ってないのかな…
[634.307] gudaplay: ネガキャンすごい視聴者もいます
[641.863] 96nowa: スト6に吸われてるかw
[643.329] takaasahi: スト６のアプデにぶつける名采配
[645.641] gavrosu: 今のところ高評価っぽいゲームだ
[651.652] rama_adg: 結構おもろそうだけど
[661.410] 柚木ちゃんねる: このゲームの会社、別ゲー何あります？
[667.529] picopon_: おー
[668.543] 胡麻味噌髄: おお
[669.915] rito_0550: おー
[671.087] gavrosu: PADとキーマウでマッチング分かれると聞いた
[673.936] ただのともや: おお
[673.940] tekateka321: おお
[678.407] 終電そろそろだね: リドルおめでとう！
[678.835] がみちゃそ: 勝ちぃぃ
[679.621] gogen_g: チーター居なきゃおもろいですよ
[697.065] kiraran134525: スナイパー、強いよ
[701.637] J0hnYeah: あっペイロードだったのか
[713.845] ssssssssszx: wwww
[714.776] オマワリ: www
[717.310] hatanuzi: さすがにおもしろそうやな
[717.963] ナンカレー0: めっちゃ人集めてたな
[720.529] szvq: やってたね
[720.544] あるか12: しなとらもやってた
[720.986] ゆた66: ハルもやってたね
[721.805] Suga_R6: UBIでかいだろ！
[722.260] ましゅあろ: halもやってたな
[722.463] (S)激ローメタモン: これsteamにないの？
[724.294] (S)na7o_akr: scumpもやってたよ
[726.748] ssssssssszx: ハルやってたね
[728.852] Alter_8: シナトラとかハルもやってたぞ
[732.446] gavrosu: HALとか海外の配信者はPR含めてやってたね
[732.871] horryyyy: シュラウドやってるならガチだわ
[734.252] TY_ul1012: めっちゃ気になってたゲームや
[735.913] momotqross: 日本じゃ流行らないからやらないやろ
[737.197] kiraran134525: codの民と、シージの民が多かった
[737.364] Kotekote5102: codぽいな
[741.626] ただのともや: shroudがバグでマッチングしねーとか言いつつやってた
[741.833] ninjinoishii: steamに無いのが一番デカい
[742.348] (S)激ローメタモン: ありがと！見てみるわ！
[745.990] gogen_g: じゃあやらない人多いやろね
[752.567] ぴーこ3: UBIクライアントごみすぎる
[754.320] siki772: ペクスそろそろ秋田から流行って欲しいんだけどな
[761.153] rito_0550: fpsが好きな人は知ってるみたいな感じかもな
[762.681] olaf_cocoa: 昔のCODな感じもある
[768.556] がみちゃそ: COD最高COD最高
[769.568] Kotekote5102: ストッピングある感じ?
[771.593] (S)na7o_akr: 日本は配信者がやらないと流行らないのがキツすぎるわやればおもろいよ
[772.393] とらよぴ: BO
[775.182] わに22: これ流行んなかったらもう日本のFPSはvalo以外終わりや
[778.435] riandu_: これボドカさん昼間やってるのみて早速はじめたけどめちゃめちゃおもろいｗ
[780.458] kakifurai0909: コレってps5ですか？
[781.682] Aug_Leaf: UBIアンチも見てます 
[792.614] picopon_: 結構ニュースには取り上げられてたけど
[795.769] がみちゃそ: 俺も明日入れてみる👍
[797.209] rushhikakinzz: どうせ日本も配信者でやる流れになったらみんなやるだろ今は金にならんからやらん誰も
[798.241] Yozora_27: 個人的にはおもろそうだからダウンロードしてみる
[802.131] とらよぴ: ULTの煙だったのかな
[806.255] レンピ: インスタントリプレイONにしてるとバグるからクリップ撮れない、、
[809.614] オマワリ: これおいくら？
[809.972] gavrosu: 前々からちょくちょく聞いてたくらいだけどおもろそう
[810.367] (S)na7o_akr: 2回くらいリリース延期したのもでかそう
