[13.364] daizuikko: お
[18.904] めあって言います: おはようございます
[23.982] miraigata: おはよう
[25.586] 臭めのこかりん: がおっす
[27.659] 秋の枯葉: おはよう
[27.868] Gteruhisa: おはよう
[28.467] もこたんん: あれ？
[29.503] 春茶ソ大好き侍: おはよう
[29.714] らやなさり: ！？
[30.863] cake010major_0503: おはよー
[31.084] (S)nakagawa1213: おはよう
[32.752] bknsikuwmtkmn: おはよう
[33.517] もこたんん: おはようございます
[33.540] ひらゆ: おはよーーーー
[33.699] mamenoki_chan: おはよつ
[34.843] menthi13: おっす
[35.077] あたせ: おはよー
[35.213] towa0114: おはよう
[36.132] snevio: おはようー
[36.821] qadoro: vodkav2Angryvdk
[36.928] ただのともや: がおっす
[39.769] daiahon: おはよう
[40.397] tsukki_7: おはよう
[40.449] gorizaemon88: おやすみ
[41.345] samba_0zz: おは
[42.381] yonaka_da: おはようボド
[43.308] あるこ_: おはよう僕も寝てないぞ
[43.893] 秋の枯葉: 朝はええのにスッキリした顔やな
[44.531] tarakoti_op: 寝れない民の救いの場ですか？
[45.359] (S)leing_dayooon: おはよう（寝てない）
[45.581] 臭めのこかりん: 雑談感謝🙏
[45.708] もこたんん: vodkav2Angryvdk
[47.796] しっぷーー: おはおは
[48.848] tsusuke526: しっかり寝るんだ
[49.054] daru0222: おはよう
[49.137] ice7se: おはよう
[51.553] もこたんん: 朝だね
[53.501] hako850: おはよう
[56.116] 秋の枯葉: 同じやな
[56.141] レベル補正: レベル補正 subscribed at Tier 1. They've subscribed for 12 months! 
[56.677] mamenoki_chan: ライオンみたいな髪型やね
[59.567] 無限0024: 興奮しすぎたか
[59.933] あおのり___: がおっす
[60.752] ただのともや: 珍しすぎる時間
[61.568] ice7se: 同じくやね
[61.979] daiahon: 同じく
[62.202] ひらゆ: 今日の予定は何もない？
[63.605] himaruuu__: おいす
[63.743] (S)yayuuu2222: おはよう
[64.075] (S)なちょがすきー: がおっす
[66.375] shujinkmr: 寝れない時って寝ないのが1番
[67.404] バンブルビーー: 同じく
[67.635] iru_pika: 興奮しすぎたね
[68.026] yellowwinnie9624: 寝た方がいいぞ
[68.943] (S)leing_dayooon: 気付いたら朝明るくなるの早くなってた
[69.520] d4mbell: あはよう
[70.436] レモネード7: おはよう
[73.095] tinpan_3: ねれない
[73.254] model_jj: まずいよなぁ
[73.528] らむぽっぷ: unkochanYaa
[73.753] pnty_: サイババ
[74.437] himaruuu__: 寝れんわ
[75.638] 秋の枯葉: 底辺配信者で時間潰してたわ
[77.148] fakeroze7: 日本一位に勝ったんだもん寝れないよ
[79.958] model_jj: 寝たいのだわ
[83.857] izwchaso: 配信後に寝るの？
[84.914] gorizaemon88: 何するんですか？
[85.469] イッパツイキ太郎: riddle戦の興奮が醒めないか
[85.695] shiro_chan_ha_ojisan: ナイトルーティンおもしろかったです
[85.839] 電気マツモト: ナイトルーティン見たよ
[87.752] naizoo0652: ちょうど起きたわ
[88.049] Cariiiiinex: 俺も寝てないよ。平日は予定ないからね
[94.561] towa0114: なるほど
[95.234] daru0222: デカくない？w
[95.839] maaaasann: おはよ！動画面白かった
[96.987] しっぷーー: 目、パキってるもん
[97.731] (S)arumon_JP: ぼど、案件動画の枕がすごく気になるよ
[98.737] rosary_r: 眠く無いの？
[101.895] ただのともや: あれまじ美味い
[103.256] でろーん: ボドカさんおはよう〜前のくろなんどうだった？
[103.478] 柊悠ト: がおっす🦁🤚
[112.411] shinomiya221: カフェイン弱いんだ
[112.653] mantisloki: ぼどちゃんおはよーーーう
[115.634] samba_0zz: FLの選手みんなめっちゃ悔しそうなツイートしてたな
[122.205] ghsjjfbi: おはようございます
[125.104] あおのり___: ええやん
[127.089] (S)leing_dayooon: めっちゃいいじゃないすか
[130.339] らむぽっぷ: いいねー
[131.205] miraigata: ソルダムジョジョ帰るの？
[134.209] gorizaemon88: いいオーナー
[136.718] でろーん: 高級？
[140.530] senseihangeki12: ブーキャン最後か
[156.096] ピタパンです: おはよ、仕事やー
[156.219] 座都: ヴァロ部門給料上げて上げてくれ！
[158.138] goudaeggs: おはようございます
[187.107] 臭めのこかりん: w
[196.151] ただのともや: 焼肉連チャンと寿司連チャンだったのかw
[196.852] 電気マツモト: 金持ちの飯やん
[200.494] akat2314: わんぱくやなぁ
[201.285] daru0222: ヤバすぎwww
[201.442] ghsjjfbi: wwwww
[202.024] samba_0zz: 王族やん
[202.847] ch_is2: 笑笑
[202.996] Cariiiiinex: いい飯食ってんな
[205.102] かつさん525: おはようございます〜
[205.142] maaaasann: カルビになっちゃうよ
[205.145] (S)leing_dayooon: ちょうどよく被ってるww
[205.506] らむぽっぷ: 贅沢やな笑
[206.460] ~MISSING_COMMENTER_INFO~: 変えなさいよww
[207.708] zeroa3939: 贅沢三昧だな
[208.679] ga9i: お疲れ様です。ついさっき、とても気に入ってたキーボードに飲み物こぼしてしまって、めっちゃ最悪な気分になってしまった
[209.922] 魔封波: ガキの夢
[212.014] 臭めのこかりん: 男子小学生の憧れやん
[212.048] otinpoko_united: w
[214.147] hakukan_: www
[216.465] towa0114: w
[221.604] (S)雨水ぺとる: 豚なんだよねｗ
[225.457] damact7326: おはよ
[225.708] kabekabechan: 牛丼食いたくなるタイミング
[228.575] daru0222: ありとあらゆる脂を取ってるw
[231.183] hazuuuuu1: おはよございます
[236.666] miraigata: 一日一食は血糖値上がって逆に太る
[248.093] ~MISSING_COMMENTER_INFO~: 焼き肉２連ってすごいな
