[18.242] himaruuu__: おいす
[24.881] yamizorn: がおっす
[34.674] lionelmessi4545: き、きたー！
[34.880] キューブってる: がおっす
[35.284] 牛カエル: hellp
[35.580] (S)sq9ra: がおっす
[37.491] (S)trkn_3: おいっすー
[37.915] kpsvr: よ
[38.053] gussan5532: ついにキタ！？
[38.962] TiwaJPN: こんちゃ
[39.838] angry_hungry19: がおっす
[40.394] hiroadg: がおす
[41.286] ぱんぷきんへっど: ガラルっす！
[41.801] akachan0423: おはよです
[41.998] ちゆくん: おす
[42.720] キューブってる: 映ってるよ
[43.375] chiro919: やったーー
[44.173] 藤木源之助: こんちわ
[51.312] 葉は非リア: がおーす
[51.414] たれぞう123: おいすー
[52.348] takoyaking124: おいすー
[52.373] tanaksan: おす
[54.777] (S)sakichan96: がおっすー
[55.529] rimutyannn: おいすー
[56.350] たーにょ: おい！プレイできるの羨ましい
[57.495] lionelmessi4545: でたこれ！
[60.099] 覚醒パイモン: HungryPaimon
[60.203] nurararasub: がおっす🦁
[61.778] supu26: おいすー
[64.247] chaka677: おいこれまじ神ゲーやぞ！
[66.695] chiro919: みたかった
[68.614] gussan5532: リリース早くしておくれ
[70.829] (S)thegreatkaito: きちゃあああああ
[70.986] 柊悠ト: HungryPaimon
[80.403] saisai008: DatSheffy
[83.883] lionelmessi4545: これおもろそうなんよな
[84.757] (S)thegreatkaito: おしゃれ
[84.975] odenn_dao: 楽しみ
[85.311] 犬ころ: また原神みたいなやつ？
[92.364] lostkey551315: お！噂のやつ
[92.585] tanaksan: もう良い
[98.859] 覚醒パイモン: ホロウ
[101.945] tsutomukunn: かわいい
[102.806] 藤木源之助: かわいい
[104.515] (S)激ローメタモン: おいす！
[107.158] 葉は非リア: 何これ可愛い
[109.279] 覚醒パイモン: HungryPaimon
[113.261] いぬきち1: 女の子ばり可愛い
[122.156] 葉は非リア: おい男じゃまやっと
[144.283] 葉は非リア: 男邪魔やて
[145.519] いぬきち1: 女や
[145.729] 藤木源之助: 被ってます
[148.098] 葉は非リア: 女女
[151.609] srtdehew: おおー
[152.807] lamfjo: あ
[153.217] いぬきち1: うおおおおおおおおおおおおおおおおおお
[154.384] tanaksan: おんなー
[154.921] たーにょ: でしょうね
[155.154] odenn_dao: はいー
[155.747] lionelmessi4545: 女や！
[156.073] (S)thegreatkaito: やっぱりw
[160.048] 葉は非リア: おっしやぁあぁぁぁぁぁぁぁぁぁぁぁあ
[163.650] らむぽっぷ: だよな
[170.113] srtdehew: 雰囲気ええなあ
[182.916] 葉は非リア: これ何ゲーや
[199.864] 藤木源之助: 日本のゲームですか？
[204.151] gawa1010: 確か七月くらい
[204.364] ぽっぴい: こんにちはどういうジャンルのゲームですか？
[204.999] lionelmessi4545: 7月？
[207.073] (S)thegreatkaito: 事前登録中
[215.703] 葉は非リア: ジャンルが知りたい
[221.087] arutoda: ぼどかさんがやってたＦＰＳゲームトライアルやったけどめちゃおもしろいな
[226.280] srtdehew: ヤヌス
[228.515] shibisora1204: ジャンル知りたいー
[231.720] 葉は非リア: FPS系か物語系かサバイバル系か
[238.387] gawa1010: バトルアクションゲーム 崩壊3rdに似てる
[239.481] ripslyme99: ダンガンロンパのとこ？
[243.653] 葉は非リア: 物語だと思う
[246.537] rye_mkiii: ホヨバのアクションゲームです
[249.720] game_nono: 原神っぽいのかな
[250.255] 葉は非リア: 多分ね?
[254.307] 犬ころ: ますらおｗ
[261.343] ぜくちゅ: がんだむoo
[266.144] ぽっぴい: アクションなのか
[273.147] oo_pinono_oo: BloodTrail
[275.651] lionelmessi4545: ぴー
[280.140] hotaru053: BloodTrail
[286.716] otake67: ピーが多すぎるｗ
[288.368] lionelmessi4545: アメコミ見たい
[288.570] tk_77777: VDK 並みに規制音入る
[288.988] monaural_univ: APEXとペルソナ混ぜたみたい
[289.346] HAYATE_2S: デザイナーが絶賛してたゲームでホントにデザインがカッコいい
[293.018] 柊悠ト: ほとんどpで何言ってるから分かんねぇ（笑）
[298.910] (S)thegreatkaito: 確かに
[305.893] たーにょ: UIとかが気持ちペルソナっぽい
[336.167] mot1o__: マジでペルソナだな
[339.277] tani_riku: 事前登録してきます
[341.666] (S)thegreatkaito: UIいいねー
[349.226] masiro__ak: ペルソナみたい
[358.113] (S)ahoy_p3ko: ゼンゼロは原神・スタレとは全く違うチームで開発してるらしい
[359.945] game_nono: ビリーに惹かれて事前登録した
[377.548] chaka677: 涙目のルカかな？
[380.747] repita04: このアメコミ感めちゃいいなー
[394.263] 犬ころ: 男無視されてて草
[481.454] たーにょ: 良すぎるなあ
[481.946] chaka677: もう殺すしかなくなっちゃったよ…
[482.721] gawa1010: かわいほ w
[483.557] 420Raiden: がおっす 
[518.401] (S)homuhomuqb: ｗｗ
[521.566] ko_wab: ほぼUG
[560.386] angry_hungry19: すご
[564.317] mot1o__: すげー
[570.537] こめっと_817: かっこよ
[572.889] lionelmessi4545: うひょ
[574.394] 下等ひふみ: めっちゃいい
[585.900] negiiim: くっそおもろいよ
[588.372] いたまえ: ESCとかしてみたら？
[592.539] (S)homuhomuqb: escキーとか
[598.869] ashinotsume: クロスヘア
[601.642] いたまえ: きえんなあ
[609.080] lionelmessi4545: なんでや
[612.287] shimesabab: fpsのハードウェアチート
[613.272] いたまえ: オプション開いたりすると消えるよね、だいたいね
[615.286] らむぽっぷ: 再起動しないとかなー？
[620.258] srtdehew: バグってる？
[620.470] lionelmessi4545: これスタミナないのか？
[627.821] くがそき: 視点ロックみたいなもんじゃないですか？
[629.533] onegaimyhearter373: まあほかのゲームでもよくあるしな～
[635.471] mot1o__: PAD限定なんだ
[646.395] しお太郎: padでやったことないからわかんないな
[667.090] 420Raiden: ミホヨの別のゲームだとタブ切り替えると消えたりするよ
[671.803] (S)homuhomuqb: フルスクになってるかどうかとかなんかな
[676.481] shigumiii: スタレだとpadの接続切ったら消えた
[693.310] 髙橋御膳: ヒットストップいいね
[693.714] 柊悠ト: キーマウ操作しやすい?
[701.350] (S)homuhomuqb: おお
[705.220] lionelmessi4545: かっけえ
[705.750] meowedog: キラッキラだな
[712.806] らむぽっぷ: おもろそう
[717.045] えねちょ: ゲーム性って3rdに似てる？
[718.572] 下等ひふみ: かっこいい！
[719.648] jinxlesse: ヒットストップちょっと強いな
[722.815] mo_chasu: いいね
[724.102] asupara308: 演出いいな
[727.589] gawa1010: 3rdに似てると思う
[731.909] ashinotsume: エフェクト出る時fps下がるの演出？
[737.853] みみず3: ハレーションえぐい
[740.764] 420Raiden: 主人公かわいい
[745.714] しお太郎: 人形チック
[752.297] mik4zuchi: 3rd寄り
[756.585] こでまり: ん？
[758.450] なまハム86: 立体感が強いね
[758.838] gawa1010: ホヨバは色んな癖に対応してくれます
[772.150] gakudo12: 鳴潮もおるし
[781.030] shouga02: 技数は多いの？
[782.563] jinxlesse: これは全く別って感じのテイストでいい
[786.682] yukan_8: ゼンゼロUIがマジでかっこいい
[788.652] shimesabab: 他ゲーと制作陣けっこうちがうらしいけど
[790.865] fxxkverdy: 最近案件多いけど厳しいの？？
[837.425] 420Raiden: 世界観は原神崩壊と違って独立してるらしい
[839.484] Leu_shin: いえぬ
[845.579] touma0139: CBT参加したかったな がおっす
[852.378] なっしー0812: ...
[869.474] メガトロン: 今きたけどこのゲームはキャラクリできます？
[872.344] しお太郎: このゲームストーリーもちゃんとおもろい
[886.573] nanasaki__ai: デッドプールみてえでかっけえや
[936.636] yukan_8: 喋るたびに仮面の顎動いてるのウケる
[945.173] mo_chasu: アンビーの声アーニャか
[978.129] (S)thegreatkaito: おお〜二挺
[991.422] (S)homuhomuqb: 回転えっぐｑ
[992.852] lionelmessi4545: おおおお
[1009.520] 日向りょう: ゼンレスゾーンゼロめっちゃおもろそう
[1039.487] gawa1010: まあそんなに気にならない
[1057.060] lionelmessi4545: すげえ
[1059.650] chikage_1003: 原神とかとは雰囲気違うね。結構好き
[1060.413] asupara308: たのしそう
[1061.490] (S)homuhomuqb: かっこよ
[1064.084] 髙橋御膳: いいね
[1065.343] なっしー0812: ぐわんぐわん
[1074.463] shimesabab: 別会社みたいや
[1075.999] 日向りょう: 爽快感とインパクト両立してて面白いなこれ
[1076.134] pontanu87: 探索ないし戦闘ブッパだからな
[1076.886] しお太郎: ジャスト回避と連携攻撃がたのしい
[1078.779] endooomame: 交代スムーズやなぁ
[1085.909] Leu_shin: ヒットストップええね
[1088.466] AK0678: 慣れてんね
[1089.684] meowedog: ヒットストップが気持ちいい
[1090.850] くがそき: かっけーーー
[1091.885] 日向りょう: 早くやりて～
[1092.243] たーにょ: おい！早くリリースしてくれ
[1095.657] (S)thegreatkaito: スタイリッシュ
[1099.690] あおりんご: ゼンゼロ、制作チームも一からのタイトルって聞いた
[1100.309] 髙橋御膳: 音もいい
[1100.396] 欠片_: うっひょーー
[1100.919] gawa1010: アニメみたいですごい
[1103.849] 420Raiden: 見てると早くやりたくなるわ
[1108.699] 下等ひふみ: きもちいいい
[1109.956] nanasaki__ai: これは無料リリースですか？
[1114.325] asupara308: マジですごい
[1114.485] kazu0234: ビリーのPVいいよ
[1127.696] endooomame: Kreygasm
[1128.265] たーにょ: おおおお
[1130.762] negiiim: このシステム考えた人ヤバいね
[1131.781] Banananana877: かっこよ
[1142.218] しお太郎: 天下のHoYoverse様
[1146.308] (S)ahoy_p3ko: センスが爆発してる
[1148.570] 420Raiden: この曲すき
[1148.983] lemonkiiro: この会社のゲームどんどん進化するやん
[1149.681] z4w4qon: マウスバグ、一回裏行って見るのは？
[1151.176] sherlockgugu: 流石HOYO
[1169.863] anra_321: このゲームまだ出来ないよね？
[1175.069] AK0678: さすがホヨバ、キャラが良いんよ
[1179.781] jinxlesse: 作ってる側からしたらマジで頭上がらん、意味わからねえ
[1182.267] らむぽっぷ: いいキャラしてんな
[1187.571] しお太郎: まだクローズドベータ
[1189.188] pontanu87: 7月4日リリースとの噂がある
[1206.132] endooomame: あと1ヶ月も待てねぇよ
[1207.675] (S)thegreatkaito: 事前登録中
[1208.670] かつおぶっしー: なんかアメコミチックでええな
[1218.450] asupara308: これほんとにスマホでもできんのか？
[1242.153] lionelmessi4545: NotLikeThis
[1242.683] orange_y7626: やば
[1243.403] yukan_8: 画面の端から端まで凝りすぎ すげぇ
[1285.140] しお太郎: 音が気持ちい
[1291.502] (S)thegreatkaito: かっけえ
[1291.729] かつおぶっしー: なんかビューティフルジョー思い出すｗ
[1293.943] chikage_1003: まじでおもろそう
[1293.997] AK0678: 戦闘システムが3rd似
[1294.235] 下等ひふみ: 右下のゲージか
[1295.398] (S)homuhomuqb: vodkav2Vodkka
[1295.682] syuu_lost: Kreygasm
[1313.698] asupara308: やっべえ
[1314.560] 竹輪蒲鉾_ちくわかまぼこ: こんにちは
[1315.042] endooomame: 初期キャラでこれって限定キャラどうなんねんw
[1315.999] 豚味噌: ゲーム業界で働いてるけどゼンゼロのクオリティは頭3つ飛びててる。王族のクリエイターが作ってる
[1316.325] 日向りょう: 面白そう
[1316.518] nbi_x: まんま3rdやんけ！
[1317.289] 420Raiden: さすがミホヨや
[1319.689] gawa1010: 脳汁出まくりゲーミング
[1323.247] AK0678: これ聖遺物的なやつあんのか？
[1325.783] supernikka: Kreygasm
[1326.595] supu26: きもちー
[1326.828] なっしー0812: うやー
[1338.820] たーにょ: こんなん出たら課金してまうやろ
[1340.826] (S)96san_788: vodkav2Oi
[1350.662] chikage_1003: 世界観というかデザインもええな
[1350.976] かつおぶっしー: ゲームヌルヌルすぎて意味分からんよな
[1352.574] 冷凍パイナッポー: アニメ調でいいよね
[1361.454] anra_321: このゲームってホヨバのやりたいこと全部詰め込んだらしいね
[1376.749] chaka677: これfpsいくつ？
[1384.667] doraneko310: ストーリーが漫画形式なの良いな
