[15.831] MUFIN46: よ
[22.532] Jelliydayo: yo
[30.231] zerumo373: がおー
[30.793] ただのともや: がおっす
[33.815] シュバイソ: がおいっす
[36.707] たたーきー: おいす
[38.406] (S)Yukimaru1029: がおっす
[39.018] ぶれんぼーい: がおっす🦁✋
[42.153] parudora: unkochanYaa
[42.169] lionelmessi4545: き、きた
[44.071] ミィリュ: がおっす
[45.255] shunma_09: がおにょっす
[45.939] 脇の夜蘭: にょっす
[46.637] たれぞう123: がおーす
[48.063] punoco: vodkav2Angryvdk
[48.286] shogo_5231: まおっす
[51.870] (S)leing_dayooon: がおっすうー
[52.178] ice7se: おいす
[57.486] alfredo_the_meat_boy___: んんーまけう
[59.434] pocky2328: す
[61.575] yama_mura: がおっす
[62.477] すめりん: jan0meParapara
[63.683] (S)コーラわらび: こんぼど
[66.514] mirukure0610: kenkiDoumo0
[67.797] (S)やだよー: やだよー subscribed with Prime. 
[76.127] alfredo_the_meat_boy___: neeshEWW
[77.343] ﾂﾅﾂﾅ: vodkav2Angryvdk
[81.088] お気にのワンピ: うきっす🐵✋
[85.191] (S)チーム水原: 今日もXDだぁやったぜ
[106.984] vg7wr: ぼどかさんが新作ゲームをこんな何日も連続でやるの珍しいな
[128.878] オマワリ: がおっす🦁✋
[130.800] sh1nRan: 日課XD！
[143.135] mirukure0610: このゲームハマりましたか？？
[179.908] (S)プリン競馬: プリン競馬 subscribed with Prime. 
[189.703] ダーマン: カメラの位置いつもと違くね？
[306.720] あいざぁー: おつー
[323.317] ghsjjfbi: ハマってていいね
[328.266] あいざぁー: エックスディファイアント楽しい？
[332.615] ssssssssszx: 感度高い方がおもろい
[334.441] yoshino893: SVDにヘビー付けたら頭ワンショになって超強い
[368.751] さとうでした: さとうでした subscribed with Prime. They've subscribed for 20 months! 
[380.444] grd813: このゲームのためにPS5買うか悩んでるでも他にやりたいゲームないんだよなぁ
[399.351] takoyakizamuraiyuu: アリーナのSGめっちゃ楽しい
[399.589] yashu2244: 胴体3発が適正？
[403.515] ﾆｷｼー: このゲームってジャンプ撃ち基本ですか？
[410.164] ゆやーーん: mp7が強すぎる
[412.780] ふぃあーの: ACRとM16どっちがつよいですか？
[428.811] kubo_takefusa: アバカン頼む 
[429.357] monoooo24: このマップ一番すき
[437.406] iguni_ru: はまってるやん
[490.096] Juicewisdom: axeumBlush
[490.704] kubo_takefusa: サーチみたいなモードもあるの？
[506.541] うぃんたー1234: このゲームおもろしろいですか？
[519.097] kappa78785: おもしろい
[537.025] yoshino893: BO6来た後に人残るかな
[548.999] vell10056: s&dは後にでるらしい
[574.359] japanet_hakata: 有料のBO6に行くわけないじゃんこっち無料ぞ
[592.706] (S)soily3: padとマウスどっちがよさそ？
[631.647] x9cer: エペと同じようなゲームじゃないからライト層とかガチFPS苦手な奴らはやらないんだろうな
[634.911] iguni_ru: 結局発売して半年から1年パッチテストするからCODは
[649.722] ケダ: ｗｗｗ
[655.769] takoyakizamuraiyuu: アホすぎてわろた
[656.807] yoshino893: いうてCODがやりたい層は一定数いるだろ
[661.082] uscolevinn: わろた
[669.131] 乙骨は五条50: 草←リアルで言うやつ存在するんや
[683.306] カナ口ア: InabaURがXDEFIANTやってることが全てだろ
[696.047] (S)新人おじさん: 抜け抜け
[728.844] カナ口ア: このゲームEMP強すぎるｗ
[731.703] x9cer: エペでFPS始めた人、ドミネとかルールも知らずやってそうでだるい
[734.555] lemiko0919: so good !
[745.265] (S)新人おじさん: 惜しい
[756.123] カナ口ア: P90強いな
[769.757] lemiko0919: まあそういう新規層が入ってきてくれるのはうれしい事なんじゃないの？わかんないけど
[776.638] takoyakizamuraiyuu: P90弾数やばいなマジで
[796.269] x9cer: まあその人たちのおかげで流行ればええね
