[26.027] 三沢なはなし: やぁ
[34.904] (S)激ローメタモン: おいす！！
[35.928] yama_mura: がおっす
[36.066] moyasidesu: DinoDance
[36.584] puyobe: おいす
[36.938] しょたもも: おやすみなさい
[37.267] (S)コーラわらび: こんぼど
[38.099] (S)yayuuu2222: こんばんは
[38.108] melty7s: お、いす
[40.022] ワイティ: おいす
[40.412] やまゆう0227: おいす
[40.497] (S)虚無__: がおっす
[41.260] opacho38: vodkav2Vdk
[41.868] ssssssssszx: ソロで、すか
[43.820] すなりり: こんちわ
[44.004] 柊悠ト: がおっす🦁🤚
[44.074] damaya0707: yuz48Naodance
[44.970] じぃじぃじぃ: がおっす
[45.204] キムですよ: vodkav2Angryvdk
[45.261] cody_shiosaba: おいす
[48.575] ~MISSING_COMMENTER_INFO~: がおっす
[49.209] やまゆう0227: こんちゃ
[50.173] (S)warawanaiman: がおっす
[53.997] あまねさんだ: 22:22 終わってもた
[54.884] martinsuage: ぼどにゃん
[55.410] 三重独身マン: どゅん！？
[56.248] ryokutya2612: がおいす
[58.352] 葉は非リア: がおっすすすすす
[58.594] じぃじぃじぃ: ソロぺか
[58.602] シアンだ: こんちわ
[59.748] martinsuage: おはよぼどにゃん
[61.544] gokigoki64: unkochanYaa
[62.578] yatomn55: でゅん！？
[65.095] 羽雲あめ: んちゃー
[65.180] decoy_55: 配信感謝
[68.341] ejs_l00k: ボドほんと 
[69.647] ryokutya2612: ダースベイダーみたい
[74.131] cody_shiosaba: 今からの配信さいこーか
[81.812] martinsuage: ボドニャンおはよう
[88.606] hinanote: はんじょうと同じ時間に始めたのってもしかしてそういうことですか？
[89.503] 柊悠ト: ゲーム音plz
[89.935] (S)激ローメタモン: スパレジェエモートとちゃうん？
[92.096] shonoooo: おはよう
[92.113] damaya0707: 元からある
[94.091] みりみりみりみり: 鯖落ち治ったんだ
[100.969] soloplayerr_: ゲーム音
[102.290] kairuzz: ゲーム音なしか？＞
[103.000] れの77: スパレジェのレアモーション？
[104.220] ワイティ: 音無
[106.837] damaya0707: スパレジェエモート
[112.816] sh1nRan: おいっす
[116.397] (S)mao_o9: こんばんは
[117.708] martinsuage: ボドニャンおはよ
[119.770] 柊悠ト: ty
[121.539] kairuzz: あざす
[125.956] kyo_1234: 誰か来ますか？
[129.744] optionpurple8: がおっす
[138.776] (S)暇人のらぶくん: vodkav2Riddlesmile
[147.817] (S)trkn_3: おいっすー
[147.897] れの77: エペ鯖落ちえぐいす
[149.983] yuragi06: スクリム見てた？
[156.505] (S)yose29yose: 今きてるワトスキンかわいいぞ
[168.497] shiro_chan_ha_ojisan: XDきたけどapexはまだまだ続きそうやな
[201.700] さく01: おっす～～
[205.016] みりみりみりみり: 4.2これがち
[209.622] (S)okeike_: 土曜のプロリはミラーする？
[216.119] コンマスターだよ: 4.1がガチやぞ
[226.570] ssssssssszx: 2.7が最強だよ
[229.881] みりみりみりみり: スコープ4.2
[241.166] たたーきー: がおっす🦁✋🏻
[290.176] yuragi06: 4-3は何が嫌いなん？
[337.198] rein_sz: 最近エペハマってるね？
[352.803] tapiokapan1: こんばんわー
[381.389] okawari94: ボドカさん二刀流凄いですね
