[40.161] hiu0314: PopNemo
[42.287] hyu_su: おせぇぞ！
[43.773] yamizorn: がおっす
[46.623] ayumu39: がおっす
[51.969] ssssssssszx: き、きたー！！
[54.048] (S)kale_4: がおっす
[56.588] tikuha2: にょっす
[57.995] ピタパンです: おいっす！
[61.400] u_cchi: RIDWIN
[62.376] はないろ0826: こんにちはー！
[63.565] hato330: や
[65.593] 96nowa: がおっす
[66.034] ikki_oga: がにょっす
[67.469] yomog1mochi043: おい、世界の中心やぞ
[68.764] kuroomutu: apeもまだ見捨ててなかったのか
[69.254] mixgomaa: BloodTrail
[69.932] しょーゆ_: 音もうちょいくれ
[77.603] ganges456: あんま寝てなかった？
[77.820] (S)宇乃: おはぼど
[79.406] かねちょー: ミラーあざす
[81.261] n_y_salad: うぃーっす
[82.210] とりっぴー19: がおっす
[87.786] (S)kokarisuma: ういー
[95.132] しょーゆ_: こんぼどど～
[95.881] rito_0550: やあ
[97.325] ssssssssszx: わかる
[97.540] のじっち: きたー！
[98.399] kabakabao3: おれも
[99.289] まゃか: やあ
[99.529] picopon_: こんにちは
[100.786] popopidoo: おいすおいす
[100.921] もこたんん: おいーすー！
[100.989] KABAYAKIGG: きたぁー
[101.350] harupoyo__: ミラーきた
[102.071] (S)ぴかぶー: ぴかぶー subscribed with Prime. 
[103.022] (S)marrona91: おいす
[103.381] PrePreaim: 待ってたぞ
[103.726] (S)ねんここ3: vodkav2Riddlesmile
[104.250] 爽来: きた、、
[104.550] 肆愛徒: にょそいぞ
[105.397] ikki_oga: まだ1試合目だからセーフや
[106.350] glakfl: おいすー
[106.508] 竹トンビ: やあ
[106.627] zeru_tribe: がおっす
[107.544] (S)kokarisuma: マジであついよ。
[107.753] まんまみや: おいす
[107.949] na_ga_r: にょい
[108.182] fear3324: がおっす
[108.900] のじっち: 遅刻
[109.637] popopidoo: vodkav2Riddlesmile
[110.541] nogorou_: おはよう
[111.415] dap4nda: 来たわね
[112.112] (S)Gray_Fullbuster20: ういす
[112.498] yokko009: おはよ
[112.502] しこぴーー: おいす
