[41.041] tokonatu0528: こん
[41.212] (S)激ローメタモン: おいす！
[45.340] terukun11: おいす
[45.851] オカっち: がおっす
[47.433] yamayamaowo: おいす
[49.353] (S)sq9ra: がおっす
[49.557] winter_nekosuki: こんばんは
[49.635] (S)warawanaiman: がおっす
[50.385] じぃじぃじぃ: がおっす
[51.640] cody_shiosaba: おいす
[52.625] なかたけ11: おいすー
[53.244] naranyorai: なんか久々に感じるフルパ
[54.415] ただのともや: がおっす
[56.643] (S)trkn_3: おいっすー
[57.007] saisai008: すげー
[57.210] kajuugumi_hstopopo: うす
[61.541] うきわ: がおっす
[62.445] らむぽっぷ: unkochanYaa
[63.928] Peru0795: 久々や
[66.412] キューブってる: がおっすー
[69.193] オカっち: 今日はヴァロかー
[74.445] montjeu_1996: おいすー
[76.552] koriku6019: みんなの声きこえんで！
[77.931] はすまるちゃん: vcの音入ってない？
[79.341] maru__2127: がおっす🦁✋
[80.239] はすのうみ: 通話の声聞こえないにょ
[81.060] じぃじぃじぃ: discordの音ください
[81.316] キューブってる: フルパきちゃあああああああああああああああああああ
[87.706] terukun11: 他の人の声聞こえなくない？
[93.944] lionelmessi4545: 遅延があるぞ！
[95.133] てっちゃんだお: ソロ？？
[95.369] Soyute_0x0: 野良の皆さん
[96.558] yatomn55: これ遅延あるくね
[104.842] yellowwinnie9624: 野良ですか
[111.491] lionelmessi4545: ボドカ1人で話すのやめて
[113.543] キューブってる: 他の人声が…
[114.836] DoomILA: ひとりごとこわい
[120.742] 投げやり大往生: vc無し 
[121.284] (S)激ローメタモン: 声入ってないかな？
[121.486] 肩たたき機は生活必需品: こえなしくさ
[122.333] sirxly: 音くれ
[122.408] malcero: ボトの声しかない
[122.946] tabi_jp: 仲良くしてーwww
[124.664] はすのうみ: ひとりごつですか？
[125.580] hizhuwa: こわいめう🥺
[126.938] aaa_ketchup: www
[130.327] じまおか: 独り言キッツ
[130.589] 肩たたき機は生活必需品: なんかこわいわ
[130.914] saisai008: 1人ごと
[136.989] オカっち: イマジナリーフレンドと喋るのやめてね 
[137.607] lionelmessi4545: ボドカきついわ
[138.075] yellowwinnie9624: 1人で話してるのじわるな
[138.888] Soyute_0x0: ボドなんか嫌なことあったんかな...
[139.097] らむぽっぷ: 独り言怖い
[139.833] 投げやり大往生: 1人キレ芸やめてね 
[140.610] maru__2127: 独り言 
[144.310] Telly2040peq: ボドの声しか聞こえないww
[144.938] ザック3003: ボドカくんは友達ごっこしてるから静かにね
[145.671] (S)96san_788: あ
[152.101] _レン: うるさ くない ｗｗ
[154.123] じまおか: 友達ごっこか
[155.566] nagina_twitch: 独り言やめてね
[156.060] allen_vvalker: allen_vvalker subscribed with Prime. They've subscribed for 17 months! 
[156.242] (S)激ローメタモン: ゲーム音と、ボド以外のVC入ってないです 
[161.447] 96nowa: なんも聞こえない 
[164.508] soiya0313: 独り言配信ですか…
[165.526] lionelmessi4545: 英なんておらんかった、
[168.317] はすのうみ: ゲーム音もないやんけ
[170.964] nagina_twitch: BloodTrail
[171.231] (S)ヘルシー鳥皮: ボドかチーム運営のストレスで...
[179.640] (S)96san_788: 120秒後... 
[186.012] nagina_twitch: ゲーム音も無いwww
[187.757] tabi_jp: 何分遅延だ？
[187.849] (M)tennkoh: !editcom !member Clutch_Fiさん, 小森めとさん, 英リサさん, 夢野あかりさん
[188.040] (M)Nightbot: @tennkoh -> The command "!member" has been updated successfully.
[192.763] ssssssssszx: ボドカくんさあ
[194.834] stormsbss: なんだ ひとり コリアンかと...... ひとりgosu
[198.302] _レン: here we go??
[201.976] hizhuwa: ｶﾁｶﾁｶﾁ･･･
[215.110] 96nowa: 独り言とasmr
[218.294] hyu_su: どこまで気づかないかゲームか？
[220.579] DoomILA: イマジナリーフレンド
[221.222] ささささ12345: 独り独り言 
[226.223] saisai008: カチカチ音いいは
[229.133] じまおか: カチカチasmr
[253.309] santadayo0713: わざと？
[258.768] nagina_twitch: カチカチ音、普段ももしかして入ってるのかな？
[261.064] ssssssssszx: ボドカくんさあコメ欄見るかなー？
[265.565] はすのうみ: そろそろ気づくか？
[275.359] はば: 俺の声だけ聞いて///
[277.189] japanet_hakata: く、くる
[277.499] neeterrrr7: 遅延がどんくらいあるか次第だな
[278.005] 車椅子大海原滑走: こっちからしたらサウンドセンサー起動してないけどね
[278.068] (S)激ローメタモン: 遅延だから許ちて
[280.484] piyo_saku: おおお、
[283.752] santadayo0713: AKARINのコメ欄見てるらしいぞ
[286.249] ふゅーーく: ASMR配信や
[288.413] bonheihe: フルパの匂いがするぜえ
[312.868] じまおか: フルパごっこやめろ
[313.743] 車椅子大海原滑走: ぼどかさんってかっこいいですね
[319.801] tabi_jp: この無音も嘘だと言ってくれ
[322.295] piyo_saku: 誰かさんの8番出口見てたらこの動画開いてた
[326.701] はば: 笑ってる
[332.085] ssssssssszx: ^_^
[333.842] 車椅子大海原滑走: 楽しそう
[336.375] (S)suuute: いいメンバーやな
[337.491] ganges456: やっぱボドやねぇロッテのボッド
[337.736] hyu_su: もういっそう、きづかないでくれ。
[339.362] tabi_jp: あ
[340.978] ぷらまる: お
[342.145] (S)sayu_lul3: お
[342.272] 車椅子大海原滑走: きづいた
[342.436] nagina_twitch: お
[342.658] はすのうみ: あ
[345.090] (S)ヘルシー鳥皮: ボドが楽しそうだからそれでいっか
[345.250] じぃじぃじぃ: 気づいたか
[347.413] バンブルビーー: おおおお
[349.339] kiwzuuvlrt: うんこちゃんPK
[349.362] ssssssssszx: きたー！！！
[356.710] maru__2127: きたあああ
[358.552] 2_boy_: Here we go!!!!!!!!
[358.593] 投げやり大往生: きたあああああ
[359.960] ささささ12345: DinoDance
[360.130] hizhuwa: 急に騒がしい
[362.308] (S)チーム水原: !member
[362.419] (M)Nightbot: Clutch_Fiさん, 小森めとさん, 英リサさん, 夢野あかりさん
[362.499] nagina_twitch: 音キターーーーーー！！！！！
[363.515] tabi_jp: ボド♡ボド♡ボド♡ボド♡
[367.269] kiwzuuvlrt: MURASH FC WIN
[379.164] _レン: うるさく感じるな
[385.619] yaa08222: ぼっさん❤️
[387.755] オカっち: ヒェウィゴー！
[391.452] 6534121: ポ👈
[392.236] komekome299: 何もないｗ
[416.442] (S)sayu_lul3: オーバーレイください 
[420.255] 96nowa: なにもないww
[476.732] (S)激ローメタモン: ふっる
[478.607] ~MISSING_COMMENTER_INFO~: !sens
[478.700] (M)Nightbot: Valo: dpi800, 0.25 // Apex pad: 4-1 linear, no deadzone // Apex mouse: dpi800, 1.26
[483.680] 投げやり大往生: なっつ
[499.072] hasepi8: かえる
[508.982] ganges456: か、え、る
[509.451] maru__2127: カエルかｗｗｗ
[524.809] ssssssssszx: 🐸
[530.748] オカっち: ゲコー
[531.034] (S)チーム水原: ボドカ蛙化
[531.327] hasepi8: げこ
[563.085] lionelmessi4545: オーバーレイくれぇ
[585.632] (S)激ローメタモン: zerost7Thumbsup
[586.273] ganges456: カエルに好かれる女
[611.405] 投げやり大往生: 昆虫だいたいそう
[611.860] tetsukun0324: じゃあゼロストもだめか
[626.300] 150en: あかりん声でかくておもろい
[638.218] 96nowa: ボドジョイ
[645.544] psyduck_cu: wwww
[646.188] あごーと: あかさん声でっか
[646.310] 臭めのこかりん: このぶいすぽ3人どのフルパにもおるやん
[653.128] mew3v: あ
[658.994] ssssssssszx: WutFace
[659.224] superharutan: ww
[663.382] potatknight: 構成弱くねw
[667.762] オカっち: あかりんw
[776.528] ssssssssszx: vodkav2Angryvdk
[787.299] ignistadayo: あかさん声でけい
[790.383] あかんね: やっぱ武器買った方が勝率上がるんかな
[830.854] Juicewisdom: axeumSip
[1081.982] syogomaru: あかりんにモクもらったら？？
[1083.707] 96nowa: つよ
[1137.834] leon632545: さすがリドル
[1138.471] (S)モナカのお腹: モナカのお腹 subscribed with Prime. They've subscribed for 3 months! 
[1153.706] (S)激ローメタモン: ボドズ！？
[1157.303] オカっち: まさかのオーナー出陣
[1160.936] tsutomukunn: ボドカにょっす
[1258.720] roi_6160: !crosshair
[1258.831] (M)Nightbot: 0;s;1;P;c;8;u;000000FF;o;1;b;1;s;0;0t;3;0l;1;0v;0;0g;1;0o;0;0a;1;0f;0;1t;1;1l;4;1g;1;1o;0;1a;1;1m;0;1f;0;S;c;0;o;1
[1348.135] 96nowa: つよ
[1446.037] ssssssssszx: ｲｸ!
[1447.901] kachitoma: イクッ！
[1482.460] キューブってる: ござる
[1485.718] オカっち: ござ！？ 
[1488.319] oniyanma08: RaccAttack
[1524.844] キューブってる: 人数有利！！！
[1563.454] oniyanma08: ﾊｲﾝ!
[1566.797] らむぽっぷ: あ
[1568.614] takomarudao: 歯茎はや
[1572.491] (S)swmkw: vodkav2Surprise
[1585.367] キューブってる: フラグやめてやめてね 
[1659.258] nuuriiiiii: akariAnya
[1702.643] とっぽさん: とっぽさん subscribed at Tier 1. They've subscribed for 21 months, currently on a 20 month streak! 
[1720.180] 96nowa: いって
[1752.288] renaado46363: akariPenraa
[1756.861] renaado46363: akariPaku
[1787.893] 96nowa: ひげおやじ！？w
[1802.808] ditto1221: ひげおやじは別の人やん
[1805.398] (S)marrona91: ひげおやじ草
[1830.011] ditto1221: チームツヨ
[1847.761] らむぽっぷ: 倉内くんつよー
[1879.232] 96nowa: b来ないなー
[1933.030] 96nowa: モクwwwwww
[1953.043] わああああああああ: あかりんこえでかw
