[29.783] yatomn55: うす
[32.584] gonzaresu0915: こん
[33.521] naka248: vodkav2Faceup
[35.452] sora09416: がおっす
[37.497] rito_0550: やあ
[37.536] newoyag: おいす
[41.283] taoka16: うぃ
[42.034] pudding229: どうも～
[42.803] くれいむ: がおっす
[45.690] 96nowa: おいす
[47.154] 欠片_: ちゃっす
[48.521] とうぶんかた: gaossu
[49.473] (S)warawanaiman: がおっす
[51.488] しょぼりんご: ういｓ
[53.033] (S)sakichan96: がおす
[54.616] きゅうり31: おいす
[57.179] ぱんぷきんへっど: がおーっす！
[57.992] imoimo22: お
[58.000] kiki_46497: おいすー
[60.288] (S)mao_o9: おいすぅ〜
[60.528] bunny_berukun: おいす
[62.027] kokin_0: おいす
[65.076] tomousa: tomousa subscribed at Tier 1. They've subscribed for 25 months! おっ
[65.221] Classyjp: にゃっす
[66.140] taoka16: うぃー
[67.019] (S)kobalov9: おいす
[68.490] newoyag: 買い物タイムきちゃ
[70.318] allen_vvalker: おいす
[71.944] 桜鏡月: がおっす
[75.922] tomousa: 🐰なにかうの
[84.479] algometarica: おいっす
[92.303] shoki_40: みんなのおすすめのイヤホン聞きたい
[104.009] しすいさん: とりあえず超猫
[110.614] katy731: <速報>ゆきおesprots rage本配信1時間ban
[114.136] (S)mao_o9: 逆に参考にさせてくれ
[115.143] はなわれ: 住所会社の？
[119.588] (S)sas4m_: Ankerの？
[124.573] 竹輪蒲鉾_ちくわかまぼこ: amazon セールか
[129.835] (S)sas4m_: それともType-Aだけの？
[136.058] newoyag: あかん全然分からん
[136.080] Classyjp: rosonwayのやつめっちゃいい
[137.061] qadoro: ニキに感化されたAmazon？
[138.078] tomousa: 買い物したなるな
[141.811] (S)sas4m_: してる
[146.014] cody_shiosaba: おいす
[147.474] tomousa: SALEやん
[148.831] (S)mao_o9: そうだよ
[149.059] ペン太56: ペン太56 subscribed with Prime. They've subscribed for 22 months! 
[152.492] (S)sas4m_: ポタ電いいよね
[152.827] 竹輪蒲鉾_ちくわかまぼこ: いいね
[153.677] (S)96san_788: いいね
[154.587] だばだばー: どのくらい増やしたいの？
[155.592] とうぶんかた: www
[156.878] きゅうり31: ww
[166.751] (S)sas4m_: たまには散財しないとね
[167.263] qadoro: keepa入れたら価格推移が分かるよ
[170.005] Riddle_Nephrite: 住所うつっていいやつ?
[171.842] (S)96san_788: ハンツマンV3 pro
[174.940] arlingtonnnnn: キャンプでも災害でも使えて良いね
[180.269] tomousa: wwww
[182.808] だばだばー: スマイルにはならん
[184.840] (S)sas4m_: キャンプでいるかも……？
[189.441] usita_: ポータブルか
[190.794] ogico20113: 車中泊の時に使える
[191.508] (S)96san_788: お得
[195.172] とうぶんかた: 外配信で使えそうなやつ・ｗ
[196.125] いろはははは: https://www.amazon.co.jp/dp/B08TGDJ6C6?psc=1&ref=ppx_yo2ov_dt_b_product_details
[198.955] 7tk4: Jackerのほうがいい
[200.566] katy731: そういうのkeepaで桜か見た方がいいよ
[203.807] yuzupondering: keepaで元値みたほうがいいぞ
[214.601] maru__2127: がおっす🦁✋
[217.214] (S)sas4m_: 拡張機能
[220.599] (S)sas4m_: Chromeの
[225.023] とうぶんかた: 値段の推移みれるやつね
[227.207] qadoro: いつ値上がり、値下がりしたかが分かる
[227.261] 桜鏡月: 価格推移みれるやつ
[231.223] sharryphase: おいす
[238.645] (S)sas4m_: Ankerはサクラじゃないから大丈夫
[245.735] qadoro: 最安値知れる
[250.881] tomousa: 大丈夫やろ
[253.887] syuu_lost: 令和最新版
[259.343] rauuru27: 中国製とかだとやばい
