[12.491] pongi_34: やあ
[28.313] はないろ0826: こんにちはー！
[34.063] shinsoku_yu: にょっす
[34.168] むらすけサブアカ: 初見です
[34.672] じぃじぃじぃ: がおっす
[36.862] キューブってる: がおっす
[37.810] hyugadayo0723: よう！
[38.607] 爽来: にょっす
[38.815] kapensonnnnn: やぁ
[38.836] Riria_vl: !member
[38.923] (M)Nightbot: トナカイトさん, ハセシンさん
[39.047] (M)tennkoh: !editcom !member 一ノ瀬うるはさん, 白雪レイドさん
[39.197] (M)Nightbot: @tennkoh -> The command "!member" has been updated successfully.
[39.925] リーン: おもろいやん、おもろいやん
[43.459] takuto135: にょす
[43.782] はるひこ1048: モンエナはやっぱりピンクだったぞ
[45.431] (S)Yukimaru1029: がおっす 
[46.635] mm_kos: おいす
[48.010] とうぶんかた: 最悪のメンツw
[49.109] (S)enpy1629: vodkav2Riddlesmile
[50.856] lionelmessi4545: NotLikeThis
[52.208] o_jun1217_o: がおっす！
[55.471] o_jun1217_o: FallCry
[62.882] チーム水原: !member
[62.980] (M)Nightbot: 一ノ瀬うるはさん, 白雪レイドさん
[66.472] ぶれんぼーい: うるーは、れいーど
[68.167] まめえぇ: vodkav2Riddlesmile
[71.076] キューブってる: こないだろw
[76.689] masa3020masa: ツ
[94.420] mm_kos: w
[97.829] wtmjpg: がおっすー
[98.696] 96nowa: ｗｗｗｗ
[101.288] キューブってる: www
[125.189] なお70: apexきたああ
[129.252] ezoharunobu: レイードのVC小さいから上げてくれ
[141.153] キューブってる: キーマウとかいみないw
[153.601] キューブってる: 自己満だよねw
[153.751] たれぞう123: vodkav2Riddlesmile
[156.385] abazuresimauma: レイド君声ちっさw
[174.682] flash_5385: @missban4 スマホならTwitch入れ直しな
[210.637] mm_kos: あちち
[239.105] regulus_281: アールグレイ美味しいよね
[265.023] ゆやーーん: レイドくんだけちいさいね
[292.954] とうぶんかた: レイドくんちっさ
[308.994] woodenfish0923: れいーど雀魂頑張れ 
[374.210] kazu7012: tachikDomo
[398.732] (S)kazaha_zazazaxf: ボドさんとうるはさんのコンビわろてまう
[402.935] 96nowa: BloodTrail
[406.084] ゆやーーん: 新シーズンなってからスパレジェ外れてる人よく見る
[456.241] 96nowa: ないす
[466.844] DieselakaKEIYU: !member
[466.947] (M)Nightbot: 一ノ瀬うるはさん, 白雪レイドさん
[468.027] (S)kazaha_zazazaxf: w
[468.621] fps_mattsu_7: 確殺王w
[503.248] キューブってる: クリプトドローンで行けばいいのにw
[512.403] shake0308: すげぇモンスターや
[559.294] kabukisanteam: うるはは面接のときにお母さん連れてって全部やりとりさせたやばいやつだから
[569.042] キューブってる: ラジコンキッズ
[583.404] negitoro_gg: 今、クリプトってどうなの？
[615.053] (S)kazaha_zazazaxf: そこそこ強い
[627.350] とうぶんかた: スキャンwww
[643.882] 助かりました: vodkav2Angryvdk
[646.858] negitoro_gg: お
[651.203] mm_kos: きちいw
[651.849] daaaaaaaaiiiii123: TwitchConHYPE
[652.511] とうぶんかた: 初期スキンで当て感えぐいのこわ
[656.214] ssssssssszx: おおお
[657.382] オカっち: きついなー
[662.668] 96nowa: プラウラーつよ
[668.957] mm_kos: テンポえぐいw
[669.742] sizuku7_7: 相手もpadyaったかな
[682.106] こくばん: 爆速ええな
[689.910] 007_221b: オルターなんか使ってる人いるんやな
[709.607] (S)mao_o9: おいすぅ
[712.233] meldown_riddler: オルター競技の使用率バカ低かったな
[715.921] ゆやーーん: きらいじゃないけど好きでもないんよな
[734.359] rec2356: 弾撃たないのが正解
[736.172] x21dc: へ、しこ
[738.173] 96nowa: 今の100連勝バッチだっけ
[741.156] herushia1: 布団
[742.941] maromasaya: すももん
[744.957] うまいお肉: へしこ、すもも
[751.474] jarry__boy: オルターは構成に掛かってる、、
[769.722] takatakabouzu: へしこのクリプトは至高
[828.474] negitoro_gg: ん
[829.744] 007_221b: w
[834.453] とうぶんかた: www
[837.073] キューブってる: vodkav2Bad
[839.353] (S)mao_o9: おっと
[846.822] 007_221b: これはしゃーない
[927.421] horryyyy: !member
[927.526] (M)Nightbot: 一ノ瀬うるはさん, 白雪レイドさん
[927.589] rabitto320: アップグレードしてーー！
[985.531] angry_hungry19: www
[989.269] 96nowa: カメラマンwww
[991.127] negitoro_gg: ww
[991.156] mm_kos: 実況w
[992.695] 007_221b: 見てる草
[997.186] オカっち: 戦場カメラマンw
[1002.515] (S)mao_o9: ナイスサポートではある
[1003.793] iHolly_Zz: Ｗ
[1005.337] なお70: ただの神視点やめてねww
[1014.712] 007_221b: 中継やめてね
[1017.246] キューブってる: 本当にクリプトいらんかもw
[1021.088] takatakabouzu: のせさんドローンまであったけえ
[1077.419] toyonaga0000: つよい
[1090.239] mm_kos: おおおお
[1094.032] (S)mao_o9: つんよ
[1094.786] ロヘ: うっま
[1095.667] オカっち: おおおおあお
[1096.809] なお70: ドローンなんていらんかったんや
[1096.903] 007_221b: ブラは使えよw
[1098.921] lemovaca: なーいす
[1108.538] ジャンキー: k4sen2ssanty
[1133.670] とうぶんかた: www
[1137.727] seiz1028: 今蘇生ま？
[1140.668] あふたーー: 車？？
[1141.568] じぃじぃじぃ: く、くる
[1148.865] 低脂肪高タンパク: 蘇生ベイト
[1152.098] gokigoki64: sekiRun
[1152.469] kokimaruyama: ひさしざりに昼配信来れた
[1164.485] seedwtr1006: Padばっかやなw
[1164.670] (S)mao_o9: これはきちー
[1170.466] 96nowa: 蘇生刺さったw
[1177.498] もこたんん: vodkav2Angryvdk
[1204.373] 君の親父さ: あ
[1211.679] 君の親父さ: う
[1215.551] (S)mao_o9: 先蘇生しといてよかったな
[1281.158] isudaisuki0141: ひさしざりにきた
[1305.585] 君の親父さ: きっつ
[1320.181] ikuikusumomon: トンズラer
[1323.124] 君の親父さ: 命のリレー
[1324.275] rakuevo_0816: !member
[1324.385] (M)Nightbot: 一ノ瀬うるはさん, 白雪レイドさん
[1325.837] 007_221b: 無言でね
[1355.499] 96nowa: 届くか？
[1366.192] ssssssssszx: wwwwwwwww
[1372.324] mirukure0610: www
[1375.810] 低脂肪高タンパク: クリプトあるあるきた
[1386.962] (S)mao_o9: なんてこったw
[1397.045] オカっち: アツいw
[1406.343] 君の親父さ: 無限蘇生編
[1408.579] 007_221b: www
[1408.995] 96nowa: ｗｗｗｗ
[1410.592] 低脂肪高タンパク: 遠回りで草
[1412.132] seiz1028: スキル長押しでスムーズやで
[1415.848] 柊悠ト: BloodTrail
[1417.671] (S)mao_o9: 的w
[1424.419] mirukure0610: おもろw
[1429.653] ゆやーーん: 長押しで1回で操作できるよ
[1482.193] 007_221b: nf
[1484.072] ssssssssszx: あぅ
[1488.361] 007_221b: 敵も上手いなー
[1489.078] 君の親父さ: 粘った
[1490.273] こくばん: ｗ
[1492.663] 3kagi: ｗｗｗ
[1500.642] ちゆ亜樹: あいつらも落ちるだろw
[1500.777] yukinabe1114: はっやw
[1504.553] (S)enpy1629: ランクマシーン
[1508.433] toyonaga0000: ボドカさんのクリプト助かる
[1511.679] ジヴァ: いろいろ早いな
[1518.727] seiz1028: バンガ
[1528.167] ちょび_: ヒューズのウルトはどうなんだろう
[1538.540] 96nowa: レヴクリオク
[1540.867] 低脂肪高タンパク: ヴァルキリー出る前とかのやつやんｗ化石すぎる
[1543.753] ekureapan: 構成なつｗ
[1594.510] turutoma: ｗｗｗｗｗｗ
[1598.701] yuna0266: 湧きおかしいだろｗ
[1611.424] Juicewisdom: axeumBlush
[1651.252] ちょび_: 漁夫うめぇ
[1710.668] koucha_3: ビーコンで見れたね
[1781.960] (S)篠_: 篠_ subscribed with Prime. They've subscribed for 2 months, currently on a 1 month streak! 
[1798.868] arnananan: ほのぼのペックスや
[1805.076] 96nowa: おしい
[1853.749] sun4789: ばばあおらん？
[1871.388] 低脂肪高タンパク: 無限漁夫編だこれ
[1872.398] ちょび_: 四面楚歌
[1918.401] yellowwinnie9624: 個人技
[1932.300] (S)Gray_Fullbuster20: 井杉
[1935.577] べりべりべり: ぷれま
[1936.923] 96nowa: もう漁夫来たw
[1938.362] ken_t96: 海外プロじゃね？
[2048.912] ssssssssszx: ぼどー？
[2052.953] 柊悠ト: ボド帰ってきてないって
[2055.706] ちょび_: ボドいないの気づいてないｗ
[2055.916] (S)96san_788: vodkav2Surprise
[2056.368] ジヴァ: あれ
[2057.034] (S)匿名チャン: ぼど…
[2060.676] mizuki_1117: vodkav2Toilet
[2065.710] 96nowa: ぼど～？
[2069.342] スワンプ: 物資は悪くない
[2070.986] (S)mumumukku_00: vodkav2Eguui
[2073.998] ritu_ao: ボド？
[2082.685] 難ナン: ｽｲｰ
[2085.943] 中目黒の坊主: ぼどどこ；；
[2086.131] suyaav: すいー
[2087.515] あでぃっち: pad回転中
[2087.813] pimpompampun: すいーーーーーー
[2088.898] 4444446666: ｽｲｰ
[2091.055] (S)96san_788: vodkav2Oi
[2092.310] 五月雨カンナ: リニアか？w
[2093.083] (S)The_PULK: これドローン？
[2093.899] toktok8192: BibleThump
[2094.123] owatteruyoW: StinkyCheese
[2095.440] (B)ボドカさん: ヤヴァい
[2097.472] 526664: 💩？
[2098.832] Neko_bag: ww
[2098.945] らむぽっぷ: 飽きさせないための粋な計らい
[2099.486] (B)ボドカさん: ちゃんと下痢
[2100.768] シマさん: あ
[2100.946] 96nowa: ｗｗｗｗｗ
[2101.759] (S)匿名チャン: 豪邸のトイレはこれだから
[2102.396] 難ナン: おいえぐいって
[2103.289] itigodaihuku2525: なんでこんなにうごくの？
[2103.839] teltel_bouz: あ
[2104.109] elicura9: ｲｲｹｼｷﾀﾞﾅｰ
[2104.763] (S)arumon_JP: www
[2105.375] tadanomegane: ｗｗｗ
[2105.608] らふすけ: ww
[2105.828] シマさん: wwww
[2105.831] オタク社会人アルト: www
[2105.976] ちょび_: MAPの風景を見せてくれる配信
[2105.992] psyduck_cu: お空見してくれてありがとう
[2106.015] 柊悠ト: デッドゾーン0
[2106.083] ジヴァ: wwww
[2106.256] suyaav: ケツ裂けたか
[2106.310] べりべりべり: あ
[2106.687] yakisobaflasco: wwwwwww
[2107.067] あぶそら: えぐ
[2107.520] xxonityanxx: www
[2107.651] haatsuz: 💩
[2107.915] 4444446666: ｽｲｰｽｲｰ
[2108.762] べりべりべり: きたな
[2109.450] (S)mumumukku_00: vodkav2Eguui
[2109.596] (S)96san_788: vodkav2Toilet
[2109.678] nyu511: ww
[2109.689] ritu_ao: ドローン視点わろたw
[2109.778] 低脂肪高タンパク: 胃腸激ロー
[2109.939] goumoukunx: ｷﾚｰ
[2110.311] 電気マツモト: wwwww
[2110.535] angry_hungry19: 下痢わろた
[2110.920] るりぴっぴ: 💩
[2111.699] ぺぱろに: くっさあ♡
[2114.839] pimpompampun: 家電量販店のTVみたいｗｗ
[2118.053] (S)arumon_JP: ピカー
[2119.060] 3104fjkw: 綺麗だなー
[2119.818] kou_507: 空綺麗
[2122.105] kichidayo46: niruUNTI
[2123.288] psyduck_cu: 綺麗だなー
[2123.629] シマさん: 映画みたいな
[2126.089] (S)匿名チャン: いい天気だね
[2127.996] 柊悠ト: トイレにスマホ落とした
[2128.300] matto0015: いい景色だ
[2128.713] toktok8192: 綺麗過ぎる
[2130.889] ritu_ao: これが新しい地球
[2131.124] 難ナン: vodkav2Angryvdk
[2131.302] pikomaru777: 爆笑
[2131.764] cooked_chickenx: ボドは今裏でちんこ出してます
[2132.295] ちょび_: 気付いた
[2132.385] swingbyblackhole: unkochanYaa
[2133.980] 00yon4: お空綺麗
[2134.539] 526664: 💩
[2135.227] 宮瀬あるふぁ: 〜君の名は〜
[2135.342] fukausa: うんこだ
[2136.730] mickmickmirrr: やヴぁい
[2137.364] k_dox_: vodkav2Angryvdk
[2138.397] yakisobaflasco: 綺麗だなあ～
[2139.136] (S)96san_788: sekiUnp
[2142.008] sy4rnorke: ドローン直接見るクリプトね
[2143.504] kotokoto555: 💩
[2143.743] sakityosu: 今きたけどトイレ行ってるのかw
[2144.944] owatteruyoW: www
[2145.935] gokigoki64: sekiUnpex
[2147.644] kwkaud: 4545
[2149.394] maitake_chan66: 空が綺麗だ
[2151.616] ssssssssszx: BloodTrail
[2153.776] ritu_ao: 綺麗だね
[2155.923] swingbyblackhole: 流れ星あったぞ！！
[2156.853] iga080: まじでゲーム放置したときになるモードみたい
[2157.269] 河田ふらっぺ: ボドは腹痛に襲われてる
[2158.913] pikomaru777: 睡眠のやつ？ww
[2160.237] 凡人やでぃ: これトイレまで五キロあります
[2162.682] 96nowa: ｗｗｗｗｗ
[2162.768] Saturnian_Doseijin: ｗｗｗｗ
[2163.003] ちょび_: ｗｗｗ
[2163.063] yuna0266: ｗｗｗ
[2163.879] Neko_bag: www
[2164.782] スワンプ: 空綺麗
[2165.520] (S)yousei_sunstar: すんません
[2165.817] shark_yuu: sekiUnpex
[2166.824] haizi: www
[2168.492] ritu_ao: www
[2171.845] hiro_918: ｗｗｗ
[2174.953] きよぶくろ: kirei
[2176.869] 4444446666: 空綺麗だなぁ
[2178.095] lotus3142: 空がきれいです
[2178.713] sy4rnorke: karubisTiru2
[2184.978] 526664: やっぱり💩か
[2186.896] ごらむ: StinkyCheese
[2188.137] suyaav: きれい
[2189.492] 4444446666: マップを見ろ ← 空を見るな
[2190.371] (S)mumumukku_00: 腹痛やめてね 
[2191.512] cafemula: ｗｗｗｗｗｗｗｗ
[2196.167] toktok8192: vodkav2Angryvdk
[2197.367] hiro_918: karubisMouuuu
[2201.174] あぶそら: 下痢野郎
[2201.905] w4k4kn: あたれぇ！！
[2202.308] ゆやーーん: なんかのpv？
[2202.430] ssssssssszx: 🌠
[2205.235] elicura9: karubisMouuuu
[2205.749] swingbyblackhole: ガチで流れ星きた
[2208.044] きなこ餅ぃ: 下痢か
[2208.522] (S)yousei_sunstar: vodkav2SayYO
[2209.878] 3104fjkw: うんちマン
[2211.824] lily3nari: がおっす🦁✋宇宙を感じます
[2213.014] 凡人やでぃ: 今回の配信はプラネタリウム配信です
[2215.127] 低脂肪高タンパク: 投下してるのは汚いものなんだよな
[2216.596] w4k4kn: 俺様の宝くじ
[2217.639] sakityosu: 安置入ってて良かったね
[2219.455] 柊悠ト: monster飲みすぎたか
[2225.529] スワンプ: 流れ星とかあるんだな 気づかせてくれてありがとVDK
[2225.572] suyaav: 下痢？
[2226.578] ssssssssszx: ？！
[2228.891] kusastu: これ最悪のメンバーですか？
