[14.915] anai000: やぁ
[29.577] meruwo: vodkav2Oi
[34.419] さないのすけ: おはよー
[36.604] yuujyuufudann: vodkav2Gotochi
[37.141] ピタパンです: おっす！！
[37.851] noririn3: unkochanYaa
[38.428] かねちょー: おいす
[39.504] PrePreaim: 待ってたぞ
[39.522] sora09416: がおっす
[41.186] littleriver_0723: r
[41.432] o_jun1217_o: きたー！！！！
[41.757] aqk87770: おいす
[41.989] fear3324: がおっす
[42.310] nptnnnn: おいす
[42.508] orehayowaii: おいす
[42.697] ぱせりです: がおっす
[43.379] randabanda: おそよー
[43.652] yamadano510: がおっす
[43.926] グラル87: やあ
[44.918] (S)tsukishiro_taso: osu
[44.920] richo_sangetsuki: 待ってた
[45.474] o_jun1217_o: 待ってたぞ
[47.123] Rimeiy: ち、こく
[48.433] (S)あいじー: にょっす
[48.609] obanzaistudio: valo
[49.465] karen_o7: RIDWIN
[51.853] o_jun1217_o: がぉっす
[52.659] グラル87: きたああああああ
[54.305] ikki_oga: によっす
[54.382] mantaro_25: 親の顔より見たバス車内
[54.515] eazykittyyy: valorantがpsとxboxででるのどう思う？
[55.255] kusastu: 遅刻
[55.317] noon7778: おはやー
[58.042] littleriver_0723: 今RCとフナ落ちてるからチャンスだぞ
[60.341] (S)可能性の獣1: バロになってね？
[61.173] ぐりーむ6: に
[65.241] らむぽっぷ: unkochanYaa
[65.463] schott1902: naohirDansu
[71.536] iwjnedndj: vodkav2Vdk_BW
[72.533] ﾄｲ: ぬるぬるだにょ
[73.943] curarpik_reborn: にょっす
[76.772] (M)tennkoh: !game Apex Legends
[76.988] (M)Nightbot: @tennkoh -> The stream game has been updated to: Apex Legends
[77.792] テイーチヤン: PopNemo
[78.007] portgas_d_rouge: yuz48Mu
[81.813] o_jun1217_o: タグヴァロだな
[85.204] obanzaistudio: さっきの移動まじえぐかったぞ
[85.970] yuking26: ALGS（valorant）
[106.678] eito67: valoにバトロワ実装か〜
[117.829] puricodayo: ないすうう
[117.968] imJoru__: おおおお
[119.733] (S)yacha17: つよ
[120.405] lily3nari: つっよ
[121.903] 96nowa: おおおお
[123.147] euphorp: うんま
[123.357] shunkatu: つっよ
[125.493] o_jun1217_o: なーいす！！
[125.704] shunkatu: アホ強い
[126.748] yammy_sakky: unkochanYaa
[127.846] gurararaaa: ゆきおうま！！！
[129.841] hi39_x_x: つよ
[133.887] arnananan: ウォチパ感謝
[134.581] puricodayo: みんなハボックやな
[136.437] mantaro_25: w
[137.158] おむだお: www
[137.343] Miiyo7: ごめんなさい
[138.955] りりばいす: こっわ
[140.693] o_jun1217_o: w
[140.748] junreed2211: ww
[142.226] eito67: ひん
[143.394] mugcup_sink: valoってPC版にpadは追加されないよね？
[144.364] u_cchi: ねいすねいす
[144.674] あああああ55: こわ
[146.383] mendy11111: く、、、く、、、、！
[146.527] portgas_d_rouge: りーどーる！
[146.971] puricodayo: いけるぞおおおおおお
[146.974] KeNG_tv: 4部隊だぞ
[148.204] (S)なちょがすきー: #RIDWIN
[149.280] yujioask: りどる！
[150.981] グラル87: ああ
[154.476] ミニミニマーニー: ボドカ節炸裂
[155.646] 86xYa: きついな
[160.563] けーーしぃ: 出だし悪くねぇ
[161.731] KeNG_tv: 3位ナイス
[162.517] puricodayo: んｔ
[162.941] su_gar__25: NT
[163.466] umm_i_am: ナイスやな
[163.798] aqk87770: まぁまぁ
[164.026] マスク大佐: 3位まあ
[164.130] ikki_oga: いいじゃん
[164.296] oinari_123: wa-su
[167.040] gurararaaa: おー全然いい！
[167.066] portgas_d_rouge: yuz48Yukiohakusyu
[167.936] masuotty: 悪くないか
[168.218] かねちょー: ナイス3位
[168.228] puricodayo: つよ
[168.872] Miiyo7: nf
[168.968] labbitmqrrrrr: 全然ワース
[169.633] ただのともや: まあまあまあ
[169.686] hi39_x_x: まあまあまあ
[172.249] imJoru__: 全然良い
[172.571] グラル87: まぁまぁ
[172.822] (M)Adazx: ntか
[173.503] シアンだ: ううん
[174.321] littleriver_0723: こんなもんか
[176.249] おサムライマック: まあエッジやし
[177.419] takumisushi: 全然良い
[177.629] obanzaistudio: さっきの青バス移動えぐかった
[180.012] Rimeiy: 上のキル取れてよかった
[180.191] (S)yacha17: ハボック強すぎるな
[180.433] su_gar__25: わーーーーーーーす
[180.586] ~MISSING_COMMENTER_INFO~: ボっさんきたああああああああ
[180.760] gurararaaa: ストポゼウスだから
[183.153] kzkyjm: 🍄
[183.626] portgas_d_rouge: ガチ生田
[188.271] コサンジです: ぼっさんおはようございます！！！！！
[188.353] u_cchi: 神移動
[191.346] junreed2211: キノとロープって今誰いるの
[196.913] ずみすた: 待ってたぞ〜
[197.221] グラル87: 規約違反チームか
[197.374] hqlt0: 新KNも強いねぇ
[197.446] rasukaruuuuuu: エッジは耐えときゃいい
[199.676] 肆愛徒: 今日ちょっと緊張してるね笑
[200.934] (S)marrona91: 🍄
[202.483] karen_o7: 🍄
[203.670] puricodayo: よく頑張ったわ
[203.798] winterloveti: 規約違反4
[204.437] noon7778: 青バス移動気持ちかった
[204.626] huyvyhbvcchh: クリプトきもw
[206.768] obanzaistudio: 元nsdだっけ？
[209.229] なかたけ11: これ1試合目ですか？
