[26.817] rito_0550: やあ
[26.947] ゆきちゃす: おいす
[29.485] kabukisanteam: ヨォボドカ
[30.611] もこたんん: おいすー！ 
[33.020] くれいむ: おいす
[33.562] まえちゃんごー: やほお
[34.386] xx_lawgiver_xx: がおっす
[34.605] totoro1083: こんにちは😃
[34.614] goddogyohan: vodkav2Angryvdk
[34.874] monry_v7: おいす
[34.874] (S)t4IGaaaa: にょす
[35.505] (S)つくね1: おいす
[37.084] captainfukuoka: おいす
[37.806] (S)ninniltaiki: ninniltaiki subscribed at Tier 1. They've subscribed for 7 months! 
[37.984] たたーきー: おいす
[38.590] (S)sq9ra: おいすー
[38.720] jyuudenki_ldo: おいす
[38.757] ずんだもち87: お疲れ様でーす！
[39.951] yama_mura: がおっす
[40.670] (S)rin_1122: vodkav2Angryvdk
[40.862] shun_baby: がおっす
[41.796] maru__2127: がおっす
[47.378] (S)ninniltaiki: vodkav2Faceup
[48.854] オマリー: vodkav2Angryvdk
[50.514] (S)でーれー: こんにょちわー
[53.033] ちけちけ: Yo
[54.540] 420Raiden: がおっす 
[54.967] takkun1107: おいす
[61.586] asachan016: vodkav2Angryvdk
[66.129] heyheydayo: おいす
[71.085] newoyag: おいす
[73.125] (S)raaa882: oisu
[74.164] ばぁぁあ: こんにちはー
[75.914] jur1_vl: おいすー
[83.501] まえちゃんごー: おいすぅ
[90.191] shibisora1204: no jobですこんにちは
[90.346] pikomaru777: おいす
[96.045] たたーきー: 今日の昼メシは
[96.554] 天性のメンヘラちゃん: nyanta5Love
[98.519] (S)いろはすぬ: vodkav2Angryvdk
[98.618] サムライチャンバラ: こんにちは
[104.954] kokiniwa77: モンスターセラーあるやん
[108.807] 420Raiden: NotLikeThis
[109.826] (S)steph0030a: 釈迦さんが16時から原神案件らしいからそれまでやってくれるの助かる
[113.824] shun_baby: 明日修学旅行っす
[114.635] totoro1083: きつ
[119.346] muscleage: いつも楽しく切り抜きなど拝見させていただいております！ボドカさんは吃音についてどう思われますか？
[121.869] kokiniwa77: 今日は休日や！
[121.985] 420Raiden: 釈迦さんマ？
[123.293] ssssssssszx: NotLikeThis
[124.586] kabukisanteam: nozeの移籍の話聞かせてくれ
[125.149] youhey1106: すみーめちゃ可愛かった
[129.522] cancer5561: 月曜日いやだぁぁぁ
[131.379] totoro1083: たのしみやな
[132.707] ゆきちゃす: 楽しみやなw
[133.452] (S)可能性の獣1: 今から大学行ってきます
[135.245] takkun1107: コロナに感染しちゃって今週休みだ
[137.467] 420Raiden: へー
[140.822] センチュリースープ: 飯なんすか？
[141.412] ぜくちゅ: 釈迦今までホヨバから案件きてなかったんかな？
[161.558] すみえ: vodkav2Riddlesmile
[165.586] shibisora1204: ぼど何食べるのーー！
[167.692] (S)steph0030a: そうやね
[170.176] heyheydayo: クロリンデはいいぞー
[174.372] kokiniwa77: yuz48Yukiohakusyu
[174.808] (S)でーれー: 筑豊にはあんな女の子おらんしなー
[175.842] 420Raiden: クロリン刺さるんかな
[183.734] maa_bkm: 久々に来たらうしろにかるびぬいぐるみある！
[183.958] ばぁぁあ: それおいしいやつ
[189.348] sthbfgh: ギャルしか好きじゃないよ釈迦
[196.235] nagina_twitch: 彼女のごはん見てみたい！！！
[205.501] ぜくちゅ: ナヒーダ子供事件
[214.948] ゆーむりんじー: 俺は刺さったよ
[221.800] yokiki2: 後ろスッキリしてる
[225.378] 420Raiden: ニィロウは子供← 
[244.058] じぃじぃじぃ: がおっす
[245.859] (S)でーれー: おぉ←完凸
[248.570] cmg0gt: わかる
[249.391] (S)arumon_JP: vodkav2Good
[267.904] teruteru__: 元気ぐ
[269.856] (S)arumon_JP: たのしみ
[270.097] aokisouya: マジたのしみ
[273.079] すみえ: なんじー？
[276.961] 420Raiden: ツ
[277.182] (S)steph0030a: 次勝てばプレーオフ確定や！
[278.512] じぃじぃじぃ: 次のノック先はスカーズか
[289.569] ry10968: 大会シーズンやから
[292.783] (S)steph0030a: 18時くらいだよ！
[294.691] ssssssssszx: 18時じゃなかった？
[306.617] すみえ: 18時！ありがとう😊
[307.579] azarashi_ft: ヴァロもエペもLOLもSFもウォチパウォチパ
[324.688] ssssssssszx: 3時からムラゲだった
[326.982] (S)t4IGaaaa: 今日のbo6のトレーラー見ました？
[333.847] まろんしゃちょー: 今日のお昼はなんですか？
[338.761] じぃじぃじぃ: バレル
[342.233] (S)steph0030a: VL
[359.071] (S)suuute: おっす
[366.281] ワタル07: 14日金曜のムラゲVSリドルも楽しみ
[371.874] (S)dorayakinomattyazoe: バレルとかメンツエグい
[378.188] プライム君: ぜんふもえぐい
[379.017] Juicewisdom: axeumBlush
[379.024] shijimi_423: マゴとかいうジュリ使いに気をつけろ
[382.597] ssssssssszx: ソルダムとか日本きてる？
[383.819] azarashi_ft: バレルはぜんふのイメージだわ
[384.370] igo_mansam: ゼンフのエイム好き
[412.078] 420Raiden: アツすぎる
[413.095] maru__2127: 激熱すぎる
[416.664] tanakamasamune: たのしみ
[417.328] shijimi_423: 金曜18時だよね？
[418.775] ばぁぁあ: たのしみ
[420.041] (S)steph0030a: 14日か
[422.775] azarashi_ft: 対戦後オーナー1on1やってくれ
[428.514] Ramukichi: うんこちゃんと一緒にうぉちぱしてほしい
[434.176] (S)dorayakinomattyazoe: ZETA CR以来の盛り上がりある
[434.869] わらびもち2004: 人気チーム
[443.905] (S)YU_kuma0403: それはそう
[451.938] プライム君: いいTシャツ来てますね
[458.001] letmesee07: とおこのtシャツ良いな
[458.888] (S)arumon_JP: まあ1番同接多いやろうなー
[460.499] 難ナン: ベストバウト
[461.241] じぃじぃじぃ: ここで同接最高叩きだして日本リージョンやべえって見せつけよう
[464.487] 竹輪蒲鉾_ちくわかまぼこ: こんにちは
[475.993] futaba70: 最高やん
[476.564] ryu___dayo: www
[476.984] shijimi_423: オフライン決勝で再戦する流れ
[477.538] azarashi_ft: マザーのTシャツは？
[480.262] (S)dorayakinomattyazoe: カノジョ用だべ
[480.293] aokisouya: 2経路ありそうｗ
[481.396] aqutan_sukikamo: 圧勝したらエンタメとしてあれだからそれなりにやってくれ
[482.826] SseinRJ: 彼女用じゃない？
[497.183] ssssssssszx: wwww
[498.135] (S)YU_kuma0403: AWストアからやっと届いたぞ！フーディー！
[501.437] (S)arumon_JP: www
[503.771] (S)dorayakinomattyazoe: きまず
[509.649] しゅーまいまい: きまず
[510.658] corgi_green: とおこ...
[512.038] ばぁぁあ: www
[516.051] じぃじぃじぃ: 3万スパチャしたから…
[518.026] (S)steph0030a: 嫉妬ですか？
[523.227] (S)でーれー: 何それかわいい
[525.605] しゅーまいまい: wwwwww
[526.297] mik3912: そんなあ
[526.340] (S)dorayakinomattyazoe: www
[526.504] azarashi_ft: ｗｗｗ
[527.317] ふぁいぶぶ: www
[528.439] pikunikku6: www
[530.343] (S)さみすす: wwww
[531.613] kluelessblue: それはそう
[533.335] hstrls: 正解
[533.947] maru__2127: ｗｗｗｗ
[539.515] asaduke0206: 正解
[540.250] lovelyowj: 過激派ですやんw
[542.451] SseinRJ: 性別同じだから余計感じるのかもね
[544.811] じぃじぃじぃ: はいぃ…
[545.389] kachitoma: おえちゃんと同じやん
[549.168] とうぶんかた: ﾊｲﾝ
[550.123] ssssssssszx: はぃ
[552.359] azarashi_ft: まぁ、彼氏がそうだったら正論か
[555.322] (S)suuute: ﾊｲﾝ
[555.381] futaba70: ﾊｲﾝ
[555.554] リーン: ﾊｲﾝ
[556.214] ばぁぁあ: ﾊｲﾝ
