[2.812] sein_0730: ボドカさんの初見リアクション楽しみ
[19.625] いたまえ: わ
[38.876] ピタパンです: うぃす！
[44.471] 3eep_: 余計なこと言うなハセシン
[48.979] たれぞう123: vodkav2Faceup
[50.429] ssssssssszx: き、きた
[52.007] hiziri124: vodkav2Angryvdk
[53.884] キンドル: 順番に案件してるなw
[56.800] sensyagokko: うおおおおおおおおおおお
[63.577] カナ口ア: ｷﾀ━(ﾟ∀ﾟ)━!
[64.275] 仮字: うおおおおおおおおおおお
[66.032] いたまえ: ｗｗ
[68.802] heiiooooooooo: きちゃ〜
[70.330] (S)so_Fc_07: www
[90.841] miushu22: あれ？無音？
[94.452] arata12fps: この人案件なのにタグVALOです！！！！
[97.254] pepe_reme: 案件モードON
[116.889] miushu22: あ、わいのが無音やったわ笑  今作楽しみや
[119.875] (B)ボドカさん: ま、まずい
[123.353] tottocohamu: w
[123.999] カナ口ア: お
[126.007] nenemuishi: あ
[127.182] 仮字: ｗ
[127.426] gin2241: せーふ
[131.967] ssssssssszx: ん
[133.141] 仮字: 雑談ではある
[135.197] sonnanikowaikanew_era: イチャイチャ
[135.827] ahoten931: これスライディング方向変えれるのすごいよね
[141.639] wan0328: BO6のタグないっけ
[144.955] pepe_reme: ボジョレーヌーボみたいなこと言ってら
[148.382] ramunen0612: ガチ楽しみ
[148.686] エイミー0001: すごいうるさい人いる
[149.955] ひよこ総隊長: 変更助かるー
[158.284] 天講: キャンペーンが気になる
[160.610] (S)あのがわ: 実際の歴史
[162.307] キンドル: 毎年同じ事言ってるな
[164.627] (S)桜井景和: bo6のタグあるよ
[164.882] miushu22: !event
[164.990] (M)Nightbot: 6/9(日)19:00~21:00『ボドカス #2 powered by モンスターエナジー』 https://x.com/riddleorder/status/1799018849674916170 // 6/10(月)2:00~『Call of Duty: Black Ops 6 Direct 公式ウォッチパーティ』  https://x.com/callofdutyjp/status/1799380856101900654
[175.361] takaasahi: 今回は大丈夫なのか・・・・
[189.917] カナ口ア: やばww
[198.391] takaasahi: 横ジャン
[216.259] gmpwamtwhdpwj: 絶対おもろい
[227.560] chinqoshi: 壁からあれで飛んできたらおもろいｗ
[228.059] カナ口ア: ほんまか？
[231.170] mottyamotya29: ルイージの横ビーきちゃ
[242.845] inuxuu: 現代戦？
[268.383] (S)あのがわ: キャンペーン拘ってくれるの嬉しい
[278.351] (S)mikyan_lol: ソ、連
[279.935] bobo2538: OB3までしか把握してなかったけどもう6なのか…
[298.259] gmpwamtwhdpwj: w
[298.407] drakecorsair0801: アドラーでるん？
[300.417] 仮字: 素直
[308.591] いたまえ: ｗｗｗ
[311.602] (S)はむはむ_: ｗｗｗ
[312.099] bobo2538: ウッズ！
[313.976] あすかちゃんだよ: wwww
[314.398] 天講: wwww
[314.582] 顔パンパン: あｗｗ
[317.701] ssssssssszx: w
[317.707] nokin9822: 車いす乗ってる人が過去語ってるシーンは覚えてる
[334.322] sonnanikowaikanew_era: ブラックアウト懐かしい笑
[344.897] bobo2538: OBのウッズかっこよかったな
[386.006] sonnanikowaikanew_era: XD批判ですか…
[393.457] drakecorsair0801: アドラーきちゃあ
[404.897] g4tiiii: でもゲーパスでできるんですよね「！？
[413.850] tom1nack: ストグラ？
[416.915] かっきマン: 金のかけ方がえぐい
[417.207] ahegaowpisu: 金かかってても楽しくないと意味ない
[425.254] gmpwamtwhdpwj: １０ヶ月は必ずやるから絶対買ったほうがいい
[445.210] aka_pencil: すっげえ
[446.499] sensyagokko: XDでこの手のゲームデビューしたから楽しみ
[450.843] sk_0412: めちゃくちゃリアル
[455.780] nanmgf: キャンペーンやりて～
[457.578] obentou12: !title
[457.775] (M)Nightbot: @obentou12 -> Current Stream Title: CoD 最新作『ブラックオプス 6』の発表をハセシンとウォチパするぞ！ #PR
[468.347] (S)桜井景和: なんと月額850円で遊べます
[479.545] w0r1: とりまコメント落ち着いてや 買いたい人は買えばいいし ここで批判わざわざ書くことじゃない 買わなきゃいい
[493.464] muto_6: あんまハマんなくても850円で済むと思えば安い
[511.889] (S)venven8: 10月か！はや
[513.342] drakecorsair0801: BOって無印以外全部キャンペーン外してるよなｗ
[530.253] (S)yacha17: かっけぇなPV
[534.579] mottyamotya29: ボドカ「はよマルチを見せてくれ」
[536.381] はとむぎ化粧水: キャンペーンやりてー
[545.642] takimonn: 850円でお試しできるのいいね
[546.465] カナ口ア: マルチまで長いて
[547.387] 仮字: お？
[550.076] カナ口ア: RCXD！？
[550.863] (S)あのがわ: ラジコンきたｗ
[551.140] (S)可能性の獣1: １ヶ月やってみてハマったら買うっていうのいいな
[551.280] (S)桜井景和: 懐かしのラジコン
[557.359] sonnanikowaikanew_era: Cod めっちゃ頑張っても新作出たらまたやり直しなのがしんどいんだよな
[557.665] 顔パンパン: わお
[563.057] カナ口ア: C4載せて突撃させるやつ
[571.246] inuxuu: SRの覗き込み速さだけ気になる
[577.381] (S)venven8: あら。お姉さん
[589.415] nokin9822: ゲームなのか実写なのかたまにわからん
[595.171] gmpwamtwhdpwj: 画質やばいな
[612.822] arnananan: おいす
[617.036] inuxuu: 実写じゃん
[634.366] カナ口ア: すご
[635.136] 天講: wwww
[636.101] 顔パンパン: ｗｗｗ
[636.610] konagaki: ｗｗｗ
[637.016] olive2ti: k4sen！？
[637.101] mitarashidesu: ???
[637.347] sensyagokko: おいｗ
[637.515] (S)あのがわ: ええてｗ
[637.567] らふすけ: wwww
[637.691] ﾐﾁ: やばすぎ
[637.702] toriteba_: wwwwww
[638.423] カナ口ア: モーションセンサーか
[639.737] オカっち: ！？
[641.945] takimonn: www
[642.535] ao_tkg: www
[642.623] はとむぎ化粧水: これすげーぞ
[643.400] t4kc56f: 進化しすぎか
[643.902] nanmgf: うおおおお
[644.411] muto_6: ええて
[644.419] かっきマン: まるで実写
[644.596] pepe_reme: 今は普通や
[644.982] (S)warawanaiman: wwww
[645.292] goemon___: これcodか？？！？！？wwww
[645.816] (S)さみすす: wwwww
[647.989] (S)桜井景和: ええて
[648.747] オカっち: 技術の進化やばすぎw
[651.580] tentenmalu: まるで実写
[652.996] さっちゃん: 他ゲーでもやってるよ
[654.545] はとむぎ化粧水: これすごいぞ
[654.679] sonnanikowaikanew_era: 今のメガネのオッサンもリアルだった
[655.734] (S)so_Fc_07: わざとらしいw
[655.950] nanmgf: wwww
[656.716] angry_hungry19: すご
[657.920] senkeeeeee: あのちっちゃいカメラ1つ70万とかやで
[658.851] drakecorsair0801: ここ10年くらいやってるだろｗ
[661.732] inuxuu: おー
[663.507] gmpwamtwhdpwj: 360かよw
[673.385] nanmgf: 面白そうだなぁ！
[677.044] カナ口ア: へえー
[680.697] inuxuu: カニ歩き！？
[682.006] takimonn: すご
[691.012] カナ口ア: これ凄いな
[705.479] nikoberi_: 綺麗やな
[706.285] nokin9822: ガンホーあったらやばそうやな
[707.102] sensyagokko: 飛び出しやばそう
[714.954] inuxuu: 角待ち対策に横ダイブ使えるかもな
[717.090] unaginuuuuu: ps4とps3でもうできないの？
[718.127] gmpwamtwhdpwj: 絶対ガンホー楽しいやん
[720.162] mitarashidesu: ！？
[721.824] takimonn: 飛び出し強そう
[723.364] (S)rqiko: vodkav2Faceup
[728.910] オカっち: めっちゃ動くなぁ
[730.656] (S)桜井景和: ps4はある
[731.463] はとむぎ化粧水: やばすぎる
[732.639] sensyagokko: 角待ちちんまりのお知らせ
[733.060] ponyonosioyaki_: ボド、キャラコン極めよう
[733.892] inuxuu: 指絡まりそう
[734.916] ginoza_1121: おもろ
[735.514] 顔パンパン: かっこよ
[736.647] sumiyuki1228: あついな
[737.852] (S)rqiko: vodkav2Amo
[739.266] matukenbot: 低空飛行ジャンプできそう
[741.580] カナ口ア: SRは？
[743.934] arnananan: SGこっわ
[744.648] (S)あのがわ: キーマウだとこっちのが強いとかありそう
[746.933] 96nowa: ヵっけぇぇぇ
[752.089] muto_6: 切り返し低空ジャンプとかやばそう
[755.978] nandow3: 配信的にはつかいたいところ
[767.656] gmpwamtwhdpwj: 色が神
[772.429] らふすけ: うれしい
[775.290] inuxuu: 色合いがまじ神
[783.057] debuusapyon: ポ○ノハブカラーね
[783.520] はとむぎ化粧水: えぐ
[804.599] カナ口ア: ショットガン好きすぎん？ww
[821.623] らふすけ: www
[822.483] 96nowa: うわｗ
[822.547] gmpwamtwhdpwj: これすごいよな
[823.897] カナ口ア: 多いなぁww
[824.599] いたまえ: すごおおおおお
[826.043] ponyonosioyaki_: www
[827.375] takimonn: www
[829.026] ginoza_1121: 増えすぎやろww
[832.690] キンドル: 無駄な努力w
[833.313] rqvyzz: それはいらんｗ
[834.299] sensyagokko: だるｗ（直球）
[835.483] vg7wr: 謎のオタクのこだわりw
[835.707] (S)桜井景和: 死ぬときのアニメーションが豊富に
[838.119] arnananan: 何でやw
[840.632] いたまえ: 動きがリアルになるんだよ
[841.292] らふすけ: ダメージかとおもった
[843.700] 96nowa: ダイビングｗｗｗｗ
[843.704] drakecorsair0801: タルコフやん
[844.073] はとむぎ化粧水: 死体撃ちがリアルになんのか
[845.357] unaginuuuuu: おいくらなんだい？
[847.026] カナ口ア: へえー
[850.808] 天講: リーン？
[852.980] ぼららす: 自動リーン
[861.251] カナ口ア: Gohstであったリーンだな
[861.867] (S)あのがわ: これはフルプライス
[864.888] realpizza2: 滑らかだな
[866.468] 96nowa: 自動リーンいいな
[871.768] ぼららす: ジャガノやめてね
[872.695] うえはらあいこす: ついにCODの時代来るか
[877.966] gmpwamtwhdpwj: ジャガノやめてね
[880.076] カナ口ア: ジャガノww
[881.179] inuxuu: 銃口が曲がらなければなんでもいい
[891.648] xeno7050: ワンサイクル一回スルーしたからね
[909.253] カナ口ア: へえー
[912.182] 96nowa: 爪ｗ
[912.699] がみちゃそ: ジャガーノート、、、ぅう
[914.040] 天講: これがここ最近のcodの大本命ってわけか
[914.084] カナ口ア: 凝ってるなぁ
[917.131] いたまえ: こりこり
[917.192] ぼららす: 一回分他に負担させてBO6は他より開発期間長い
[917.567] (S)so_Fc_07: 元取れんのかこれw
[924.821] inuxuu: VRでやりてぇ
[928.359] カナ口ア: L96?
[930.941] いんちょう: ゾンビや
[932.307] kqreh: ガチイク❗️
[933.199] muto_6: QSできればなんでもええ
[933.332] ぼららす: しかもこれゲームパスで遊べます！はえぐい
[934.318] いたまえ: 気合それだけはいってるんだろうな
[937.130] toshipi_50: 規模デカすぎや
[938.399] 綾野㌠: これでもコケたらもうCoDは終わりです
[938.635] gmpwamtwhdpwj: 本気なんだろうな
[944.082] dogapple_90: 確かに制作コストやばそう
[948.485] 21savageluck: 正直おもろそう
[949.802] うえはらあいこす: 4090でやったらめっちゃ臨場感ありそう
[951.129] がみちゃそ: ゾンビあるのか？？？
[952.489] sensyagokko: 買うわ
[954.813] yakiniku32: やりたみはある
[961.052] wan0328: 別に終わらんよ、海外でめっちゃ売れてるから
[961.239] ぼららす: ラウンド制のゾンビ、ありまあああああああす！
[964.050] xeno7050: ゲーパス入りするけど売り上げは大丈夫だろうか
[964.892] カナ口ア: へえー
[966.786] 賽の瓦: まじで力入れてるか？
[970.978] rere_3619: いまだけありったけを
[974.090] rqvyzz: @綾野㌠ 別にcodこけてないけどな世界見ろよ
[979.629] カナ口ア: CoD今までに無いくらい本気だなw
[986.697] キンドル: メンションw
[988.258] inuxuu: ガチできてるな
[993.306] しまじろ: スペシャリスト欲しかったかも？数年ぶりに
[994.346] いたまえ: ガチだね…。
[998.764] rere_3619: BloodTrail
[1000.383] algometarica: 新作うおおお！→今作おもろいぞ！→誰もやらない
[1001.483] カナ口ア: コレマジで凄いよな。オリジナルカスタマイズできるの
[1002.262] arnananan: まるか
[1011.580] 賽の瓦: まじ！？
[1013.937] 綾野㌠: @rqvyzz ここ日本っす^^;
[1014.605] gmpwamtwhdpwj: これすごい
[1015.931] ﾐﾁ: あっつ
[1016.700] いんちょう: 最高
[1017.740] カナ口ア: L96やん今のSR
[1019.761] rea10san: HUD変更アツいよね
[1020.589] (S)あのがわ: いいね
[1021.664] (S)にこ722: また昔みたいに日本で流行ってほしいな
[1023.041] inuxuu: まじか
[1028.352] gmpwamtwhdpwj: 痒いところに手が届く
[1032.327] はとむぎ化粧水: マップは左上っしょ
[1033.531] 栗松三歩先: feederの血が
[1043.250] (S)桜井景和: NUKETOWN
[1048.843] いたまえ: かせんさんなぜか知らないけど右下MAPにするって言ってたな…なぜか知らないけど
[1053.385] vg7wr: 自分でハードコアにもできます
[1054.536] inuxuu: マップを消して100キルとかでるかな？
[1058.780] rere_3619: lo.l
[1060.346] hirohash1: lol
[1061.374] sensyagokko: 右下…ろ…る…
[1067.630] ぽむ帝: きたああああああああああああああ
[1068.681] いたまえ: お
[1070.765] gmpwamtwhdpwj: きたぁぁぁぁぁぁぁぁぁぁぁぁ
[1072.138] muto_6: プレステージきたあああああああああ
[1072.342] arlingtonnnnn: まさか
[1074.225] カナ口ア: プレステージｷﾀ━(ﾟ∀ﾟ)━!
[1075.707] herushia1: 視野欠損の民です、ミニマップの場所変更ありがとうございます 
[1075.789] w0r1: ガンスミスいらない、、、、、どうせWZがらみか
[1077.328] 96nowa: うおおおおおおおおおおおおお
[1077.839] tkm531: おおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおお
[1079.668] なぽりぽり: うおおおおぉ
[1080.765] mitarashidesu: おおおおおおおおおおお
[1086.527] inuxuu: まじか
[1087.938] 立直一発ツモい: リセットおおおおおおおおお
[1091.653] algometarica: 愛されてきたか？
[1091.765] inuxuu: ハマっちまうやん
[1092.113] 顔パンパン: 最高や
[1092.613] いんちょう: wtf
[1092.879] muto_6: 永久アンロックトークンうおおおお
[1094.149] ﾐﾁ: やり込み要素きた
[1095.213] realpizza2: 最近なかったのか
[1095.465] takimonn: 最高！！
[1096.050] カナ口ア: あつすぎ
[1098.645] がみちゃそ: おっほ♡
[1100.167] ramunen0612: やるっきゃねぇ！
[1107.851] gmpwamtwhdpwj: くそなつい
[1112.751] (S)soh_96: なっつ
[1112.790] (S)可能性の獣1: なつすぎやろww
[1113.450] ソラニン386: なつすぎる
[1116.901] カナ口ア: なつすぎ
[1118.151] (S)あのがわ: でも俺らもう時間ないよ…
[1119.204] arnananan: ダサカッコイイやつ
[1124.068] (S)桜井景和: 実家
[1126.230] mottyamotya29: きたああああああああ、これで強いやつぶっ殺すのが脳汁
[1126.803] arlingtonnnnn: また廃人になってしまう…
[1128.324] カナ口ア: え？死体撃ちした？
[1128.411] いたまえ: ださいんだけど威圧感すげえやつな
[1128.647] inuxuu: BO3と同じ柄か？
[1129.911] rei_zz0: わらつーぶりとか？
[1136.441] いたまえ: あ
[1137.659] (S)あのがわ: ；；
[1137.909] 仮字: あ
[1138.855] gmpwamtwhdpwj: あ
[1139.321] nenemuishi: あ
[1140.025] mw4minen: あ
[1140.315] ぽむ帝: あ
[1140.323] がみちゃそ: あ
[1141.297] arnananan: BloodTrail
[1141.766] mitarashidesu: ；；
[1142.296] オカっち: BibleThump
[1142.661] ゆーーーげん: BibleThump
[1142.879] 96nowa: あ
[1143.864] はとむぎ化粧水: 俺は何故か時間あるよ〜
[1144.576] yottando_o: みんな大人になっちまった
[1146.939] ﾐﾁ: BibleThump
[1147.140] ramunen0612: あ
[1147.582] takimonn: BibleThump
[1150.423] いたまえ: みんな大人になったんだ
[1151.556] dlowgswmia: BibleThump
[1152.545] inuxuu: ；：
[1152.627] xeno7050: 時間よこせ😠😠😠
[1153.658] ponyonosioyaki_: 俺も何故か時間あるわ
[1154.085] algometarica: cod民、みんな三十路か
[1156.652] ginoza_1121: あの頃のガチみんな大人か
[1159.537] いたまえ: お
[1160.009] besqtv: BO1のプレステかっけー
[1160.091] samidare7023: やらせてくれ
[1160.237] ぽむ帝: みんなニートになろう
[1162.362] カナ口ア: え！？スキルあり！？
[1163.700] glrace: プレステージは嫁と子供にやらせるわ！
[1163.928] mottyamotya29: 定時で帰れるんで余裕です 
[1164.375] blacksamurai0622: 老兵達戻ってくんのかな
[1165.479] がみちゃそ: ぼど、あのころの民はみんな大人よ、、
[1165.718] muto_6: 長い目で見たらやり込みは無限
[1169.115] gmpwamtwhdpwj: スペシャリスト？
[1169.236] あくだまきん: プレステージリセットかけてカスタムやんべ
[1170.669] (S)にこ722: ニートになりてえ
[1171.803] decoy_55: マップとかもかなり作り込まれてそうかな？
[1172.082] fumi_fumi777: 働かなければいいだけだよ
[1172.960] いたまえ: スペシャリスト的な？
[1178.306] _べぃす_: ゴーストおもいだす
[1183.712] (S)桜井景和: シアター復活
[1184.456] inuxuu: 固有か？
[1188.732] phantaro241: DXファ… ファ…
[1188.820] カナ口ア: 分かってるなぁTryarch
[1189.086] rqvyzz: シアターか
[1190.875] samidare7023: これおいくら万円？
[1193.997] はくだ: シアター大歓喜
[1194.641] つき____: 最近のFPSと一緒でコミュニケーション超大事になりそう
[1197.158] kitora221: ゾンビは？
[1209.701] カナ口ア: ｷﾀ━(ﾟ∀ﾟ)━!
[1210.402] glrace: XDってまだ流行ってる？
[1210.479] gekojp: 有給20日残ってて良かった…ガッツリやるぞ
[1212.232] rei_zz0: エックスディファイアント丸かぶりなのに買い切り大丈夫か？
[1213.013] うえはらあいこす: ボリュームえぐすぎない？
[1213.049] t4kc56f: 今回気合い入ってんね
[1213.280] はとむぎ化粧水: ３レーンだよなぁ！
[1214.045] 顔パンパン: 3レーンうおおおおおおおおお
[1215.778] カナ口ア: 3レーンは神
[1216.320] 自宅警備中です: やりこも
[1217.558] くゆるさん: リメイクもうええねん
[1220.607] (S)可能性の獣1: 3レーン神
[1220.842] takimonn: 神
[1220.880] 96nowa: 神
[1222.429] kumatiki: いいね
[1224.505] くゆるさん: 神
[1224.525] inuxuu: ニュークタウンは？
[1226.535] nepia112: 3レーン助かる
[1226.613] n_ff_re9: いいね
[1226.644] herushia1: 最高
