[12.698] zon7733: こんにちは
[14.766] blaotnkzz: hi
[15.962] t010t_010: こん
[19.922] soooooooki2525: おいす
[20.141] さんさんびーと: ちくわ
[21.355] zen7lk: がおっす
[21.825] 184_________: またクライアント問題か
[23.696] softswarm: おいす
[27.496] (S)kiki00333: おいす
[29.846] ssssssssszx: き、きた
[30.652] Mainyu55: DinoDance
[32.237] 273637828: おい
[32.725] キューブってる: がおっすー
[33.437] (S)さみすす: がおす
[33.650] ただのともや: がおっす
[33.839] sora09416: がおっす
[34.487] atawo1: おいすおいす
[34.953] pokepokepopopo: vodkav2Angryvdk
[35.588] kossssei: うい
[35.603] (S)arumon_JP: おいす
[35.682] じぶ0102: fpsakuRidsmile
[35.695] yamayamaowo: まってました
[35.804] yuba32: おいす
[37.128] (S)imokorori: このタイミングでつけるんや
[37.265] 寺田恋心: がおっすー
[38.111] rito_0550: やあ
[40.179] (S)もちすん: vodkav2Riddlesmile
[40.549] marumaruuuuuu: おいす～エラーやばそうだね
[40.853] akitgg_____gen4assault: がおっす
[40.988] (S)令和のペレ: 大丈夫か！！！！！
[41.180] qawsed1145: やあ
[41.647] すみれ0412: またこれかｗｗ
[41.835] m_nao0419: 延期になりそうですか？
[41.859] friedexx: hii
[43.219] aoa01927: vodkav2Angryvdk
[43.437] (S)激ローメタモン: !title
[43.620] (M)Nightbot: @激ローメタモン -> Current Stream Title: 大会クライアントにみんなinできないから試合はまだ始まらないみたいです
[44.904] 愛子さまガチ恋: 🐮スタンバイ
[45.111] snow38_: こん
[45.525] tkr052309: まだ入れてないの？
[45.766] 96nowa: ボドカいけるか！？！？！
[46.678] mitauka: 今回sz側もエラーってま？
[46.900] neet_or_rable: 試合できそうですか？
[50.256] poteto0101: ムラゲどやったん？
[50.277] yk177228: おいおいクライアントの調子が悪いなあ
[51.458] arcetto1116: まだ解決してなかったのか
[52.279] wadarin: 不運やなあ
[52.412] j4p4nesefaker: 原神しますか
[52.943] aqutan_sukikamo: 今日は延期の可能性があるぞ！！！
[54.324] tanakamasamune: こんにちは〜
[54.370] mik4zuchi: どうなってるんw
[56.093] moco_dayoo: ボドさん行きましょう
[56.594] Mainyu55: よいしょー
[57.511] (S)ゆにおん12: まだ治ってない？
[58.935] slnark9: リドル応援しにきた
[60.691] uooo4080: ムラゲボコられたで
[60.984] ピタパンです: コンチワ
[63.062] (S)rqiko: vdkもスタンバイしといてね
[63.412] グラル87: 延期く、くる
[63.841] maru__2127: がおっす
[64.685] 呂布カルパス: がおっす
[65.426] リーン: 今度は全員かよ
[65.661] yata_17: にょっす
[68.381] m_nao0419: 代打？？
[70.035] 辛めのジョニィ: リドル勝つやろ
[70.538] (S)leing_dayooon: がおすうー
[70.749] rasukaruuuuuu: RID運悪すぎや
[73.068] mikoto_mitarasi: おはこんばんにちは
[74.558] たれぞう123: vodkav2Riddlesmile
[74.711] tkr052309: まだ入れてへんの？
[74.758] tengu_114514: ボド…いけるか？
[75.410] ペン太56: おいす
[78.355] (S)Quu_o: 最近おおいよね
[78.441] キューブってる: よし〜今日も勝ってくれー！！
[78.526] etojackk: リドルこういうの多いね
