[38.641] ojonnon: ちす
[39.408] vxyutakaxv: うおお
[39.447] レベル補正: vodkav2Riddlesmile
[39.974] (S)激ローメタモン: きたぁああああああああああ
[42.797] まんまみや: にょす
[43.233] はっぴーえむしー: k4senKoshihuri
[43.552] 猫すきすん: おいすー！
[44.334] ミントー: おいす
[44.569] shishamodesuyo: やぁ
[44.937] 凜315: vodkav2Angryvdk
[45.115] ch_is2: がおっす
[47.522] shogo_tani0120: 歯抜いたか？
[48.219] iwachan91: がおっふ
[50.748] らずきち: やぁ
[52.496] サムライチャンバラ: こんにちは 
[59.922] ホーくん: トライアウトですか？
[63.220] サムライチャンバラ: ボドカさんもサッカー来られたんですねwww 
[64.790] yamacosu: vodkav2Angryvdk
[66.486] なっしー0812: やあー
[67.583] (S)ボルビック: おいす
[68.749] 桜鏡月: がおっす
[70.730] ちいまるです: がおっす️🦁✋
[75.012] arata12fps: おにやと勘違いしてる人いない？
[78.714] 宇多丸: vodkav2Angryvdk
[79.707] yama_mura: がおっす
[80.323] lion_oo6: FootGoal
[81.712] ホーくん: リドルFC
[82.033] panraisu12345: 平和だ
[85.155] 倉内: やあ
[92.100] saisai008: FootYellow
[100.585] yk177228: みえねえ
[105.815] 宇多丸: でも、おにや亜種いる
[108.697] lion_oo6: 遠いw
[114.921] mg6gmgwgopm: メンバー誰々いんの？
[116.561] サムライチャンバラ: のどかですね 
[122.917] Juicewisdom: axeumSip
[129.389] panraisu12345: 保護者視点
[132.347] mobmaru: 暑くなくてよかったな
[132.591] smurf_3129: 遠いなぁ
[134.195] sen_you_chan: 草見にきた
[135.041] 宇多丸: まざー けんき VDK スタンミ
[139.283] ミントー: マザー決めた？
[140.413] サムライチャンバラ: けんきさんとマザーさんとスタンミさん以外に他に誰か来られたのかな
[158.974] arata12fps: 視聴者もいんの？
[162.455] (S)激ローメタモン: ゴール決めたら 
[184.660] maruuuusuuuu: アグエロとピケかなあ、予定は
[189.168] シンラくん: 結局来たんか
[195.990] (S)激ローメタモン: リスナーは事前抽選で当選した人だけ参加やね、それ以外はフェンス外からで見学
[220.860] (S)激ローメタモン: うぇい！
[222.092] 桜鏡月: こわ
[222.438] lily3nari: きたあああああああああああああ
[224.482] vxyutakaxv: 遠すぎ
[227.230] panraisu12345: 南米の人きた
[227.330] shake0308: 事前抽選とかそんなガチなんか
[231.158] nana77o: もじゃもじゃ
[236.354] suzukimotuo: vccのやつ着てないかｗ
[240.030] bonheihe: 本当にサッカーしててワロタ
[246.548] 宇多丸: ヴァルデラマきたァァァァ
[252.379] otonashi07: マネージャー見つけよ
[255.149] donguri___5656: 定点でいい
[256.662] 凜315: 全然ええよ
[256.884] vxyutakaxv: もっと近い方が見やすい
[259.574] ミントー: ボール飛んできそう
[265.041] vxyutakaxv: あざす
[272.290] yutanatana: 臨場感はある
[275.443] ssssssssszx: ゴール裏いけ
[282.881] ミントー: www
[293.675] (S)yacha17: w
[301.679] たきしーどねこ: FootGoal
[306.819] silva518: ボド視点キター
[307.687] shirataki_02: ドローン飛ばして
[335.137] たきしーどねこ: ぼどどやほやほー
[337.521] kintan_maeda: ボドカアキレス腱切りそう
[340.073] リーン: 誰がおるんや？
[340.770] namabroccoli: ボド足の筋肉いい感じだな
[347.446] supin_chan: お〜い
[349.180] なっしー0812: ハーフじゃないと
[355.688] たきしーどねこ: !member
[355.817] (M)Nightbot: -
[372.391] 倉内: ボドカウキウキなんよ 
[390.905] サムライチャンバラ: karubisNikoniko
[403.841] 宇多丸: おぼの声？
[405.105] 世界ノ前田: アキレスだけは伸ばそう
[406.141] サムライチャンバラ: ストレッチしましょう 
[409.946] ssssssssszx: 怪我するぞ！！
[413.556] sumo77758: はっや
[415.796] サムライチャンバラ: 行っちゃった 
